danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.642,0.34,-12.852,0.0394,0.854,0.475,0.0816,0.927,176.08,2TJqhMuTx2eMun7MMQVIFy,134400
0.77,0.243,-4.837,0.0496,0.868,0.901,0.0588,0.627,121.667,5LfuNxO9rYUnGojFJHNU50,125360
0.48,0.598,-8.329,0.0725,0.82,0.000149,0.168,0.683,114.317,5Rd588cbZ8HUooyMEhcJVC,183427
0.711,0.341,-6.161,0.264,0.94,1.09e-05,0.0971,0.632,133.153,5tRpXcfNxEnCQxdWiA5GJ9,128337
0.853,0.483,-8.937,0.0789,0.00659,0.679,0.11,0.594,104.001,1w4S90DCM0Q1LPeDuJKJEb,260960
0.687,0.672,-6.639,0.0926,0.618,0.00533,0.122,0.625,169.989,7767mRERbGwUPuCB193E64,242253
0.706,0.343,-11.085,0.165,0.835,0.74,0.0974,0.734,103.163,5dezLK1zLKyYS9X9sIO3wY,131467
0.683,0.255,-10.32,0.0605,0.983,0.167,0.0311,0.844,94.154,6Cyls9CaBX6It15YcRbNnq,174720
0.7,0.278,-17.401,0.428,0.96,0.0214,0.0809,0.717,146.712,57MZPOc3410g9Zp3ZifXdI,177773
0.666,0.519,-7.88,0.0476,0.085,0.0,0.24,0.457,135.891,0OQyjeW3jHynzehiKw1wPo,165973
0.531,0.116,-16.001,0.0749,0.962,0.000886,0.331,0.345,118.391,3aLi6Vl2oOnqtMMRyO7KTP,169360
0.483,0.192,-15.378,0.0469,0.991,0.908,0.106,0.0542,100.848,14rZjW3RioG7WesZhYESso,140733
0.332,0.354,-10.396,0.0397,0.909,0.000144,0.21,0.209,111.375,3ldrLodCp0oZL1IcOSEvWv,255000
0.865,0.617,-5.634,0.119,0.341,0.00919,0.0916,0.519,90.03,2ekDdJj203qgEpnhL97jvY,270680
0.468,0.0879,-21.475,0.0502,0.973,0.867,0.0902,0.354,153.53,1bqBPtahCUV392uy89jAho,147507
0.697,0.533,-12.353,0.137,0.971,9.19e-05,0.221,0.875,122.195,78Uoh9b4MNl8jCQJbWpTuy,128360
0.797,0.771,-4.363,0.0318,0.11,0.000913,0.356,0.934,124.999,33bj2sNF5xk3oeFnyMfc0s,217347
0.838,0.336,-8.784,0.279,0.949,0.899,0.1,0.803,134.643,5v2RpQIRlfDSsXNLN3Zb9v,176427
0.518,0.573,-4.648,0.0553,0.754,1.43e-06,0.183,0.597,115.875,6UeSI0uO0zQ50EYEsDLpOw,162680
0.719,0.342,-12.75,0.0782,0.581,0.902,0.0982,0.73,124.473,1GU97kVt3xfUEasHevly6u,181707
0.822,0.401,-11.185,0.086,0.836,0.697,0.109,0.962,115.217,2rsM6iKaaUx8GCOMxVAGrJ,169093
0.852,0.825,-5.843,0.031,0.101,0.506,0.0705,0.887,110.014,6O4h6jJrAcizZAewnJi3b7,150265
0.8,0.299,-10.559,0.0348,0.508,0.0285,0.277,0.466,98.003,1iJqnTaBrKQKGWMU7DNzx0,196467
0.596,0.395,-8.181,0.033,0.836,0.0,0.117,0.692,115.085,08E7P5GXZMgSslfaAKyrmK,166960
0.521,0.387,-6.14,0.0455,0.895,0.00839,0.355,0.456,122.3,41bHAhjhy53xT2SgODGJlL,192640
0.466,0.194,-11.924,0.0315,0.936,0.456,0.127,0.543,98.814,5G2sRjsjF5JxqDIC2pDhJb,210880
0.523,0.467,-7.421,0.0462,0.928,4.27e-06,0.0721,0.707,103.285,62wBEY20qXqTRYphDJmqOD,138693
0.55,0.411,-8.785,0.0382,0.22,0.00808,0.11,0.224,143.914,0mpiBhxs9zFxUcAQ7EKtxN,196262
0.785,0.211,-8.307,0.0574,0.918,0.889,0.0969,0.619,125.787,7AsCBlJEJAyonOaUzj0XPV,159107
0.715,0.768,-5.881,0.0405,0.667,0.0849,0.722,0.586,107.205,5OIpGkSPGZHFZ9W6G2CZhK,241573
0.418,0.443,-6.168,0.0539,0.939,0.123,0.122,0.433,122.98,1LIEc2Vx040v1MW66Ih1qS,204880
0.624,0.521,-8.49,0.0303,0.181,0.00066,0.0751,0.706,102.815,7HhLIVmJREKStoJXtacUIS,287520
0.721,0.366,-8.069,0.0403,0.984,0.321,0.39,0.779,135.543,3hJjQf5tER0sSyHtaEvDWo,144080
0.448,0.599,-7.444,0.0884,0.855,5.44e-06,0.0984,0.74,115.127,7iCc6LcTnlIbNoSGlubeik,176173
