danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.52,0.955,-10.831,0.0873,0.0177,0.827,0.161,0.0385,131.883,1fwmpaKObFM51Nw1g5uJyt,241347
0.49,0.789,-8.519,0.0579,0.0244,0.186,0.232,0.0778,129.975,1Q3E2Fu0CYUhW2b0ttKXa6,249287
0.761,0.842,-7.139,0.03,0.0327,0.000578,0.372,0.6,135.016,6Cxm2zFPRzMulWJOII2vQ9,218773
0.761,0.791,-3.587,0.196,0.00188,0.152,0.348,0.201,127.96,2T5n0yPObdYbvmd5KLqnAa,311445
0.63,0.696,-9.195,0.0428,0.0239,0.64,0.0471,0.171,132.005,39PUts53VFMsLoSx0fFTB4,590533
0.518,0.775,-6.785,0.0282,0.0204,5.32e-05,0.378,0.434,134.021,0wOsmdDj8fjuzXolcsoV9C,251427
0.68,0.755,-6.661,0.0434,0.0389,0.682,0.0851,0.355,137.681,2spVMddgaUJaYT51mXKuDQ,500827
0.596,0.952,-4.364,0.0873,0.00131,0.0,0.598,0.571,127.945,7B1Dl3tXqySkB8OPEwVvSu,234360
0.767,0.575,-12.731,0.062,0.0114,0.884,0.0922,0.112,123.987,462dorrtbwF61dqCwAsXma,385985
0.585,0.842,-5.958,0.0421,0.00131,0.838,0.0902,0.329,145.007,5eHLxiUSE6oKBuffxZ8J4T,444907
0.761,0.575,-7.958,0.0874,0.00104,0.315,0.434,0.132,129.996,78KbOBTFGzuE4faiBJemLx,359960
0.582,0.686,-8.439,0.041,0.0389,0.000689,0.104,0.252,129.936,1DFgEywD1RGDSt1VwqppwS,317440
0.59,0.855,-7.62,0.0536,0.000214,0.846,0.683,0.0391,144.992,23FD4eYjBgeG2L45UAIm8U,452080
0.609,0.801,-4.417,0.034,0.0137,0.00349,0.127,0.407,129.99,1dFkD1JfRMzwO6hwUsE8aS,243413
0.879,0.578,-9.087,0.0952,0.000928,0.111,0.0447,0.181,127.989,0rzfMJGRRVmzwyj8mTZjQO,483747
0.472,0.682,-6.45,0.0386,0.0153,0.000184,0.269,0.168,132.062,1oFefbcB3slIHxiQ5n1Gzs,251479
0.72,0.883,-7.25,0.0507,0.00123,0.861,0.0467,0.49,134.981,6zKv2c17mulW7JsZboiAi3,395577
0.754,0.606,-9.179,0.0666,0.000301,0.939,0.0958,0.815,132.016,47wAu2rJmKwCHulpcrRvYP,583053
0.734,0.456,-10.17,0.071,0.00172,0.397,0.0907,0.112,135.055,0Q8ZRnLbxzXkv9zkJJcLl6,427111
0.573,0.962,-3.883,0.0709,0.00166,0.0336,0.504,0.452,140.004,4zQVpqDRrXz4RMPmhkXJQl,173467
0.59,0.826,-6.67,0.112,0.00717,0.00531,0.322,0.216,129.993,67P1qtCjM28plAzyVamE51,336292
0.459,0.87,-7.698,0.0454,0.00325,0.275,0.082,0.0688,136.004,3JMjym8WMOBbH1MAmx5KLw,348867
0.619,0.82,-8.173,0.152,0.00674,0.0108,0.32,0.174,136.013,61vkxMaIsVXJCnqIDr0gsD,352436
0.547,0.712,-7.79,0.0317,0.00731,0.723,0.242,0.584,131.989,35ny0toS0hpvfKv8P16Bsx,216760
0.699,0.839,-5.353,0.0481,0.0483,0.655,0.0897,0.264,128.026,0vZCG0H9KhtU7K8MEUVAoV,236706
0.587,0.92,-7.604,0.0494,0.000718,0.271,0.598,0.517,129.998,6VfjBgJ4SpfeilxSdMMECN,528865
0.623,0.973,-6.102,0.0933,0.00385,0.881,0.0944,0.238,137.016,0YWPaju1HwzKUroXdnbodt,543480
0.799,0.866,-8.765,0.069,0.0184,0.257,0.0702,0.655,135.006,54DnLPZSODPESRsHtJFAxZ,442267
0.56,0.968,-3.297,0.0447,0.000143,0.745,0.076,0.0387,127.97,5UmRC0VlUTgzjvM4PPovOT,413120
0.512,0.868,-10.05,0.0547,0.0107,0.822,0.341,0.213,128.582,6s7hpnwKcBb7NYrbKsdILL,562997
0.653,0.918,-7.143,0.0492,0.0039,0.89,0.727,0.511,132.01,7ecaXfA0nJPCnSSbpcpMp0,403636
0.294,0.443,-15.41,0.063,0.895,0.953,0.102,0.102,135.279,29CO5ZEqcKECcvGGrtDTcD,128467
0.598,0.876,-6.319,0.0412,0.038,0.614,0.0975,0.249,132.011,53m19DTHRJvv1ZDLrITX4G,342400
0.511,0.875,-9.167,0.0489,0.00019,0.885,0.352,0.54,139.974,63gqLGbDUTGXexwgzfrQxz,247360
0.533,0.753,-9.243,0.0424,0.00044,0.439,0.0649,0.767,134.997,6FyRffDfn46hL8DWbm676O,478913
0.582,0.878,-3.595,0.0487,0.0172,0.0,0.248,0.35,127.945,5NYejXf1mwigePilCGLjdM,189375
0.525,0.973,-5.818,0.295,0.0563,0.000414,0.0967,0.0397,134.965,7iMq0lWMfc5sAGElCGtdEM,194222
0.574,0.694,-7.8,0.0277,1.42e-05,0.782,0.499,0.542,131.999,6K9ZHB9fzaD8Kglc8IXju3,534465
0.559,0.886,-6.815,0.0549,0.000164,0.633,0.156,0.163,128.999,3NryeVnXIviHGpi9FzH2Uk,217431
0.438,0.876,-7.548,0.0606,0.00464,0.657,0.189,0.247,132.802,1MIDKiNorEQzwr11DU1qnH,531853
0.579,0.758,-10.079,0.0405,0.000655,0.818,0.124,0.125,132.023,68QzAi124uBxFRpKPTwTvN,573080
0.662,0.861,-9.212,0.045,0.00101,0.892,0.095,0.127,133.997,5l3NHrCjEUDMuCstLrtBrl,423484
0.778,0.709,-7.752,0.0532,0.00424,0.00273,0.748,0.337,128.01,6Zw3tJS2U6GIUcq52ZtLQF,401622
0.74,0.655,-9.09,0.119,0.0525,0.11,0.375,0.426,131.993,028UPP5fCK2wV7eOmC4aAh,515809
0.653,0.677,-7.307,0.0523,0.0166,0.015,0.0937,0.444,131.971,6F631Kh798vcEys7LS40RY,228761
0.786,0.505,-8.585,0.0678,0.00226,0.658,0.255,0.399,129.974,2JNthKhrYLqd121phy9HLy,602893
0.636,0.919,-5.245,0.0604,0.00478,0.803,0.29,0.615,131.982,0m9WTzNCSNndrIVCqon02m,440885
0.618,0.933,-6.419,0.0464,0.000998,0.853,0.323,0.683,136.005,3FUVoETgAZCW56PmBW9ydP,224627
0.472,0.905,-6.852,0.0335,0.000738,0.385,0.121,0.32,137.995,6tbAf4HSrbfHBTc45y9p6B,450960
0.471,0.789,-5.975,0.0397,0.000475,0.706,0.649,0.394,131.999,0x2ChxTtiOfkqvGCyD1Q9I,405909
0.677,0.673,-9.474,0.0627,0.0114,0.887,0.191,0.0381,131.989,4NjsAM6hvtFM7ag7okJg27,448000
0.526,0.857,-8.682,0.0366,0.000101,0.852,0.756,0.41,137.998,5zFJb69VPsRkruKuSwObuY,526107
0.55,0.799,-6.747,0.0307,0.0649,0.362,0.0579,0.336,131.99,5TJpWBJQLCVBybibpJPqG9,334733
0.736,0.634,-10.434,0.16,0.00559,0.269,0.411,0.277,134.932,7AT0v4eUCzDoO1nVTTDe7R,422259
0.481,0.528,-11.747,0.0322,0.000171,0.862,0.106,0.0814,136.977,1hLQy9QANBQKYOumW9R4F3,451147
0.687,0.737,-8.948,0.0359,0.0111,0.784,0.121,0.379,127.992,0w7zJXRFuVFVlf9EV6gQyW,340947
0.428,0.871,-5.597,0.0558,0.0239,3.7e-05,0.0776,0.322,128.012,09iWTCJtS9VRFjj8c5DK2G,212867
0.623,0.845,-9.082,0.0508,0.016,0.864,0.0862,0.369,134.978,20LC5YW6gFHtdRDOHssCOL,546707
0.63,0.892,-5.122,0.041,0.0105,0.0069,0.144,0.557,130.012,2zM1zEjv2JX1qTmSDeB8IL,235025
0.79,0.91,-9.196,0.0508,0.000555,0.893,0.0457,0.843,135.096,4OGrLEjSTGoc0dSNE49w49,346467
0.63,0.662,-6.788,0.0399,0.000258,0.789,0.123,0.246,138.015,1bhTOcEFjvg5j1dHw9uUCx,521975
0.802,0.879,-7.725,0.0479,0.0322,0.397,0.069,0.688,128.015,1Wg3Kt7hMlIoDyeTHRBQcw,513794
0.536,0.802,-6.101,0.0312,0.391,0.000962,0.0945,0.0872,127.995,7Ai56gVVSczI2JcAM0fyGf,398280
0.453,0.796,-15.188,0.0468,0.0144,0.94,0.0991,0.15,135.198,0W0tn4jpmnwnPZxO8nyhS7,256133
0.686,0.964,-2.692,0.0611,0.00569,0.0539,0.0876,0.41,127.941,3o6hnYHQGPs59NUQmJ1bqh,217000
0.741,0.63,-7.336,0.0683,0.00181,0.244,0.235,0.139,134.01,1HQ8F9Js4hRqsFBm3MdKmN,467531
0.54,0.83,-9.125,0.0382,0.0188,0.92,0.401,0.0479,130.966,6oV7DXDU9sgNI7wtA1UgSj,303600
0.683,0.747,-9.317,0.0316,0.00223,0.453,0.0878,0.759,136.015,4gra40lPrX9jpYBwzmyOkx,483027
0.64,0.932,-6.536,0.0761,0.00102,0.388,0.356,0.293,134.988,6hfYhXhG4tVQ8Lj2gJBEwQ,437000
0.673,0.795,-8.033,0.0433,0.00806,0.848,0.563,0.478,131.006,28HWJ5EIUR1ru3QT6JuGmx,200563
0.595,0.769,-6.601,0.0287,0.000683,0.315,0.0986,0.309,131.986,3TZYbWw6rZ8XJlsL8wQ8fc,306573
0.556,0.885,-4.045,0.0321,0.00786,1.95e-06,0.138,0.771,125.997,5kwAIpUBwhmiBpsJlcMgO1,198133
0.528,0.911,-8.903,0.0428,0.00013,0.206,0.243,0.696,130.015,6AqvXwvyOHquzdNkiAQ1p8,593853
0.562,0.841,-8.163,0.0353,0.00481,0.74,0.0799,0.292,138.004,0RLqCructOCaNS2gpO5uJI,478040
