danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.381,0.064,-18.92,0.0442,0.85,5.58e-05,0.126,0.369,157.242,2OrzYoxgNmy9mlbREbDbkD,330867
0.444,0.786,-10.887,0.0362,0.0584,0.862,0.209,0.0925,106.016,0M9vdAMu8Ac1AB1H1mpvBx,308507
0.472,0.205,-13.633,0.035,0.501,0.042,0.2,0.0884,85.924,5cl6aHzcFMep2kgEaqSrt7,319867
0.647,0.388,-10.48,0.0478,0.189,0.00216,0.176,0.237,80.009,690VYCFMFmzfEwVG2GUEzO,294187
0.264,0.491,-5.534,0.0577,0.00405,0.0485,0.234,0.0385,79.98,3aK3iIvgT5FQgKAjLunrMN,354640
0.292,0.499,-8.743,0.0281,0.564,0.881,0.116,0.0399,74.031,5Sn9mQLZ2cG9HRGwWOSQSA,318546
0.279,0.595,-16.479,0.0618,0.00353,0.858,0.152,0.134,162.949,7BLQORGMqwt4AzbylvUrow,458307
0.897,0.626,-8.822,0.045,0.418,0.712,0.112,0.736,127.249,0wsxRNxh42qTD7QHSuy31D,156362
0.727,0.666,-9.777,0.0334,0.0371,0.128,0.157,0.564,129.995,2Tz5THgkMOQeaW6DlqAlIa,356267
0.715,0.807,-10.402,0.0515,0.0294,0.828,0.442,0.458,104.016,0rOaRWuB9sml2q60FuB0I8,249360
0.639,0.37,-10.883,0.0723,0.504,0.587,0.117,0.707,80.152,7h14W1uQK7sjpVI1oVTobt,293200
0.751,0.506,-10.79,0.0508,0.455,0.838,0.113,0.532,153.902,0FlPfR32c1tHdV3Irp9sfb,349346
0.601,0.558,-8.353,0.0441,0.32,0.375,0.0732,0.416,92.948,1mRTSIs40qa2L7omBzQd1u,229520
0.775,0.785,-5.563,0.0434,0.385,0.824,0.645,0.81,90.119,6ZOeDXutLpSGqA1sSL6LrL,269987
0.699,0.908,-6.72,0.237,0.13,0.000194,0.34,0.692,171.87,6ifNuuYjiS5NdMabN4Jvrs,232533
0.0792,0.0658,-20.873,0.0407,0.959,0.954,0.0963,0.0326,73.689,1dtopPTImklPjR62qufChh,166133
0.76,0.767,-7.586,0.0482,0.00344,0.759,0.519,0.816,123.324,3AgEOAo3dvkjtsBmeTGRjg,454600
0.626,0.491,-9.535,0.0277,0.255,0.786,0.097,0.158,109.983,7lIOfxpZxLLDrv9x38eWyz,368827
0.465,0.844,-4.352,0.0379,0.00109,0.399,0.0865,0.155,170.358,5drK2kTE2mrUdV33iHWyrx,223733
0.518,0.537,-7.96,0.0302,0.658,0.903,0.0922,0.349,170.013,0YlX5mNFpDR52RNX7byz7c,242960
0.614,0.574,-7.137,0.0278,0.149,0.282,0.191,0.647,77.969,1znvD9Y4EZ9DysBF28Df3R,197000
0.724,0.907,-2.806,0.275,0.0489,0.0,0.0969,0.301,175.516,75zq74gkUVFsAB4sRZR4LF,214600
0.461,0.847,-2.398,0.0508,0.138,3.04e-05,0.113,0.18,76.763,1DB8s1L4z25jcRw88815ko,279267
0.508,0.607,-8.515,0.0301,0.0175,0.222,0.0978,0.19,167.015,0tWWrwMKr6B7ThgmIjJN1f,282278
0.478,0.841,-5.782,0.0303,0.00559,0.00139,0.169,0.819,171.54,7i8W6NWXHHIqkjHSou5EBF,259133
0.5,0.484,-13.643,0.0336,0.00372,0.85,0.228,0.56,154.025,4v0NYoEQja0L61fCNqpmGB,371240
0.791,0.34,-11.394,0.0355,0.584,0.0965,0.111,0.354,113.977,2lx8FdhoDmsVvapFdyAvNw,191072
0.692,0.541,-12.569,0.0556,0.23,0.889,0.149,0.884,80.961,6LZW8gcxNJFAQsoGnW8qIX,379533
0.658,0.417,-12.837,0.124,0.263,0.0509,0.103,0.481,139.018,46TSL5BjUjqIsjp1QGWZxJ,347040
0.721,0.867,-7.375,0.0346,0.0839,0.898,0.0959,0.533,97.002,6JeLDcXnYLTr9ygceSv5KQ,134840
0.333,0.194,-16.427,0.0357,0.919,0.929,0.0908,0.0554,122.128,0lNs99F0aS5rj3SpqXOWYv,353067
0.781,0.975,-5.253,0.035,0.0525,0.911,0.342,0.816,102.992,7zhkbU7kuJ1bZckANbaTEe,304027
0.703,0.929,-6.142,0.211,0.0127,0.191,0.279,0.6,84.864,1s3rwO3RQ8AeHhQVnUxOgh,142893
0.722,0.339,-15.279,0.0321,0.586,0.216,0.0668,0.746,100.136,2uPkpW06AufoVRPtjzIeZk,293427
0.787,0.54,-7.904,0.0554,0.0112,0.277,0.583,0.38,132.032,3rxuNTK1rPbg488UVE6eW0,292440
0.672,0.606,-8.619,0.0323,0.301,0.26,0.11,0.291,88.487,2n6gQZqhqMURh5MXcqDIh6,251267
0.68,0.583,-17.359,0.0626,0.00129,0.736,0.136,0.282,97.451,5tKBUZoQ54E7HdNaY0FiuL,322560
0.56,0.913,-5.234,0.0353,0.502,0.582,0.295,0.414,126.996,0ig9qLenoEShtGuX1lSb47,387787
0.671,0.256,-13.892,0.0401,0.55,0.282,0.184,0.414,104.602,5hYz8SZEEx3gJwSekj3t8u,398467
0.604,0.63,-7.805,0.0464,0.095,6.16e-05,0.217,0.225,139.95,3bt8oOqjFtoeo243jsNmf3,280400
0.536,0.497,-8.761,0.0342,0.623,7.13e-05,0.148,0.144,140.117,5jvytxy60U76VVWn60Nfbq,204539
0.808,0.837,-6.583,0.0459,0.238,0.862,0.0578,0.654,92.002,6k5VMHrwv7mgPpkQSRQtQr,288827
0.543,0.511,-12.737,0.0428,0.0395,0.869,0.184,0.321,94.749,2aAWnsu5KdnfVD76HSvlDx,473333
0.803,0.785,-6.816,0.218,0.391,1.24e-05,0.19,0.691,90.256,6Z3GJUrYZPkHApmB0MKLQX,227813
0.524,0.443,-15.092,0.0387,0.333,0.911,0.107,0.335,86.998,363BOhULdeiNn9cMrdEGQ8,261851
0.879,0.822,-5.37,0.0428,0.169,0.000119,0.0603,0.886,121.835,4UxYhEeF9OUbEhaarph7u3,200840
0.523,0.408,-9.563,0.0369,0.896,0.134,0.098,0.157,134.179,0J3bnjae0jkfUpbdHr81Sr,237413
0.644,0.905,-6.352,0.0568,0.00565,0.673,0.637,0.964,148.961,6hyfOjeKQijysoLlNF4IME,204027
0.658,0.743,-6.059,0.115,0.136,0.866,0.085,0.567,168.166,41fWVJ6noL984pMb7Oj4xL,219360
0.722,0.728,-6.693,0.0866,0.276,0.0661,0.139,0.563,79.983,4HsOnvLjiugAuhmmlJDEeQ,211280
0.745,0.509,-10.0,0.0395,0.567,0.524,0.661,0.486,99.493,0oBV4QAfY26kcYqRLRv5ST,276573
0.788,0.478,-9.302,0.0499,0.1,0.000263,0.258,0.417,101.002,68ki0UwrhsRHDaHgwBq3K7,164707
0.723,0.453,-9.499,0.0328,0.0447,0.481,0.0827,0.219,133.024,77nqeciqtESjYs3iegZCfs,248059
0.736,0.604,-11.463,0.0437,0.312,0.145,0.0942,0.187,89.705,33ax1EpgFmlDwy3YovCGC9,144973
0.682,0.314,-13.991,0.0302,0.382,0.794,0.124,0.205,90.012,4AtII0HEFVKuDslLFdwtLa,278027
