danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.721,0.9,-9.195,0.0322,0.0135,0.000204,0.307,0.736,135.041,1aFuXmfz6bYOvUDOLZiqys,346040
0.736,0.802,-3.653,0.191,0.187,0.0,0.0747,0.769,123.02,0HkUwb2pX7RiBuWp1hhbhH,271047
0.78,0.942,-8.385,0.149,0.458,3.92e-06,0.0236,0.757,103.979,5gJjYGOIJxj9UbFKU2YNpE,193829
0.674,0.903,-4.211,0.119,0.153,0.0,0.0654,0.772,126.998,6uYdbRkoduTPm3VO6FZ5pE,224549
0.451,0.451,-10.21,0.0993,0.627,1.72e-06,0.294,0.542,76.943,07ZQcQlbituG3sDXGKu4p3,290325
0.714,0.916,-2.658,0.0723,0.354,3.5e-06,0.068,0.843,153.934,1nDG4Tj2hXcsvkQWeillqP,256018
0.668,0.829,-2.748,0.0334,0.00572,0.0,0.358,0.649,127.009,6JH56gZC7EJDcoxabVcWVL,192276
0.506,0.71,-6.564,0.0348,0.747,5.78e-05,0.13,0.512,108.973,1RMnFV3jidSADH1ZSF8EAr,360327
0.797,0.712,-5.807,0.0521,0.0856,0.0,0.0731,0.673,130.019,03U8Kpek03vWY4HG99aVEK,235280
0.763,0.73,-6.142,0.206,0.0354,0.0,0.332,0.604,113.974,50liMEJ7Iq0iQUDrcD75Pw,193133
0.578,0.946,-3.85,0.0482,0.00225,0.00412,0.0966,0.588,126.092,1c478uMN61yF2JOXXEtsdw,218190
0.597,0.832,-5.833,0.112,0.063,1.87e-05,0.21,0.709,179.087,2PzILjPsqUGf0U5LNQGKK2,224888
0.812,0.845,-4.455,0.0518,0.015,1.63e-06,0.216,0.851,131.031,6S2d2cLXOgHcEgqzSzOBp3,260493
0.763,0.874,-4.266,0.0593,0.0129,4.98e-05,0.248,0.855,133.964,1f0SLoB5AXWtGOAwPvwTLy,221760
0.702,0.883,-5.886,0.0412,0.103,3.93e-06,0.0531,0.929,144.993,6oFKnqoauHLoR2liTCp4Os,206467
0.599,0.593,-4.814,0.0364,0.735,0.0,0.238,0.428,144.044,7emhTrbatblzEUrH78LJeL,229133
0.677,0.866,-6.403,0.0392,0.00165,0.662,0.412,0.0386,128.005,6JEntXLt4z98CcDtIH9sU7,303827
0.818,0.67,-4.451,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,6u0oHknFYrnUd42A6rvFly,235382
0.604,0.884,-3.972,0.0464,0.153,2.49e-06,0.0617,0.767,107.546,3ps9amJ8VfgTZcbrhtBd4o,273213
0.418,0.674,-3.579,0.0459,0.575,8.94e-05,0.117,0.636,172.195,3tFYj8tV2Ui6lNS3NScIoI,306187
0.608,0.55,-7.004,0.0327,0.662,0.0,0.0726,0.388,113.037,6vm0UGaNmYsahNDt1ZdhSX,230060
0.353,0.617,-6.964,0.0408,0.722,1.07e-06,0.307,0.705,153.396,3TvGv2j1pqC06niLgUDa2y,421240
0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,6nek1Nin9q48AVZcWs9e9D,278719
0.788,0.655,-12.452,0.112,0.0991,2.24e-06,0.148,0.922,97.065,4aszqTKbVDgtoTq2coBT2t,271427
0.83,0.795,-6.363,0.0481,0.12,0.0,0.358,0.945,130.004,1O8WpKURk9MawnBVJTjfxN,212560
0.225,0.438,-7.712,0.0347,0.317,0.0,0.0907,0.359,82.337,3kCyNwqKum1VT53fQcSpfa,247722
0.592,0.582,-5.728,0.0492,0.555,0.000116,0.0738,0.711,150.064,7Kxc4LSWDtgSdu70nVsBcg,258213
0.547,0.205,-11.194,0.0305,0.932,7.43e-05,0.0977,0.299,97.961,2yM45OSoRjzbPQJ1hXFuov,198060
0.69,0.578,-7.436,0.0929,0.167,0.0,0.305,0.416,99.961,3G6hD9B2ZHOsgf4WfNu7X1,193059
0.562,0.346,-13.562,0.0317,0.34,3.21e-05,0.348,0.444,119.875,0LQzDa0P1HtdRwNuKNZOGC,348893
0.71,0.553,-5.209,0.0751,0.23,0.0,0.0555,0.785,102.917,5EkbLi5GqMfO9ei6hJi4K7,257231
0.75,0.796,-6.67,0.0328,0.00218,0.000293,0.12,0.747,129.975,5qB8UL6OFrivhzYHoTqA05,230087
0.494,0.735,-3.359,0.0312,0.000327,0.00277,0.2,0.178,114.447,6vB3dkbTERT1L4vXm5IZJn,240440
0.488,0.884,-4.716,0.0567,0.191,0.0,0.0806,0.808,183.889,1TxvnXbTRmYwtlkFEn8Rpb,219873
0.745,0.913,-3.362,0.0494,0.449,0.0,0.586,0.759,118.032,4gXX2ayvtMf4Tc5DCSHFTH,312268
0.636,0.498,-9.553,0.0328,0.702,2.51e-06,0.248,0.715,96.41,7gTbqA7kOItyMAUYNaAHjo,218760
0.786,0.881,-6.596,0.0515,0.0209,2.22e-05,0.357,0.564,124.033,7G2ahmH7Ubb8dcSI3T3stL,258485
0.633,0.0519,-21.107,0.0365,0.562,0.0,0.097,0.204,76.034,1fu5IQSRgPxJL2OTP7FVLW,300747
0.724,0.819,-9.896,0.0582,0.293,0.00016,0.053,0.711,116.6,5KTZB3DpQhDYINPbXf75AS,271400
0.795,0.523,-7.165,0.0423,0.061,0.0,0.0914,0.855,133.024,5dNfHmqgr128gMY2tc5CeJ,186067
0.725,0.68,-5.465,0.0306,0.162,2.13e-06,0.158,0.76,119.939,2wqaekenSQZm7hxQOYt8oE,247520
0.633,0.634,-12.115,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd,245493
0.676,0.534,-6.901,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,37jTPJgwCCmIGMPB45jrPV,338413
0.591,0.938,-4.661,0.0562,0.16,0.000141,0.111,0.742,93.998,72I7ANZdudmL9Ko60e6eVg,244454
