danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.646,0.94,-2.856,0.0838,0.0209,0.0,0.0691,0.704,129.011,4nVyHATevhl5RC6Qmoko5H,231787
0.676,0.948,-2.557,0.0628,0.0509,8.19e-06,0.384,0.731,136.027,7bZsx7Zif6FIhrcZrh0LVm,221227
0.58,0.984,-5.551,0.295,0.0007,0.11,0.448,0.171,152.523,5vfhsKmvC0QxbAWbn4AhPZ,236893
0.692,0.728,-5.13,0.171,0.0131,0.0,0.329,0.642,127.995,2FHdoPa5aWaAmjuf362KJ0,243787
0.562,0.882,-4.356,0.0604,0.0034,0.124,0.55,0.694,125.985,6gDAYjiH3pYyD91SWsxViF,240000
0.63,0.605,-8.951,0.0414,0.484,9.29e-05,0.298,0.266,115.277,5iSEsR6NKjlC9SrIJkyL3k,295293
0.467,0.815,-7.929,0.0524,0.0198,1.23e-06,0.118,0.335,140.047,75hLNJfiXV5k2YGrbGEW51,185080
0.697,0.861,-4.389,0.144,0.00482,1.83e-06,0.41,0.703,127.023,0mtPNQl5vePVwiI9Vykp7L,228200
0.56,0.872,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05,1kPpge9JDLpcj15qgrPbYX,205933
0.457,0.948,-3.364,0.0354,0.0191,0.0,0.0536,0.878,148.0,0i5el041vd6nxrGEU8QRxy,208960
0.674,0.899,-5.115,0.193,0.011,0.0,0.327,0.604,95.999,01oPNCtTniFT3YM4K3ksTf,191600
0.635,0.926,-5.589,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,6KuHjfXHkfnIjdmcIvt9r0,189840
0.434,0.922,-5.938,0.0538,0.000441,0.00019,0.0605,0.178,175.008,1d0YPdf2S9muoxcxLKzfJC,250364
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.415,0.926,-1.304,0.374,0.253,0.0,0.256,0.542,158.423,6HSqyfGnsHYw9MmIpa9zlZ,357347
0.69,0.636,-6.028,0.0457,0.0203,0.0,0.147,0.799,96.002,7GCElX2eJA5t0AFWw3WzKn,204285
0.622,0.807,-6.752,0.408,0.103,0.0,0.306,0.892,174.06,6x4tKaOzfNJpEJHySoiJcs,220293
0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,1c8gk2PeTE04A1pIDH9YMk,228093
0.716,0.811,-7.503,0.212,0.0328,0.000517,0.0649,0.786,118.005,3FPUFltTjg6ClUL2wr9ux6,223987
0.602,0.691,-5.197,0.051,0.0548,0.0,0.144,0.206,127.967,18VfHIPaCo0s6FTi1Fnp6T,222307
0.392,0.954,-4.097,0.372,0.000408,0.00097,0.0653,0.224,76.05,3V4LTMmu764I724y0ToD2d,215720
0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,0v1XpBHnsbkCn7iJ9Ucr1l,224493
0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269,45Ia1U4KtIjAPPU7Wv1Sea,211933
0.643,0.679,-6.224,0.0315,0.0349,0.055,0.777,0.59,127.973,0y8EUU2h9emwmuyLQyQWZP,200089
0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,0ntQJM78wzOLVeCUAW7Y45,203347
0.674,0.81,-5.117,0.0378,0.0923,4.74e-05,0.11,0.391,94.995,1Xsxp1SEOxuMzjrFZhtw8u,196867
0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,55h7vJchibLdUkxdlX3fK7,178560
0.693,0.497,-7.316,0.119,0.679,0.0,0.258,0.473,81.308,54flyrjcdnQdco7300avMJ,122067
0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,0SiywuOBRcynK0uKGWdCnn,294573
0.675,0.862,-4.614,0.0253,0.0165,0.000427,0.169,0.498,129.967,77FULy278MulVvGWS8BfK7,191000
0.757,0.547,-4.573,0.0355,0.0115,0.0,0.0445,0.793,126.977,6MAdEUilV2p9RQUqE5bMAK,231693
0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,67awxiNHNyjMXhVgsHuIrs,213733
0.456,0.891,-7.004,0.106,0.00266,7.99e-06,0.281,0.385,190.024,1RwwmiVtLAtPmxAqKVfwgG,204400
0.395,0.955,-3.352,0.12,0.0176,0.0,0.585,0.283,168.005,2WhDg8UWljoAl8oNh8uZbJ,181307
0.693,0.849,-3.259,0.189,0.0668,0.0,0.69,0.599,128.971,5YrMJScQHZR6624DNnyp5p,245920
0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,3VqHuw0wFlIHcIPWkhIbdQ,331560
0.705,0.794,-2.266,0.0593,0.0488,0.0,0.575,0.412,127.961,6JOlNkT0QdHeZB0wPbI9IR,199680
0.875,0.551,-6.744,0.317,0.0488,0.00728,0.0537,0.861,146.092,5Ssv6DaKrW0HczVqx6zXdl,200613
0.707,0.924,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,1gihuPhrLraKYrJMAEONyc,206413
0.457,0.757,-5.177,0.032,0.0206,0.0,0.146,0.417,102.961,2ihCaVdNZmnHZWt0fvAM7B,266600
