danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.714,0.506,-9.549,0.0386,0.383,0.305,0.287,0.428,80.486,1rXrCGNgeUKVjJGczHL5bG,236533
0.479,0.967,-2.445,0.0431,0.00697,0.0,0.217,0.719,134.743,5aUwnYLjQD7OfLMJDWSnsT,213080
0.484,0.905,-3.506,0.0481,0.146,1.13e-06,0.24,0.486,125.414,60QLLec3yKDwloXCyummPy,220920
0.496,0.837,-3.682,0.0332,0.0612,0.0,0.267,0.704,169.995,5q2qiluA3VVlCJVGG5gYVX,211533
0.662,0.682,-7.833,0.0285,0.178,0.000232,0.335,0.624,114.067,4Jo4w96boe7PArUYEQSyiD,239240
0.729,0.865,-6.006,0.05,0.0858,0.0,0.0764,0.709,95.003,0FGtGmz8SVEywhUqNFYWsQ,259813
0.565,0.902,-7.579,0.0725,0.0132,0.0,0.0561,0.544,133.11,2aC8wwfrM0YeTAzzk8hxqC,273573
0.544,0.914,-4.337,0.063,0.0113,0.0,0.485,0.699,145.09,5tbZBnWJAw72ZRjmMsrh0D,246187
0.545,0.851,-3.569,0.0935,0.0572,0.0,0.403,0.787,179.947,1khoSOxg6VHzvRlVkczrbl,240833
0.526,0.763,-12.663,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,20CNpCKq1oTdvekXaboyeq,215160
0.462,0.836,-5.766,0.0621,0.00517,0.0,0.18,0.671,168.766,1QFh8OH1e78dGd3VyJZCAC,155973
0.724,0.523,-11.139,0.116,0.0745,0.703,0.0811,0.965,185.075,4xiyq1iRdsxuU1BPUJ490Z,203267
0.523,0.769,-5.855,0.0269,0.04,0.0,0.136,0.876,136.162,0WQiDwKJclirSYG9v5tayI,244587
0.512,0.925,-6.654,0.048,0.0998,0.000465,0.112,0.162,94.258,64otvDsAAAmLVTSEM2FYSW,231240
0.355,0.918,-3.597,0.0676,0.0308,1.09e-05,0.0954,0.248,163.923,3QO6QzexHTCX3D28zuxUAH,290187
0.729,0.324,-13.017,0.0393,0.195,0.0,0.101,0.679,116.855,27m1soUndRthrAA1ediOXn,195267
0.562,0.383,-15.474,0.0304,0.143,0.124,0.138,0.599,93.764,4pC4usqAN2930VJNKoA79Q,206760
0.331,0.885,-6.606,0.0923,0.205,0.0,0.123,0.589,175.293,6L4fEE9awoUnSEy1bmQebb,236960
0.39,0.878,-4.652,0.036,4.03e-05,0.00438,0.0789,0.657,104.069,7bedqIPLUWtyYb3sWxtt2K,284747
0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,4Hff1IjRbLGeLgFgxvHflk,245000
0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,0DiWol3AO6WpXZgp0goxAV,320357
0.437,0.652,-6.152,0.0288,0.0011,0.614,0.111,0.211,111.888,6INLpBxo9F5QMer04VXEnd,298467
0.447,0.9,-6.741,0.0578,0.00114,0.00596,0.47,0.39,135.861,0dcJ1SsbTmAvC3ZVvUYMIy,199733
0.454,0.91,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,7o2CTH4ctstm8TNelqjb51,354520
0.478,0.774,-6.977,0.0292,0.000265,0.585,0.191,0.429,112.577,5j6ZZwA9BnxZi5Bk0Ng4jB,370373
0.127,0.92,-2.972,0.0702,0.00451,5.22e-06,0.347,0.437,171.796,49wHw918RRP4TlZNWzMpmL,179053
0.438,0.94,-3.249,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,4iG2gAwKXsOcijVaVXzRPW,261000
0.445,0.872,-6.294,0.0602,0.00402,0.00909,0.047,0.834,162.407,5Q7cE6wGHMehLFo2ppkk5D,208360
0.715,0.97,-2.206,0.0648,0.0644,0.000156,0.205,0.963,79.504,3AszgPDZd9q0DpDFt4HFBy,239240
0.933,0.82,-4.339,0.27,0.0277,4.88e-06,0.133,0.271,104.76,6cR8iK8mp72ZzLbhEC83km,224800
0.745,0.466,-7.62,0.0864,0.00666,0.35,0.272,0.303,123.889,3m6KkYKdnbffMpGd9Pm9FP,231920
0.551,0.821,-4.489,0.0539,0.0102,0.0438,0.153,0.842,174.923,5dKBaysNJtfpyNTRa5lqDb,137760
0.709,0.807,-9.831,0.0616,0.0861,0.478,0.609,0.912,125.998,0xmfflYlysM94u8bsP3wno,263840
0.471,0.75,-10.877,0.089,0.0625,0.00221,0.323,0.61,159.038,1Kvjmr2oqZjzhryoEKzqij,203053
0.412,0.844,-5.613,0.037,0.00214,0.0,0.134,0.459,174.452,79RUMZfMNMpqZnswovvTqv,258907
0.66,0.629,-12.359,0.0387,0.432,7.3e-05,0.172,0.324,111.926,2v7ywbUzCgcVohHaKUcacV,340867
0.626,0.816,-10.593,0.131,0.237,1.8e-06,0.104,0.798,105.307,6vxHp3CDNo0afgKGp2yi1E,164813
0.403,0.495,-6.888,0.0312,0.387,8.03e-06,0.147,0.38,132.912,2oF7FZHIJbzjeEXZ3D0Ku4,217747
