danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.855,0.587,-4.589,0.0336,0.0505,0.00714,0.105,0.64,111.97,1vxw6aYJls2oq3gW0DujAo,177466
0.617,0.717,-7.858,0.153,0.00564,0.0,0.408,0.49,103.992,4y6c5vMzKKM3KsMbHtjKx5,311867
0.719,0.967,-2.435,0.0552,0.0588,0.000249,0.206,0.964,79.505,5WQ1hIc5d2EVbRQ8qsj8Uh,235213
0.794,0.798,-5.639,0.0366,0.429,1.16e-05,0.118,0.265,100.338,2u2udGmop1z67EPpr91km7,319307
0.711,0.924,-3.398,0.0282,0.0156,0.0,0.114,0.912,108.033,1qEHgdFqUxFebMPk8s2HLY,248640
0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,0mUyMawtxj1CJ76kn9gIZK,233640
0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093
0.581,0.827,-4.566,0.141,0.0101,0.0,0.0522,0.549,174.013,5i66xrvSh1MjjyDd6zcwgj,275987
0.597,0.837,-6.518,0.375,0.00427,0.00115,0.839,0.447,126.342,1xNcBAoUw8Hz6LqK2jt4Ff,171360
0.638,0.656,-5.886,0.0357,0.188,0.0,0.146,0.225,104.036,7wZUrN8oemZfsEd1CGkbXE,262467
0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96,4kLLWz7srcuLKA7Et40PQR,289133
0.649,0.647,-7.695,0.0452,0.0039,0.161,0.0686,0.405,125.02,3850dYVgOFIXJh5U4BFEWH,337733
0.795,0.523,-7.165,0.0423,0.061,0.0,0.0914,0.855,133.024,5dNfHmqgr128gMY2tc5CeJ,186067
0.766,0.563,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007,3E7ZwUMJFqpsDOJzEkBrQ7,230640
0.852,0.602,-4.594,0.0659,0.0481,0.0,0.331,0.66,94.749,3ZiCDLNyq73LLlbn0oIvTR,227560
0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,5fVZC9GiM4e8vu99W0Xf6J,262533
0.962,0.66,-5.096,0.061,0.0485,0.0,0.076,0.814,126.016,3EDS89HeAhHiZKlljciK0a,218093
0.762,0.661,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009,1hGy2eLcmC8eKx7qr1tOqx,225373
0.939,0.752,-5.138,0.0495,0.325,0.0,0.0902,0.93,118.975,7yvkr4oNZWdnEZylteUjfS,212640
0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,196160
