danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093
0.813,0.701,-6.508,0.0701,0.489,0.00116,0.294,0.855,104.019,1BwrMGGhPA6GarWIYaFrW8,278867
0.656,0.877,-3.231,0.0342,0.345,0.0,0.349,0.894,105.018,3QHMxEOAGD51PDlbFPHLyJ,252347
0.653,0.524,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B,160191
0.658,0.738,-6.717,0.0315,0.747,0.00605,0.0624,0.963,123.261,73uEbChpBB29ttwVnwuNVE,274019
0.852,0.797,-6.543,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,228BxWXUYQPJrJYHDLOHkj,192600
0.621,0.675,-5.941,0.0305,0.295,0.0,0.174,0.747,125.122,0UoAcG1vxtFjes7rZz8Js0,250920
0.731,0.573,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,47EiUVwUp4C9fGccaPuUCS,205090
0.751,0.731,-4.419,0.0308,0.0838,0.0,0.0556,0.973,97.007,2EM9zpAc7PVeoAydmbfVIL,216707
0.718,0.809,-10.201,0.0511,0.0893,0.0,0.183,0.964,100.848,4tXR895KKljrC2VptgyEhJ,215493
0.815,0.856,-3.825,0.122,0.4,8.34e-05,0.244,0.872,91.995,5YJ4BVvTFmVCxUyhKejHfR,151667
0.78,0.877,-3.683,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,1uKjQoh8JZj9ryuYRhpd7E,191973
0.655,0.797,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,6habFhsOp2NvshLv26DqMb,229360
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773
0.757,0.632,-6.83,0.0549,0.499,0.0,0.0723,0.742,122.936,5PycBIeabfvX3n9ILG7Vrv,235133
0.78,0.719,-3.613,0.0506,0.302,0.000196,0.0931,0.336,127.962,3rdAz1fbUfZxYgaCviYhRo,199604
0.74,0.783,-5.367,0.0427,0.0297,0.000308,0.123,0.812,100.011,5BSclXJTa9B0iURhUjZo50,212893
0.816,0.538,-6.354,0.0617,0.0142,0.000496,0.099,0.156,97.054,3gE4eQH3K83Sght0ZLvuBK,210368
0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,1yoMvmasuxZfqHEipJhRbp,199112
0.804,0.56,-6.912,0.0397,0.416,0.0,0.0608,0.768,133.682,65H6t1WQBim6q93yM8fEwn,254720
0.473,0.657,-6.278,0.024,0.0454,2.41e-06,0.068,0.294,74.996,3hbTkJ0yFzHbawnKyhvTQj,224973
0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY,200960
0.648,0.846,-6.731,0.0424,0.199,4.23e-06,0.0803,0.815,160.075,0wQCKR9OFjYu5Kzrk7WivJ,343413
0.543,0.903,-6.658,0.039,0.0102,0.00585,0.0862,0.962,162.241,5EJ2THuhAapEIeQOtXUQ0x,263306
0.829,0.878,-5.951,0.101,0.0959,0.0,0.776,0.883,87.991,1q8NdCAQ9QUjpYiqzdd3mv,239307
0.425,0.954,-3.756,0.0476,0.00414,0.0,0.0555,0.933,178.043,0Ph6L4l8dYUuXFmb71Ajnd,243160
0.696,0.858,-5.155,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,4Xtlw8oXkIOvzV7crUBKeZ,188627
0.628,0.69,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,7qCAVkHWZkF44OzOUKf8Cr,205907
0.836,0.842,-5.233,0.105,0.285,0.0,0.277,0.757,94.946,7mY1dIaY9vY6Jrlrjg3dRn,186507
0.671,0.954,-1.87,0.13,0.0244,0.0,0.111,0.556,104.114,23WI5V2eD4EyGKxSl7Pyeq,247493
0.745,0.61,-6.725,0.0244,0.173,0.000626,0.147,0.476,95.033,3l1ZanpJ3jFQZMqATizqfE,286973
0.673,0.841,-3.564,0.0557,0.0683,0.0,0.0965,0.94,97.027,129lYDVKnWtlJc2PZJviuA,205373
0.827,0.781,-5.914,0.0502,0.188,0.000759,0.249,0.961,95.411,7DcJXd2xxVcohwehWahFJJ,302253
0.219,0.323,-12.211,0.0333,0.66,0.0,0.106,0.339,170.437,7aSxNjoVoAwNL7HDAKwGtC,248000
0.735,0.497,-8.467,0.0265,0.655,0.000354,0.104,0.571,116.12,6VWWU8EFSS7Xx1TZ830Paz,302493
0.872,0.786,-5.473,0.142,0.0348,0.0,0.0776,0.722,96.002,1kQqiC1rS1FiuVpeBKN0QN,172680
0.756,0.8,-5.158,0.0329,0.211,0.000724,0.0466,0.967,118.924,6xepovPqjvrkEw9Y5AMmTm,207467
0.672,0.453,-7.896,0.0557,0.269,2.44e-06,0.138,0.674,83.123,51dNexiESqcJLsGLrmg1Nv,267827
0.774,0.687,-4.818,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,4ipnJyDU3Lq15qBAYNqlqK,189440
0.56,0.544,-10.171,0.0465,0.342,0.0,0.203,0.347,149.695,28upjDakWVnHAgW2anm273,210187
0.513,0.831,-9.004,0.0383,0.55,0.0,0.336,0.963,148.837,0oPdaY4dXtc3ZsaG17V972,182067
0.396,0.496,-11.728,0.0356,0.833,0.00534,0.0996,0.679,165.647,5sbw5zIz9ck2pOEDXUR0QU,256653
0.817,0.733,-6.009,0.145,0.0152,4.31e-05,0.107,0.833,127.056,13plQdOoWSSXPRUSZc5FuM,237120
0.569,0.483,-7.111,0.0421,0.76,4.75e-05,0.106,0.624,96.502,47PiSg7z5qjUyEGKN4I1g7,273009
0.762,0.745,-7.426,0.0442,0.202,3.05e-05,0.042,0.804,143.965,2NsMwNWumJXCdTg2IZCLZ5,239227
0.723,0.777,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,32lm3769IRfcnrQV11LO4E,243413
0.619,0.876,-6.253,0.0538,0.342,0.0,0.0828,0.772,100.962,3T07pNAEVr9adeIG9i1ex4,267107
0.664,0.194,-15.487,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,3898C4AbdbptwYet6547e5,321827
0.82,0.937,-4.81,0.0549,0.135,0.000122,0.35,0.906,130.992,42nSaPdT6g3ZIMHmKLlP2p,239400
0.893,0.482,-4.779,0.0873,0.549,0.0164,0.0752,0.53,97.975,1B0BQaSRHxhI0AUlItY3LK,150027
0.438,0.442,-12.691,0.0419,0.446,0.0,0.544,0.161,125.62,0T7JubkdjBXNDVadRIq2ck,240227
0.745,0.844,-6.709,0.0609,0.0216,0.0,0.0617,0.829,125.042,4pmRDyDRRiZ5Pq7hm4WTpb,204907
0.609,0.923,-3.908,0.0338,0.16,4.73e-06,0.295,0.961,115.996,2pX4FpOgwItRVPPUFdRcxA,294987
0.274,0.171,-16.847,0.0326,0.456,0.0024,0.808,0.407,177.081,2TC4v9YiuQYk3Tk8RH7fV4,409467
0.923,0.768,-7.321,0.0674,0.119,0.0,0.0689,0.96,94.013,0Tl84qfow6Dv0PM60zoBhb,123960
0.632,0.75,-7.739,0.0358,0.162,1.64e-05,0.368,0.87,91.17,5ubqSAc9LxUS2CsMHcA4kF,184733
0.43,0.272,-15.526,0.04,0.716,3.87e-05,0.278,0.582,123.948,0kVOor973ijVqOBhYqvaE8,292573
0.748,0.835,-5.731,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,19ScoKGqnfUggyqOVQjsoH,212000
0.595,0.574,-7.411,0.11,0.789,9.53e-05,0.209,0.825,94.904,7aKs8kWKKau0SDgaeyZMAX,445080
0.684,0.746,-6.409,0.0296,0.159,4.58e-06,0.0874,0.662,112.237,5yMXpZhVnUAFT154F3MQ8G,225240
0.553,0.632,-4.837,0.0782,0.375,0.0,0.267,0.687,85.1,5A32KQZznC2HSqr9qzTl2N,309587
0.549,0.498,-9.203,0.0371,0.694,3.87e-05,0.109,0.575,95.345,5Uve0jm1RgxKWzdSvncBDO,626880
0.585,0.977,-3.57,0.0615,0.622,0.0,0.328,0.801,138.264,1GT0Q2ZTeKtIBueYKr4vhr,232880
0.528,0.383,-11.17,0.0258,0.376,0.0,0.11,0.46,89.089,5ySxlyvySBhIEvoO2xx7uT,328320
0.691,0.805,-6.81,0.0947,0.59,0.0,0.0975,0.866,142.503,1xuYajTJZh8zZrPRmUaagf,301427
0.811,0.88,-2.972,0.0628,0.254,0.00146,0.0475,0.915,124.12,7cpFmkNmh3MM0WqXPSbs9f,267000
0.585,0.624,-8.966,0.0746,0.00418,0.0229,0.0765,0.728,180.503,5nvS1vouQkX0HxOohfqCoS,338253
0.315,0.306,-8.777,0.0293,0.757,0.0,0.188,0.465,94.334,2pOyQcM91HM3tZEiwZCraG,215400
0.637,0.493,-13.094,0.0482,0.524,1.52e-05,0.136,0.932,88.796,6YTBfxkdGce9pLEy9jG9Jo,159467
0.545,0.59,-7.257,0.0813,0.599,0.0,0.0916,0.583,100.835,7Bewui7KtaMzROeteRitRz,205227
0.927,0.721,-12.561,0.0908,0.422,4.36e-05,0.0422,0.965,103.018,4oaj36KzXRgDg4McgcTsZK,249382
0.663,0.605,-8.534,0.0587,0.436,0.0,0.0894,0.835,100.854,1TPZ028i7BWWS5xW4UN9ss,265800
0.348,0.751,-12.823,0.0494,0.0699,0.000738,0.208,0.886,156.509,6uU5OBhGUE1ngSKDj4wtoq,172733
0.782,0.873,-7.157,0.0475,0.141,0.0571,0.112,0.858,123.181,0KxTWgl64TNOQXiGFJYc6t,252933
0.723,0.914,-5.598,0.0663,0.0726,2.12e-05,0.95,0.968,101.181,0QQHPRbgLJJ5XNzJV1l9BW,262573
0.542,0.714,-8.045,0.028,0.00487,0.298,0.334,0.76,124.26,2WD9ggmpZE7Wodh3qVVCgg,212893
0.868,0.852,-9.403,0.0474,0.198,5.3e-05,0.0502,0.907,130.155,26T9IOS6Bi9iOUjKkcZsZo,302333
0.415,0.428,-9.313,0.0254,0.132,0.0,0.297,0.652,81.352,08HeIb9BidFjKROf9ptln0,214573
0.548,0.688,-6.053,0.0372,0.455,0.0,0.072,0.813,179.842,7ii1YH0rOmpoRfH9HyY8To,164120
0.666,0.732,-9.078,0.0771,0.709,0.000132,0.0478,0.673,88.349,1BK353EYyBMkDd80kmfrqA,280013
0.779,0.631,-5.314,0.115,0.0485,0.00316,0.0349,0.663,97.927,3fucYASejkSMwtAYjFRKlF,262160
0.555,0.331,-17.718,0.27,0.652,1.16e-05,0.235,0.437,170.603,2a1x7Ln27cNtsgtL26mdwi,351400
0.684,0.832,-5.267,0.041,0.583,0.0,0.226,0.715,100.722,1Z6fpTTJelPqdI4CwvnpK4,310360
0.56,0.913,-9.478,0.0775,0.0295,0.0286,0.0516,0.641,193.202,3SWdfkBnN5YWgnJ4jKnqxe,278693
0.649,0.144,-16.809,0.0522,0.811,2.42e-06,0.089,0.264,119.193,5U7MyRNbuZrWkyAI4bm3Ja,278040
0.671,0.884,-9.267,0.0586,0.414,0.00015,0.0701,0.933,119.574,4EveU9Zb50mjgi5avDNqlK,203173
0.613,0.489,-13.509,0.0503,0.259,0.0,0.0696,0.898,145.278,4CKIoO64EM5M37TkshbaQE,208867
0.816,0.416,-17.795,0.244,0.337,0.791,0.0452,0.817,90.148,6fJnlY8rYqC37J2u2OeEMf,162213
0.844,0.561,-7.677,0.0378,0.825,0.000919,0.103,0.936,121.755,1HlX3tDP7eJBs5CJx4XIIk,180627
0.576,0.698,-5.181,0.0321,0.565,0.0,0.386,0.708,98.855,1TGHvWtCeIGMvO75P1hhqa,183547
0.559,0.73,-8.461,0.0639,0.112,0.00267,0.263,0.778,106.806,4sm3mdqmSqhG8KU79rVOY8,378373
0.608,0.52,-12.626,0.035,0.894,1.18e-05,0.115,0.934,90.184,6VGRiUGPup3c0tZTX2lWhv,179667
0.39,0.263,-6.851,0.0394,0.853,0.0,0.219,0.446,80.332,2ib9PWWqtNyw9rff0qcm5G,195533
0.585,0.946,-5.406,0.113,0.00858,0.000198,0.127,0.862,184.932,0aGKNekx2JAxGzza802fnC,210640
0.676,0.684,-6.442,0.0325,0.603,0.00244,0.216,0.861,87.132,56A4ILMKhg47q89wLmO70B,205093
0.26,0.503,-5.428,0.032,0.342,3.18e-05,0.351,0.739,185.804,17UQaysFON93fn278DeWqg,221832
0.57,0.301,-13.846,0.0518,0.908,0.574,0.123,0.431,118.337,6tJ0zwyKkJ9pWXN0XWqLqY,193800
0.337,0.55,-5.814,0.0502,0.386,0.0,0.298,0.851,183.117,1I7QJJ5o76Z9D1rmA4bQPS,128387
0.266,0.59,-6.861,0.0341,0.0931,6.15e-05,0.39,0.23,114.135,58Q3mAOtrZdSbwAu9i92j2,155733
0.744,0.601,-5.241,0.0349,0.833,0.0242,0.131,0.905,143.542,7m5hbyERUKJC0268b6uEZD,199317
