danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.679,0.614,-6.84,0.0355,0.117,0.0,0.225,0.583,120.012,2CRNeHGhPhJicTGWpupcYH,130813
0.841,0.698,-6.588,0.261,0.211,0.0,0.203,0.372,118.018,0tFUl3tPqBzUM2aV0gitdq,132793
0.806,0.542,-7.482,0.064,0.241,0.000494,0.113,0.14,142.881,4CCrZzRdeWYrWJ0DoN4XCa,194306
0.874,0.6,-6.064,0.158,0.00942,0.0,0.126,0.457,100.012,4IaxDf2FixiQXq0mW7key9,174840
0.767,0.547,-8.024,0.0708,0.0458,0.0,0.144,0.359,106.972,3dvo22rex4PuOkdqsDlP39,167640
0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG,178147
0.651,0.627,-6.842,0.164,0.0892,0.0,0.0941,0.441,169.955,2zz4plJxtgMIsQg5SMl2Bg,177720
0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,7hU3IHwjX150XLoTVmjD0q,168228
0.808,0.903,-2.179,0.0729,0.0899,0.0,0.0816,0.922,120.044,308Ir17KlNdlrbVLHWhlLe,198053
0.84,0.766,-4.12,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,2etHQJxIbV0soyPhelVs9Y,155884
0.654,0.707,-5.661,0.0664,0.00559,0.0,0.0873,0.448,127.97,4Ws314Ylb27BVsvlZOy30C,194765
0.855,0.463,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931,7BoobGhD4x5K96Me0hqC8Q,122773
0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,6HU7h9RYOaPRFeh0R3UeAr,215507
0.657,0.88,-3.672,0.102,0.121,0.0,0.463,0.769,150.084,37ZtpRBkHcaq6hHy0X98zn,205493
0.727,0.879,-1.167,0.129,0.124,1.17e-05,0.244,0.671,146.959,3dbLT62Cvs46Ju7a8gpr36,238144
0.784,0.521,-5.701,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,5q3LwAHTqo9d3rET2EA9Nq,167662
0.806,0.653,-6.283,0.0902,0.0282,0.000784,0.107,0.85,150.058,7uQZVznj0uQOGC9KhV2Mg6,200690
0.961,0.739,-6.665,0.224,0.0794,0.0,0.0372,0.759,119.96,34JfHOd0fcefm4FSPSrIhF,150053
0.722,0.851,-2.589,0.264,0.35,0.0,0.0661,0.763,122.012,3QD0Y1tTngihByjdWC99lG,164053
0.729,0.551,-6.935,0.056,0.598,0.0,0.176,0.312,124.044,6bTbMMEShyGyrcuIwtBlpA,174002
0.632,0.668,-6.196,0.0514,0.078,0.111,0.0863,0.716,108.997,3qs1ozCx271UQqmzC7oNuj,206373
0.58,0.895,-5.224,0.0396,0.099,0.0117,0.0911,0.356,116.953,1SldN7GTd0ADTjspv96wCl,207813
0.602,0.678,-8.656,0.0299,0.0404,0.00075,0.121,0.552,104.969,07zVQBJfbOuaAhpT3stRFL,196433
0.598,0.182,-19.267,0.0435,0.947,0.00784,0.179,0.342,111.949,1LwwYjfoClXVx4lJAngPpp,107344
0.691,0.509,-8.343,0.0352,0.431,0.00682,0.0885,0.473,113.961,7AE1oyRpPGoSwDs8b9XBO0,207014
0.747,0.446,-10.032,0.0603,0.225,0.0,0.155,0.642,122.023,31sZ3f4En15JbGW4uIEH7D,192000
0.444,0.932,-3.634,0.0359,0.00858,0.453,0.0511,0.896,99.999,4yc69QtlnLzjcYSMPOtrEo,222357
0.41,0.316,-8.13,0.029,0.846,0.0,0.124,0.22,133.288,7rgjkzZBhBjObaYsvq8Ej0,256001
0.625,0.903,-2.519,0.0594,0.006,0.0,0.235,0.825,145.97,7wDVvxMUdW5MtJUqFtuXUz,179156
0.528,0.422,-7.641,0.0648,0.531,0.0,0.1,0.321,171.751,08KAB8LahxJB28HExOmPnL,145173
0.636,0.452,-8.298,0.0329,0.136,1.97e-06,0.104,0.0678,80.004,6gSBiIezn6yKhCVhBUOSwB,186627
0.75,0.95,-2.938,0.194,0.077,0.000332,0.161,0.623,81.019,3syIqcdNRjbFcWkEMRRT1d,186667
0.466,0.626,-8.126,0.0272,0.166,5.59e-05,0.103,0.318,83.01,46OaeacE8RjnE49MB5B2Lt,158618
0.442,0.528,-9.269,0.0562,0.565,0.029,0.0944,0.233,132.932,4MNu1bSmyV3S4Y2MJMGrrP,311537
0.765,0.688,-5.072,0.0731,0.0164,0.0,0.112,0.794,121.901,4CoxD8tetisleUQDA7vn1B,175327
