danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.62,0.409,-10.146,0.0282,0.77,0.0542,0.105,0.582,113.946,3iBgrkexCzVuPy4O9vx7Mf,135067
0.698,0.505,-8.242,0.0356,0.354,0.0,0.0995,0.396,95.868,1418IuVKQPTYqt7QNJ9RXN,194654
0.625,0.712,-5.996,0.0539,0.0229,0.0,0.252,0.398,163.015,3IelG5zYpWWCZIH4cqWlPV,203557
0.436,0.497,-4.442,0.0292,0.0633,0.0,0.166,0.495,159.869,5GKs69j8y4MajGkizLNFCK,182400
0.882,0.797,-3.299,0.0819,0.0821,0.0,0.113,0.824,105.025,4fsQ0K37TOXa3hEQfjEic1,184444
0.804,0.771,-4.067,0.0433,0.357,3.07e-06,0.108,0.739,126.956,65FftemJ1DbbZ45DUfHJXE,212253
0.785,0.442,-7.405,0.0391,0.0982,1.24e-06,0.357,0.349,97.986,4uW3eW3YVRqddbMrZf4caM,182351
0.831,0.721,-5.447,0.164,0.277,0.0,0.0403,0.443,124.007,3p4N6mBFv42M8dI8SUoPre,175329
0.6,0.76,-6.124,0.0452,0.166,4.09e-05,0.189,0.519,158.078,0o9zmvc5f3EFApU52PPIyW,185573
0.553,0.681,-9.531,0.169,0.297,0.00695,0.107,0.625,183.813,178ZvO20GAGgrxSDitOaYG,216603
0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456
0.626,0.71,-5.321,0.107,0.33,0.0,0.343,0.547,93.005,3yCf5wq33Tjd1aWjVHQ192,150645
0.577,0.941,-5.17,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,3khEEPRyBeOUabbmOPJzAG,193495
0.78,0.683,-5.319,0.0575,0.0801,0.0,0.22,0.608,100.049,61AZsmFB3VoJdmraMk5ZSn,175776
0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,0mBP9X2gPCuapvpZ7TGDk3,154487
0.656,0.436,-11.141,0.0744,0.845,0.0,0.221,0.196,109.239,0QzuaeCEEOV40Pn7IvKEny,171743
0.747,0.789,-3.789,0.039,0.0651,2.42e-05,0.0727,0.646,118.035,15IfeWfzxJtcKBgx6oDHvl,220551
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,26hOm7dTtBi0TdpDGl141t,211667
0.82,0.686,-5.102,0.038,0.00412,0.0,0.184,0.668,110.058,0ARKW62l9uWIDYMZTUmJHF,175889
0.512,0.76,-5.889,0.0682,0.299,0.0,0.103,0.495,130.096,7CAdT0HdiQNlt1C7xk2hep,210928
0.628,0.676,-4.227,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,68HocO7fx9z0MgDU0ZPHro,215687
0.828,0.731,-3.033,0.111,0.0617,0.0,0.048,0.587,119.978,7n2FZQsaLb7ZRfRPfEeIvr,178453
0.711,0.747,-6.335,0.0523,0.459,0.0,0.0957,0.852,136.0,1Fhb9iJPufNMZSwupsXiRe,166023
0.647,0.294,-10.344,0.0312,0.728,0.0,0.123,0.323,124.999,7F6PtLP6fJPVtA1FWVkl8K,210480
0.784,0.521,-5.701,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,5q3LwAHTqo9d3rET2EA9Nq,167662
0.693,0.734,-6.189,0.202,0.0145,0.0,0.217,0.708,180.06,5zwwW9Oq7ubSxoCGyW1nbY,186964
0.736,0.71,-8.497,0.091,0.383,0.0351,0.395,0.0728,82.482,5IPl8JpkbtSH1mdyq5ctSx,141093
0.871,0.485,-8.294,0.0411,0.527,7.37e-05,0.169,0.494,119.976,5rbuv6zso7QSaKt265H3M3,219036
0.643,0.477,-8.261,0.0536,0.434,0.0,0.0843,0.14,93.003,3jJ9djWzDlQnqDd7vTZs9K,208695
0.536,0.659,-9.732,0.0483,0.406,0.004,0.107,0.199,170.035,38umMmZQdeoOG7Zojor4g3,171020
0.751,0.595,-6.422,0.0274,0.209,0.00268,0.0881,0.713,92.999,12UQIJePnGeLmpVReYpG2w,160493
0.623,0.22,-11.043,0.0307,0.787,0.0,0.206,0.208,82.977,557XVqKgnYAxvvyczr2zDg,269243
0.405,0.988,-3.843,0.0992,0.355,0.113,0.0815,0.703,160.052,4iKGu3xtvm90eBw0EIPWJP,214400
0.871,0.372,-9.077,0.0413,0.253,1.6e-06,0.104,0.608,110.011,2DtUUBwYwEzKMTMDrc5EiO,214387
0.74,0.663,-5.393,0.272,0.268,0.0,0.121,0.519,82.004,0iWFz0Q5Qha9bx325ocFWq,152911
0.68,0.584,-4.457,0.034,0.443,0.0,0.0628,0.239,118.06,3TSLqZssCoCdDlMhCJ08XW,188369
0.395,0.309,-8.919,0.033,0.637,2.17e-05,0.0931,0.0673,142.012,3vZk7OAUjMtVDNC852aNqi,336001
0.463,0.458,-6.705,0.0422,0.776,5.47e-05,0.544,0.593,110.052,52INmBPUsLUQ6to3WnGWUm,194478
0.434,0.271,-10.302,0.0353,0.856,0.0,0.109,0.367,167.412,7eCpXVlWnTVEE8twb3P8m5,158175
0.412,0.613,-9.803,0.125,0.528,1.96e-06,0.104,0.314,89.025,5cgy5vMqVZbd8hYutp2txu,205347
0.452,0.436,-8.552,0.0324,0.489,0.0,0.111,0.297,168.16,4mPOgPXaXFBQ9dCg6OGEFv,191220
0.686,0.654,-6.7,0.0936,0.433,0.0,0.108,0.663,98.077,0zaoWwS8RpE3LSDdmkg8TC,161147
