danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.626,0.686,-7.095,0.0478,0.428,1.84e-06,0.154,0.575,165.931,4bLCfhmTsNuZo3oQXviIA7,173541
0.746,0.801,-6.656,0.0403,0.195,0.0346,0.0761,0.85,100.001,1sYp5bkjaiSKl1aOGOu3uw,196476
0.452,0.436,-8.552,0.0324,0.489,0.0,0.111,0.297,168.16,4mPOgPXaXFBQ9dCg6OGEFv,191220
0.55,0.759,-6.062,0.0355,0.0546,0.0,0.0979,0.304,87.492,0psOGI1f30oEGlZ185RbpW,138514
0.576,0.469,-9.148,0.0486,0.0795,0.0,0.543,0.264,139.993,32UFQyrBNdSaIXPrqvRkaJ,169157
0.583,0.284,-9.673,0.058,0.854,0.0,0.17,0.248,74.98,6zjuUubQ26bJCSKRHl7HWe,193600
0.466,0.454,-7.976,0.0562,0.304,0.0,0.267,0.483,169.805,4RhEjSVKHscmSh3TPRv8Kp,209118
0.507,0.376,-9.119,0.0423,0.726,0.0,0.316,0.363,78.103,6YAUAZ6Yf0mUeTIPduQHAB,227019
0.768,0.654,-6.294,0.0506,0.184,0.0,0.278,0.85,148.075,38wNASXJl6tNRoVFpnctt9,209189
0.632,0.218,-10.23,0.0264,0.689,0.0,0.0899,0.421,84.997,1imOkV6736s6g2BPIt1SIW,189882
0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456
0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040
0.668,0.727,-6.55,0.027,0.514,1.9e-05,0.1,0.939,139.991,3pCt2wRdBDa2kCisIdHWgF,344571
0.485,0.385,-8.939,0.0376,0.207,0.0551,0.0859,0.15,128.058,1w3azB0VuRFp79AduIwrIy,240903
0.758,0.674,-4.533,0.108,0.0903,0.0,0.0902,0.424,97.977,7ArVzlFsFsQXNseVXmdOyk,181224
0.711,0.747,-6.335,0.0523,0.459,0.0,0.0957,0.852,136.0,1Fhb9iJPufNMZSwupsXiRe,166023
0.472,0.204,-13.065,0.0452,0.917,0.0,0.107,0.224,82.51,6cx5CvFhqN19efStehJqoW,168907
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,26hOm7dTtBi0TdpDGl141t,211667
0.63,0.418,-7.111,0.0254,0.483,0.15,0.111,0.345,140.037,6F5mZpEEjhsAW8UEqbIpz1,199515
0.647,0.294,-10.344,0.0312,0.728,0.0,0.123,0.323,124.999,7F6PtLP6fJPVtA1FWVkl8K,210480
0.668,0.392,-12.178,0.0585,0.789,0.00275,0.345,0.323,135.936,2W779g2UrRZtVdf3FcEOO1,162794
0.871,0.485,-8.294,0.0411,0.527,7.37e-05,0.169,0.494,119.976,5rbuv6zso7QSaKt265H3M3,219036
0.447,0.16,-10.896,0.0372,0.913,0.0,0.0891,0.205,118.313,6wdCelHrPh7UfliNjwRTUv,310709
0.63,0.456,-8.285,0.0317,0.545,0.0,0.114,0.166,137.915,7rdnB5DAyPbaj51TCQRcqW,251440
0.748,0.465,-8.163,0.0869,0.399,0.0,0.294,0.412,119.872,7ivYWXqrPLs66YwakDuSim,182679
0.784,0.521,-5.701,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,5q3LwAHTqo9d3rET2EA9Nq,167662
0.515,0.479,-7.458,0.0261,0.544,0.00598,0.191,0.284,88.964,0rKtyWc8bvkriBthvHKY8d,209274
0.596,0.182,-16.004,0.0378,0.903,0.0,0.0909,0.268,111.734,0EA8jl8Wje9ALRKC8Qlzyt,280714
0.602,0.298,-13.333,0.0385,0.31,0.0,0.117,0.316,119.889,2CoxJRIhTKvHyFIq9FcDO5,203076
0.751,0.595,-6.422,0.0274,0.209,0.00268,0.0881,0.713,92.999,12UQIJePnGeLmpVReYpG2w,160493
0.395,0.309,-8.919,0.033,0.637,2.17e-05,0.0931,0.0673,142.012,3vZk7OAUjMtVDNC852aNqi,336001
0.427,0.301,-7.845,0.0308,0.673,0.0,0.232,0.163,117.241,6YjKd9oPXKqjLUVPo4Y0oi,273363
0.649,0.461,-8.401,0.0449,0.442,0.0,0.108,0.487,141.088,3iqlzKw1tLt6tXZyKWV0fZ,164663
0.623,0.22,-11.043,0.0307,0.787,0.0,0.206,0.208,82.977,557XVqKgnYAxvvyczr2zDg,269243
0.741,0.395,-7.776,0.0544,0.0117,0.0,0.601,0.593,138.06,5AUMjaFnLEWzriTPTOEI56,119744
0.736,0.71,-8.497,0.091,0.383,0.0351,0.395,0.0728,82.482,5IPl8JpkbtSH1mdyq5ctSx,141093
0.378,0.646,-5.349,0.0417,0.679,0.0,0.117,0.398,126.192,4dtmj7X21gunWoQf98hW5L,174000
0.639,0.569,-6.898,0.0584,0.31,1.66e-05,0.105,0.565,87.025,0y6M5yh5WYBZXBTrAAp3cy,161124
0.871,0.372,-9.077,0.0413,0.253,1.6e-06,0.104,0.608,110.011,2DtUUBwYwEzKMTMDrc5EiO,214387
0.536,0.659,-9.732,0.0483,0.406,0.004,0.107,0.199,170.035,38umMmZQdeoOG7Zojor4g3,171020
0.586,0.501,-8.519,0.0908,0.0874,0.0,0.0899,0.342,79.366,5c1tswRpjj7Fyv9xb5a8RJ,162152
0.498,0.804,-4.715,0.0829,0.0334,8.35e-05,0.0739,0.329,154.344,3Jd4JERZ7EP1bdeWRh0rsD,200582
0.74,0.663,-5.393,0.272,0.268,0.0,0.121,0.519,82.004,0iWFz0Q5Qha9bx325ocFWq,152911
0.41,0.316,-8.13,0.029,0.846,0.0,0.124,0.22,133.288,5vPO5ouEv8iedKWxzmSv7b,256001
0.412,0.613,-9.803,0.125,0.528,1.96e-06,0.104,0.314,89.025,5cgy5vMqVZbd8hYutp2txu,205347
0.708,0.36,-8.882,0.142,0.195,0.0,0.384,0.349,80.072,67OZSzWvhMgLzUwYOpt3eY,172500
0.603,0.152,-15.808,0.0314,0.852,0.0,0.0844,0.314,83.239,0PQ84nbR1Owkr7RtGBmZI7,233340
0.845,0.241,-10.948,0.0395,0.513,0.0,0.0722,0.799,94.869,25kxJg4ykcvM1wphY0yIwt,222316
0.557,0.367,-11.719,0.03,0.739,0.00904,0.0907,0.193,86.866,3Sbova9DAY3pc9GTAACT4b,261674
0.449,0.353,-12.986,0.0915,0.942,0.0786,0.109,0.55,165.888,4KGGeE7RJsgLNZmnxGFlOj,173640
0.757,0.393,-7.942,0.212,0.788,0.000986,0.0501,0.715,77.985,7fyVBKYJYMP42nNr9RFTAT,181623
0.463,0.458,-6.705,0.0422,0.776,5.47e-05,0.544,0.593,110.052,52INmBPUsLUQ6to3WnGWUm,194478
0.545,0.169,-16.249,0.132,0.908,0.0,0.0942,0.482,98.225,6GGdkwYk4NXuiIcQD16AZg,124853
0.349,0.261,-7.406,0.0291,0.853,0.0,0.207,0.429,130.314,5zav9TbX94CL4JScexrMmf,256337
0.67,0.711,-7.786,0.0563,0.536,0.00149,0.242,0.509,163.998,7HJbpVOycx32pDjWvpF9hp,190947
0.657,0.505,-7.333,0.0451,0.255,0.0,0.263,0.565,91.99,0zL5fdl4CvAAYUG3dJVMqS,184343
0.47,0.399,-10.174,0.0293,0.0898,4.65e-06,0.0809,0.206,139.929,2EcDqJGlgodoLW0l9EnWa5,251571
0.777,0.308,-6.483,0.0314,0.226,0.0,0.109,0.634,94.933,7vwhqiIfU8HqXhNgyy8ubR,182646
0.563,0.686,-6.567,0.043,0.391,0.0,0.0964,0.909,167.868,2gTLLRw4CBl709U3dRICEh,175853
0.531,0.401,-8.384,0.0302,0.466,0.0,0.0923,0.208,106.178,70Vjb8pcNJT2HVfDLC2MJo,187919
