danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.762,0.556,-7.144,0.0406,0.13,0.0,0.081,0.649,95.025,6GJv5FTWGHWgl4uPdpc6O2,197557
0.576,0.697,-5.201,0.0915,0.653,0.000702,0.201,0.841,92.121,5MiD1d6C7EXxadJwekOudc,168994
0.681,0.377,-11.886,0.127,0.867,0.0,0.224,0.248,118.019,4hihbl7qEfTWbV105KXgNo,204169
0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456
0.855,0.463,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931,7BoobGhD4x5K96Me0hqC8Q,122773
0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,0mBP9X2gPCuapvpZ7TGDk3,154487
0.833,0.691,-5.771,0.133,0.139,2.99e-05,0.131,0.866,110.985,1dKe9VEGUSNfzn5MDvm6SJ,168873
0.536,0.659,-9.732,0.0483,0.406,0.004,0.107,0.199,170.035,38umMmZQdeoOG7Zojor4g3,171020
0.273,0.517,-5.853,0.0313,0.0801,0.0,0.0984,0.16,168.213,1WzOonguDKuWQrTTf5yR0D,208969
0.608,0.613,-5.221,0.277,0.348,0.0,0.187,0.702,168.307,3L7HXWRZMkSR7dEi4ttJOj,184016
0.783,0.542,-9.889,0.142,0.101,8.91e-05,0.182,0.303,102.007,38i2wm5NBB5iS3WpjlMmWY,169412
0.395,0.443,-9.72,0.133,0.765,9.67e-06,0.0839,0.338,168.924,2tGvwE8GcFKwNdAXMnlbfl,175933
0.905,0.962,-3.197,0.0856,0.0299,0.0,0.0272,0.906,129.969,7GNRUsU3M4XNDDB9xle5Dz,174647
0.815,0.848,-4.704,0.115,0.023,0.000162,0.0265,0.684,106.032,1uMHCAyGmHqyygoNRuo7MV,133707
0.535,0.717,-6.133,0.0428,0.149,0.00015,0.149,0.31,91.006,3D8dVO2xTS63toTYrmCdCF,204396
0.788,0.945,-5.091,0.0599,0.223,2.97e-06,0.115,0.466,128.036,50ZFpw2wS6ERvLmW8TINhq,168053
0.711,0.605,-9.801,0.031,0.0396,2.29e-05,0.104,0.807,140.981,60gTdTwaNtGAzIxKfeGVfJ,307014
0.435,0.837,-8.126,0.449,0.00676,0.0,0.117,0.778,124.913,4DvhkX2ic4zWkQeWMwQ2qf,216893
0.653,0.877,-5.82,0.0275,0.0102,1.04e-05,0.32,0.62,109.985,0dpyzcT3RMNNSd2xKBf35I,195371
0.797,0.543,-5.654,0.0301,0.111,0.0,0.08,0.879,101.498,1XVQu6SXMMEJ3nc9BOGhgk,168853
0.68,0.535,-9.675,0.284,0.199,6.24e-06,0.0692,0.418,159.875,4JZBsaQYzt6AVMp4eRtohK,145104
0.741,0.826,-5.147,0.0529,0.0749,0.000623,0.142,0.549,123.998,4HgPdfsZJa23uioLcQOefo,166466
