danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.664,0.573,-7.939,0.347,0.354,0.0,0.0894,0.412,100.283,0vt6dFE5QGI2B9ZkjHwxJj,152981
0.641,0.719,-9.237,0.0954,0.607,0.00975,0.162,0.827,151.948,0hXF5ozjpySKqfqizSuO8K,164211
0.923,0.796,-4.813,0.194,0.069,0.00726,0.1,0.607,134.989,1glSYmmQzjS39jtaQEEPiI,172527
0.733,0.6,-11.11,0.363,0.0598,1.52e-06,0.111,0.152,149.712,0PnCQbkDGbP6aEcGDVz97f,106225
0.91,0.788,-5.132,0.198,0.268,1.56e-06,0.0666,0.905,116.975,52Bn900DYtGnw8zFD77zSL,166248
0.653,0.791,-7.453,0.265,0.0491,0.0,0.102,0.262,103.982,0qwdOkzng4CiauSAdsErgF,198027
0.559,0.566,-8.327,0.569,0.468,0.0,0.217,0.673,92.079,5dojMJ0Ts4YyOsbrxej0dn,87433
0.848,0.621,-5.525,0.101,0.599,0.0,0.0602,0.374,133.974,18wNTh4IhnScEH5wlluIdZ,189800
0.655,0.555,-12.169,0.318,0.245,0.0,0.308,0.748,141.179,4ubfUD48jCsbOAfjCixmGj,176620
0.8,0.68,-7.907,0.146,0.0284,0.0079,0.119,0.789,146.009,4E14LXJIJaNq9mHv4WOmmM,206918
0.745,0.774,-5.793,0.12,0.282,0.0,0.216,0.807,112.542,0AYR2AoEjGUjBltMQQBE2v,159200
0.561,0.669,-6.468,0.558,0.562,0.0,0.0848,0.654,120.034,67c2jMATcLjv5Q5yy3bNWE,162616
0.754,0.575,-11.704,0.314,0.312,0.0,0.0855,0.75,155.042,5RuhCmEsvnB63xaOxmSUUS,217548
0.763,0.411,-13.362,0.251,0.63,0.0,0.112,0.264,110.003,2QdSS6RC8eZyveU4V6gH6Z,205091
0.782,0.59,-9.694,0.265,0.283,0.169,0.0808,0.883,77.022,4uCh0rpnDJ2ZkHzaSXohX4,164960
0.72,0.687,-6.475,0.0603,0.358,0.0,0.282,0.66,140.08,3dEqXlzlA9uo1NRxWFvuqv,204225
0.805,0.653,-8.553,0.282,0.419,0.0,0.11,0.768,144.942,2eAYhO93XWCAFfcdJiMuT2,191351
0.778,0.693,-6.887,0.334,0.544,0.0,0.489,0.901,142.972,72tMcLWePEF4NVEN4Lt0NQ,206507
0.415,0.675,-8.18,0.118,0.15,8e-06,0.533,0.61,138.773,6vw9NFOZPJjbgadCPLnsxM,164629
0.77,0.698,-7.908,0.272,0.0605,0.0,0.112,0.556,129.066,5uHA719bTGnj3iP8dUVbra,219925
0.691,0.469,-9.915,0.228,0.363,0.0,0.103,0.57,141.906,6UuIZHsnZX81M3g6fbizx1,152160
0.869,0.796,-8.177,0.0898,0.17,0.0,0.288,0.906,130.993,1arhuyu2ldyljihYHtt5Fe,140153
0.85,0.823,-5.583,0.191,0.588,0.0,0.206,0.807,130.036,1wMKk6ySFmscQh8DRqn5FG,125292
0.839,0.587,-5.367,0.388,0.0415,0.0,0.177,0.6,140.072,0B78pC30j9B83zunsDuuKY,131728
0.742,0.677,-9.127,0.0477,0.256,0.000912,0.142,0.455,112.484,3Vt5QZrsmeOESKmpciE4ks,139200
0.505,0.924,-5.156,0.359,0.215,2.3e-06,0.0819,0.844,202.596,3qI4bEwKGSOTjYF0CUMXHw,202060
0.829,0.763,-7.84,0.121,0.251,0.000765,0.122,0.6,134.95,6mgoCcOdUB89iNNzlAGqa0,179556
0.753,0.677,-6.31,0.173,0.31,0.0,0.155,0.458,122.202,33x55Y7iLYPiTthXcFY2iP,161446
0.697,0.698,-6.653,0.178,0.158,0.0,0.172,0.815,106.04,7DGxHXy0hyVaYMeqOLQIKm,166269
0.827,0.705,-8.387,0.234,0.427,2.7e-05,0.0793,0.413,139.983,0cCHKL0qxLWMEUPBiV0S8z,192500
0.552,0.83,-5.592,0.317,0.0978,0.0,0.079,0.798,79.894,4bbLwc6FSnibrV6iZeJ2hM,168756
0.65,0.715,-8.422,0.392,0.0739,0.0,0.0839,0.694,119.905,04H7yst2bYZSbH3u3oJ1oF,159000
0.715,0.719,-6.251,0.284,0.028,0.0,0.295,0.436,148.078,42Zut2P2qNW39qBAT4AVkd,154054
0.484,0.735,-5.957,0.184,0.243,0.000129,0.172,0.739,142.022,6BovZi5xW96aWgGZVmToRe,172394
0.74,0.95,-3.535,0.0798,0.299,0.0,0.0739,0.572,113.147,1x0GSBkRs7trFc8Xdy3ksp,201768
0.733,0.598,-8.213,0.281,0.339,0.0,0.109,0.425,100.025,2Fqp3Dd8lMIDXc3qhyuyDe,153666
0.602,0.857,-6.792,0.0487,0.113,0.000101,0.0641,0.659,86.712,3FuUqGT1UxbwipJSRhI1zr,210756
0.771,0.507,-13.039,0.105,0.0954,0.0,0.258,0.283,140.104,2yLQ0TwpUf2J6rmCONXDE2,221143
0.893,0.493,-11.306,0.409,0.625,3.91e-05,0.126,0.871,140.089,2i3RY72siSsRLffssw2boS,198857
0.774,0.502,-8.757,0.0908,0.0284,4.26e-06,0.11,0.425,142.929,0q0p9swrCzMVSv0r2ZYlQK,211540
0.873,0.652,-7.775,0.235,0.403,5.2e-05,0.115,0.773,113.99,7qnT2q35FFFTZqBVzpLmjF,187800
0.864,0.842,-4.925,0.249,0.226,0.0,0.0705,0.839,128.095,22tbwHztWKaDssHAeG5jem,123750
0.8,0.392,-10.959,0.231,0.61,0.000363,0.0957,0.509,139.854,3rj6Edk7s5DdDeVrKasYGy,163971
0.748,0.778,-8.403,0.359,0.295,0.0,0.16,0.725,142.96,57SGskcECZx3leqQXtQPEH,180600
0.814,0.737,-5.97,0.048,0.108,1.9e-06,0.348,0.595,136.049,3vu1RECDO7DlrWtRnNZcy4,229482
0.685,0.559,-5.706,0.0803,0.496,1.2e-05,0.481,0.706,87.989,2qbSLzS2xoVuyvRBEpOYFV,162444
0.837,0.69,-6.745,0.0948,0.255,0.0,0.0947,0.79,140.035,3DDFdXtqLAYiBwLdNrwBDi,193857
0.785,0.609,-9.09,0.384,0.417,0.0,0.117,0.367,143.893,5UlY6ulrPCQfbxK8CsmWK1,212950
0.85,0.726,-10.684,0.325,0.0677,0.0,0.111,0.456,110.014,7eAUt8f5MDnmW2edXAlTRr,174909
0.81,0.654,-8.519,0.222,0.0976,3.76e-06,0.413,0.298,128.058,515WENmAupDDuEBU2cRFrl,247500
