danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.348,0.00533,-37.7,0.0415,0.986,0.898,0.108,0.216,103.431,6wfm9juwwokarp3HiI1tg2,198585
0.337,0.0708,-29.097,0.0317,0.98,0.927,0.109,0.188,130.479,2iADUGfIsYKXNmZtkxScdH,159837
0.0728,0.0403,-27.84,0.0455,0.786,0.956,0.112,0.0349,80.731,3NABVjRtAZrbnmGNeoyCyN,194001
0.159,0.0661,-24.187,0.0356,0.968,0.918,0.086,0.0385,132.461,2dUIvQRy9wfxNVcm0JLwNm,117586
0.61,0.14,-17.849,0.04,0.979,0.944,0.186,0.279,133.02,1LAfLQLoApcUphZFXPN1Px,166880
0.417,0.0939,-20.98,0.0402,0.984,0.826,0.0903,0.0384,84.241,6zYHwIlDPraiG9UTg4y0oe,219550
0.596,0.016,-27.841,0.0486,0.995,0.943,0.0906,0.368,112.226,0dJ2ybe4xFAFc8jXwUVNjg,125437
0.477,0.0612,-25.266,0.0346,0.984,0.871,0.107,0.183,112.879,5QIm5UVUJhPrpXwfFXAgKI,81641
0.207,0.0962,-29.245,0.0334,0.988,0.918,0.0918,0.253,181.149,2QEkXcyjvIWgFsbc1amx4Y,194000
0.137,0.0704,-22.206,0.0429,0.99,0.98,0.0998,0.0379,90.407,4jgazYikKO5Xhctuhc0snS,169366
0.273,0.0338,-33.878,0.0343,0.984,0.878,0.105,0.134,147.649,1wb6pRSvhekFyXO5j3fXol,227675
0.286,0.161,-24.411,0.0369,0.986,0.911,0.118,0.39,133.172,4hz99c39SOIMCng7b7j4Wd,159000
0.181,0.0102,-31.629,0.0377,0.964,0.95,0.106,0.0315,137.152,3oM82Zz63KrnYQ0ZaTTQ9l,115133
0.411,0.0649,-30.079,0.0259,0.981,0.927,0.119,0.147,172.849,2x4JUfTNw6Ht4lUxtAS0OP,149143
0.268,0.0444,-33.096,0.0356,0.962,0.942,0.111,0.123,104.841,0duYOyKFVmUrJpDhmKaIyW,166000
0.434,0.0732,-27.582,0.0377,0.991,0.947,0.114,0.0405,160.108,4FlZu9Bx7vUsqtMI9XIwDK,180250
0.163,0.191,-20.924,0.0365,0.937,0.959,0.0961,0.0335,105.104,19vWDttuR4ZVBzUfQFsfPS,220630
0.278,0.212,-16.375,0.0473,0.883,0.797,0.115,0.0998,118.36,2gAIy3MuCMOZUejECGPBUa,191387
0.414,0.1,-18.42,0.031,0.972,0.902,0.109,0.106,95.075,53sR7EKIy3Yc2a3xPXMz9h,160089
0.503,0.209,-22.495,0.0288,0.974,0.913,0.102,0.325,132.361,1ugTSkllKG0YdiPaOEPa0z,168398
0.172,0.169,-17.823,0.0376,0.638,0.941,0.28,0.0507,136.998,0r3ROaj4TrysELcI4LHODu,176120
0.184,0.207,-17.119,0.033,0.94,0.931,0.0772,0.089,79.979,3xjaaBf7ef5TWermNspKOM,251173
0.304,0.0903,-17.408,0.0326,0.985,0.891,0.0622,0.165,180.293,5nW41zamR8GqKYUxvxo12d,278400
0.357,0.0431,-25.461,0.0334,0.992,0.948,0.13,0.0698,131.976,4xqay5NL9jPHSCP2mo3U67,313973
0.266,0.0363,-25.939,0.0348,0.989,0.915,0.0957,0.265,171.154,3Jff69kvbsXnRwHnJTOL2A,136625
0.366,0.112,-21.185,0.033,0.9,0.885,0.107,0.0515,109.76,2UKUuA0JShtW9xmnUSqtJx,178952
0.144,0.11,-17.592,0.0542,0.979,0.436,0.113,0.0307,77.907,0xTeFwl9WhyJ9grMLB1X8B,201775
0.177,0.0634,-27.571,0.0346,0.983,0.955,0.0845,0.0393,207.861,5HzT7FpMsxO23zG5oIkzUz,182837
0.275,0.418,-12.939,0.0514,0.863,0.951,0.132,0.102,136.518,3KewUrX9nBSs6KMtFvw6wq,211000
0.141,0.137,-15.424,0.0431,0.948,0.562,0.0612,0.0353,85.479,6hkOAdgduiWe3jCV3PjPKJ,248693
0.201,0.0729,-23.906,0.0343,0.96,0.829,0.362,0.0746,71.807,71rfSw8kdWU28fZV3oBNFN,150793
0.0951,0.155,-20.447,0.0342,0.865,0.776,0.0922,0.138,163.072,57YoIlL4U1khGfYI5JEBEk,159747
0.214,0.243,-17.301,0.0319,0.917,0.912,0.0657,0.0381,80.187,1QwnjxsFzruTTCbuuKQdnH,176062
0.418,0.051,-25.754,0.0353,0.992,0.936,0.107,0.236,132.424,2sSzhlTz0N1HlSuoLLxv8z,214862
0.343,0.15,-19.797,0.0507,0.981,0.94,0.0839,0.0365,123.972,63iLlVCJ1rhH1boY7OH4d8,231921
0.378,0.0344,-30.781,0.039,0.993,0.919,0.119,0.369,106.505,3HOFwcwtevRoYyYva6ZblI,201013
0.352,0.127,-26.317,0.0304,0.988,0.929,0.134,0.13,137.905,1n6ouOiQpRXaWVTeDOGxDW,291000
0.207,0.0269,-27.755,0.0413,0.879,0.826,0.0855,0.0323,134.153,0kY5iUcL7JGqGLz3t2hhCL,334507
0.328,0.228,-18.098,0.0337,0.926,0.927,0.0626,0.0388,100.11,7ffWqewr8cBD1t7f87sAU3,121000
0.4,0.0333,-28.054,0.0389,0.994,0.881,0.0947,0.239,131.254,3NJy8hN4OXIMyqbskBsL8v,163861
0.3,0.194,-19.867,0.038,0.949,0.95,0.139,0.0887,172.835,0pzyxIEZimzoJfwaBKdAdH,392792
0.366,0.145,-24.892,0.0378,0.926,0.483,0.331,0.0749,94.159,5hJrBqOLUnMXNjDlAX67aP,229000
0.192,0.0626,-26.368,0.0371,0.953,0.9,0.147,0.0395,77.698,4u2Kn8DaYBEuB19AjWcMDn,168085
0.398,0.0766,-15.786,0.0374,0.956,0.856,0.0992,0.0365,122.63,3wOktPNamu01hvLN36g9A0,193387
0.296,0.021,-28.605,0.0415,0.989,0.896,0.105,0.105,61.574,7iyHlkSodnReI1yq3U858h,210441
0.466,0.0359,-27.81,0.0373,0.961,0.929,0.105,0.194,110.261,6pcjJAP1f8RHRvfW5kLmEm,175347
0.0761,0.136,-23.502,0.0444,0.574,0.68,0.109,0.0381,81.738,3Q1jt1WHNwsszyEAJmyaRL,198324
0.2,0.058,-26.123,0.0395,0.951,0.94,0.0891,0.0386,140.137,5rmSiOcI7xPIOhMTakVxa0,238333
0.202,0.0927,-19.678,0.038,0.977,0.881,0.103,0.0735,115.616,1E5lyA6z8rJY0wJioSLDAA,218333
0.233,0.00786,-31.624,0.0528,0.958,0.905,0.106,0.0686,132.011,171fKTIvL8wDal3N6Uv0Bk,262000
0.143,0.3,-15.425,0.0433,0.821,0.859,0.116,0.111,176.36,0sys3zb0Gssvi2mQNky4tB,159595
0.245,0.239,-17.048,0.0367,0.918,0.95,0.149,0.12,118.972,0mNCNmylxTWB9GrFw4RVf6,149752
0.231,0.0786,-25.396,0.0415,0.98,0.854,0.13,0.0399,123.451,5iqdZaQrlC4RoGunG5TgHM,201335
0.274,0.293,-18.806,0.0345,0.0135,0.501,0.224,0.0524,150.19,683mwxOizslObemAVOmvH4,183187
0.343,0.119,-14.666,0.0296,0.934,0.932,0.1,0.0678,54.997,2Z3aDyQnxozf2mVjahDigG,181107
0.366,0.279,-16.834,0.0355,0.953,0.922,0.085,0.0787,140.941,0NRJQn7P89YOHSIgq11WWp,293405
0.396,0.0012,-38.004,0.0671,0.994,0.944,0.112,0.296,79.932,6Rkp6fEsvOTR7YxsW5uNyR,368669
0.254,0.117,-21.35,0.0376,0.964,0.875,0.111,0.0447,78.533,05J7mr2kIdHciLOO5ISSia,350974
0.222,0.111,-20.791,0.0364,0.992,0.956,0.109,0.249,136.623,4hL2tCFmEkRBfaVsZ8G7lC,123252
0.195,0.147,-16.843,0.0334,0.93,0.939,0.158,0.0368,140.998,7fIyzIV9JXEBTaBUWFtvtO,265873
0.355,0.38,-14.058,0.0443,0.921,0.923,0.109,0.178,184.183,43SR37OKj3Dgc82aHXr6ql,175090
0.231,0.0354,-27.375,0.0548,0.964,0.855,0.117,0.0369,68.498,6v4WvtbAbm88SeS4etJMTH,238047
0.121,0.0385,-27.901,0.0363,0.969,0.915,0.122,0.0706,188.094,7biIzSlBe8dWzEwHG7dS5k,289829
0.498,0.282,-24.689,0.0502,0.943,0.907,0.0885,0.0909,157.976,0UfpJngBbA7yILNdoNDqlM,234684
