danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.582,0.767,-11.38,0.0297,0.288,0.0789,0.0606,0.736,141.683,3EEd6ldsPat620GVYMEhOP,186038
0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,29d0nY7TzCoi22XBqDQkiP,300840
0.484,0.75,-4.176,0.0685,0.697,0.862,0.105,0.467,159.992,1SHB1hp6267UK9bJQUxYvO,141395
0.55,0.765,-8.684,0.0287,4.76e-06,0.873,0.132,0.419,139.46,3qLZ866ZfaK0B0R5FIqXLG,252533
0.527,0.923,-7.458,0.0379,0.000541,0.765,0.127,0.899,146.924,34iOH7LY3vme5rQxsVILZ4,208453
0.611,0.813,-7.689,0.0279,0.339,0.898,0.224,0.821,140.112,0X5C4WjQNubRysTkHOubz3,209573
0.735,0.403,-11.599,0.037,0.139,0.473,0.107,0.453,115.658,0qHeP8zt2WWef7EWCs1ECj,370573
0.415,0.853,-11.098,0.038,0.0107,0.000499,0.536,0.302,148.494,5Ng6UbryNd3eds2zQk9MUf,197013
0.541,0.803,-4.494,0.036,0.521,0.84,0.0786,0.814,84.98,782VcXkRqyevFaJlcoIIEz,202846
0.578,0.583,-13.416,0.0269,0.0548,0.199,0.125,0.519,135.986,1RCtHLyq1xIbgGMrYRrKJ2,297600
0.522,0.85,-4.769,0.0361,0.132,0.0338,0.295,0.71,124.216,15049rGLXHwrWtE4euUb5C,346280
0.348,0.7,-8.885,0.0611,0.0397,0.00228,0.106,0.416,93.614,710B9xFjNOisQtKtppZE9p,675653
0.397,0.446,-7.032,0.0373,0.49,0.00892,0.111,0.214,178.05,0wrWxW18WK2MkrfDpRHkyh,185000
0.426,0.9,-4.393,0.047,0.012,0.000735,0.69,0.42,101.492,34tFidHrETMAjsiK87WVVW,228200
0.416,0.581,-9.047,0.0319,0.00857,0.942,0.103,0.137,79.984,0MtY5fVdx8fnPzqooOwok4,451987
0.275,0.872,-6.108,0.142,0.000204,0.00509,0.0895,0.412,147.014,3cpZPDaWYxxy0Ho2uIyYRW,199944
0.633,0.62,-11.271,0.0648,0.34,0.605,0.0977,0.421,81.117,3O4TPMOgChXOerSdB5WENH,354933
0.373,0.679,-9.195,0.0393,7.83e-05,0.116,0.247,0.42,90.974,1ZnXuijpwEBjhNxpEnb8WH,223267
0.594,0.692,-9.444,0.114,0.0131,0.678,0.0647,0.552,153.47,1wyVyr8OhYsC9l0WgPPbh8,576703
0.423,0.738,-7.329,0.0319,0.359,0.084,0.0801,0.276,111.414,58RDwkonFMOkoytBtIQetc,428800
0.601,0.768,-8.718,0.0329,0.0785,0.712,0.0771,0.887,130.342,20goDx14UZviYtCPtLbqvs,295250
0.393,0.964,-8.838,0.144,0.000735,0.0196,0.34,0.352,151.898,21T9lWigjSIMg9uD6ZfRnQ,239280
0.429,0.852,-7.666,0.0467,0.00144,0.0132,0.659,0.384,128.486,2o1Deu2r99ZkkQwQ27LnZd,185947
0.634,0.806,-10.725,0.0398,0.0237,0.00521,0.104,0.804,134.473,1rnoM73nG7HsyOqV5X7lPF,327133
0.24,0.851,-11.941,0.0492,0.00017,0.641,0.344,0.512,171.036,67MkU3b7k2fBL6oHHUiM09,231560
0.484,0.776,-6.48,0.0312,0.00371,0.109,0.131,0.495,171.935,1tuwC1Ob5vnYZhvg3zyzJg,448467
0.215,0.24,-12.597,0.0407,0.842,5.9e-06,0.135,0.0892,128.729,26uVYNtKahTAcZMDWiuBnt,211093
