danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.0639,0.077,-25.66,0.0455,0.905,0.783,0.0962,0.0362,69.525,6O1SMGwmO1cfTaZQss2Th5,185800.0
0.397,0.241,-16.355,0.037,0.933,0.981,0.184,0.0324,140.082,7CH9rwUG0SOkgIHpNNzjKX,111429.0
0.284,0.0992,-27.185,0.0392,0.989,0.942,0.0769,0.0467,129.632,6rOc7kTPNL6SxSVugGlPoG,163385.0
0.318,0.105,-23.405,0.0425,0.885,0.901,0.0852,0.0329,131.532,6tOFUhOqXYlArJjrSJ6c42,199400.0
0.155,0.0585,-35.305,0.0422,0.918,0.834,0.0938,0.037,68.631,0ssU0CAQUDiqhPTG1iNCHo,192000.0
0.207,0.179,-19.341,0.0503,0.983,0.902,0.117,0.0375,81.424,2SWEdiXt0rDhEcXrLBktG1,129600.0
0.236,0.00642,-32.446,0.0436,0.993,0.776,0.123,0.0389,137.711,1zlOiXXQostUPBPinAuW8A,202000.0
0.0601,0.0225,-30.561,0.0504,0.982,0.92,0.103,0.0369,52.622,4B4jWWkkgJ13lSbph0T3GQ,835000.0
0.174,0.0897,-26.855,0.0391,0.953,0.952,0.0851,0.0827,69.828,7oihgOOxT7CvQrDNF1yDo8,161143.0
0.106,0.162,-18.483,0.0354,0.931,0.000669,0.349,0.0398,84.712,4iZyoZ5YJtKtgOeDoU5HF0,203390.0
0.341,0.186,-17.761,0.0358,0.847,0.43,0.114,0.113,97.101,4pHyknEztGC2aXC8lxX9xs,270665.0
0.092,0.126,-25.828,0.034,0.979,0.85,0.0983,0.0378,70.113,2XJeHGe5YMCJgfKbsfCONV,212000.0
0.0697,0.0804,-27.598,0.0444,0.91,0.922,0.102,0.0362,75.931,1UVQ4KZFm95FEjzgwZaQ6K,418000.0
0.159,0.318,-23.724,0.0379,0.885,0.852,0.16,0.546,90.275,6N0N4lB5i3X0vBrym9esAa,284776.0
0.0655,0.128,-23.019,0.0377,0.993,0.882,0.0903,0.035,67.194,7eky2y76qSmzSBvCmguJ7h,192000.0
0.142,0.0294,-29.857,0.0411,0.983,0.891,0.0838,0.0332,140.655,3k7dUjyDJPNbt18PMA4Ruc,156520.0
0.533,0.0305,-35.918,0.0372,0.993,0.934,0.106,0.245,97.653,6mqZsDccxymJpBFX5OAuR8,225000.0
0.0762,0.182,-21.309,0.0428,0.873,0.935,0.0964,0.0575,57.359,4dEaEf5BHeVegBLSjDxz6s,246000.0
0.193,0.064,-27.445,0.0382,0.953,0.94,0.361,0.0375,69.361,5CcPj0blox3jKcKagc3ljI,244800.0
0.318,0.0322,-25.798,0.0403,0.949,0.893,0.117,0.0381,167.081,59fyg6qoudEnDdbZFTnifW,186562.0
0.171,0.023,-28.264,0.0452,0.987,0.906,0.0794,0.0351,121.574,3Jt5IZqpG4VeV2LpFRhj5O,129000.0
0.229,0.246,-17.661,0.0446,0.803,0.958,0.0894,0.0371,138.963,5ZhA4ure0YRCc1uNTIjoIT,299464.0
0.121,0.141,-23.914,0.0386,0.972,0.792,0.113,0.0456,85.213,7LcoSuCny0cee4PPF7ehVC,208173.0
0.173,0.0019,-36.535,0.0559,0.948,0.879,0.0919,0.028,69.305,6xFoMmZIkhOgRv7Zj3luYA,182500.0
0.092,0.256,-20.35,0.0372,0.909,0.853,0.113,0.0531,87.556,4fEmztNkFn2Edb6lN4t2Zx,184000.0
0.361,0.0193,-31.473,0.0447,0.986,0.871,0.124,0.126,180.099,7bwj1PDvfKqa0AvAhK9bwN,162746.0
0.212,0.00574,-28.65,0.0382,0.993,0.494,0.164,0.0322,132.019,4AoMRgx0RWMmSapEFnSKKl,264684.0
0.289,0.168,-17.4,0.0531,0.986,0.879,0.0886,0.0359,137.892,4ctQ2nQO1IqWsTE0tpXzWX,285600.0
