danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.108,0.0703,-23.166,0.0415,0.887,0.923,0.109,0.0324,92.562,4cmGoOiC6y7kUenRgG1j4u,200613
0.0793,0.00771,-33.467,0.0356,0.925,0.837,0.0861,0.0292,68.712,7x9ytTQXFqpk9Mvh4uDUX6,604333
0.134,0.0931,-26.765,0.0398,0.989,0.907,0.115,0.0359,80.923,5Z1HyqdD5QozNnFNZA8BMK,470533
0.14,0.489,-11.611,0.0391,0.741,0.732,0.47,0.189,76.66,5soViX7uPUyYaPT6EJJD5e,167927
0.237,0.0987,-35.574,0.0469,0.903,0.926,0.118,0.1,178.281,0pDNtxXyRGR0BUlg2cSgPF,343627
0.227,0.000882,-27.27,0.0507,0.945,0.916,0.094,0.425,107.782,48MPwRtt4PRuC0gUZgkI48,371867
0.0672,0.0119,-41.808,0.0457,0.969,0.944,0.12,0.0701,70.521,5Q5MFVjUWVNgb7XBerPdbQ,166560
0.149,0.0157,-35.074,0.0366,0.944,0.938,0.0895,0.035,73.073,1WtvDfy0K96R0vnJPD21Gi,113667
0.228,0.075,-24.17,0.0442,0.994,0.827,0.0658,0.199,89.695,7teDfMIAWtfsPApTqcAJ6G,178067
0.225,0.114,-29.439,0.0478,0.908,0.925,0.328,0.287,88.966,3c9lr5HgwAGEJbThGnkp3i,377067
0.0631,0.00256,-44.406,0.0452,0.977,0.84,0.115,0.0234,65.919,3Q6okpLoq2ZhOzZfBHpmei,601600
0.468,0.0762,-23.333,0.0296,0.86,0.835,0.111,0.0329,91.287,4QjZbNMXfcTIjGLPr9gsQU,356060
0.125,0.0157,-35.954,0.0344,0.568,0.985,0.219,0.0269,85.912,4IitjSBfTpUEMU9GTNfpz0,125200
0.713,0.49,-13.501,0.0471,0.89,0.9,0.121,0.299,121.312,2mx7O88JR2wrlTqckLtr53,388085
0.262,0.117,-22.289,0.0344,0.32,0.751,0.0556,0.149,138.129,2c343Y5TmH6jCs3ES9kxjp,135053
0.171,0.0371,-32.469,0.0386,0.908,0.975,0.0792,0.0437,135.031,7eyrOUEsP04DjbMAIUKXEV,803000
0.271,0.0944,-24.945,0.0357,0.917,0.69,0.378,0.0362,137.592,1LIUJgDSRkNYjo4tVtoz2e,461533
0.232,0.218,-15.951,0.0356,0.722,0.865,0.109,0.402,116.568,4FelvwNQdtIoO8lxOEdiai,173049
0.109,0.00134,-26.147,0.0518,0.993,0.875,0.101,0.169,70.906,2Xi2uBeFHI8zs5spiNmyqg,390720
0.283,0.0725,-27.845,0.0418,0.996,0.929,0.259,0.706,131.364,2i9UYFJDHwoLSRiib3recu,120427
0.205,0.0263,-26.887,0.0399,0.96,0.949,0.0916,0.0532,114.035,0rtfF7pfVYD5nvBQ1mPRsD,455800
0.409,0.0128,-23.85,0.0492,0.994,0.933,0.0839,0.0558,75.532,6RPQdkI8t1eaG2abymrYVK,314240
0.58,0.329,-16.827,0.0371,0.721,0.55,0.286,0.0688,126.166,4aCReuZq79LVyWPeJgkfbV,561084
0.131,0.0451,-22.649,0.0375,0.93,0.895,0.0988,0.136,97.218,6WJrjN1mVZcgq07IKwTeYp,270480
0.339,0.00188,-26.29,0.0604,0.988,0.947,0.104,0.117,141.734,0S9lwd7JF9878QQ6tuuIQg,354693
0.108,0.0194,-20.089,0.0381,0.978,0.908,0.0753,0.0392,74.939,3tkinpOB2OpcA1q4P2JW3S,510282
0.392,0.0368,-24.05,0.0813,0.985,0.964,0.109,0.0359,124.718,426vkEldQjsWIMCEx26Wee,396160
0.419,0.0183,-24.299,0.0326,0.882,0.481,0.0775,0.0386,80.049,414AJsmhPuEA7W3wC9Go77,227973
0.175,0.364,-17.615,0.0447,0.918,0.252,0.171,0.416,171.84,5qvn79E2Rf5NwbgkxzQ5lo,375589
0.064,0.0281,-30.57,0.0435,0.823,0.96,0.0981,0.0366,67.215,3Me6WeT0LTu2mmtBReJ80C,251187
0.284,0.0946,-24.474,0.0338,0.938,0.904,0.121,0.031,30.762,40hLXwcLOG8mhR3B2Wcona,129289
0.0841,0.0157,-19.226,0.0587,0.857,0.871,0.121,0.032,67.432,4eLHFsCh3v67tV5ZaPGrmG,380187
0.52,0.282,-8.407,0.0432,0.824,0.579,0.0654,0.246,133.934,0E27knHYJH1Zc485jR4eQA,208131
0.531,0.406,-18.603,0.027,0.943,0.822,0.0945,0.49,102.216,7Jkmc8EU96FhqBe52Vqahq,217133
0.394,0.351,-16.944,0.0403,0.365,0.00031,0.0894,0.89,99.727,2DOCT6JzhvWURE4d1m8SPy,369733
