danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.617,0.959,-2.836,0.0938,0.122,0.0,0.198,0.88,167.06,67seLhibwW3OAyZcEw5Ijh,162367
0.467,0.908,-5.831,0.0643,0.000582,5.12e-05,0.386,0.477,143.16,1mY3E6zTjhjQD5SSy8ctgk,254839
0.443,0.841,-5.245,0.0813,0.00105,0.0,0.177,0.526,182.971,7F3R31tU4vNWrdsjNrURQX,212708
0.574,0.92,-2.924,0.0714,0.0557,0.0,0.284,0.649,89.993,0yrHUQ7LReHy0TqPoWoHd8,205000
0.423,0.84,-4.947,0.0594,0.0144,0.0,0.369,0.546,83.979,3ElWd9b7Cy4UvX7NqA25h7,322120
0.534,0.868,-2.265,0.0481,0.136,4.18e-05,0.254,0.397,108.441,0zzfORvHh4ak5BscgpdRqF,274979
0.576,0.976,-2.801,0.0624,0.0391,0.0,0.258,0.928,158.104,21zl36W7QoaVy5MMxAvfcv,205733
0.67,0.768,-7.656,0.0382,0.0506,2.36e-05,0.139,0.432,131.998,7nnACrn6f6JsKskLYKq1Cl,206509
0.431,0.954,-3.156,0.238,4.52e-05,8.26e-06,0.325,0.311,150.043,3GGOKTfxgyluPvAFnB30zE,287991
0.426,0.925,-5.247,0.12,6.69e-05,0.0267,0.115,0.646,180.014,1hPFCT7wqA0TOIby783Rd9,226240
0.545,0.785,-4.914,0.0364,0.382,0.0,0.142,0.339,144.947,6wH9VrMaadUjcAVZp4G5Ss,312107
0.283,0.605,-9.625,0.0358,0.633,0.0329,0.12,0.892,70.036,7C37yaKPoOJHUvlNYv991q,293687
0.404,0.96,-1.506,0.0801,0.0254,0.0,0.29,0.539,149.959,76rwHMqKcw9v9IWBwQWItn,191720
0.325,0.896,-3.711,0.0917,0.000141,0.0,0.329,0.131,87.416,5GYltgYEZu2dKnBjSTrCA3,242342
0.546,0.693,-6.472,0.0542,0.228,0.0,0.15,0.369,90.086,5igeBrUIrt8hEguPkIfcEW,312667
0.707,0.543,-3.399,0.0329,0.000918,0.0,0.0778,0.713,129.948,3RPNNWB4ZbL9siNR2woL5I,96344
0.334,0.791,-8.524,0.0454,6e-05,0.00294,0.207,0.454,171.019,6O3CyRXIXp0j2YYpmIxQFw,213001
0.702,0.712,-5.967,0.0301,0.324,0.0,0.33,0.776,101.988,0Gq4an04Rw1eXUyKrUonve,234475
0.238,0.385,-12.171,0.0363,0.903,0.689,0.11,0.186,84.12,6cNsewEICKlNmFT8q3i4b9,218880
0.465,0.906,-4.931,0.0487,0.419,0.13,0.271,0.58,102.037,6XEtXkDY8mIVFj6LgN4AOJ,372858
0.534,0.875,-2.275,0.0411,0.00679,2.43e-05,0.0253,0.662,120.047,0nLGu3icAxmtS0KEvC1wOe,246253
0.587,0.808,-3.868,0.0345,0.123,0.0,0.138,0.522,124.038,4q9x6Ze2ifhBElxbSDtx1D,303085
0.604,0.767,-4.681,0.0268,0.405,0.0,0.105,0.656,110.97,1IlMcBvlQlPSd58GxEHX44,245027
0.242,0.877,-3.376,0.0811,2.19e-05,0.0016,0.271,0.45,89.706,2KiZEAlUsTNSDzihxCRnB6,211400
0.632,0.942,-4.467,0.0386,0.0343,0.0,0.325,0.826,133.039,2L1HeoX1m3Zv8KPM6HdfZN,180278
0.485,0.778,-3.359,0.0338,0.035,0.0,0.32,0.469,88.053,1kPoNSnxGFq5UZbGyNymsK,197998
0.352,0.369,-9.583,0.0373,0.639,0.0,0.109,0.223,79.897,1GBl9PT3AV0qph1dEtGnzp,247104
0.565,0.41,-6.616,0.0311,0.65,0.0,0.309,0.36,78.01,1n1y2kFPISpF9WGD3JaFo5,238560
0.57,0.795,-5.484,0.0395,0.115,2.33e-05,0.139,0.519,199.986,2MKuMuQZbLOW16zXQksZse,223350
0.505,0.63,-4.749,0.0325,0.114,6.08e-05,0.123,0.216,165.969,29TrJvPHW8SuL9Y7wg72Ui,282395
0.502,0.648,-3.535,0.032,0.0552,0.0,0.24,0.498,83.85,5jSR1EJai9xHvDEAq2rPt9,252000
0.536,0.431,-5.988,0.0283,0.555,0.0,0.163,0.264,83.095,2mdrMOnGvyo6fHkm0yBUKw,239026
0.577,0.941,-5.17,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,3khEEPRyBeOUabbmOPJzAG,193495
0.607,0.982,-1.345,0.116,0.0559,0.0,0.296,0.648,140.084,1PiQybGfKBnDb5P4d5Ewwd,233133
0.637,0.967,-2.234,0.106,0.00644,5.24e-06,0.165,0.582,117.462,4RjxJlyjU6cMrv4dJH5XtP,244747
0.659,0.828,-5.09,0.0416,0.286,0.0,0.154,0.672,129.98,2GW9aPk5YhY247H8G5UV45,262227
0.425,0.446,-7.798,0.0291,0.92,3e-05,0.0765,0.331,141.738,3u5awR3XHHpmdn0nQWf5ul,297293
0.662,0.94,-2.531,0.071,0.00803,0.0,0.327,0.641,112.982,0EIlSiMlNJDHecJUkmzYer,261280
0.558,0.867,-3.791,0.0799,0.0605,0.0,0.142,0.548,146.012,4f8MEWsOIymj4AIZs9VasU,239533
0.413,0.943,-3.611,0.0546,0.000145,0.0,0.378,0.6,170.087,0PvlpMPznviBbMHOlMe0Lj,210627
0.267,0.0927,-16.12,0.039,0.84,6.44e-05,0.0993,0.18,127.145,2TDtrTlftOMY2GlU8aMtMb,153133
0.617,0.808,-7.004,0.0616,0.0163,0.000412,0.127,0.873,152.024,5CZ9ZyPs6di7ScOJa6YQmJ,243145
0.758,0.622,-7.724,0.0964,0.493,0.0,0.132,0.75,141.897,0AGbLFnswjmsuNCl8Uqb3m,234808
0.594,0.778,-3.424,0.0424,0.0236,0.0,0.15,0.377,122.02,0BngQzqA4SQbcdZYy88BqB,249867
0.611,0.97,-2.132,0.0516,0.00142,0.0,0.316,0.715,130.012,3nM0q6UoSaxxfeU81Sb8s5,170633
0.475,0.646,-5.516,0.0463,0.105,0.0,0.103,0.569,167.939,4axioKS5nckvIhhZgfFxd5,217790
0.572,0.837,-4.48,0.0563,0.0297,0.0,0.0967,0.431,96.022,2Fo6g5hxRpaR2rvrw8nhMi,174107
0.411,0.964,-2.553,0.113,0.0236,0.0,0.09,0.445,150.96,0sHbdxyepJ11nCCUEOin35,282880
0.49,0.423,-10.437,0.0278,0.385,0.0,0.106,0.322,82.063,2zA8ieFjvQNetHoSnXCYyb,280104
0.616,0.501,-7.104,0.0408,0.256,1.28e-06,0.0961,0.181,144.8,2PyYJTYEfA3jVXWNqaex5u,217240
0.464,0.943,-2.27,0.122,0.000466,0.0,0.301,0.553,156.928,6occpeuCkcU3HlnPL5rE6r,208667
0.552,0.944,-5.555,0.0549,0.00716,0.0,0.0885,0.491,95.988,2vWbGXnMCl4vvoUYZt202W,236347
0.581,0.865,-7.096,0.0353,0.029,0.0,0.319,0.901,131.028,7K7QoJtb4WAgEHn8lt9ilJ,238542
0.661,0.971,-1.904,0.0554,0.00346,0.0,0.299,0.787,123.983,6j6ndhPYXdE2p4PD1Bljiv,239252
0.65,0.88,-4.862,0.0502,0.144,0.0,0.465,0.862,138.005,17f8pQdBqQd27349d4AINC,213672
0.339,0.521,-10.057,0.0345,0.0087,0.00128,0.132,0.319,112.012,5MU5Ut06m3owitzqy5Bmvf,303628
0.379,0.877,-3.922,0.0435,0.00243,0.00758,0.261,0.609,165.015,0OoQhyGwEwOGKk96J6nJ3R,208965
0.638,0.903,-2.915,0.0452,0.138,0.0,0.331,0.879,132.08,2cTeMPC6HqGeJAa5sPH6XO,193544
0.68,0.735,-8.255,0.0605,0.00859,0.0,0.0337,0.776,95.007,6JcmTPEHDLvwToGpeAukA2,217615
0.5,0.877,-3.583,0.0852,0.189,0.0,0.148,0.561,167.831,09pGnc78yB3BXMVfz6kt4J,273667
