danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.459,0.878,-1.399,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,6k0X05danQOXSBTVek5DU1,220799
0.567,0.663,-6.402,0.0503,0.223,0.0,0.129,0.187,89.961,4pw7EuK2WTWGHI51jCKuGJ,229960
0.102,0.581,-9.61,0.0394,7.19e-05,0.88,0.297,0.171,79.765,1wzZ9SaE5PYW5jps5q1c24,306373
0.216,0.688,-9.193,0.0501,0.000118,0.878,0.109,0.147,101.024,3SUfTmtF04eIHQ00WPSixB,306840
0.473,0.936,-4.877,0.0704,0.00916,0.0422,0.31,0.416,144.014,3KhwEuqLNjHfsKaBDo1yVh,280467
0.399,0.723,-4.507,0.0681,0.124,0.0,0.352,0.22,137.032,5QwAdWCnauw0GpDzM3glrO,181595
0.214,0.703,-9.558,0.0487,0.00141,0.928,0.0572,0.0786,101.921,7uF1nTuJRGUlZzODPcmPva,274133
0.455,0.952,-6.382,0.0787,0.0232,5.65e-05,0.0662,0.332,90.365,70p3HYq9iHZisJqpDmWd1U,310680
0.168,0.408,-11.23,0.0339,0.0149,0.897,0.125,0.128,140.704,5udbUimtsff6w1Ekx6sMCN,281333
0.217,0.35,-10.26,0.0322,0.197,0.932,0.141,0.0942,61.992,6fx2tRc1ez4qCPySzRRx1m,257467
0.547,0.807,-8.984,0.0694,0.00515,0.863,0.0926,0.171,125.008,2WL4gLW1R7smQwldZJZjPU,297027
0.276,0.5,-9.815,0.0354,0.0066,0.567,0.339,0.0586,173.926,6lpuacrTTu38mGNdjOfqmI,297493
0.231,0.67,-9.31,0.0536,0.00369,0.847,0.148,0.126,91.065,1C9oENPxKhJlRy21acxJNq,477480
0.513,0.753,-9.129,0.0384,0.0227,0.876,0.103,0.247,150.004,153HayymdEUNcKanP2gsus,246413
0.298,0.536,-10.784,0.0358,0.00849,0.901,0.247,0.128,132.107,1zNbFFcVYQNa8t3luFhtvu,198573
0.357,0.965,-4.323,0.294,0.166,0.0,0.396,0.164,177.91,7lcTpZtdTyfiIgVIpmTVut,276177
0.445,0.73,-3.979,0.0371,0.0166,0.0,0.15,0.168,147.991,1y9QiBBJynizfLbYjHM2Sg,266680
0.637,0.756,-4.614,0.0314,0.0382,0.0,0.0508,0.334,134.011,0MemW1DmggDpHBGH4GgiaS,253893
0.592,0.61,-5.682,0.0294,0.0385,0.0816,0.104,0.162,72.97,4HFytekNqRCDsyX2MlaglV,259720
0.496,0.736,-6.039,0.0827,0.0161,0.0208,0.362,0.0737,124.692,66EOdKkzuonSLBXOrActDD,310693
0.19,0.297,-10.603,0.0374,0.507,0.923,0.0972,0.124,137.927,3WJIqpueto3BPNroOBqVYR,182333
0.515,0.881,-5.148,0.0603,0.00888,0.00716,0.11,0.176,109.521,3MbwkVpKZpQEgzAtNDwqah,175560
0.479,0.864,-4.601,0.055,0.00505,4.58e-05,0.0926,0.421,159.994,2WT4MG0M4R3RmkPUQj8Xct,166853
0.195,0.178,-11.356,0.0331,0.429,0.925,0.0885,0.0545,75.227,1ug41NniaCmW7Y2Lm8k1SY,239773
0.391,0.861,-5.002,0.0429,0.0275,0.0,0.136,0.454,105.058,3ACa8DImXMFWsa44oEUKr1,257653
0.361,0.865,-3.172,0.0481,1.46e-05,0.0,0.407,0.585,91.713,6oFwHRmiMEgxVpZ7oqO2Vd,201867
0.275,0.782,-4.689,0.0467,0.0521,2.25e-06,0.331,0.154,131.744,0zvN9oq95bIEQjvfcdeZlX,263720
0.498,0.82,-6.288,0.0439,0.401,4.54e-06,0.373,0.299,136.901,2vH8JFJKfkAgZs1GFlOzGh,240573
0.54,0.608,-8.498,0.0508,0.00182,0.76,0.106,0.0389,125.01,5IzZpz0vA73IIjqFPpXSXP,256920
0.552,0.804,-7.233,0.0968,0.00486,2.75e-05,0.414,0.543,127.039,6zSXcvXQ8T74fXm72OpSOb,267120
0.573,0.879,-4.853,0.19,0.000176,0.00304,0.349,0.539,137.936,3oID0W8xzgfMWD5KFop4xA,206027
0.339,0.75,-9.631,0.0414,0.00556,0.827,0.271,0.103,124.998,7rzja9bo3uucVXzVDSBOWi,342880
0.567,0.3,-8.421,0.0291,0.0145,0.0,0.0687,0.196,141.819,2LYhS0VbCzbE6alAI3Q7Ot,268333
0.403,0.759,-4.15,0.0492,0.376,9.16e-05,0.125,0.195,169.859,3hdbzikxtK3sY5MT5wAAan,293707
0.366,0.571,-12.063,0.0565,0.0104,0.89,0.0939,0.136,155.093,7u32XGioKOcqZYrEZphaF5,342720
0.373,0.972,-6.005,0.123,0.0619,3.31e-05,0.379,0.0759,157.433,188vCXc4bAejLqGhpEVBGT,331947
0.545,0.705,-5.51,0.0525,0.076,0.0024,0.445,0.226,89.939,6oh6pyBUaJWZbhQKsq0iAm,236253
0.109,0.335,-12.749,0.0353,0.386,0.91,0.0992,0.0397,75.475,7AEcphXUR52QGYxdZ8TDVI,380053
0.585,0.335,-13.812,0.0313,0.663,0.888,0.0987,0.0375,119.947,1EmEUcSo4TNbxR84er0edj,181413
0.345,0.849,-9.816,0.0735,0.00658,0.875,0.36,0.185,110.009,34o9rDFXv6bFX5qtkySnRQ,366587
0.672,0.256,-9.212,0.0329,0.695,0.0,0.107,0.222,119.945,7ANDXcz3rVfPjFcIZeVVbL,289680
0.44,0.983,-4.36,0.0868,0.22,0.0,0.26,0.203,159.968,5uraJqtCBvLpwt3VeomZdq,341413
0.624,0.941,-4.894,0.0527,0.0661,0.0,0.113,0.56,105.02,6iaQi9uPzHoXLMo5g490Bj,221427
0.186,0.679,-7.884,0.0441,0.00756,0.884,0.128,0.227,86.867,4dHOnPucB5VBYq3gjRtYy9,359347
0.504,0.38,-11.826,0.037,0.642,0.857,0.0697,0.0535,123.911,7k1HoUdskuBhyWvm7hPctM,178213
0.241,0.262,-12.617,0.0354,0.205,0.838,0.114,0.0385,116.671,5JplicqqzvRQKrSE7PiAUE,284333
0.179,0.715,-6.19,0.0429,0.328,0.0,0.0903,0.488,178.129,79xW4zeNFlcp5VKyvWk3cC,304267
0.244,0.988,-5.129,0.43,0.414,1.69e-06,0.098,0.0749,149.997,5CEBVy6ywqHcEOuFThtjEJ,306480
0.255,0.981,-4.647,0.18,0.0722,1.43e-05,0.271,0.113,151.413,0Cd4mvL1nALj6QCCk2wpHf,349693
0.513,0.886,-5.942,0.0515,0.00894,2.2e-05,0.103,0.742,171.924,41FVSWUDLLOQok5DZLvKuy,275280
