danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.577,0.941,-5.17,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,3khEEPRyBeOUabbmOPJzAG,193495
0.367,0.896,-4.002,0.091,0.000627,0.0,0.207,0.38,170.863,7v8wKvNQQIxkugCFFjrkaO,184893
0.494,0.986,-2.262,0.243,0.0505,4.41e-06,0.334,0.421,175.003,2l2yRJWgMiJkfPbRNiuC25,228214
0.648,0.904,-4.565,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,7kRKlFCFLAUwt43HWtauhX,327967
0.346,0.901,-4.617,0.12,0.0103,0.0,0.358,0.434,199.934,7nF9c1EmRF3BNAtKDCwUAK,241680
0.37,0.939,-2.056,0.12,0.00165,2.14e-06,0.148,0.463,190.066,0jpP8AlQLVtaMwA3vQYpYB,205133
0.529,0.931,-1.538,0.0581,0.00955,0.0,0.465,0.695,92.466,64yajM6CxtLghmgB53VeXT,212547
0.676,0.461,-6.746,0.143,0.0322,1.01e-06,0.358,0.715,87.917,5SuOikwiRyPMVoIQDJUgSV,230667
0.734,0.973,-1.789,0.0754,0.0435,0.000548,0.0718,0.91,137.024,2MmgGuQzr0kkiA04lMdPXW,184767
0.49,0.738,-7.399,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,7mykoq6R3BArsSpNDjFQTm,246653
0.627,0.824,-3.419,0.118,0.0699,6.57e-05,0.31,0.774,169.935,06XQvnJb53SUYmlWIhUXUi,206000
0.584,0.911,-3.515,0.09,0.0119,0.0,0.119,0.606,92.502,6y4GYuZszeXNOXuBFsJlos,221426
0.553,0.958,-3.159,0.073,0.0186,3.08e-05,0.297,0.541,170.045,7ajpbW6tBpqUI9foCtwlLw,196235
0.546,0.964,-3.923,0.057,0.000124,3.43e-06,0.0802,0.481,104.057,6orDsQsMy7BaqGoRWw3fVN,265467
0.528,0.855,-5.229,0.0953,7.38e-05,1.81e-06,0.281,0.549,146.987,3lUOzabhWYyRImRszpJGOU,200997
0.542,0.918,-5.074,0.0937,0.0101,0.0,0.259,0.784,150.094,3RFL9hE5cBocBsjD5XLJLQ,213438
0.599,0.899,-4.816,0.124,0.00494,0.0026,0.337,0.608,139.977,6CMjaUiyl7WLPop2AoLbn6,175217
0.459,0.878,-1.399,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,6k0X05danQOXSBTVek5DU1,220799
0.32,0.969,-3.397,0.129,1.76e-05,0.00609,0.304,0.168,164.182,0ky07Oq85l9zx7e427XGgC,241575
0.436,0.934,-2.685,0.0507,1.03e-05,0.14,0.321,0.384,91.481,1di1C0QI6Y92yZPYn6XYAZ,240133
0.593,0.935,-3.853,0.0684,0.00221,0.0,0.315,0.618,100.003,364JzOajs76bJymjHm3sVY,238533
0.667,0.903,-2.965,0.0732,0.403,0.0,0.119,0.849,140.981,1XeOqgzh2fZhmgxnmyiIJ8,230067
0.581,0.926,-3.268,0.0662,0.176,0.0,0.251,0.874,117.04,1uveEvgKX4irLcp1BUTIFD,192176
0.622,0.94,-4.997,0.0413,0.0094,6.48e-06,0.0957,0.96,158.056,7qOsSOpiL3R8RKyiBtIYNQ,264127
0.541,0.977,-2.828,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,0qMip0B2D4ePEjBJvAtYre,237587
0.474,0.535,-6.566,0.0354,0.626,0.0,0.413,0.324,79.95,4O6htogl2A9ycNLwc9dVK1,355707
0.508,0.889,-2.755,0.0862,0.0495,0.0,0.0984,0.332,135.014,1rN9QoVxw5U7TJkyaUR8C1,238360
0.507,0.966,-4.046,0.0952,0.000382,1.26e-06,0.349,0.752,125.913,37vujUbX37xoBmwoddMYck,208964
0.541,0.846,-2.729,0.0551,0.0122,0.000149,0.163,0.524,129.138,1gUAX2ImxDsB3YDcyxMXlB,251933
