danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.61,0.963,-4.451,0.0576,0.075,0.0,0.256,0.839,133.747,30WNOfFRiqgebO4eRkCii8,236160
0.536,0.966,-2.929,0.0558,0.121,0.0,0.0477,0.849,152.076,2XpV9sHBexcNrz0Gyf3l18,215707
0.525,0.766,-8.448,0.0438,0.00634,0.00235,0.125,0.383,119.974,5kKloaKFvAuDNFi8m52hxy,266920
0.308,0.955,-3.763,0.111,2.39e-05,0.113,0.166,0.237,174.991,5ORPYXJKlpHWIdceavSGrL,243347
0.436,0.934,-2.685,0.0507,1.03e-05,0.14,0.321,0.384,91.481,1di1C0QI6Y92yZPYn6XYAZ,240133
0.48,0.934,-8.811,0.0575,0.000132,0.375,0.103,0.512,154.953,2lN3LquWyOGx8xPSOhsqPT,183507
0.57,0.839,-9.194,0.0399,5.43e-05,0.678,0.116,0.514,124.97,2x9mxZswDySC1QOFFH09q7,265213
0.363,0.914,-2.899,0.0983,0.00183,0.0,0.335,0.678,177.968,0xmWQKzc5m9rLv2ucDWxwD,236427
0.587,0.846,-7.749,0.0614,0.00676,0.588,0.0998,0.225,105.016,7k9D5GUqhn0Jf3kBnfgQJ6,96613
0.431,0.9,-8.631,0.0537,0.0035,0.822,0.383,0.45,155.075,0y2OZcxtwVvzk4vHsSJXwu,125987
0.38,0.951,-2.92,0.147,0.00282,0.0,0.0536,0.664,186.127,6flEDs8jmQ47ZSFZru59Fz,261653
0.494,0.857,-8.799,0.0624,0.00371,0.0115,0.0718,0.536,176.059,4WoEh8QCiKcpjiueiVj58a,127467
0.297,0.934,-2.205,0.0787,0.000257,1.69e-06,0.225,0.421,136.254,3zE6YLb2IBb8NriBuuXWQd,286187
0.374,0.875,-4.821,0.0521,0.00122,0.0414,0.0869,0.741,165.952,2Kld61w2NR7zPPXtaHeIii,208013
0.334,0.915,-2.124,0.0848,0.000182,0.0,0.137,0.478,148.995,3PcKYVcZNSsLqI1xzXV5Aq,248933
0.477,0.874,-3.211,0.0311,0.000872,0.0,0.115,0.366,94.98,4OLVgNgoTslbcSAyR4PmCq,251600
