danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.611,0.786,-6.117,0.0653,0.265,0.0,0.0469,0.871,78.961,4ZBUuvMtpGqiqF18lqeeIB,216189
0.573,0.586,-6.146,0.0393,0.36,6.67e-06,0.0586,0.415,123.055,1MF7i7rhvphEq4QQr3fajo,233169
0.484,0.508,-9.029,0.0618,0.805,0.000185,0.163,0.477,176.174,7b6blgIv6cMRAXu8sBnWJf,225776
0.336,0.723,-5.089,0.154,0.589,0.0,0.134,0.649,68.046,4ZXyL4LC6u9QmBNERbGyBJ,244866
0.43,0.678,-6.725,0.0583,0.359,0.0,0.102,0.252,68.203,5wglb4bSdNs2bdPqCRq0iZ,306574
0.679,0.792,-6.795,0.0594,0.228,0.0,0.267,0.681,114.26,4tKBEzm5jPrV4b1GYZnN2P,295649
0.682,0.735,-9.521,0.0346,0.113,0.033,0.303,0.923,142.041,5LXlfCsvGlsobIrJ093Rai,301898
0.661,0.7,-4.042,0.0441,0.504,0.0,0.112,0.566,112.604,7Kz1cLU2WGD3w5ARYrxsNq,320591
0.677,0.682,-9.961,0.0462,0.595,0.0,0.0586,0.937,87.016,4U0DuUjKUOnRLrY7iBQ3kU,324722
0.383,0.654,-5.721,0.0465,0.538,0.0,0.124,0.498,116.474,3quHorw9IRJWtWaZKpl6I1,285291
0.708,0.621,-6.509,0.0307,0.75,0.000199,0.102,0.768,130.029,1lJhnoFUqtSkK2BkrxrDVE,212587
0.652,0.672,-6.915,0.0364,0.48,1.21e-05,0.153,0.756,112.155,57sUOJMuLSA85ru2ewTgbB,278485
0.801,0.56,-9.686,0.066,0.561,0.0,0.296,0.506,110.067,4ElrjJKCDraFudqQMqG5Jj,237818
0.605,0.682,-4.918,0.084,0.362,0.0,0.133,0.724,133.85,5RLyQK3o0mVIjmjbFM0sT2,282937
0.463,0.64,-3.734,0.0531,0.354,1.03e-06,0.308,0.502,71.809,5lcuSQuICbP7C6X9EtBhlv,268659
