danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.756,0.399,-11.479,0.385,0.354,0.0,0.0996,0.409,164.948,2L1MgWewnKsCx9MKykjZJw,232727
0.709,0.689,-5.615,0.0818,0.528,0.0147,0.111,0.523,100.972,5zgOQGcG0oTDUQVc45q1BY,191827
0.77,0.453,-10.359,0.444,0.339,0.0,0.0915,0.801,154.566,7AM2uga26rlhKu1a27MyFS,190000
0.747,0.518,-8.103,0.355,0.698,0.000126,0.109,0.574,129.341,6bgI3JZPDLm6gDE75utatQ,217104
0.534,0.624,-6.406,0.116,0.712,0.000132,0.112,0.642,87.786,3ejjmzEsUfObGdmmQRVmM2,190787
0.799,0.744,-4.902,0.0358,0.0801,0.000486,0.145,0.324,123.017,6nYW5D9TyWomuS9hW6wDuY,209947
0.694,0.569,-7.026,0.0573,0.592,0.0,0.0883,0.374,140.004,6vEtT2Vu5MprdI69pATbLm,211230
0.598,0.654,-8.31,0.0565,0.486,9.7e-06,0.101,0.536,179.853,5IJRqarA4QIc2qAw74mYo9,184661
0.563,0.572,-8.769,0.125,0.64,0.00227,0.1,0.392,95.013,6Cz19JJwGyVgvYS04kMdSi,238940
0.719,0.482,-10.153,0.0612,0.817,0.0,0.0756,0.711,135.084,0qvOa81HDkZs2c07K6XtCE,172023
0.552,0.697,-9.458,0.475,0.33,0.0,0.296,0.484,175.546,6ZKbxxzlGfC2d0s7p8hqjc,192000
0.609,0.399,-11.177,0.0362,0.443,0.0633,0.0783,0.36,149.946,5OInx13SpghEifbS5bQmwq,148062
0.737,0.774,-4.469,0.25,0.647,0.0,0.102,0.606,96.944,42Vy5zKc5KcUsz5dyGEMQI,167439
0.763,0.609,-7.367,0.0482,0.412,0.00748,0.104,0.332,98.071,5vlL8e2Ssrc7YCxjzgG55A,180306
0.671,0.41,-8.192,0.183,0.921,0.00181,0.102,0.51,165.955,0zzrAsIPYKENTWOwZqYjYp,178886
0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,26b3oVLrRUaaybJulow9kz,184791
0.686,0.599,-7.987,0.0586,0.232,3.73e-06,0.396,0.705,150.04,0o5qyh1mrp1elvYeEuWFbL,209190
0.592,0.605,-6.159,0.0432,0.342,0.00012,0.103,0.419,81.98,7BTwRzjCkjMJUEMmXvGPAR,204695
0.623,0.527,-10.209,0.415,0.467,0.0,0.308,0.569,83.824,6h8Q07MtQBabHOjObg1a57,206000
0.673,0.57,-7.959,0.113,0.461,0.0593,0.106,0.508,191.891,5SfgODdv831EqaStxXB8el,265120
0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1rrqJ9QkOBYJlsZgqqwxgB,185093
0.594,0.578,-8.061,0.165,0.183,0.0,0.119,0.408,181.44,0SUlLkixUcXSZeYaCatnZP,224628
0.606,0.799,-6.862,0.424,0.55,0.0,0.121,0.482,93.073,5uFJwscfsYN5NFL7bUl3p3,265806
0.673,0.591,-10.843,0.36,0.459,3.21e-06,0.106,0.52,194.065,0jCNrDbEbpRbuDiGcKa907,190515
0.804,0.73,-8.567,0.0577,0.019,0.000177,0.084,0.442,102.996,7f783hK2ilf4bwfayaNvdB,189692
0.832,0.438,-10.615,0.0675,0.767,0.00527,0.11,0.718,91.974,5DinnPLecFV8N9b5QuZc8D,195652
0.742,0.646,-7.496,0.253,0.472,0.0,0.0708,0.644,89.949,7syDtybPIIxoR1jvz6w8nI,192000
0.763,0.919,-4.041,0.112,0.132,3.74e-05,0.0917,0.488,134.918,29n9av2AJlYDHtqfuv0X04,200107
