danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.393,0.5,-9.22,0.14,0.53,0.00217,0.171,0.367,81.882,68WRDAU8QecpIyasp2BEby,306362
0.7,0.813,-5.175,0.0506,0.0979,3.94e-06,0.291,0.57,92.998,6v9noMonS9GMI3Yx9CsSmF,280000
0.686,0.66,-5.947,0.0291,0.47,7.01e-05,0.206,0.727,135.984,0SbObewB36qKLWcaxMntej,195882
0.671,0.41,-8.192,0.183,0.921,0.00181,0.102,0.51,165.955,0zzrAsIPYKENTWOwZqYjYp,178886
0.599,0.428,-8.555,0.17,0.486,0.0,0.0995,0.36,80.026,0Oz1kaka4qeWhjntOZTRFv,232500
0.621,0.756,-4.685,0.203,0.308,0.0,0.224,0.267,100.612,4ageOMHYR3Nw14OKnSx3X2,158400
0.722,0.688,-7.008,0.0267,0.244,0.00117,0.138,0.881,104.999,4Guq7XrO1FjduwFBsVbr0E,216357
0.733,0.695,-4.387,0.0474,0.558,0.0,0.41,0.834,106.883,7qnR06N2Ekj9iBOQHiFqdq,219813
0.78,0.59,-7.77,0.132,0.487,1.07e-05,0.115,0.66,104.977,5kdlxZ5skOYY3VK8RlfEIZ,206113
0.794,0.748,-5.787,0.031,0.226,8.57e-06,0.144,0.888,110.001,1VfR7wqvEB9vQZrpizMRmf,179526
0.658,0.339,-10.672,0.091,0.496,0.0,0.176,0.299,129.886,2IhPJapsl9WFLBFNhWZp7q,253385
0.685,0.448,-10.786,0.427,0.34,0.0,0.11,0.378,148.021,6J2LvJwmgpauEsaY6h06fW,244865
0.793,0.809,-2.463,0.286,0.189,0.0,0.0439,0.701,98.887,4gQ6fFX5GwpUc7TdthnnKw,157683
0.755,0.594,-7.316,0.0422,0.12,1.74e-06,0.0666,0.629,117.948,2BHxg3zP8IdRvvWPVavzqB,269231
0.717,0.598,-10.042,0.17,0.413,0.0,0.148,0.699,107.0,1hpjMinSryyJGslYdF0cyy,157000
0.676,0.84,-4.857,0.147,0.265,0.0,0.0955,0.88,171.962,3gAYSjeXZ5XbicBFX5G0Ya,200930
0.68,0.487,-9.639,0.0415,0.767,0.000332,0.133,0.26,91.966,6CU68VwcV10VfulVQMfj3X,241852
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,0WtM2NBVQNNJLh6scP13H8,239318
0.909,0.679,-4.014,0.0774,0.0195,0.000258,0.317,0.78,120.01,4pGaxNrUaxI98DYSK6s7mj,199733
0.738,0.705,-9.055,0.213,0.481,0.0,0.257,0.668,140.957,6gg53gW5wlz0jSQmOcqIfY,180426
0.365,0.421,-10.082,0.0655,0.36,4.99e-05,0.0709,0.201,179.516,20MpmTGEcFIfMxxqobnxnl,264110
0.654,0.943,-4.16,0.0429,0.161,0.0426,0.0881,0.926,79.97,6aelrywDmMzedMN0FSa3s8,191317
0.947,0.732,-5.764,0.355,0.15,0.0,0.134,0.673,120.083,6cpTq72SH9QSocMTnGEKg5,212000
0.741,0.819,-5.189,0.0708,0.104,0.0051,0.427,0.86,92.332,0Kb87SCKl8pFyKm0yD9TYf,163122
0.811,0.868,-8.457,0.18,0.168,0.0,0.135,0.779,99.976,00iZxf2j4qUqsSa7HOngwZ,250540
0.781,0.642,-9.425,0.0568,0.0547,1.85e-05,0.128,0.696,119.01,6zUTQHFa3gsmWyRxZzYe4e,160336
0.674,0.808,-5.079,0.0443,0.235,0.0,0.0663,0.611,91.038,5YH0SNUHx7P423UiUvB67d,302513
