danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.416,0.393,-10.053,0.0672,0.869,6.69e-05,0.11,0.405,79.968,7JaX3X1cPBAGoTs4V1P4uy,211840
0.554,0.331,-14.449,0.0344,0.435,0.0,0.308,0.418,128.202,7BXhyXma11NSNQlQDZOgiN,243278
0.538,0.652,-8.214,0.0386,0.3,1.96e-05,0.977,0.749,120.945,0sAUacVQZzAc5oK3i7BLP5,178469
0.301,0.264,-11.73,0.0409,0.874,0.0,0.0795,0.433,89.686,1chsFxuRdocgGwhhCYfZ9m,298292
0.329,0.123,-15.966,0.0349,0.903,2.38e-05,0.138,0.144,143.049,1dGu88NLFpBp0YLqx8YBWD,268669
0.617,0.174,-11.502,0.0437,0.973,0.0,0.0949,0.566,85.322,061rTXN3Rdlvk0x3GDGtQy,278883
0.627,0.658,-7.743,0.0347,0.582,1.49e-05,0.242,0.861,114.049,46R7cZ3s7Mhj85PgFW19j0,537760
0.271,0.276,-10.109,0.0307,0.911,0.0765,0.0849,0.345,139.956,3JO3CNuCxwuwlpEjjCnDZN,253533
0.44,0.246,-12.949,0.03,0.832,0.00012,0.128,0.473,81.21,2gVHZ9GmBjUX76jaI2syD7,350800
0.348,0.35,-9.541,0.0984,0.911,0.0,0.186,0.297,204.222,3D126sLjlKaI1Ifv1LQcho,214093
0.593,0.933,-6.199,0.136,0.314,0.0123,0.283,0.652,122.043,4vb772ivEiQOhuVuvk4k9z,183147
0.597,0.753,-8.878,0.0487,0.361,0.00325,0.0767,0.664,111.857,1CoN7VnsENHvbSD7TuiIjg,415040
0.466,0.25,-10.132,0.042,0.857,0.0,0.255,0.701,76.927,0tOQdr6q6NZFHrywSQSVJP,333693
0.362,0.193,-13.865,0.0672,0.994,0.177,0.136,0.666,77.176,2OJxCdR8WFgVsLdJWLARPs,389947
0.695,0.823,-9.606,0.0612,0.601,0.0272,0.119,0.871,130.53,6ERp6cUIKcC0AgQF58kBqO,311067
0.484,0.1,-19.668,0.05,0.954,0.000251,0.114,0.376,97.107,3WxUI6F09yVhLMLksKMjQJ,557467
0.341,0.361,-12.332,0.0341,0.868,0.0158,0.179,0.4,96.286,3KBAdaINx01JTIhkxUt8m2,754614
0.337,0.478,-12.574,0.0445,0.788,0.000224,0.156,0.403,153.499,5AmP3h3zhDQcte3kz4z2Ts,954507
0.444,0.353,-6.957,0.0347,0.964,0.0,0.0961,0.36,131.151,2mKmp5uQREPXBvL0UR4cIn,222707
0.578,0.266,-13.454,0.0365,0.73,0.0,0.271,0.32,98.571,2ea6bt302Bq8Hiulp8Bn2C,212924
0.739,0.644,-8.639,0.0704,0.657,2.08e-05,0.28,0.712,94.65,1M7JU6lgxWAUkm2Ucq4YlA,322133
0.362,0.812,-5.793,0.0761,0.759,0.0,0.375,0.601,114.407,5vDaJGmMI4wSBDxlgp23iQ,394280
0.386,0.282,-6.567,0.0288,0.93,0.0,0.112,0.223,98.325,3AiuwWanFKEAJRZ9quHo7o,513463
0.484,0.191,-12.706,0.0405,0.894,3.55e-05,0.105,0.327,91.576,4ZjL7skvbKeU9kxJ6rcygr,182120
0.352,0.797,-6.358,0.0577,0.726,4.33e-05,0.345,0.642,109.146,5TLnM9z7xmVMf8ZTrZmz6n,374027
0.325,0.33,-8.565,0.0455,0.706,0.0,0.609,0.461,89.98,1O4lVF8Foazqwcrc0zFb4R,383701
0.373,0.452,-10.48,0.0352,0.515,0.0,0.218,0.692,177.106,0wlaNeRCa2NuTIL6hTluE9,325440
0.393,0.428,-12.714,0.0389,0.56,3.45e-06,0.227,0.654,96.126,7KfvkyDGuIDvHIByxDR656,303961
0.697,0.662,-9.839,0.0428,0.621,6.01e-05,0.0463,0.799,147.853,2LXP9G0dk5SLhiEYzEyneQ,409867
0.424,0.44,-9.036,0.0308,0.719,0.757,0.188,0.439,102.907,0z6lBh5eWAPqfB2GOvnzCZ,273241
0.347,0.506,-10.94,0.0554,0.766,1.88e-05,0.132,0.22,136.11,2m9M4CgQ5NP975LXa5cU9c,605231
0.413,0.423,-7.825,0.0339,0.678,0.0,0.285,0.452,110.046,4FnuYtmoJT8x2Ypf9lFxmp,204067
0.413,0.621,-10.535,0.0565,0.53,0.00318,0.772,0.5,135.491,1Ub49Mz15iM2aur0EnTAik,495773
0.336,0.62,-6.667,0.0528,0.683,0.0,0.966,0.477,154.936,7HfgYtbGIgpgbYMOCAQAiD,582531
0.372,0.462,-11.916,0.0395,0.653,8.14e-05,0.163,0.589,108.874,6eT3b2F5V7u8qQGGwWUzTE,546200
0.563,0.616,-10.37,0.0388,0.202,0.0,0.795,0.863,116.51,5E5otf9b60Xs5fVzqARLXN,165433
0.446,0.072,-20.717,0.046,0.967,0.00291,0.0878,0.245,94.506,21tex4DepSuw7tJSS71XHf,566920
0.875,0.677,-8.826,0.0349,0.538,0.00171,0.313,0.919,109.927,2QrAWQ1bvwhz0TwBwlzEle,176600
0.604,0.813,-9.173,0.124,0.652,0.00269,0.893,0.55,131.902,19R3nkpFwmgJ9rVUhHGY1I,201561
0.751,0.674,-9.338,0.14,0.808,0.0,0.109,0.769,114.592,4qiCS1XwEMYWNUonchE6f3,143726
0.474,0.283,-14.167,0.0453,0.847,0.000203,0.107,0.364,117.308,2pulvQDTgqjX4djPs6UygN,201718
0.473,0.745,-7.854,0.0473,0.823,0.146,0.449,0.66,113.828,4cPbsdZ26Frzkx5NfCrzYN,128067
0.362,0.588,-6.93,0.0567,0.755,0.0,0.966,0.406,134.468,5Qarsd0v4kMbeyyVnacsrU,839800
0.427,0.294,-9.495,0.0411,0.96,0.0,0.185,0.476,133.692,2oA4jAfCVGJVyLywmPGdM6,214506
0.477,0.391,-9.153,0.0303,0.694,0.000109,0.0791,0.793,177.46,3vvOccEtVWGrNbPaUsyNso,184947
