danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.794,0.748,-5.787,0.031,0.226,8.57e-06,0.144,0.888,110.001,1VfR7wqvEB9vQZrpizMRmf,179526
0.816,0.669,-5.336,0.0576,0.126,0.0,0.119,0.668,120.021,2HbrI0oakRE7qNXoK74zNR,172233
0.859,0.671,-4.488,0.0448,0.271,3.03e-05,0.0733,0.938,100.022,1uE7Gln68v4duncYy4QgQm,194373
0.768,0.787,-4.782,0.0938,0.00805,5.76e-05,0.107,0.334,104.004,2xQlFQeMuiyOEP3hNaAyfG,185192
0.808,0.691,-6.032,0.0807,0.0411,1.16e-05,0.0936,0.271,110.01,2O6kwqT9Hb38PhHwbCNfOh,171664
0.592,0.801,-3.129,0.198,0.146,0.0,0.18,0.413,99.739,7DwNsMz0MNNoHsKIZWjj73,158411
0.674,0.884,-4.563,0.043,0.000387,0.0577,0.18,0.477,119.983,3AwmOjkzr9WZUqEewrskM1,155999
0.675,0.717,-5.685,0.0744,0.00428,0.0,0.0939,0.506,96.881,3LD4tIbxeoknZaESeLW1Ai,163680
0.763,0.863,-4.395,0.0451,0.651,0.0,0.0815,0.9,123.911,3LXPZvEHf0vhgFKs4giHSS,211452
0.66,0.823,-4.202,0.0705,0.0565,0.0,0.174,0.565,126.02,7HggqNnuBpLCsP9wH2oNwn,232373
0.755,0.594,-7.316,0.0422,0.12,1.74e-06,0.0666,0.629,117.948,2BHxg3zP8IdRvvWPVavzqB,269231
0.789,0.695,-10.049,0.0446,0.00604,0.000375,0.082,0.516,129.048,3c5jOjIWCDHjy7XPFuWuaM,142848
0.658,0.815,-7.298,0.0567,0.156,0.0,0.136,0.59,145.063,23Bk2OacS07Il0Ns7HAUSd,215862
0.895,0.809,-5.155,0.0813,0.118,3.07e-05,0.0355,0.909,123.006,7pu5c7XiIjyxnbohUJQ0b0,201463
0.78,0.59,-7.77,0.132,0.487,1.07e-05,0.115,0.66,104.977,5kdlxZ5skOYY3VK8RlfEIZ,206113
0.649,0.809,-5.213,0.0383,0.00936,9.84e-06,0.193,0.259,122.012,07CDjBvpGNoTosJS7zcvnq,140356
0.746,0.699,-9.239,0.0703,0.0473,7.21e-06,0.0559,0.884,90.005,1w6kXQlGG8m1KnatAlhuCT,249703
0.8,0.857,-4.595,0.048,0.149,1.49e-05,0.0598,0.505,108.003,32fN22RlrQRRCH59Y80eSB,194383
0.406,0.309,-12.413,0.0375,0.94,0.259,0.109,0.359,143.376,2WH1SisQ0vTP3kxba3B48q,240245
0.776,0.509,-7.829,0.0324,0.353,0.0,0.162,0.298,120.007,6ifzqwDP0Fnsz4uhHB8k2c,216117
0.903,0.745,-8.9,0.0412,0.294,0.000712,0.0811,0.972,131.945,0BCEJXmemL21JvNNoOB5TT,141887
0.656,0.839,-6.844,0.0564,0.0122,4.13e-05,0.128,0.688,126.016,7qq9gkXMLG64zEnqTn2s9o,209524
0.737,0.82,-7.582,0.0521,0.273,7.86e-05,0.152,0.927,128.97,5u6I8MExcbewu6VcSnI1Sc,249302
0.864,0.756,-4.744,0.0716,0.074,0.0,0.095,0.791,99.993,7i5Ud8atK2QZdxgdVLtExX,185105
0.668,0.609,-8.729,0.101,0.431,0.0,0.139,0.765,92.0,1l3S4j9ksQMh2tKIta1bfw,214328
0.717,0.598,-10.042,0.17,0.413,0.0,0.148,0.699,107.0,1hpjMinSryyJGslYdF0cyy,157000
0.842,0.614,-4.397,0.276,0.173,0.0,0.0894,0.424,91.983,1y7wArtYdwMin7fG9jhg4d,169565
0.806,0.56,-7.487,0.0871,0.056,0.00167,0.112,0.348,125.95,19k16k7aJEjAkOnSxKxyc7,229548
0.808,0.748,-7.231,0.0793,0.17,0.00614,0.0863,0.539,100.028,524qzN14VG2CCqVgDIiwNA,156000
0.736,0.874,-9.341,0.0741,0.179,8.71e-06,0.0694,0.665,97.019,6DdXM6uwl9XuGIVwP7bXOx,203016
