danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.675,0.597,-11.329,0.0337,0.0534,0.0,0.0986,0.828,108.875,2eF8pWbiivYsYRpbntYsnc,161160
0.662,0.84,-3.112,0.0509,0.17,0.000226,0.155,0.568,112.914,5goqVeMYUQecvpcjNxpadU,198800
0.593,0.791,-8.698,0.068,0.175,0.0,0.0976,0.63,112.295,2vLaES21zwbX1Rnmj56Bbb,188800
0.79,0.442,-14.09,0.0873,0.392,0.0,0.639,0.965,150.137,4qsHN0A1uiS4stUbDjlUbe,204223
0.788,0.603,-7.743,0.029,0.675,0.0213,0.158,0.765,123.992,4K19C0CaVA9QtjGEYW7ehK,225994
0.812,0.398,-10.103,0.0403,0.676,0.000697,0.0768,0.922,119.257,4YeYupLm97ehlhYhboqMxM,237351
0.482,0.548,-9.946,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,2kpoReN3MY7I0tSF902n0z,284870
0.514,0.545,-7.96,0.224,0.35,0.0149,0.162,0.611,100.027,5pSRBmJhkfZm1eilG3VW3L,205027
0.437,0.565,-5.596,0.0466,0.697,0.0,0.119,0.306,115.389,6v0UJD4a2FtleHeSYVX02A,376169
0.41,0.427,-9.695,0.0374,0.618,2.08e-06,0.067,0.557,95.193,74cTLzttRYdy798wjmudYR,197440
0.791,0.733,-5.465,0.0633,0.523,0.0016,0.167,0.962,105.853,714hERk9U1W8FMYkoC83CO,244920
0.823,0.8,-7.198,0.0419,0.614,0.0,0.0934,0.969,126.315,1BLXxFPDL2BT37nHKD7KrA,180174
0.568,0.824,-4.613,0.0299,0.403,0.0,0.0855,0.753,108.625,5Ts1DYOuouQLgzTaisxWYh,174760
0.623,0.44,-8.216,0.0348,0.866,0.0675,0.0891,0.802,86.726,4gi81cgaU0Xmek1IuOENM5,265587
0.53,0.685,-6.69,0.0658,0.109,0.000277,0.123,0.709,113.618,2zrtp9krR2IyT9mi2PaIBC,154240
0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000
0.585,0.495,-10.737,0.0367,0.762,0.000427,0.0799,0.54,102.443,0rUodcurnZSZP1Z6hb4InJ,209813
0.74,0.674,-7.651,0.104,0.534,0.00769,0.355,0.607,101.977,2NTZ1nzUqueH7odDcjLq5s,221813
0.772,0.582,-5.14,0.0615,0.222,8.78e-05,0.108,0.319,117.856,64I0PKLFEKlcvc7fEVUGq0,180067
0.584,0.684,-4.314,0.567,0.312,9.05e-05,0.112,0.72,210.164,3NRql0A1Ef4RCvT473iqgD,213573
0.873,0.651,-4.179,0.0374,0.0251,0.000107,0.213,0.828,115.002,2QOB5UiRKggr2j9uMD3GYK,178290
0.674,0.909,-3.369,0.0464,0.469,0.0131,0.105,0.969,103.942,113bLFbp3F9MVN0w2KJ1ma,243760
0.592,0.214,-13.468,0.115,0.936,1.62e-05,0.253,0.422,81.672,5cwCW4r6ybpSiHWMpMKHoJ,117037
0.678,0.544,-9.468,0.0326,0.668,9.62e-06,0.103,0.963,122.735,1GY8zOFi8rC39xXnD0tKO8,171027
0.78,0.417,-11.365,0.0363,0.113,0.00227,0.37,0.283,120.042,7GGguiA9LkgFT3BZbzHjwQ,213402
0.671,0.716,-6.578,0.0307,0.107,3.62e-05,0.284,0.623,115.995,2iawlVRHk4Q9aPg0OgG20D,192613
0.592,0.464,-9.38,0.029,0.314,0.0439,0.122,0.604,75.04,6dNZFeSZ7n16Of2RL7N9OF,145867
0.642,0.65,-8.567,0.0623,0.66,0.0,0.14,0.973,164.421,3RNyGLgSvmVRZ7xKUp8Wgd,215800
0.711,0.817,-2.457,0.0265,0.217,0.0,0.0592,0.773,99.021,1i9bL3Pm3Hzc3ILU3pfosw,225357
0.525,0.852,-9.519,0.222,0.731,5.11e-05,0.218,0.884,157.404,6FT83pFXKhDlXDsNJFAHWz,161907
0.836,0.401,-10.949,0.148,0.489,0.00126,0.237,0.477,140.008,2YCcYjoyShxR1fko25WTdc,276453
0.691,0.507,-10.23,0.0343,0.627,0.0,0.457,0.885,128.518,2g2GkH3vZHk4lWzBjgQ6nY,125440
0.804,0.779,-7.025,0.0423,0.404,0.0,0.0871,0.961,135.972,6sFsWmgZv049Py5DMNgjF8,179507
0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,6dGnYIeXmHdcikdzNNDMm2,185733
0.717,0.455,-8.303,0.0276,0.0846,0.0,0.11,0.389,127.812,2ixsaeFioXJmMgkkbd4uj1,200733
0.699,0.83,-4.898,0.0633,0.00243,0.00024,0.0995,0.889,105.809,6kopmMZiyLmw7h66uXcXR7,219413
0.85,0.55,-7.624,0.0363,0.259,1.24e-05,0.125,0.933,127.941,3F9jGLJG2Ij68OaGqSprQG,201230
0.767,0.534,-7.436,0.0547,0.211,2.14e-05,0.123,0.484,102.998,2woRk8Hny1zCMJ37K4TvR7,152326
0.391,0.692,-6.543,0.0462,0.0946,1.58e-05,0.191,0.56,180.008,6d4FWjx72iuRWzn1HwywLK,246587
0.731,0.804,-7.621,0.0473,0.172,0.00028,0.0685,0.957,107.383,7GVUmCP00eSsqc4tzj1sDD,205933
0.693,0.732,-6.444,0.0378,0.812,1.14e-06,0.0988,0.823,137.019,0xLYyJmP9Edo3rPUIFpARa,304653
0.45,0.255,-7.259,0.0262,0.819,4.43e-06,0.0891,0.214,83.664,0QLkvE8jrmVDrfhPaWuq7v,237773
0.738,0.671,-5.588,0.0348,0.143,0.00157,0.102,0.906,141.873,6q1ujXLbMDkPLOPb8BDtm2,222726
0.713,0.8,-5.938,0.0349,0.0491,7.96e-05,0.0921,0.814,139.942,3zYQ1KXzqBWRsxIqdVMoYF,177200
0.618,0.771,-3.925,0.0319,0.515,5.68e-05,0.161,0.619,102.412,5TJD3o52h1wMDoU0cYGwTv,224000
0.673,0.823,-7.392,0.0805,0.245,3.8e-05,0.121,0.717,99.909,7EIETgqBk63OdvVyIFDNKx,303080
0.632,0.59,-10.206,0.0305,0.346,0.0,0.24,0.953,130.287,5c33j1xFVOL4G24zxYhssB,172733
0.566,0.49,-10.867,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,69RH84na5iUNwrwxpgjC5j,153333
0.693,0.766,-6.976,0.0405,0.0518,0.0,0.0735,0.584,98.992,4ESfShgbxkqvXbYVmDLT4W,213333
0.746,0.243,-15.134,0.123,0.829,1.02e-06,0.0905,0.425,118.578,6VTbbVjKOC2qWagIDbkJrC,215747
