danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
0.87,0.516,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,210200
0.751,0.761,-4.113,0.15,0.251,0.000238,0.0991,0.553,92.032,0oBtwScT4B4BR5kZitNWd5,151325
0.736,0.727,-4.642,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,6OzUIp8KjuwxJnCWkXp1uL,229065
0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,3rmo8F54jFF8OgYsqTxm5d,230747
0.798,0.299,-9.634,0.0447,0.723,3.67e-05,0.129,0.701,115.03,7FwSZyO5ynlN0OJGVOjE6k,206147
0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955
0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,2JPLbjOn0wPCngEot2STUS,206710
0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG,178147
0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz,202735
0.872,0.681,-4.348,0.11,0.0462,1.38e-05,0.129,0.481,96.986,4EQOGfssbSpTlV6EZRtrSv,188009
0.734,0.685,-5.37,0.0453,0.117,0.0,0.109,0.754,92.042,4khWEpnaijN0G1x019Uzdr,216753
0.588,0.701,-6.39,0.0402,0.00813,0.0,0.2,0.443,104.988,3FeVmId7tL5YN8B7R3imoM,228000
0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4C6Uex2ILwJi9sZXRdmqXp,170977
0.781,0.662,-3.825,0.0336,0.355,0.0,0.161,0.686,91.999,40vzZFWG1h60TdZPuxuX3Y,197477
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,46IZ0fSY2mpAiktS3KOqds,224695
0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,157890
0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,0bI7K9Becu2dtXK1Q3cZNB,140500
0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,5CZ40GBx1sQ9agT82CLQCT,229227
0.453,0.673,-5.649,0.144,0.32,0.0,0.131,0.266,92.06,1UdzJEpgJxtuXAlCOvD4S0,159849
0.653,0.524,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B,160191
0.809,0.649,-4.433,0.0416,0.0407,0.0,0.145,0.72,120.014,7gwT3HGL84vF7bgtwL1N88,198520
0.801,0.633,-2.785,0.0777,0.414,0.0,0.27,0.676,92.025,7kYbxvrGXv8cmKjkqgqhrw,167674
0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,5TMLavqGRKNxgzMBrVpC9R,179940
0.843,0.7,-3.563,0.0803,0.0934,0.0,0.14,0.899,93.991,1ri9ZUkBJVFUdgwzCnfcYs,226088
0.78,0.718,-3.605,0.0506,0.31,0.000163,0.0932,0.342,127.949,4fSIb4hdOQ151TILNsSEaF,199604
0.78,0.877,-3.683,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,1uKjQoh8JZj9ryuYRhpd7E,191973
0.774,0.73,-3.865,0.134,0.108,0.0,0.194,0.421,91.966,5fhcuVxuBWfgNXGuyAtLmr,212304
0.655,0.797,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,6habFhsOp2NvshLv26DqMb,229360
0.85,0.541,-4.522,0.0674,0.161,5.01e-06,0.286,0.916,92.003,0cOa970mzTWAxKtltpkpLc,165275
0.585,0.643,-8.392,0.0395,0.201,0.000306,0.144,0.592,152.98,3lGMtkONrZdJ8kTCg6KIFf,221800
0.829,0.747,-3.511,0.149,0.276,0.0,0.339,0.576,98.03,2X8AGLwb9F0JzJ9zT27a22,191607
0.793,0.62,-3.769,0.0462,0.309,0.0,0.121,0.917,111.979,5S7FewmYYyLNdMOfeEcB6P,127333
0.667,0.571,-6.675,0.0245,0.434,0.0,0.188,0.651,95.022,2pIIRKRwWSi1Sb29VYLOOa,144632
0.762,0.77,-2.758,0.223,0.138,0.0,0.15,0.631,177.998,4HzqWEdAbzcVFDv0pvxV4w,201181
0.687,0.361,-11.589,0.0792,0.35,1.11e-05,0.11,0.526,165.747,0OEBOJhSObnFuHuasXdt52,173133
0.735,0.795,-6.523,0.113,0.0296,3.18e-05,0.0678,0.905,122.0,1nH2PkJL1XoUq8oE6tBZoU,188918
0.642,0.442,-9.115,0.074,0.491,1.58e-06,0.102,0.465,148.01,4NUt1fcnO9aQAELBgXq3Kr,231773
0.75,0.522,-7.018,0.0293,0.282,0.0,0.0743,0.601,110.427,4OwhwvKESFtuu06dTgct7i,321556
0.579,0.596,-4.823,0.0561,0.436,0.0938,0.0549,0.443,119.9,4gvrJnKCKIPiacNsWVQwEU,188369
0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,3IAfUEeaXRX9s9UdKOJrFI,193806
0.727,0.546,-4.572,0.0437,0.656,0.0,0.122,0.69,106.891,2MnLkFqY9Rpg9s3Zv6ZJdK,197333
0.85,0.756,-3.439,0.0407,0.0999,0.0,0.0873,0.896,120.024,4XqXNU8MwPHwbgZmNXmAdc,168601
0.726,0.544,-4.44,0.229,0.44,3.56e-05,0.124,0.613,178.117,3LWay44eeYFEh27Gf1UA7J,204827
0.806,0.778,-4.577,0.0616,0.133,0.0,0.218,0.84,95.993,71iAechwVKGu26pahzFL0k,219587
0.748,0.856,-3.517,0.0348,0.0824,0.0,0.142,0.927,123.031,0Be7sopyKMv8Y8npsUkax2,189320
0.531,0.834,-3.944,0.052,0.277,0.0,0.131,0.526,142.026,1iRvhKiXRElIH2Uf4gd95P,247640
0.699,0.654,-6.264,0.0383,0.054,7.08e-06,0.095,0.319,100.037,3HgvO4B5LLmdPOT2d8cSZd,192313
0.394,0.475,-7.935,0.028,0.0251,0.00749,0.112,0.441,129.995,4skuEIloXWuxxgekKupkEH,278547
0.69,0.973,-3.588,0.0492,0.126,0.0,0.101,0.772,143.957,1mlGScrDQqHqmhdIqE8MmA,231533
0.869,0.727,-4.956,0.121,0.00118,6.97e-05,0.183,0.613,93.989,0HINQFSerZ6iMfSsaTO3G5,159200
0.595,0.461,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,78dbqYDvx6FOefROApu9w0,192867
0.836,0.637,-4.803,0.0367,0.535,0.0,0.129,0.875,120.025,3UI9I3e1g1y5T3SMfdgfGO,230280
0.696,0.758,-6.076,0.0264,0.17,3.33e-05,0.189,0.859,129.943,3b1IQflSLrgzYQPGFzI9cl,250693
0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,1yoMvmasuxZfqHEipJhRbp,199112
0.658,0.453,-7.378,0.39,0.131,0.0002,0.0848,0.358,126.043,3GaGWoU1KfVqgl7vnRHP55,153960
0.374,0.727,-4.352,0.0309,0.237,0.0,0.134,0.283,155.127,6F9yAYUaNbUhdlQyt5uZ3b,257027
0.76,0.773,-5.314,0.0675,0.176,0.0,0.1,0.895,102.789,7DhYjNLksXZhbRQeheAums,266160
0.473,0.657,-6.278,0.024,0.0454,2.41e-06,0.068,0.294,74.996,3hbTkJ0yFzHbawnKyhvTQj,224973
0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY,200960
0.751,0.618,-6.643,0.324,0.596,0.0,0.129,0.707,93.728,5DFi6D7SrYHRIgZbY5MqqE,204894
0.641,0.593,-7.884,0.0264,0.46,0.0,0.169,0.437,119.828,6vPAmoERUMRoTZaCCSWQ12,281000
0.594,0.612,-6.627,0.363,0.835,0.0,0.461,0.687,179.629,2gQPv5jvVPqU2a9HhMNO1v,168020
0.648,0.846,-6.731,0.0424,0.199,4.23e-06,0.0803,0.815,160.075,0wQCKR9OFjYu5Kzrk7WivJ,343413
0.773,0.767,-4.019,0.0819,0.0352,0.0,0.299,0.49,94.99,0LKu09Iq053CEUZ5ktQEWc,252162
0.612,0.697,-5.476,0.0387,0.261,0.0,0.347,0.633,91.976,5OX1JvE7gTkOd1DSzlrtFw,176087
0.656,0.877,-3.231,0.0342,0.345,0.0,0.349,0.894,105.018,3QHMxEOAGD51PDlbFPHLyJ,252347
0.811,0.588,-3.161,0.0464,0.128,0.0004,0.0929,0.553,107.022,2qEoAz0i6yEz5dPggABcLH,226187
0.845,0.776,-3.098,0.0488,0.111,0.0321,0.0684,0.528,105.018,77l75UICfUZK5k0G7WRGqg,222857
0.64,0.553,-6.42,0.0411,0.0579,0.0,0.0914,0.486,81.992,6GUiIbJ834FcHewby3PwV0,148471
0.278,0.572,-8.295,0.0407,0.392,0.0,0.063,0.311,95.351,2f0Ft2XdvNSMSY5TUlZgEz,253760
0.855,0.83,-2.815,0.106,0.0783,1.31e-06,0.08,0.775,90.009,3AbNNvo2OmyeDMvRBgf9vk,190667
0.543,0.903,-6.658,0.039,0.0102,0.00585,0.0862,0.962,162.241,5EJ2THuhAapEIeQOtXUQ0x,263306
0.575,0.679,-3.845,0.0278,0.0664,0.0,0.0956,0.601,107.878,100Tm6z29RfHTdUQ6NIs0s,187520
0.877,0.777,-4.246,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,059bcIhyc2SBwm6sw2AZzd,231848
0.715,0.622,-5.102,0.046,0.163,0.0,0.0948,0.808,80.015,2rCbl9naJYhaxjLsfx88uM,195053
0.788,0.782,-5.517,0.0513,0.238,0.00042,0.0773,0.525,123.042,7r5QwyDzxyikU1Kbkfz6FM,230130
0.777,0.712,-4.84,0.277,0.217,0.0,0.091,0.68,95.692,7KbF6AdprOXEEHlsq11Z6d,175733
0.742,0.859,-4.942,0.0482,0.0824,0.0,0.359,0.652,95.046,0JcNysfWVWaMS7R6vzGB2k,194742
0.515,0.704,-5.25,0.206,0.767,0.0,0.415,0.885,91.246,0aZnyTWJNgdzYoOiaW8HKG,217213
0.746,0.876,-6.042,0.0345,0.0438,2.51e-06,0.112,0.928,119.97,7jxHeJLVpnP7S08JFF4GBi,267827
0.77,0.702,-6.58,0.0426,0.0397,0.000441,0.0658,0.349,100.042,25MXhQD6t6jkWhYcuGBcjt,132600
0.77,0.373,-6.931,0.0328,0.317,0.0,0.217,0.293,131.975,2G74yhtIMW8tJY5I83dS4Z,242027
0.689,0.663,-4.538,0.0432,0.378,1.17e-06,0.0994,0.486,143.098,64JzNzcoSZOh3RWeoghVfk,177063
0.523,0.691,-3.802,0.0833,0.133,0.0,0.327,0.677,94.148,0lJE8f0lx8mUSfMyxeYpiC,160213
0.616,0.989,-1.698,0.0483,0.166,0.0,0.172,0.902,95.036,0OMRAvrtLWE2TvcXorRiB9,203160
0.745,0.944,-3.959,0.134,0.21,1.45e-06,0.333,0.951,179.991,0Gx4VrHzS7pZOEAGrmXXBH,229510
0.796,0.766,-4.237,0.0422,0.18,1.53e-06,0.164,0.846,121.008,2IzV2SPZQLadtA46ni3ICq,246062
0.863,0.666,-4.158,0.152,0.212,0.000493,0.103,0.838,163.908,7vrJn5hDSXRmdXoR30KgF1,178947
0.571,0.693,-8.234,0.0545,0.00536,0.0,0.173,0.393,168.169,0EhpEsp4L0oRGM0vmeaN5e,232253
0.464,0.775,-4.838,0.0313,0.203,0.0,0.0478,0.672,184.089,2RJ1fg4qf2vgZKifTa4HgA,219520
0.629,0.703,-4.875,0.0504,0.519,0.0,0.11,0.402,144.016,6kQYMqjobmB8MkWwa9OUyA,290973
0.671,0.954,-1.87,0.13,0.0244,0.0,0.111,0.556,104.114,23WI5V2eD4EyGKxSl7Pyeq,247493
0.64,0.693,-5.735,0.0235,0.113,5.62e-06,0.0978,0.698,97.159,0mvocLIWUnT10znvIXwHGr,352160
0.634,0.649,-6.056,0.0255,0.138,0.0,0.288,0.491,111.03,7dITAq1YP5e0kTcaDq4YWI,205413
0.563,0.674,-4.554,0.048,0.247,0.00226,0.107,0.784,179.977,3EK4tGkSiO5xvvB5sM4tln,207333
0.871,0.815,-4.439,0.0477,0.127,6.18e-06,0.094,0.823,122.959,0IqCoZ168iRc9LqfrYgpZy,176575
