danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.862,0.753,-5.356,0.0625,0.131,2.01e-06,0.077,0.827,105.039,7MC4XR9M9amdmKQr2iDF7i,182857
0.88,0.627,-7.341,0.0724,0.328,0.0,0.227,0.519,114.986,3GZCULuKsRR4FpnrKFkIe0,185166
0.704,0.861,-4.221,0.0493,0.587,0.0615,0.0992,0.636,128.99,3u5N55tHf7hXATSQrjBh2q,213394
0.621,0.907,-3.923,0.0474,0.091,0.0,0.067,0.884,128.056,3s6ltUrI93LBKU8taezsLn,233693
0.758,0.871,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,6bNB5gxFX6Q87DbQWb8OWZ,202627
0.88,0.483,-7.012,0.0505,0.0185,8.68e-06,0.0607,0.827,124.009,2MlOUXmcofMackX3bxfSwi,342613
0.909,0.797,-4.827,0.208,0.155,0.0,0.166,0.834,128.064,1RighqmKZNqLP9rklJ4HCz,200187
0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,2XU0oxnq2qxCpomAAuJY8K,209438
0.865,0.682,-4.563,0.0548,0.284,0.00445,0.0422,0.508,140.052,4KHXk0rTD80mEf7bbdK29j,159357
0.641,0.863,-3.864,0.0321,0.0152,0.088,0.274,0.36,128.035,1tpl2fUDbrPAcbPufthvQe,168705
0.626,0.769,-6.167,0.05,0.306,1.73e-06,0.111,0.579,115.981,0n9eeQnvzmMcq0l4DeGWQH,227333
0.832,0.54,-8.667,0.397,0.36,0.0,0.101,0.84,120.105,0w6lsLBvhtGcqMYA7MB7r6,244000
0.878,0.875,-4.923,0.0658,0.0507,3.42e-05,0.356,0.84,124.006,7g7OshelYRRnOSEMmisJVI,189880
0.744,0.851,-5.86,0.0517,0.196,0.0,0.0969,0.718,120.99,5vcvA0w8YoGQiifOmas9uo,183223
0.647,0.785,-5.414,0.165,0.0561,0.0,0.148,0.943,160.015,5xTtaWoae3wi06K5WfVUUH,219200
0.676,0.856,-4.609,0.134,0.305,0.0,0.0955,0.455,133.847,3LgrzjwX7RVTtAX9Ai12Qm,192990
0.8,0.641,-4.149,0.185,0.00554,0.0,0.0662,0.917,160.961,2NXk38cqDXz1qY6E1ADlKA,206107
0.851,0.712,-6.135,0.154,0.462,1.03e-05,0.133,0.891,110.965,1fDFx7MpMpxNeHj0uQ4395,205400
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,60nZcImufyMA1MKQY3dcCH,232720
0.892,0.854,-5.686,0.0528,0.375,6.7e-06,0.187,0.819,124.994,7l4o56YmVka0fzJZ9mC9vx,150968
0.831,0.868,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,0YJW8OXw8G1xDfkzaID3vv,194438
0.713,0.67,-6.447,0.305,0.113,0.0,0.52,0.457,120.76,6btgTbK2UslfSu0qjTEXQm,206273
0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,50nfwKoDiSYg8zOCREWAm5,207853
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.588,0.945,-2.72,0.351,0.0721,0.0,0.25,0.557,139.75,6FxIFhVlOvI1wcXWe8LKei,205293
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4Dvkj6JhhA12EX05fT7y2e,167303
0.794,0.61,-5.951,0.0353,0.215,0.0,0.135,0.929,132.021,5S4Qq5ufU91XImS0T7EjJj,186280
0.656,0.718,-6.482,0.202,0.129,0.0,0.0726,0.665,176.27,5iwsC32iiJ1IqJgcg6vkiI,190758
0.632,0.663,-5.898,0.0389,0.0229,4.09e-06,0.105,0.475,163.887,3wU34gBKjzcDMxpHlTmihG,213805
0.907,0.53,-6.112,0.127,0.0578,2.23e-06,0.101,0.507,135.998,0F7FA14euOIX8KcbEturGH,113000
0.812,0.49,-7.318,0.105,0.115,8.67e-06,0.133,0.54,102.043,4KI8fxOwHVimletBn2Mhtx,153858
0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,186210
0.559,0.754,-2.766,0.0354,0.242,0.0,0.225,0.38,126.9,7fFCYJHYStRYJktu8tLQcO,165472
0.965,0.485,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,1zLBsSVxETQOfINOLYvT5m,222523
0.667,0.746,-4.175,0.0451,0.261,0.0,0.0566,0.549,88.038,7tChNCtleS9bUPD4uDXvJf,237160
0.584,0.574,-6.674,0.0411,0.176,0.0,0.365,0.496,153.996,07l0ACRAa7GxsTCkL14ID8,188571
0.573,0.711,-6.268,0.0406,0.0114,0.0,0.328,0.47,105.006,46HNZY1i7O6jwTA7Slo2PI,226198
0.869,0.506,-6.274,0.0465,0.287,0.0,0.177,0.861,111.5,1iSyXFLfAEq24LmIyiaNCB,182594
0.618,0.66,-3.202,0.0664,0.116,0.0,0.0727,0.572,81.023,2RO4aPByijQUqBZhYm1apz,200370
0.594,0.923,-3.316,0.0511,0.0791,1.81e-05,0.147,0.649,84.036,5I7W7mFSWcIWN5LfWR8ElP,235299
