danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.649,124.072,4lCv7b86sLynZbXhfScfm2,227880
0.397,0.817,-5.495,0.042,0.0966,8.16e-06,0.316,0.416,158.004,1Jx69b09LKTuBQxkEiFfVX,266227
0.384,0.527,-5.294,0.0269,0.542,0.0,0.156,0.222,100.73,4u83mwF5tUuWlXS86UOXdu,221200
0.608,0.629,-5.024,0.0264,0.423,0.0,0.0978,0.325,99.953,4Musyaro0NM5Awx8b5c627,241467
0.729,0.756,-5.119,0.0294,0.131,0.0,0.0527,0.522,104.945,1CkvWZme3pRgbzaxZnTl5X,228293
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,4lLtanYk6tkMvooU0tWzG8,222091
0.848,0.828,-4.557,0.0714,0.136,1.35e-06,0.114,0.794,119.0,3OT3Kg4jyVkdZm4Ncz6JgX,237213
0.237,0.269,-9.61,0.0298,0.573,0.000283,0.101,0.0681,81.256,21JTgoZLDB2F4Fx0uRCmTL,233480
0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,3AJwUDP919kvQ9QcozQPxg,266773
0.27,0.275,-10.357,0.0356,0.834,0.0,0.146,0.231,168.964,4oa14QBfWRDfJy2agySy0L,232760
0.676,0.807,-5.131,0.029,0.0284,0.0,0.0701,0.443,95.956,7CHIJREUYyM7vndBQE6iMy,232520
0.605,0.936,-4.025,0.0383,0.00112,8.57e-06,0.194,0.764,101.91,6l8AiDMKX10Nu2IZJcPb4i,279013
0.473,0.871,-4.732,0.0668,0.178,0.0,0.0584,0.578,156.0,1y9U1pdI3naKK7sArioECH,224640
0.531,0.864,-2.978,0.0433,0.000105,2.05e-06,0.346,0.402,126.02,7bprRkhvOXWmWpqOrEWbXu,214520
0.643,0.502,-6.558,0.0392,0.07,0.0344,0.149,0.2,130.018,2eaBBVEfoRK4MJYmIAeNw8,279960
0.399,0.721,-5.562,0.0523,0.0621,0.00282,0.278,0.113,160.125,5IyblF777jLZj1vGHG2UD3,299934
0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,118.402,3XVBdLihbNbxUwZosxcGuJ,228707
0.572,0.454,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,38jy6kRlPt8z1GUS9WXeNh,216387
0.313,0.491,-7.939,0.0387,0.321,1.82e-06,0.0863,0.243,178.262,3YPchhrSmcwMHl41aToYG1,255387
0.618,0.753,-5.05,0.0451,0.637,0.0,0.0905,0.557,120.041,76N7FdzCI9OsiUnzJVLY2m,221427
0.571,0.698,-4.747,0.0342,0.00593,0.0,0.0992,0.423,109.867,4eH8TpawYJMjcDvC0LDHYv,168667
0.693,0.594,-6.408,0.0325,0.13,0.0,0.115,0.192,123.932,5OGkKx8jP0A5KSULEc6XYZ,244107
0.725,0.672,-5.353,0.0283,4.62e-05,0.00225,0.112,0.777,125.042,66m3eG3ioXCWpP1qDQ4sXt,215200
0.64,0.395,-5.689,0.0307,0.206,0.0,0.0935,0.235,115.082,24cKN8P2uGWypxTw5WaNlq,243200
0.597,0.517,-6.963,0.365,0.179,0.0,0.307,0.412,92.035,5OiLJ8tjUPFiPX2gVM8fxJ,257560
0.671,0.909,-3.213,0.0569,0.0108,0.0,0.6,0.795,119.97,0f19yeMTQ5ygqwUhv46tdN,231840
0.524,0.803,-5.56,0.0366,0.145,0.000191,0.115,0.0827,140.003,0CSTvWUps1YmpQoXXay9ol,255133
0.59,0.803,-2.518,0.085,0.537,0.0,0.105,0.477,87.851,5RqIM2vv5nw2PGJBqPD8Rg,151573
0.842,0.896,-6.749,0.109,0.00343,0.0964,0.276,0.645,124.011,2HPqewXcuqe1lNKfGTjAZZ,298840
0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,6SKwQghsR8AISlxhcwyA9R,230192
0.767,0.682,-5.02,0.042,0.0113,0.00016,0.104,0.833,127.975,0C4ejWmOTMv8vuYj85mf8m,243533
0.534,0.855,-7.102,0.0526,0.00706,0.0,0.122,0.391,95.274,6pEU943aHfZdY4jhUpQ9ms,295893
0.613,0.735,-5.094,0.0474,0.378,0.0,0.104,0.326,114.922,5Pmna8kN9EEosmkV5AnEXF,188440
0.583,0.584,-5.362,0.0314,0.254,0.0,0.123,0.136,140.039,3f3omU8n47Mqyab5nCaGyT,219493
0.829,0.607,-3.876,0.0897,0.0049,0.0,0.0986,0.766,120.044,4AboqNl74jNDpJhPfqYDmj,187067
0.587,0.738,-4.469,0.0282,0.548,0.0,0.109,0.329,99.046,1FbTceMivK92mVV3iGdwZk,225933
0.363,0.355,-9.877,0.0457,0.371,7.43e-05,0.0814,0.19,180.364,3Y1JP1ulhlpgCqRzMQhVJr,266533
0.363,0.129,-14.304,0.0322,0.904,1.52e-06,0.157,0.147,80.367,0Cvjlph1WGbwZY1PlMEtJY,198147
0.793,0.859,-3.774,0.0332,0.266,0.000356,0.133,0.964,129.911,1zusIxNqJu8i4g6P6hJ2Qa,219920
0.433,0.361,-7.679,0.0298,0.609,0.00565,0.177,0.102,119.53,0NZx7rRyIOArlTbRbM3efn,226133
0.463,0.755,-7.244,0.0634,0.11,4.89e-06,0.103,0.252,145.319,5u0YB9bpmgEPS2bPhwfRFV,261213
0.676,0.762,-4.172,0.0351,0.461,0.0,0.0574,0.81,119.003,3VA8T3rNy5V24AXxNK5u9E,207493
