danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.313,0.886,-3.187,0.0671,0.664,1.9e-06,0.368,0.736,83.173,65qVWbRkA4ObUGsCpHZeAx,166947
0.718,0.836,-4.99,0.0545,0.135,0.0201,0.0619,0.843,123.819,7JwSmQPWQCm6MlPZndoQNz,230917
0.854,0.433,-8.879,0.098,0.361,6.76e-06,0.134,0.732,110.925,0ldxVkKiyazLlHc6lWR10n,316587
0.648,0.889,-4.749,0.0535,0.0191,0.00896,0.079,0.774,138.017,1MOMr9SOh60lG2LH2Q6KcR,216467
0.652,0.838,-5.976,0.0459,0.0875,0.00187,0.0649,0.764,89.986,4rXXgDpZw2k1yu0ZnWWqJL,245173
0.553,0.9,-6.712,0.0553,0.262,0.0148,0.424,0.667,106.582,1cs8jvOVEgaCiKwpjhLxIf,248082
0.466,0.233,-13.383,0.0366,0.744,0.000164,0.175,0.187,116.357,1hNvO806O5Z6tFJWCgDumi,231333
0.498,0.664,-9.723,0.0388,0.169,0.225,0.337,0.781,82.156,5YuW3UCKDynB2gL9GTp7NS,348760
0.51,0.622,-10.534,0.11,0.527,0.000366,0.349,0.654,154.514,04854r1cdTenXuu3dR2yDv,195000
0.527,0.676,-10.01,0.0503,0.128,0.00776,0.119,0.898,117.552,7wWH5g020mkyhjo0zzL3ty,232200
0.736,0.834,-3.076,0.0403,0.314,0.000838,0.0454,0.891,115.991,1s2I2P6bXRdQyePO016Os9,216893
0.819,0.42,-8.123,0.04,0.788,2.83e-05,0.0914,0.647,105.005,4ikAAkBStMneLsxfjcoG4E,222000
0.701,0.61,-6.908,0.0835,0.284,0.000265,0.305,0.458,108.792,1Sfcy8w25PbenC7Xvl5LSk,269816
0.694,0.419,-8.17,0.0282,0.8,7.19e-06,0.107,0.686,84.205,3uHKEi9VopbcnCdPu3Akbk,204800
0.376,0.229,-12.964,0.0298,0.299,0.00507,0.085,0.222,147.215,358TP1XP2PYWXM0RsLwmlY,447487
0.393,0.943,-4.538,0.112,0.00318,1.02e-06,0.381,0.466,141.86,1SFK3eoJqXkmGvcfmdzWC1,169570
0.697,0.737,-4.884,0.0328,0.232,0.00383,0.0683,0.62,95.981,3SwzJIkMEbLjAK97hEaaLV,302053
0.518,0.777,-5.303,0.038,0.00253,0.339,0.309,0.476,106.506,1Nd89XqdXUj1zv9meZbPYR,376646
0.501,0.885,-6.615,0.0611,0.0119,0.689,0.103,0.483,99.439,1S7jAIIOqHj4qozrWitFgd,424627
0.633,0.866,-5.032,0.0353,0.0198,0.0,0.23,0.893,123.959,3wgjaBZogGtRyVI6Picwd3,208416
0.79,0.578,-7.39,0.0273,0.224,0.000873,0.118,0.701,108.033,0A2nLIAI5it1fRJYGJ5Qyp,251439
0.649,0.864,-4.623,0.043,0.00892,6.29e-05,0.248,0.796,97.972,2sgbiJ65zw8fUEWEiW9yAH,156973
0.371,0.906,-4.887,0.0834,0.0512,0.828,0.276,0.479,135.069,3yrV9iFHJYULuE8jogoPec,259307
0.814,0.817,-6.751,0.0356,0.275,0.00208,0.0708,0.963,119.403,7JDEtVgmR53Yi9S0C1Vktj,265011
0.309,0.423,-4.14,0.0287,0.798,0.000377,0.106,0.285,173.474,6YqNOEJY1xQw1Zbgxa10Bu,197389
0.742,0.702,-6.646,0.0416,0.217,4.66e-05,0.126,0.615,90.946,2SSuZ7fCreC6czcTtu2wfu,189400
0.67,0.438,-7.748,0.0294,0.159,3.73e-05,0.085,0.308,84.954,4MGsxGqk5RSuwItODtVsEE,196939
0.689,0.822,-8.526,0.0417,0.00339,0.00355,0.203,0.961,131.977,3DSBR09kCm9YmwjZ2p2HSd,226768
0.697,0.578,-9.248,0.0382,0.663,0.000117,0.114,0.549,106.983,2BabLfYnJvdWrDvgzNVYqE,190436
0.582,0.273,-12.028,0.0393,0.751,0.0702,0.118,0.685,80.128,0DjSBXNU6jGMxsnrGdxw0i,186493
0.516,0.817,-5.934,0.029,0.0574,0.000344,0.843,0.631,116.761,0RGaAfyeo6VspXL6eK3l4l,199493
0.534,0.882,-6.65,0.199,0.0606,0.00301,0.0586,0.738,140.891,17v5PPcGy8FSN4n9xnKpUd,159886
0.507,0.646,-8.197,0.0288,0.331,0.00286,0.0883,0.856,155.046,3MtPnzu1Q0PatrrMHsdfCB,275055
0.391,0.585,-10.139,0.0369,0.00115,0.284,0.702,0.351,93.256,0XfQWxtYE8OHwNQYV5tom9,261947
0.549,0.852,-4.323,0.0785,0.122,0.0511,0.283,0.554,126.582,30Hrgpp6gqufsaSY7F7txp,199874
0.671,0.804,-6.893,0.0454,0.363,5.48e-05,0.22,0.731,111.317,6NC8TahwAZKURe6EolCBOv,241481
0.649,0.746,-4.074,0.103,0.0993,5.47e-06,0.221,0.587,120.113,2zurVB1sxDSgt2EdGjaICS,249107
0.376,0.757,-6.305,0.0676,0.6,0.00268,0.36,0.608,107.456,6nNCEcTFxYSaQVKLRrYCb9,245931
0.446,0.778,-4.777,0.0509,0.216,5.49e-05,0.205,0.528,99.741,36seRRquB1YkdjuTlrVc1V,231667
0.571,0.626,-6.929,0.0372,0.174,0.0017,0.111,0.523,97.191,5jH6P7e6RUGZnFGTeq3pUe,211200
0.408,0.609,-7.739,0.0315,0.43,0.000285,0.71,0.491,183.169,4UXEchrcvlBwJgXzlYf7Fr,233920
0.739,0.79,-6.479,0.0357,0.49,0.0,0.923,0.812,110.666,6w23sxZepVSmRiTLDsP5ou,222707
0.759,0.603,-6.278,0.0271,0.178,0.0141,0.117,0.631,110.006,3mtfFRcdAeHrrVnxbWpmI2,231453
0.309,0.894,-4.765,0.0583,0.00542,0.0,0.138,0.645,178.694,5s9JvslFpJGbApkKXi3MjU,328000
0.523,0.883,-3.305,0.0376,0.132,3.56e-05,0.204,0.644,135.535,0OY3sKkXVVbp7foCuHPNZt,184760
0.595,0.891,-6.242,0.0595,0.198,0.0946,0.253,0.724,132.245,0F68k79FGPe5Rc468GZmF9,237514
0.536,0.53,-8.38,0.0296,0.698,4.88e-05,0.196,0.384,69.495,1TnboUz1hVeZvqubDBQcHM,275957
0.511,0.649,-9.243,0.0288,0.238,1.91e-06,0.149,0.799,108.152,3nRr46yu7zDTd8ly3PZNXn,223547
0.533,0.649,-6.227,0.0401,0.448,0.0,0.606,0.888,137.079,64H0CzxFjc1Dz3F3E1oWi5,155337
0.506,0.651,-6.721,0.0264,0.312,0.0157,0.137,0.551,140.017,2GvrLxJHY2SKitGQueKcj2,246827
0.458,0.868,-5.054,0.0888,0.402,0.0,0.243,0.899,162.094,50JkDzyvtn6xf75rklAVvc,193851
0.548,0.499,-6.803,0.0268,0.813,0.619,0.114,0.644,76.546,4ZHmUh8uIxHzAIeBdPg6mB,258680
0.647,0.514,-7.241,0.0371,0.283,0.158,0.126,0.694,107.952,54lWZZ8Mx6dlHeGoGrga6l,174933
0.844,0.619,-5.813,0.0372,0.0373,0.115,0.0786,0.555,110.05,3YvsPZ2najCeA2yao47eKa,279223
0.462,0.614,-4.422,0.0293,0.132,0.000325,0.326,0.424,153.811,2867syuupBlecM1Ra7PGyZ,342853
0.583,0.646,-3.846,0.0258,0.439,0.0,0.238,0.316,79.938,2NKWAmzIFidQ7rYkS78Yv9,217773
0.554,0.826,-5.931,0.0312,0.000304,3.88e-06,0.121,0.838,128.8,4yB81Xy4lvmharZ5qr7LVT,207000
0.558,0.387,-10.062,0.0307,0.332,0.0,0.11,0.577,97.659,2AfGLVa5rzRqnPm23bPMLk,208427
0.584,0.693,-7.818,0.085,0.219,2.42e-05,0.169,0.803,73.163,45DxmdLBAjYelavuazYJhg,147107
0.642,0.616,-8.191,0.0605,0.142,0.0,0.133,0.752,106.807,01aamSYYax8Av0aHdsFkop,196500
0.647,0.523,-10.579,0.0781,0.852,0.103,0.112,0.479,77.487,7mNrmOsmZyjJw9FAmrboQO,200988
0.659,0.716,-5.729,0.0429,0.0438,0.000266,0.47,0.831,132.061,4omYnAPibSJVlUrc0vg9dN,274067
0.296,0.928,-3.262,0.0875,0.00016,0.0357,0.277,0.448,123.722,4jlsa0OLIsdu1ETRpkX6QD,223334
0.534,0.631,-6.856,0.0331,0.00996,4.42e-06,0.11,0.654,89.177,0l0wYl68QJuudGMyG7tlEu,278874
0.613,0.658,-8.103,0.0316,0.0416,0.00395,0.166,0.802,126.018,3RoRYcIHXzmsRoqP8S9qKQ,238857
0.376,0.542,-9.474,0.0391,0.214,2.57e-05,0.171,0.742,134.943,0I6iVnbnSri9baOqnjIeHQ,208701
0.873,0.461,-12.473,0.046,0.811,0.00779,0.106,0.698,103.932,00b6fpaBoDoPhbsVbraJX3,298293
0.727,0.252,-8.142,0.0447,0.723,3.27e-06,0.127,0.343,112.965,1PNPixI2jwff1KZDJtStTz,277733
0.831,0.874,-3.598,0.0268,0.211,0.00417,0.272,0.96,108.017,4M9P0IpYx9kZmo07CcwVNT,208173
