danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.815,0.858,-3.918,0.0278,0.343,0.00364,0.0984,0.799,118.013,21upjYqZ5PlQa7fcEiQe5Z,294173
0.733,0.564,-6.599,0.0491,0.0519,0.000235,0.089,0.753,107.636,2GhXfhOIkPrtwPZv9luHb6,327187
0.727,0.881,-4.722,0.0508,0.0449,0.139,0.0591,0.731,119.993,05hQRjl1TbYuUtMpjvFb0u,305360
0.378,0.722,-6.053,0.0402,0.0249,0.00104,0.119,0.461,181.978,0YxtTa43y10dkX0z0tbJap,270293
0.736,0.866,-2.548,0.032,0.367,0.0,0.153,0.667,108.043,2kb3RTDrnPRph4LoVgIRFV,203493
0.679,0.918,-4.468,0.0913,0.0723,0.0957,0.0812,0.605,115.016,02OxBW5LOc4PAjf0dj1buK,243219
0.515,0.922,-3.876,0.045,0.000656,0.0576,0.25,0.469,130.219,4FFqcj4j3IvjpY9rLMLwTF,225787
0.378,0.767,-7.237,0.142,0.101,0.0,0.613,0.727,172.194,76082CCgwMgL5TSInQkC8A,218345
0.565,0.84,-4.485,0.0527,0.328,0.015,0.0819,0.772,141.94,7ke0huD5jHpsQBq9REm7jh,229480
0.447,0.417,-6.812,0.0621,0.331,0.00326,0.67,0.625,181.057,6iQUQL8hVaWVElypEnkxaM,345765
0.612,0.436,-7.568,0.0494,0.547,3.74e-06,0.248,0.765,80.29,58zptEfJeRDFeNeOf2t2H0,246385
0.542,0.606,-6.589,0.0311,0.221,0.00202,0.121,0.497,132.014,4vZG2IFIOGPQSqj2CSKCH2,427773
0.736,0.834,-3.076,0.0403,0.314,0.000838,0.0454,0.891,115.991,1s2I2P6bXRdQyePO016Os9,216893
0.562,0.814,-3.386,0.0323,0.128,4.45e-05,0.204,0.632,81.981,5iaTOmdWMK5FZGaJF6dWyx,309653
0.399,0.769,-7.484,0.0531,0.201,0.00903,0.146,0.768,165.295,6tvXOpoonSGwxM0R4eq8Tj,235627
0.671,0.809,-6.17,0.161,0.586,0.000397,0.0901,0.892,84.121,2phu5Xd3OOUJFAp7T0Ongm,202013
0.599,0.908,-1.455,0.0323,0.181,0.00547,0.675,0.704,134.029,1W5hzuisTBbr6RMSNJBTz7,243533
0.626,0.948,-2.678,0.0498,0.0428,0.246,0.0748,0.881,97.952,1TsyrqBU8mBom6RzjcvHx4,227240
0.549,0.852,-4.323,0.0785,0.122,0.0511,0.283,0.554,126.582,30Hrgpp6gqufsaSY7F7txp,199874
0.306,0.676,-6.403,0.0373,0.00102,0.000311,0.101,0.516,203.727,7A2hVb3M0tJo2YSXwieyRK,259733
0.607,0.967,-2.181,0.142,0.144,0.0,0.2,0.457,148.963,7HtqkL0QR9KI7jHeG8u9Go,228467
0.683,0.533,-10.771,0.0377,0.272,0.00282,0.102,0.534,128.975,06SriLLbBIQos2LyqeNXw3,181093
0.524,0.927,-4.374,0.036,0.00153,0.000463,0.159,0.697,158.017,5uiW9HcD9edXu2Gk65v9pj,301760
0.385,0.851,-5.12,0.04,0.0134,0.0,0.326,0.578,84.839,3C2s5HctrhjEFtcvmTX3rz,279659
0.377,0.857,-5.484,0.0505,0.783,8.54e-06,0.442,0.75,183.787,5gcywIXvvUnNf8Qx08vZ7m,229640
0.498,0.803,-7.163,0.0292,0.000327,0.359,0.115,0.767,125.078,6wQ1ooG7rEpoMlfG1iB6R7,202218
0.709,0.33,-8.234,0.0308,0.624,0.0,0.219,0.319,90.482,3Z1k5umdX3YORNYhLYSbiL,194907
0.537,0.496,-8.0,0.0395,0.423,0.0,0.191,0.446,141.894,3bO425AkqA0s2s6mB6GJqR,220975
0.609,0.33,-8.187,0.0288,0.91,1.58e-05,0.13,0.271,119.985,5cfVfwth8tyKufK9EbLMwi,292920
0.547,0.293,-10.102,0.0331,0.902,0.00276,0.465,0.304,118.673,23BauLTQEKroy2wNpcWUMI,237442
0.593,0.413,-8.644,0.0326,0.764,0.224,0.367,0.302,106.092,5ZWk8lQd6PHrJUCEQJkFGj,294500
0.362,0.24,-13.475,0.0308,0.458,0.00136,0.0761,0.157,175.812,4p8VYnLBT0iu7AGnhj3wyH,225293
0.508,0.36,-7.821,0.0255,0.632,0.0587,0.0581,0.208,104.198,4vvLCWBKXE1QuHA0VJIlFZ,243027
0.643,0.599,-8.541,0.0292,0.0214,1.89e-06,0.282,0.591,113.982,2se33uCsb88PVwbp6ESNGb,234212
0.453,0.876,-5.397,0.0491,0.00046,0.00101,0.171,0.345,123.924,50OoBWjN5GttCSP6tXFW3E,288374
0.67,0.875,-5.042,0.0334,0.0304,3.8e-05,0.167,0.893,120.009,55Hl99Zml2F8kUBSlvVMAs,202413
0.736,0.763,-3.339,0.0277,0.121,0.000305,0.533,0.601,116.005,0Iu485UCmLMjGgpZVgKxXo,188560
0.712,0.736,-5.743,0.0371,0.0775,0.000438,0.0624,0.846,90.011,6G2dRb7d8MTl5M5d6tijrs,352667
0.367,0.769,-7.258,0.0317,0.00032,0.628,0.0631,0.7,173.186,1vcUlV02bvKQn6ryzZqDVL,348040
0.649,0.746,-4.074,0.103,0.0993,5.47e-06,0.221,0.587,120.113,2zurVB1sxDSgt2EdGjaICS,249107
0.722,0.92,-1.773,0.04,0.465,0.00336,0.088,0.931,116.058,0QCa6CGQJvYs5190mDePQP,280987
0.632,0.63,-4.222,0.0328,0.519,3.81e-05,0.502,0.546,90.044,1b8xcfGtzTNluKLSSDaZdV,215804
0.446,0.778,-4.777,0.0509,0.216,5.49e-05,0.205,0.528,99.741,36seRRquB1YkdjuTlrVc1V,231667
0.291,0.704,-7.283,0.0516,0.079,1.46e-05,0.193,0.681,186.714,4DfTU1lBVwrQvFLnpBbXLF,178437
