danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.791,0.452,-8.854,0.3,0.0927,0.0,0.0524,0.565,166.754,1edoALZCzhBVjdQckf2xzj,211560
0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.76,103.312,5O4erNlJ74PIF6kGol1ZrC,237000
0.516,0.687,-3.463,0.0942,0.442,5.31e-06,0.325,0.165,167.758,0QSpm9D61ncQtoDjKNemBK,173252
0.74,0.766,-2.939,0.178,0.116,0.0,0.0406,0.807,170.531,7FDV5ELOJHCGLe52AnttEd,235133
0.658,0.611,-5.041,0.079,0.226,0.0,0.126,0.502,74.489,5Zzh3jIDIvCb6bllZjfuL4,209587
0.857,0.468,-8.53,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,4uOKFydzAejjSFqYbv1XPt,183733
0.671,0.491,-4.668,0.0303,0.171,1.73e-06,0.365,0.923,74.017,27RAZKSDzCpLCSaLBK8BNg,247757
0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,75FYqcxt1YEAtqDLrOeIJn,180267
0.775,0.551,-6.588,0.281,0.152,0.0,0.145,0.529,153.957,1xulzoD8FGNwfqe4ot9fDT,207273
0.787,0.728,-7.705,0.218,0.0124,0.0,0.157,0.94,173.026,1SssFw74DdHVjRa6ADggdD,227067
0.836,0.661,-6.502,0.338,0.0208,0.0,0.449,0.753,76.71,22AbXxQbMdVqEz7xJjhccG,213200
0.883,0.733,-9.153,0.128,0.161,0.00026,0.334,0.947,95.103,1HGyhNaRUFEDBiVLbvtbL6,245000
0.651,0.747,-7.269,0.0699,0.0528,0.0,0.207,0.776,147.518,1Rvl8qsKJurfFTyWLBI9ib,249520
0.837,0.38,-13.341,0.064,0.541,0.00789,0.198,0.892,104.995,1LOZMYF5s8qhW7Rv4w2gun,267947
0.761,0.567,-7.822,0.0313,0.323,0.0217,0.356,0.496,131.993,3IZVcI4XBomuSZTF6CBd28,323068
0.776,0.559,-8.375,0.103,0.11,0.0,0.0671,0.758,122.242,6JRLFiX9NJSoRRKxowlBYr,232200
0.722,0.605,-6.07,0.153,0.825,0.0178,0.248,0.709,165.998,7ixiCZEHWHc8FxaQXQh2P4,196507
0.659,0.441,-8.522,0.262,0.0754,0.0,0.197,0.17,85.886,2ys6cWKndwCetchUXyNE2M,247591
0.865,0.562,-6.811,0.251,0.0318,0.0,0.246,0.81,85.02,2WQKHNETUytUGsD32TTNeO,222467
0.824,0.366,-10.96,0.145,0.039,0.106,0.0403,0.895,73.949,4DQttwipnILl88cru3BRZx,249533
0.704,0.79,-5.756,0.0432,0.101,0.00657,0.0769,0.933,167.816,0z0JSkE5Nw3i3nin3BBSuG,257667
0.895,0.571,-8.636,0.0501,0.208,0.0,0.0781,0.933,128.171,1Pao4DTLMB4gJPTnqmLgSQ,158893
0.794,0.57,-7.753,0.0645,0.0197,0.014,0.104,0.575,143.977,7HXcSZsNnjm5HV49Rlk7n4,267360
0.811,0.428,-10.728,0.221,0.0122,0.317,0.344,0.653,80.962,0INtJm8gCJKtNaAYQNVlpZ,277893
0.935,0.479,-10.981,0.306,0.107,5.25e-05,0.118,0.773,123.644,5LyfiK6iXEIBNEtcaGKohl,211000
0.788,0.773,-5.272,0.099,0.0381,0.0,0.35,0.584,73.978,2OHQhOiGIYaXqqJVIMpNrF,192400
0.79,0.442,-14.09,0.0873,0.392,0.0,0.639,0.965,150.137,4qsHN0A1uiS4stUbDjlUbe,204223
0.749,0.849,-5.761,0.0544,0.0299,0.000168,0.115,0.959,145.169,5uPYEStMW3KsXnnLV7iCTw,244253
0.886,0.522,-7.971,0.173,0.0477,0.00108,0.207,0.79,82.439,34zWZOSpU2V1ab0PiZCcv4,229160
0.758,0.786,-4.897,0.108,0.156,0.0,0.0658,0.786,83.495,5Wwr2S7QZTR5PVJn6jhgdk,234587
0.683,0.724,-4.436,0.0988,0.0909,0.0,0.339,0.741,80.932,43CAMHDrAVA3nJP2zgKJDI,208467
0.718,0.595,-5.632,0.263,0.105,1.03e-05,0.0745,0.634,185.025,1Bsl6Jw7bJtQ4pc7OQREog,294787
0.67,0.516,-9.598,0.366,0.0673,0.0,0.0674,0.939,154.186,6SR0dDuXH2vtgBfMLrivKV,172933
0.662,0.764,-5.224,0.111,0.046,0.0,0.0947,0.74,99.971,0jPEWByX9DZAQb5zyQ6eng,194406
0.87,0.299,-13.409,0.248,0.122,0.0514,0.0926,0.933,75.895,4llIZen1Cn4mi3DJm2Lqlz,317360
0.657,0.374,-10.9,0.049,0.0412,0.176,0.241,0.478,183.985,7FomypRpFKzSIBOX338U4P,148696
0.679,0.575,-8.037,0.0715,0.634,0.0,0.165,0.79,102.588,2XIr0KTybGQsC1SFfeaZhI,219907
0.911,0.565,-6.209,0.0718,0.429,0.0,0.0802,0.751,96.012,0cSkIGgh1uICEIcmEb1niw,185312
0.864,0.596,-5.603,0.251,0.0273,0.0,0.181,0.72,122.139,5wgy309XNqFkqj8MMDquvj,225333
0.586,0.663,-6.547,0.0825,0.161,0.0,0.198,0.693,170.743,4abVwdCy5QUcyI3KS2lMJK,217200
0.683,0.653,-7.586,0.113,0.0326,8.42e-06,0.0578,0.501,143.224,0mD19MC6H0OzHvEUADHypU,219160
0.346,0.61,-5.818,0.15,0.198,0.0,0.117,0.235,68.552,0nCZDQrlWA149QdGTdlsFU,207573
0.754,0.459,-5.947,0.11,0.00834,0.0,0.0742,0.829,78.079,6dFOwtd9iBMERardJvsIxY,251027
0.739,0.658,-5.462,0.0762,0.0748,2.14e-06,0.101,0.707,77.999,5SQaQWvBDEAeug4EPyYEGE,252125
0.71,0.589,-11.933,0.167,0.068,4.38e-06,0.176,0.65,144.601,73lYI49LhfsscO33ohrGN0,279360
0.782,0.43,-14.285,0.363,0.175,0.000294,0.0603,0.89,72.339,7vp89zcbYncoBCbX5HA3tZ,166773
0.672,0.711,-4.652,0.316,0.14,0.0,0.151,0.759,86.747,3u25dhBZ80h0TFewO29Wqb,221867
0.772,0.501,-9.56,0.421,0.163,0.0,0.0725,0.771,77.882,4hLATN2VtjiJ6jLm6V47x1,197840
0.932,0.359,-12.958,0.0944,0.0597,0.0,0.136,0.906,127.153,2XsW8N3mMRD5blv4KGNHq6,244110
0.687,0.544,-8.642,0.162,0.477,0.0,0.0937,0.742,72.082,2H4M3lyO2rJFQw33idCk1X,273040
0.865,0.549,-10.083,0.244,0.0845,0.156,0.081,0.616,142.8,1yxQwMLJIn5oBTOLl38GLL,233300
0.789,0.667,-7.852,0.283,0.179,0.0,0.0603,0.934,79.996,1MIoqrkFISWV3q3JvifC4S,191320
0.715,0.578,-7.54,0.102,0.00354,9.59e-05,0.301,0.918,74.349,34nNIDXjXDkaSghgY8XJTF,163920
0.782,0.687,-6.69,0.109,0.0573,0.0,0.0718,0.802,97.014,0Xd3LUIjRESt5rSAGzvAvA,240293
0.888,0.521,-6.845,0.306,0.229,0.0,0.0794,0.962,143.879,4SNxXAQ8QMlxLhYVX7nuoE,154333
0.481,0.443,-10.37,0.0427,0.341,1.73e-05,0.123,0.696,204.049,05DjGdZSV6nEeUkd78afBO,204858
0.477,0.854,-5.884,0.138,0.0603,0.0,0.168,0.494,144.841,0CmQgwV3Bmzh9nZb9TNVEI,225103
0.831,0.65,-4.508,0.0601,0.155,0.262,0.105,0.826,101.681,7LOAChK8Lkj8ZdF1LuhNWP,152867
0.711,0.433,-12.042,0.0611,0.471,0.00426,0.12,0.934,87.527,389R9arpxdfl0JA450Qn9m,201267
0.81,0.476,-8.933,0.0372,0.206,9.16e-06,0.0837,0.88,98.981,45JFUzpVO7pvS2bApjj8d0,224413
0.664,0.687,-6.172,0.173,0.00659,0.0,0.135,0.525,86.348,4o6ZuLYr04LqFQNiSGVK4u,258653
0.83,0.467,-10.936,0.0953,0.0551,1.64e-05,0.0662,0.837,140.569,2C7V873vI6fomP10lVwcfm,198440
0.825,0.433,-13.085,0.337,0.0585,0.0,0.0618,0.687,127.686,0GGPUysb8GpCG76dQH63te,200960
0.7,0.473,-9.893,0.0687,0.129,0.000891,0.0452,0.578,91.558,30ELPvO4DH57Rq2kgj7a8e,207000
0.722,0.544,-5.924,0.075,0.0969,0.0,0.0836,0.805,83.789,2RlVyAjLnGJQYp7uzpfUta,239200
0.777,0.458,-12.358,0.0841,0.265,0.00295,0.0423,0.961,99.05,26WPI2aksB9XdqmeLfca5z,295667
0.77,0.787,-5.489,0.278,0.23,0.000199,0.198,0.588,82.029,7b2WilS8iNSF8PcU17IMdC,277653
0.727,0.413,-8.844,0.352,0.00565,2.71e-06,0.138,0.814,69.884,7IBIZHonObtZG33pkVZZkg,197733
0.795,0.731,-6.056,0.0529,0.381,0.00163,0.0548,0.884,96.161,5jkxC8SIZJ4qqusxRPVS5s,268213
0.669,0.71,-3.644,0.134,0.034,0.0,0.144,0.908,174.052,6ueDnmAamC2RcxY9izQQia,246364
0.67,0.541,-7.415,0.293,0.29,3.11e-06,0.0751,0.488,167.935,4XvuRDrWteHQGLBOXbAkFZ,232000
0.672,0.839,-5.034,0.114,0.0674,0.0,0.114,0.917,153.37,6D4eMFcg3DquhNOQsNanQk,246453
0.731,0.683,-7.21,0.183,0.103,1.65e-05,0.101,0.669,174.067,4bLXcbMmmM4aAuhALEfyD7,242174
0.604,0.771,-6.591,0.0609,0.0876,0.0,0.716,0.7,94.161,6yalDzJGNoUQ2qSDlAdqU8,288600
0.796,0.669,-6.333,0.0912,0.107,0.000113,0.0891,0.96,147.367,2ocFan1CsWNJqdaIdv2Uux,294000
0.73,0.561,-12.851,0.203,0.0361,0.0473,0.0493,0.691,80.892,6r9KZ2g5dXZXXLF6vOHnet,231733
0.802,0.648,-9.228,0.184,0.35,3.99e-05,0.06,0.685,96.853,71zvW0WZ0bap9gphp7Jhgp,280600
0.775,0.652,-7.881,0.0583,0.149,0.18,0.0458,0.671,137.866,155vJ1VsYZ87Gldi1gNss8,255800
0.791,0.481,-9.39,0.124,0.0649,1.47e-06,0.0247,0.926,146.032,2PyDqCtFcXsucZqTF4rE3i,269547
0.842,0.578,-7.03,0.329,0.0396,0.0,0.159,0.789,82.896,4lE3rkBD6Ey1SQSd19XfY7,224840
0.457,0.669,-6.811,0.302,0.635,0.0,0.0967,0.486,174.188,0lrY5x74InbSUqH93mI1K3,207909
0.956,0.254,-13.264,0.0551,0.156,0.0362,0.0362,0.8,102.071,3e7yziCpnpx2ujgvXqSLzp,228293
0.855,0.602,-7.289,0.0595,0.376,0.0,0.167,0.81,77.514,7578oiL9J6tFHXEjfCXFAS,235373
0.781,0.831,-6.061,0.111,0.0596,0.0,0.187,0.661,139.98,5RPuPEZ0HiXPTnzwqfJMa8,234920
0.735,0.689,-5.799,0.177,0.279,0.0,0.231,0.827,77.726,4Qup2zholspnhLpgkO77C2,204000
0.624,0.719,-6.034,0.344,0.0262,0.0,0.368,0.781,82.571,4VoYv3ByzeEEIb8YEOT2rg,225507
0.792,0.256,-12.525,0.191,0.229,0.548,0.35,0.563,87.774,44L7aDHaRzb9pMWEZjSH8u,177000
0.786,0.223,-12.844,0.266,0.00281,6.03e-06,0.0816,0.84,166.819,5BkEtAa7LHwm5qs2vLegX3,202600
0.791,0.43,-11.316,0.0681,0.0312,0.000202,0.0476,0.716,89.518,0Og4hTQytc9vv4CCxZ2wpy,265627
0.74,0.687,-6.608,0.278,0.21,1.82e-05,0.109,0.782,73.083,16DTl4nJDz444OcvTlbxxD,203400
0.796,0.675,-6.382,0.0916,0.0686,0.0,0.0286,0.935,148.104,7KhQx2EJaZIPGsbMAjf4jg,213149
0.659,0.883,-3.009,0.286,0.0215,0.0,0.18,0.709,77.068,4MAadSz8azCoDgBNX27f0Z,283013
0.638,0.415,-13.1,0.362,0.155,0.0,0.141,0.812,137.551,6vteTQH9VwU9R9Ssyt9x5n,357214
0.605,0.641,-8.291,0.0446,0.0503,0.0,0.121,0.972,146.84,1QtWWUzwEGwpJlDRmpOSEg,177440
0.786,0.784,-4.951,0.0608,0.452,0.0477,0.0791,0.812,91.053,2vDUqLZsaEEYmREcRo9gnn,320280
0.719,0.435,-9.358,0.0856,0.149,0.0,0.261,0.582,76.67,6om52tevyqVMvl1mWTtKPM,224693
0.452,0.433,-9.189,0.0291,0.241,0.0,0.472,0.832,96.285,7056gVvC7P3PpltHgippd2,161973
0.531,0.803,-5.654,0.461,0.359,0.0,0.0949,0.748,169.701,1MmSKeGyQtsw01TZ4P2AaQ,202686
0.737,0.493,-9.599,0.184,0.101,1.18e-05,0.305,0.533,80.933,5vNKYqDA0jFnhf7KoeBhuD,363867
0.783,0.584,-10.211,0.108,0.638,0.00234,0.105,0.953,75.391,4ANZGc4p6NJxQ81C7aqIGw,259200
0.75,0.474,-10.641,0.243,0.0497,0.0013,0.0896,0.425,164.889,4czopM9AcLjrH4IunzRoBg,387307
0.5,0.698,-3.878,0.384,0.442,0.0,0.683,0.73,93.035,2jQENRPVxXb8TcTAXW6wpQ,243050
0.66,0.811,-5.448,0.332,0.00788,0.0,0.0145,0.821,139.619,46oKpr00CmuPJGvPZ3y9uk,253160
0.826,0.717,-6.212,0.0481,0.202,0.0,0.394,0.78,93.505,4BWt85BLRIujlHaIOQDaqR,228507
0.913,0.427,-15.221,0.114,0.0275,1.66e-06,0.0767,0.804,118.028,54cMaPPTAoC57ZgnMTJKHM,322000
0.609,0.695,-4.202,0.064,0.231,0.0,0.102,0.427,131.035,6cZRY3VaE6FeiMPHpaTvq0,279533
0.782,0.744,-6.164,0.0806,0.0552,1.42e-05,0.701,0.7,81.067,0qbouIdcN4lrj49jem7TEz,251204
0.806,0.553,-7.453,0.227,0.159,6.06e-06,0.107,0.696,137.949,3H9VcVDIdfgjZRj8Surw6s,237053
0.683,0.609,-7.611,0.0843,0.0564,0.0,0.221,0.714,83.953,6fhKMr6Yy8hUr28tmWsejh,201523
0.727,0.469,-16.572,0.0718,0.000409,0.00218,0.0266,0.667,82.201,24kv7kR0Cz8ZBWFx4Kq50A,228600
