danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.902,0.757,-6.444,0.17,0.374,5.98e-05,0.116,0.768,102.012,6C76s0vqIxMnVH7ZOsdtS2,228312
0.657,0.741,-6.822,0.0825,0.663,0.494,0.222,0.908,175.949,6b37xrsNCWYIUphFBazqD6,239987
0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,75FYqcxt1YEAtqDLrOeIJn,180267
0.857,0.468,-8.53,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,4uOKFydzAejjSFqYbv1XPt,183733
0.516,0.687,-3.463,0.0942,0.442,5.31e-06,0.325,0.165,167.758,0QSpm9D61ncQtoDjKNemBK,173252
0.804,0.696,-7.47,0.0899,0.00877,0.000985,0.314,0.657,95.721,3B4q6KbHbGV51HO3GznBFF,170907
0.799,0.662,-8.585,0.0347,0.00482,0.000505,0.0484,0.717,120.082,7aJZxI6TVdIvQSuWxQ4rqp,196000
0.658,0.611,-5.041,0.079,0.226,0.0,0.126,0.502,74.489,1ObD1mQ91u4yBK46EYNCgl,209587
0.861,0.405,-8.84,0.0532,0.203,0.0,0.103,0.54,116.831,1IzmnrmW5mYDLXs30RddwN,256733
0.935,0.479,-10.981,0.306,0.107,5.25e-05,0.118,0.773,123.644,5LyfiK6iXEIBNEtcaGKohl,211000
0.88,0.564,-6.431,0.0498,0.0786,0.0,0.0565,0.83,99.019,5N0lcnJTtKj4wNDvurHige,225600
0.612,0.651,-6.974,0.281,0.0864,0.0,0.368,0.902,90.272,3QO1m6i0nsrp8aOnapvbkx,262973
0.673,0.902,-4.886,0.0553,0.0164,0.0145,0.269,0.704,97.007,6iBWazas8QsDtBnjlXkrXk,225133
0.895,0.571,-8.636,0.0501,0.208,0.0,0.0781,0.933,128.171,1Pao4DTLMB4gJPTnqmLgSQ,158893
0.592,0.53,-7.619,0.126,0.719,0.0,0.163,0.325,124.832,6jQB97LaIftgb81KhkisXl,203078
0.848,0.463,-9.009,0.0854,0.378,0.0,0.103,0.948,133.0,4H1aZMAqnzICsnFVDf6Lxc,218240
0.603,0.555,-5.041,0.0284,0.701,0.0,0.129,0.677,96.498,28XBIzpPzfgXwrno4B8U1f,188936
0.67,0.516,-9.598,0.366,0.0673,0.0,0.0674,0.939,154.186,6SR0dDuXH2vtgBfMLrivKV,172933
0.81,0.476,-8.933,0.0372,0.206,9.16e-06,0.0837,0.88,98.981,45JFUzpVO7pvS2bApjj8d0,224413
0.569,0.118,-18.932,0.106,0.7,6.21e-05,0.118,0.463,171.208,2qrVYBy2PArMwQRVZxFWzz,257906
0.497,0.786,-6.05,0.322,0.0144,0.0,0.638,0.736,152.982,1a64u7QtJ9yDwpNyfDrZTj,221507
0.677,0.651,-7.245,0.0538,0.0706,0.0327,0.198,0.434,85.091,11Y4VVU6MTBtuSO116rsfG,170017
0.797,0.388,-13.3,0.0557,0.192,0.0,0.0599,0.756,128.529,0TjOyjjHJb9WmyUQlq1F12,162893
0.605,0.641,-8.291,0.0446,0.0503,0.0,0.121,0.972,146.84,1QtWWUzwEGwpJlDRmpOSEg,177440
0.697,0.695,-8.388,0.0794,0.0306,0.462,0.0788,0.772,172.018,3Ov05KIwJljawDuWbd7oKn,253795
0.706,0.591,-8.513,0.0321,0.0117,0.000514,0.136,0.845,142.233,5iRPNyWioH9Km8gi58As4V,202433
