danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.836,0.661,-6.502,0.338,0.0208,0.0,0.449,0.753,76.71,22AbXxQbMdVqEz7xJjhccG,213200
0.516,0.687,-3.463,0.0942,0.442,5.31e-06,0.325,0.165,167.758,0QSpm9D61ncQtoDjKNemBK,173252
0.758,0.786,-4.897,0.108,0.156,0.0,0.0658,0.786,83.495,5Wwr2S7QZTR5PVJn6jhgdk,234587
0.592,0.53,-7.619,0.126,0.719,0.0,0.163,0.325,124.832,6jQB97LaIftgb81KhkisXl,203078
0.698,0.62,-6.73,0.327,0.068,0.0,0.115,0.581,138.884,5iYfpZzt7llzz2clvkVlRP,261000
0.477,0.854,-5.884,0.138,0.0603,0.0,0.168,0.494,144.841,0CmQgwV3Bmzh9nZb9TNVEI,225103
0.658,0.611,-5.041,0.079,0.226,0.0,0.126,0.502,74.489,1ObD1mQ91u4yBK46EYNCgl,209587
0.739,0.658,-5.462,0.0762,0.0748,2.14e-06,0.101,0.707,77.999,5SQaQWvBDEAeug4EPyYEGE,252125
0.83,0.467,-10.936,0.0953,0.0551,1.64e-05,0.0662,0.837,140.569,2C7V873vI6fomP10lVwcfm,198440
0.669,0.71,-3.644,0.134,0.034,0.0,0.144,0.908,174.052,6ueDnmAamC2RcxY9izQQia,246364
0.782,0.687,-6.69,0.109,0.0573,0.0,0.0718,0.802,97.014,0Xd3LUIjRESt5rSAGzvAvA,240293
0.67,0.541,-7.415,0.293,0.29,3.11e-06,0.0751,0.488,167.935,4XvuRDrWteHQGLBOXbAkFZ,232000
0.64,0.47,-9.223,0.0538,0.159,0.0171,0.315,0.63,81.007,4CuNDg0YWkNiSg0DZaAKuV,207988
0.624,0.719,-6.034,0.344,0.0262,0.0,0.368,0.781,82.571,4VoYv3ByzeEEIb8YEOT2rg,225507
0.784,0.738,-4.713,0.163,0.02,0.0,0.0819,0.72,82.01,62juTEt71fT3Ni8jaFynPm,192044
0.742,0.368,-10.577,0.0651,0.356,0.0,0.0796,0.618,92.013,0k5s9BlyIUaHK1Fa7DVTyY,219479
0.775,0.551,-6.588,0.281,0.152,0.0,0.145,0.529,153.957,1xulzoD8FGNwfqe4ot9fDT,207273
0.783,0.584,-10.211,0.108,0.638,0.00234,0.105,0.953,75.391,4ANZGc4p6NJxQ81C7aqIGw,259200
0.531,0.803,-5.654,0.461,0.359,0.0,0.0949,0.748,169.701,1MmSKeGyQtsw01TZ4P2AaQ,202686
0.732,0.608,-6.93,0.0883,0.0158,3.51e-05,0.317,0.661,89.983,6d5E28VYwyws9CY00lwxfq,196154
0.765,0.601,-7.399,0.256,0.168,0.00976,0.122,0.773,80.018,1m2c9ZjrXRGRvvPhVOUXrV,219040
0.575,0.687,-5.465,0.0751,0.614,6.09e-06,0.137,0.519,127.043,23sdZgBlHvaHJcfOLu2PgZ,234331
0.753,0.69,-2.947,0.259,0.308,0.0,0.0865,0.916,81.99,7iKjwcwtWKvPItHxmPYQi6,210920
