danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.902,0.757,-6.444,0.17,0.374,5.98e-05,0.116,0.768,102.012,6C76s0vqIxMnVH7ZOsdtS2,228312
0.662,0.764,-5.224,0.111,0.046,0.0,0.0947,0.74,99.971,0jPEWByX9DZAQb5zyQ6eng,194406
0.657,0.374,-10.9,0.049,0.0412,0.176,0.241,0.478,183.985,7FomypRpFKzSIBOX338U4P,148696
0.658,0.611,-5.041,0.079,0.226,0.0,0.126,0.502,74.489,1ObD1mQ91u4yBK46EYNCgl,209587
0.775,0.551,-6.588,0.281,0.152,0.0,0.145,0.529,153.957,1xulzoD8FGNwfqe4ot9fDT,207273
0.683,0.609,-7.611,0.0843,0.0564,0.0,0.221,0.714,83.953,6fhKMr6Yy8hUr28tmWsejh,201523
0.516,0.687,-3.463,0.0942,0.442,5.31e-06,0.325,0.165,167.758,0QSpm9D61ncQtoDjKNemBK,173252
0.575,0.687,-5.465,0.0751,0.614,6.09e-06,0.137,0.519,127.043,23sdZgBlHvaHJcfOLu2PgZ,234331
0.592,0.53,-7.619,0.126,0.719,0.0,0.163,0.325,124.832,6jQB97LaIftgb81KhkisXl,203078
0.579,0.8,-3.152,0.367,0.166,0.0,0.963,0.604,145.53,74LujaXmzGQi5wRZ2HFh0G,294800
0.475,0.815,-4.698,0.301,0.37,0.0,0.107,0.479,103.987,68Hl1nI7Ico8cgwkBtA9Fg,213222
0.714,0.683,-8.651,0.516,0.457,0.0,0.12,0.467,159.893,6gkepFIH72ZdSIAjtvS7ZV,163853
0.718,0.754,-4.117,0.184,0.108,1.22e-05,0.321,0.765,75.008,0Wszs6jrBwK0YO2vYLb1We,200371
0.798,0.592,-7.48,0.116,0.0152,0.0,0.0215,0.761,131.931,4F8EDSwqScQxFaLjtScKWO,217288
0.693,0.756,-2.918,0.27,0.0798,0.0,0.121,0.745,81.986,2KR1FKbtBscgImHlKdoVyj,212796
0.813,0.729,-6.188,0.0308,0.0401,0.00647,0.105,0.756,120.003,7kXo7sb4Lz9sBNW5KT8Zk7,241763
0.755,0.711,-7.466,0.0397,0.638,0.0992,0.168,0.821,103.986,6li1utKb0kTo2R9FQU66yn,212308
0.71,0.728,-4.736,0.0873,0.153,0.0,0.145,0.859,133.999,4MbHdE6u1WVqqzwbHLkKUL,208893
0.699,0.742,-7.288,0.169,0.033,0.0,0.0508,0.54,79.981,4ezz5XTWn8PPTuDagSM8pH,245987
0.676,0.427,-7.088,0.266,0.167,0.0,0.0786,0.675,175.954,2kfNmluPa17SRaKtjFpQ2x,177586
0.519,0.663,-3.498,0.319,0.0858,0.0,0.137,0.725,84.208,2sY6QwNrA9yWZRPW2WtHTq,224104
0.715,0.649,-7.12,0.108,0.0242,0.0,0.0999,0.501,149.99,4WHA0SAluXCxpbltBOyUyC,272626
0.557,0.83,-3.652,0.199,0.119,0.0,0.158,0.843,79.566,57r0b2RzN5wsslQygPQSpQ,175285
0.619,0.628,-4.224,0.232,0.0279,0.0,0.0871,0.774,90.278,2gkLKPNT5YO4O8K0JJwVf6,238464
0.6,0.64,-4.973,0.136,0.068,0.0,0.0667,0.481,101.605,1slGuz5uZMRD9OgxyL7KBD,173618
0.628,0.7,-9.803,0.266,0.0105,0.0,0.0619,0.625,81.935,2RVDc70wlyLx8iGO5vBgdR,259519
0.79,0.567,-8.773,0.0459,0.484,0.0,0.103,0.805,90.991,54Dt888vzNrG90F51f1kSW,208720
0.678,0.356,-11.986,0.827,0.113,0.0,0.0856,0.51,143.928,2eW02aiQxbVc0BQJmtIUgJ,224444
0.681,0.844,-5.227,0.183,0.135,0.0,0.102,0.699,81.841,306Z0s3TVHyD0cSPJusjht,248780
0.577,0.809,-4.371,0.219,0.328,0.0,0.14,0.547,79.413,02TJW1p8g5AWLdbFllCu2K,240262
0.766,0.591,-8.625,0.182,0.0222,0.000104,0.108,0.586,94.204,6iCfgbzPaftZ61hybTBVWJ,211704
0.748,0.915,-1.688,0.294,0.668,0.0,0.329,0.92,90.003,4qeMtlPANjhEHKWm3VhmyK,181333
0.615,0.831,-5.776,0.0373,0.00918,5.74e-06,0.0849,0.848,75.998,5DUmNxW374v827lIgnlsZO,212219
0.836,0.695,-6.671,0.312,0.000894,0.0,0.333,0.674,90.005,2Hx9cYkT5WGVEwx0CgZluk,216000
0.882,0.709,-4.854,0.169,0.67,0.0,0.305,0.661,90.028,6Cby4tZ2EW7ZpXOSLf6cvT,229275
0.838,0.556,-7.905,0.0916,0.0663,6.94e-05,0.108,0.795,82.98,2ZMrQpLGv3H10PeNDEL1UF,229168
0.709,0.808,-3.55,0.333,0.0451,0.0,0.0797,0.715,80.125,45wzZ9CfGX8dDw1qbJTvEp,208147
0.711,0.603,-7.032,0.24,0.146,0.0,0.0843,0.794,77.319,7x5vP5y7h9Rwzcm5s6ZcZ5,221077
0.874,0.728,-4.535,0.268,0.0936,0.0,0.364,0.895,80.984,6B8Q0LnJePTTaRGCo2tdwG,229640
0.536,0.828,-7.742,0.21,0.0857,1.36e-06,0.0893,0.848,189.683,2md0a0rA0bpwS45hy6suj4,250107
