danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456
0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,70LcF31zb1H0PyJoS1Sx1r,238640
0.585,0.643,-8.392,0.0395,0.201,0.000306,0.144,0.592,152.98,3lGMtkONrZdJ8kTCg6KIFf,221800
0.577,0.363,-12.378,0.0263,0.86,0.000282,0.0868,0.265,91.511,75UMtPC77vqKRwfSuYuNPO,247197
0.406,0.418,-6.302,0.0366,0.551,0.0,0.0737,0.468,126.264,1caKQ2Nqtr1eoczaB83cUz,144428
0.431,0.34,-9.384,0.0311,0.794,0.0108,0.12,0.0529,119.877,5U1OEoEW4xnalSAToamwZL,285051
0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,10nyNJ6zNy2YVYLrcwLccB,229120
0.68,0.321,-10.944,0.0376,0.791,4.67e-06,0.125,0.416,110.827,6aommJFM8i3iT4inKuDSXh,215986
0.826,0.694,-7.862,0.0315,0.316,0.0285,0.074,0.852,123.932,4T6FWA703h6H7zk1FoSARw,217427
0.583,0.731,-6.18,0.0271,0.0107,0.0136,0.238,0.446,149.987,6kdCN6gTWLcLxmLXoUcwuI,267600
0.868,0.347,-9.529,0.0536,0.308,2e-05,0.11,0.659,110.059,4VywXu6umkIQ2OS0m1I79y,207680
0.554,0.326,-8.223,0.0599,0.822,0.0,0.193,0.331,81.998,3fLqmaO4vvZpFZSZy52VMp,176025
0.706,0.349,-8.125,0.0302,0.791,0.0,0.108,0.624,94.058,1m84zLz4WizjR4mCDoXReg,238220
0.72,0.325,-16.922,0.0319,0.0756,0.0,0.308,0.318,101.3,2PkTjm1QAJCZbJ9MqC4RqA,178267
0.587,0.639,-8.065,0.0357,0.395,0.0,0.68,0.789,116.499,0639sfoRA7sW4fGS1EzcQu,249307
0.618,0.504,-9.328,0.0319,0.496,4.73e-06,0.698,0.58,98.12,2sLS4tVaEoMYrNS67PVz0V,276787
0.626,0.389,-11.609,0.0254,0.677,1.12e-05,0.117,0.656,97.708,6rg1MBZqggsQ5olFGTw0rr,212880
0.73,0.483,-8.565,0.0879,0.237,7.99e-05,0.31,0.883,87.996,7s2kWabRM60W9I61HpKg8C,192621
0.523,0.339,-9.913,0.0275,0.707,0.0111,0.709,0.117,115.7,2kMVxFh1y5gow2hBtqGO4m,247000
0.649,0.438,-12.859,0.0357,0.911,0.759,0.136,0.932,149.897,7Deb4scGmEv4fY2CZcVnSb,122760
0.716,0.495,-7.088,0.0339,0.0113,1.82e-06,0.104,0.435,119.975,0fl9zrtFxmZEE3sx7RbS7k,254929
0.665,0.411,-10.155,0.0273,0.801,0.0699,0.112,0.284,134.982,1NeZxBuSEhikl0ZrOSgpuW,234760
0.473,0.128,-12.303,0.0365,0.948,5.36e-05,0.101,0.0897,93.95,38Zs2b75JPNB2tS7O7JQnS,266432
0.626,0.632,-8.036,0.0285,0.257,0.0,0.829,0.651,128.01,68cko9zdsKwaxgb98sF36S,202063
0.7,0.42,-9.646,0.0304,0.724,0.000213,0.117,0.283,119.93,0GYS14rwcsMXhYMP57W164,168125
0.496,0.13,-14.396,0.0415,0.962,8.15e-06,0.211,0.22,133.07,7MDfNYdpdohHjmFsYK44KU,262200
0.761,0.729,-5.896,0.0904,0.0844,0.00402,0.155,0.456,103.982,0qRE2t4scDRFsBgBXsQIH9,188222
0.532,0.329,-7.982,0.0258,0.469,0.00027,0.134,0.333,85.956,6sycT6FiSI1YSERI9279qY,240000
0.592,0.487,-9.052,0.251,0.485,0.0,0.0768,0.638,170.285,1vV2FBKYvu6sJDqzSCNgbI,205569
0.767,0.496,-7.946,0.0347,0.333,0.0694,0.111,0.17,104.003,5EVv8M3vhByFLLqT1dkdGd,215383
0.585,0.454,-9.91,0.037,0.306,1.89e-05,0.784,0.499,177.085,2CFDPiNUxcSOqfQtUHYNxF,237874
0.0966,0.315,-13.192,0.0364,0.863,0.000101,0.092,0.239,173.411,0eiSOdI9rD539QlKroFnSn,110445
0.868,0.154,-12.973,0.0724,0.907,0.00151,0.122,0.807,120.037,0trB3R0YBk3vGrGm5YSUTv,167250
0.426,0.342,-11.531,0.0265,0.858,0.0172,0.258,0.155,74.853,7G6NU3cp3ufNMEFCI2l90X,376520
0.563,0.168,-11.752,0.0396,0.931,0.0101,0.117,0.6,117.406,3uz2tyLRgSzSlhOIXCz0DB,86000
0.646,0.596,-12.475,0.028,0.0641,0.294,0.342,0.457,130.151,5rGphVLnbPdyBQ5X3rjb2X,224093
