danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.612,0.319,-10.132,0.0312,0.892,0.93,0.103,0.727,129.878,1OuCn2F9BmyTAdM0Jylo9X,142227
0.612,0.278,-12.153,0.0329,0.446,0.86,0.0799,0.109,108.485,09efVfgf64MbVRdLKDnIGS,289648
0.568,0.272,-12.719,0.0321,0.991,0.891,0.0916,0.29,116.978,5zn0ihstICpxoC6rXS2P6t,279840
0.507,0.238,-13.381,0.031,0.734,0.000852,0.0846,0.683,171.01,5x17OfFfF4UNy5XkRBZjWB,201787
0.45,0.275,-11.48,0.0374,0.51,0.0711,0.0847,0.311,140.094,2fuiA0FQANMrcr2jXMc0nP,203293
0.698,0.429,-9.246,0.0416,0.148,0.691,0.101,0.54,134.946,2FH0jT9o0mz71s7AtMkAa4,191975
0.426,0.128,-11.813,0.0392,0.711,0.00297,0.185,0.207,148.952,2lQgiAms2b5vLQMZZ0ypQk,291213
0.347,0.0721,-22.657,0.0492,0.995,0.938,0.0818,0.213,74.416,2W6AJAQi1lQU8wrZCnaZTy,196000
0.332,0.399,-11.316,0.0447,0.797,0.886,0.501,0.589,129.9,0bt22Pke8uyTr7az9pseW9,212600
0.18,0.221,-11.331,0.0468,0.947,0.709,0.105,0.227,81.641,4vy1RotKCE0qpxw3GZyLXS,242003
0.423,0.793,-7.503,0.0649,0.62,0.791,0.146,0.286,79.993,0FilCJDN0Cvjo0jezjxgAC,264000
0.258,0.179,-13.822,0.0454,0.876,4.49e-05,0.0709,0.446,72.795,20nMssNxX89e7YMoT0gpFQ,184875
0.618,0.238,-9.913,0.0431,0.917,0.341,0.321,0.704,126.08,4RkslWnwxbvU5wy00BNRsR,236227
0.398,0.445,-12.428,0.0314,0.338,0.946,0.0743,0.181,174.075,0RsaOIEKB4u4dbZMgs8zXP,161724
0.243,0.11,-20.122,0.0441,0.508,0.894,0.142,0.0386,83.265,6eZXxcFFDaAcAli6LsEJdF,167610
0.588,0.155,-20.621,0.0321,0.633,0.694,0.0748,0.404,136.482,4p7na6NSU0F7lMOhx9kg9k,244340
0.304,0.275,-11.194,0.0301,0.966,0.89,0.119,0.115,94.867,7CNO19a6MzNLmBd3m2iCbU,195419
0.642,0.491,-7.21,0.0497,0.831,0.809,0.274,0.517,91.028,3vqyauyYbp9MqUwrCEmWJ0,146195
0.624,0.37,-10.127,0.0366,0.801,0.785,0.0728,0.555,95.018,3vZ5bB1uAQQsG6N78BvaIJ,175934
0.193,0.22,-12.383,0.0411,0.94,0.483,0.142,0.171,161.637,4KgoCx0x5Tln9FBt5N6Zca,222467
0.417,0.202,-10.881,0.0442,0.957,0.00862,0.0689,0.635,69.177,66iP3U2QOKgevrnrbWk53S,206720
0.611,0.439,-7.284,0.0334,0.242,0.547,0.108,0.551,116.992,5IUkEKXYrAzIhgHeAyU6gE,184144
0.515,0.0695,-22.837,0.0342,0.992,0.934,0.0943,0.109,112.81,3sSESwCLq4g7WiXk6LJKbI,204560
0.195,0.336,-11.559,0.0382,0.347,0.854,0.062,0.149,87.429,3YxYCnmwqzntBbiAOvwLM1,332672
