danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.225,0.0047,-30.928,0.0509,0.992,0.881,0.0722,0.186,163.665,2MSgFefjK0T7Iwjvr3OKqV,259493
0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612,3DNRdudZ2SstnDCVKFdXxG,315427
0.119,0.031,-31.179,0.0483,0.964,0.165,0.111,0.0388,88.858,123zFAGx0F5ScgrLrCWGDX,156573
0.376,0.00579,-31.615,0.0576,0.996,0.944,0.0882,0.0369,71.827,5fdp9rXfEixCGLM1Og4EN1,296480
0.279,0.0292,-26.804,0.0406,0.987,0.902,0.104,0.0338,136.732,2u9VGZmVz7Rm01SfDgzcfA,293147
0.209,0.00299,-33.974,0.0491,0.992,0.955,0.104,0.039,66.685,4b59u2E74KcDuyHCRBkf5v,442172
0.33,0.00274,-37.342,0.0617,0.992,0.908,0.0668,0.188,61.088,1ThKqYwGxzcxIrYsjfVr85,143532
0.296,0.0644,-22.715,0.0405,0.994,0.879,0.0748,0.354,79.031,5nFCdayR5pAEVvQw7ZAIuQ,125200
0.0939,0.0336,-24.041,0.0606,0.927,0.83,0.0954,0.0516,67.359,1upQiytDIEZfl9ItruoXuC,207267
0.458,0.00493,-32.958,0.0498,0.995,0.965,0.0674,0.0717,136.549,7bAN5DH2H17rt4x3dTid0R,146880
0.36,0.00301,-35.441,0.0444,0.994,0.897,0.0557,0.18,72.892,1v3gGmcneK1QzYyBFiBXG0,301400
0.252,0.0578,-26.184,0.0518,0.953,0.0163,0.0721,0.0391,108.013,1BbQIyPnuhVIlJEqPcY3Ug,141707
0.164,0.0185,-30.778,0.0412,0.988,0.888,0.0801,0.078,86.65,5a0nC0tGDJBpGMZu3PeekY,157067
0.318,0.00407,-35.677,0.0578,0.994,0.928,0.0793,0.0388,73.2,6Ngg4wrCqwwIT5HdjtAKYo,606801
0.158,0.0122,-27.822,0.0458,0.927,0.829,0.0874,0.0394,106.244,7oGaoWA4jzX48NmXZ4tWOd,314387
0.065,0.341,-12.743,0.0482,0.154,0.854,0.109,0.0334,65.38,56oReVXIfUO9xkX7pHmEU0,371747
0.139,0.11,-16.155,0.0362,0.453,0.902,0.107,0.0377,174.865,47xdo9qYjAbOIVVBAqom1b,300213
0.454,0.0139,-29.966,0.0514,0.995,0.943,0.0736,0.244,130.253,5bu9A6uphPWg39RC3ZKeku,184853
0.342,0.0179,-24.846,0.0387,0.982,0.906,0.0831,0.0382,61.757,7vIJwiFD2FKiulXzCDMvc4,334053
0.146,0.00849,-36.382,0.0384,0.97,0.932,0.101,0.0389,77.324,4G9nvquG9wJNTnBeuJ1Pbp,413480
0.251,0.00553,-31.798,0.057,0.995,0.837,0.0648,0.0648,63.607,6FeLwmGzZvjZFtlN90r9CB,199097
0.266,0.00361,-29.735,0.052,0.995,0.925,0.0723,0.0631,94.861,3x5paczEO2SQyOVAcHpLGa,160453
0.306,0.0127,-33.274,0.0466,0.991,0.952,0.0634,0.106,89.231,3EO1jW8meUV5olvl3UTD6W,142857
0.239,0.287,-12.565,0.0388,0.876,0.644,0.122,0.185,71.608,39uLYYZytVUwcjgeYLI409,311107
0.449,0.00766,-37.783,0.103,0.991,0.873,0.0732,0.575,64.059,0hZBK2IS2uKdWVwEWXX1vB,175427
0.448,0.00397,-27.003,0.0788,0.995,0.912,0.0612,0.0377,51.112,4TdplSGjf7izKmKe81pt6b,111307
0.429,0.258,-16.967,0.0549,0.957,0.893,0.115,0.0972,78.809,3Dgmyz32dxvtxvUTPS0CUI,112353
0.389,0.0139,-31.931,0.0472,0.995,0.848,0.0984,0.0922,87.197,1Mk9mrwz6kNeRGOQSRwIVG,365040
0.382,0.0499,-25.262,0.0548,0.994,0.906,0.109,0.0779,125.903,7IHEJdJhju1F2rhIiwgawx,316653
0.313,0.0324,-29.155,0.0451,0.992,0.919,0.1,0.0522,127.356,6VLzm03YUeXVl3GdGyib6J,182720
0.24,0.0834,-29.545,0.0499,0.978,0.944,0.0804,0.188,169.621,4VVEfBXep7FdOt524jkfLF,159320
0.235,0.158,-20.795,0.0365,0.985,0.925,0.115,0.182,104.886,1cLqcUQzMpgiSCp6Bqx7X8,232440
0.285,0.00453,-29.871,0.0459,0.995,0.845,0.109,0.0587,70.075,7msmTNDbP3QWWuevPxcm48,230181
0.3,0.0296,-25.094,0.0355,0.975,0.913,0.0786,0.0798,68.118,2w2ILZhs6v4kAEPD8GLIJj,258000
0.243,0.0325,-23.379,0.0454,0.992,0.879,0.108,0.0404,74.26,0cKlu1GLSgOSdJBu6yMMX4,237960
0.0877,0.0763,-23.986,0.0429,0.645,0.897,0.353,0.0509,78.535,3o9br9LskOEbwc5irxfHqR,295219
0.427,0.00255,-36.604,0.0638,0.995,0.932,0.0706,0.393,110.032,4PpPfjRNDzPD0A6A5xgu0z,189800
0.0975,0.0077,-34.135,0.0471,0.988,0.83,0.0603,0.0989,87.152,0rFdP3ZfwsUajBLUuex0Kb,190813
0.198,0.0246,-32.071,0.0436,0.945,0.275,0.122,0.125,168.273,5ebC5YZw56vrVIkIbkbNvP,202240
0.102,0.0733,-24.133,0.0488,0.974,0.859,0.28,0.0308,73.954,1CSaCKPIp2yCIDL3t7Fyau,537427
0.329,0.0171,-30.374,0.0393,0.993,0.92,0.0904,0.127,65.054,7lO0GHKtEZKLZ0l32upmll,287960
0.272,0.0132,-28.85,0.0365,0.99,0.924,0.0875,0.0743,73.368,6VnSkysUFuLEayG0LIQlVF,272133
0.233,0.0358,-28.579,0.0373,0.946,0.878,0.108,0.0396,117.497,5rpw2ag9jizRl9VdaLNT61,234000
