danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.419,0.711,-4.083,0.0488,0.0513,0.0,0.243,0.529,82.18,1fKFxmSByZfjwVSbq0PHye,428439
0.668,0.543,-10.298,0.0435,0.265,0.0,0.347,0.671,136.459,3N6rAKpPraBOZqn9RhSrz0,153665
0.52,0.801,-6.617,0.0382,0.132,0.0,0.953,0.571,103.681,6HT88WDVwEJiHEbPuQ5XcB,133077
0.721,0.612,-6.899,0.0563,0.186,0.0,0.156,0.86,85.081,3lCbsHaN1wCxyDzcNN2x4N,182199
0.605,0.572,-6.06,0.0435,0.144,0.0,0.721,0.834,84.827,4J1vAbtAhMdsdpO1sKU3EO,186735
0.747,0.907,-1.921,0.0515,0.316,0.0,0.0879,0.757,98.005,3LNZSTiwQYL7BnTfHvIOII,240853
0.724,0.535,-7.88,0.0777,0.0187,0.0,0.387,0.788,88.035,7qZJvb1Js7BTEUiHw10o1a,231511
0.59,0.857,-1.986,0.0553,0.289,4.21e-06,0.0414,0.976,135.29,6bLvfGI2XeU5DTl8feuNrk,227396
0.698,0.829,-6.167,0.0358,0.195,0.0,0.308,0.933,141.931,03wQrSM0nV1WyPIgWvapG4,174869
0.606,0.704,-3.203,0.0285,0.391,0.0,0.109,0.666,91.478,1DFDbSWdESvzWHHAe6BCQ3,310296
0.75,0.943,-4.28,0.228,0.279,0.0,0.0808,0.779,90.095,3tddzXTgneWrkV2cYNUBZe,146240
0.645,0.758,-6.7,0.029,0.106,0.00017,0.579,0.933,95.544,1TqVbvwPmESLvgkueeJI4V,194638
0.651,0.731,-6.889,0.0549,0.116,0.0,0.0708,0.653,153.104,3H0PlcSmQ6z4DDCBFkD7Wx,218431
0.632,0.775,-6.408,0.0767,0.0575,0.00147,0.241,0.821,201.021,3Iw4UVS7fo2TdD6Spmgqaj,194800
0.752,0.702,-5.024,0.0279,0.498,0.0,0.0601,0.853,100.017,5ISajXj2M1yvkrC0KsgbR5,189153
0.419,0.809,-4.596,0.0357,0.323,0.0,0.699,0.635,88.418,3CACzG9I3AoKUKA3ODE5zW,238528
0.686,0.68,-4.694,0.0511,0.261,0.0,0.0853,0.964,158.174,5culmYJR6bdgdY1w4HRYt0,196415
0.74,0.768,-5.037,0.0603,0.199,0.0,0.0832,0.867,164.145,68drjp77R32xEkzP1vxlF6,203933
0.582,0.621,-5.349,0.0378,0.0256,0.0,0.348,0.94,95.021,7vL8ZEvLOXXW9SiL9ulZRZ,284214
0.555,0.666,-3.451,0.0365,0.694,0.0,0.107,0.843,163.954,7Gc9iCkANNOlw32jQCemjz,202440
0.302,0.758,-5.273,0.0424,0.202,0.0,0.881,0.669,174.704,3trowLiYwwOoiwapLISNyk,239760
0.723,0.594,-5.975,0.0719,0.524,0.0,0.0776,0.88,85.006,09sFkBXLsu4D3emZhHEs6O,447529
0.784,0.775,-4.894,0.241,0.657,0.0,0.0984,0.846,130.1,0HgkRcmGDiza3KTjM3Ifnu,237739
0.709,0.793,-4.192,0.039,0.294,1.02e-06,0.292,0.906,93.988,5XjusjnRecmB48YdD9BEIJ,203600
0.707,0.707,-7.15,0.038,0.252,0.000107,0.19,0.854,86.232,69Z2hUoeaxVx3Hxf8unmks,212754
0.317,0.904,-5.686,0.164,0.506,5.29e-05,0.551,0.648,173.041,43DJZnMU894sjYBDx6HHO8,97467
0.844,0.638,-7.957,0.0703,0.106,3.36e-05,0.107,0.764,92.68,23ADuBlydh01tBQhJgMgIV,194534
0.685,0.725,-5.523,0.104,0.216,0.0,0.0857,0.463,140.816,6aMgqUHmyLs5vnyaV98HID,120638
0.613,0.704,-7.626,0.0713,0.14,0.0,0.727,0.587,84.926,1sZ39ZxvFo8FyMz4s7iVlf,280895
0.686,0.776,-3.601,0.0837,0.16,1.02e-05,0.133,0.94,179.915,4bWdlExSeKAotB6uJwxFlf,248787
0.859,0.534,-6.409,0.201,0.306,0.0,0.325,0.633,85.021,166qsYi2wR3u6qfg7wrh1r,211875
0.767,0.901,-1.975,0.0862,0.319,0.0,0.172,0.751,94.023,5EHRc2WJASyZg3alJqsbqU,161239
0.614,0.702,-10.145,0.0316,0.0759,0.0,0.297,0.851,147.98,6jDx3MNG0yJdrvEBZohKBE,354627
