danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,2VxeLyX666F8uXCJ0dZF8B,215733
0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,75JFxkI2RXiU7L9VXzMkle,309600
0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,0ofHAoxe9vBkTCp2UQIavz,257800
0.572,0.418,-10.738,0.0349,0.635,0.0,0.0961,0.694,104.566,745H5CctFr12Mo7cqa1BMH,165000
0.45,0.442,-12.718,0.0353,0.493,0.00564,0.134,0.812,208.282,12q3V8ShACq2PSWINMc2rC,233173
0.476,0.381,-10.238,0.0342,0.727,0.0,0.0614,0.33,121.948,3gsCAGsWr6pUm1Vy7CPPob,286920
0.342,0.2,-13.569,0.0324,0.134,0.000153,0.341,0.0743,133.113,4B2lJinAkeNLSJjcq3dg8Q,286653
0.663,0.296,-18.09,0.0294,0.68,0.00837,0.0879,0.359,112.306,7w5AOd6HrDIHewHfpABEss,289067
0.48,0.542,-8.51,0.0348,0.345,0.000609,0.113,0.567,152.853,7mjSHL2Eb0kAwiKbvNNyD9,200560
0.257,0.338,-12.902,0.0357,0.736,0.0,0.252,0.544,207.356,4feXcsElKIVsGwkbnTHAfV,162493
0.274,0.348,-8.631,0.0293,0.547,0.0133,0.334,0.328,87.43,4Hhv2vrOTy89HFRcjU3QOx,179693
0.439,0.434,-14.918,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,0gEyKnHvgkrkBM6fbeHdwK,274707
0.392,0.534,-8.793,0.0369,0.245,0.00104,0.155,0.325,181.305,3G69vJMWsX6ZohTykad2AU,276187
0.481,0.262,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.861,6mFkJmJqdDVQ1REhVfGgd1,334744
0.826,0.694,-7.862,0.0315,0.316,0.0285,0.074,0.852,123.932,4T6FWA703h6H7zk1FoSARw,217427
0.592,0.355,-14.051,0.0352,0.478,0.0,0.0585,0.499,133.032,3NfxSdJnVdon1axzloJgba,216773
0.745,0.219,-11.216,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,1zNXF2svmdlNxfS5XeNUgr,186251
0.756,0.401,-10.702,0.0526,0.582,0.011,0.0541,0.514,101.954,63xdwScd1Ai1GigAwQxE8y,199396
0.772,0.371,-5.743,0.0348,0.744,0.0,0.167,0.684,96.574,6nLvaCZFR1wEzW3sIKpsnr,233733
0.509,0.31,-10.623,0.0313,0.959,0.229,0.0963,0.151,137.474,7CoMBpPTwQi2wPT0U0Nr9b,208653
0.483,0.192,-15.378,0.0469,0.991,0.908,0.106,0.0542,100.848,14rZjW3RioG7WesZhYESso,140733
0.581,0.687,-5.4,0.105,0.229,0.0,0.109,0.187,76.014,1Omt5bfz1tZUCqd26HxbS0,240600
0.614,0.527,-6.374,0.0302,0.597,0.0,0.11,0.354,121.941,42bbDWZ8WmXTH7PkYAlGLu,211764
0.328,0.936,-3.254,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,12dU3vAh6AFoJkisorfoUl,289560
0.597,0.271,-17.293,0.0394,0.766,0.0119,0.0933,0.338,76.271,1oht5GevPN9t1T3kG1m1GO,203613
0.679,0.568,-10.74,0.0423,0.422,0.00928,0.322,0.93,159.69,6VnpKLtfNH4Dk09YSGPSyR,242640
0.616,0.47,-6.092,0.0253,0.291,0.0,0.111,0.325,80.03,56pHllZT7QOacB0bP56ofx,210507
0.734,0.58,-6.619,0.0321,0.238,0.0006,0.0298,0.962,119.336,1Hv1VTm8zeOeybub15mA2R,258693
0.471,0.22,-9.243,0.037,0.691,0.0,0.104,0.26,133.714,3ZPBZH2k9p306C1bu7bkhC,208000
0.668,0.26,-14.256,0.0523,0.453,0.0,0.0621,0.368,119.416,5b7OgznPJJr1vHNYGyvxau,147000
0.457,0.297,-12.511,0.0306,0.686,0.000107,0.109,0.333,120.021,1OEoNpiyqBghuEUaT6Je6U,354880
0.588,0.656,-6.373,0.0224,0.378,0.00227,0.042,0.746,79.701,0GGxVTb0UwDwdaKNjBdCn3,212933
0.629,0.58,-6.208,0.0278,0.357,0.000353,0.436,0.655,110.264,7KX65PC1UZuImsUInThbav,210300
0.417,0.686,-6.484,0.0373,0.0955,0.0287,0.0989,0.625,204.113,0Z57YWES04xGh3AImDz6Qr,189293
0.653,0.429,-10.473,0.0297,0.0849,0.00371,0.0693,0.627,146.073,7H3ojI1BsVy0dEJENqMt1k,274933
0.619,0.22,-13.843,0.0672,0.782,1.19e-05,0.124,0.426,75.143,3M8FzayQWtkvOhqMn2V4T2,258835
0.816,0.514,-8.741,0.0339,0.767,0.949,0.0899,0.912,136.837,4fQMGlCawbTkH9yPPZ49kP,176333
0.598,0.571,-12.616,0.139,0.704,0.0,0.513,0.962,173.141,2HoqbEOXgbDSLZ5XCePEXt,119880
0.632,0.232,-12.326,0.0318,0.428,4.95e-06,0.215,0.673,119.136,7jmHyHMEqm9MJWiMAneF05,175493
0.706,0.349,-8.125,0.0302,0.791,0.0,0.108,0.624,94.058,1m84zLz4WizjR4mCDoXReg,238220
0.946,0.289,-9.413,0.0584,0.152,2e-05,0.234,0.816,102.073,4KqBoq7MoDJeVsvUHTjXCM,129627
0.799,0.608,-11.026,0.295,0.204,0.000692,0.25,0.283,97.045,0vMctOnb4YNIvbqgkbWNDy,261881
0.585,0.247,-12.612,0.04,0.452,8.85e-06,0.107,0.591,127.15,3aEJMh1cXKEjgh52claxQp,223760
0.723,0.47,-11.302,0.028,0.633,0.0373,0.0968,0.783,97.107,65krtHkaYLPr0mEbjL61UP,251333
0.592,0.398,-10.81,0.0678,0.357,0.000925,0.119,0.204,150.038,1qjrYozGqc7upUgfN776lZ,185293
0.606,0.282,-12.207,0.0339,0.501,8.3e-06,0.152,0.563,67.409,683b4ikwa62JevCjwrmfg6,274040
0.261,0.302,-8.19,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,1PWnAEQcbwQwK759otUbta,278987
0.454,0.26,-13.193,0.0401,0.539,0.00078,0.0675,0.598,174.322,1YQWosTIljIvxAgHWTp7KP,324133
0.471,0.021,-24.385,0.0366,0.931,1.19e-06,0.103,0.356,107.796,3zpj9dvJABiyMrmLCPw6i8,164573
0.556,0.61,-4.729,0.213,0.833,2.22e-06,0.258,0.665,199.373,2xar08Fq5xra2KKZs5Bw9j,171467
0.654,0.393,-13.392,0.129,0.865,2.97e-06,0.123,0.533,143.801,15ouqiBsgL12olEwP3COsH,214366
0.809,0.508,-9.182,0.0328,0.654,0.000224,0.105,0.732,121.968,3fk5fBFB27GbWGATdBpOgr,181467
0.622,0.24,-14.067,0.0363,0.798,0.0,0.142,0.587,132.234,0elmUoU7eMPwZX1Mw1MnQo,202160
0.508,0.404,-11.092,0.0788,0.664,0.0,0.104,0.129,81.713,6c7N5N7amAOpeMykjlovjI,216865
0.387,0.117,-17.803,0.0299,0.925,0.000171,0.109,0.166,93.575,66iKqUazBbTlAEjcZrpDkD,151867
0.758,0.586,-13.461,0.056,0.033,0.0028,0.0743,0.947,154.629,4gRA0i5sxx3jAhHaVjPnUN,228327
0.438,0.349,-15.569,0.038,0.338,5.7e-05,0.417,0.683,124.984,1jcPcDu2YawPfLhwjYnqK2,163587
0.732,0.555,-7.973,0.0326,0.627,0.0,0.112,0.73,114.982,1jecO8NeYLsVWVptITz4c1,206612
0.612,0.144,-12.204,0.0352,0.88,0.0,0.203,0.343,128.629,5OkKOkdVTKFrYi6GWXkMzR,181627
0.56,0.32,-14.34,0.0313,0.505,0.472,0.11,0.107,82.511,41QhRnFDdhMLtR8tmnolbr,329667
0.381,0.502,-5.505,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,1djzKW3eYLyzjjHXazEWWh,237800
0.606,0.769,-9.215,0.0713,0.14,1.64e-05,0.841,0.593,121.042,48YkpE5enOln5c7jXSTuHL,218000
0.33,0.423,-10.504,0.0279,0.265,0.731,0.347,0.117,143.086,052z2UsE2wPrHsBJ9tly0g,211500
0.589,0.177,-14.891,0.0325,0.977,0.714,0.0958,0.311,88.409,5YqpHuXpFjDVZ7tY1ClFll,161680
0.653,0.319,-17.813,0.0364,0.439,0.0,0.0906,0.845,147.858,3QKJELWORZZ7rUZDWeMWSA,138013
0.497,0.537,-9.264,0.0269,0.079,0.000139,0.0782,0.371,108.448,5MmWgG5KgiqSxkOZdVXRQA,265000
0.368,0.403,-12.699,0.0288,0.703,7.66e-06,0.202,0.338,135.384,49RUdNvwSiUTC8fBh4KKoC,212667
0.783,0.629,-6.152,0.0607,0.231,0.000536,0.0881,0.7,111.978,7FxzgizJRGTQ3fxUqfvljg,207307
0.327,0.425,-11.577,0.027,0.878,0.000873,0.18,0.165,93.946,6T10XPeC9X5xEaD6tMcK6M,268307
0.781,0.25,-9.702,0.0297,0.708,0.91,0.375,0.454,103.478,6G6M4fl2I0eqEQnzyTwR8m,209317
0.532,0.244,-14.652,0.0327,0.707,4.56e-05,0.122,0.238,89.327,50q2aUjWoTn6CJIfSPRJQA,276000
0.58,0.299,-13.03,0.0269,0.699,0.00386,0.0805,0.364,93.037,3CDHydgW0ssTh59f0jy1y3,282000
0.58,0.265,-15.267,0.0317,0.796,0.00019,0.11,0.583,154.595,25IRjWUZ60n7KXxcB4DiX9,189827
0.471,0.146,-13.6,0.0309,0.782,0.0,0.0888,0.595,78.554,4I4aQGNJ2HufloNtB65nxR,190400
