danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.191,0.0582,-25.398,0.0578,0.961,0.89,0.0941,0.0454,132.614,3weNRklVDqb4Rr5MhKBR3D,357707
0.435,0.00661,-32.108,0.0433,0.993,0.939,0.102,0.203,95.626,2YFtpiy2WoAQVQbM1SIwES,100441
0.484,0.059,-25.084,0.0517,0.996,0.948,0.106,0.308,89.329,3VM35337X7Ro1tesUHnZ95,118250
0.307,0.0381,-28.197,0.0423,0.993,0.945,0.104,0.0631,72.453,2bjQvSk5T3A2dmnqqeRhzI,123500
0.366,0.108,-20.698,0.0387,0.994,0.937,0.0949,0.435,174.925,0jSUVrvKQ0qF8ee1usL34M,117016
0.364,0.0168,-30.767,0.0423,0.992,0.912,0.103,0.309,138.477,4xO3mTbZDnaDSJtRdgzXQc,99853
0.297,0.0126,-27.76,0.0442,0.994,0.913,0.0785,0.386,171.767,7hVcd9PDdO0xK8vE3WQqnV,163000
0.402,0.0619,-23.399,0.0361,0.984,0.933,0.111,0.14,65.875,73uDJDqIcF5QQWXZ19rH8z,115124
0.31,0.0352,-28.139,0.0336,0.98,0.908,0.0978,0.148,157.343,3ZvBA6TQA4CTOZNOyxou90,133488
0.323,0.00851,-35.211,0.0434,0.994,0.927,0.0879,0.341,135.492,4516jKqIrGNIShWH3WBqmd,112885
0.496,0.0317,-25.204,0.0479,0.995,0.954,0.105,0.256,73.191,49VzYsJHrITQOn28WBMztb,125056
0.442,0.0719,-28.528,0.0346,0.994,0.874,0.114,0.326,83.794,4uHzzAb1p6gK5unlp64Vrg,155175
0.642,0.0202,-30.725,0.0424,0.994,0.928,0.115,0.174,101.97,6axlKJ7OnW6zxM16Hxwbb0,151765
0.344,0.0893,-26.873,0.0354,0.99,0.927,0.0958,0.178,94.414,597H3V2av5dnxNcIDa4Yrk,139412
0.451,0.023,-29.372,0.0364,0.973,0.915,0.104,0.226,132.813,18oB9NlhCMSzlte5KAj5tl,96625
0.408,0.0632,-24.044,0.0371,0.977,0.927,0.175,0.256,126.995,02VydYQOYaLGZX2MWoCCQ8,202732
0.405,0.0187,-29.086,0.0372,0.986,0.924,0.107,0.229,75.78,6rvmhiAd5jtT5CzLIcnj4p,120269
0.47,0.0593,-28.563,0.0355,0.99,0.934,0.104,0.178,113.418,63oFS9JTsvadCXUqwqA7p0,131787
0.441,0.018,-27.154,0.0456,0.994,0.952,0.116,0.204,107.794,70pC9IQb39VDNUm3Uio5kD,146091
0.495,0.084,-24.684,0.0735,0.995,0.968,0.102,0.453,69.216,5TRzmeTTbtVrsblB0HTZn7,130890
0.321,0.0269,-27.988,0.0312,0.989,0.891,0.105,0.193,90.174,7zVpXNJWZTx9VFGsASdvDb,156706
0.375,0.0662,-26.344,0.0483,0.995,0.922,0.131,0.214,117.282,0vebajCQqWh9EQ5wAYguqo,143920
0.501,0.084,-25.838,0.0403,0.992,0.935,0.116,0.322,103.888,6stVkYBRCRAL6Eqomde583,191980
0.304,0.0902,-32.824,0.0489,0.903,0.907,0.111,0.318,114.487,2p5THyuNwpJ9c7ex3TN383,119120
0.402,0.0185,-30.302,0.0393,0.994,0.937,0.106,0.237,67.394,6tw5ZIanXzO4ufu4abt7Vn,151750
0.352,0.0464,-27.631,0.0307,0.973,0.879,0.107,0.339,98.943,0tL0JB08d5De5zBko245Y8,176557
0.445,0.0367,-31.319,0.0433,0.991,0.944,0.0896,0.13,75.396,48Jivh6jAj87eK6lj3FtUo,150833
0.527,0.0338,-26.245,0.0832,0.996,0.969,0.184,0.179,67.807,5DWI8rBs9a5fyeR35poYYm,165294
0.362,0.0317,-24.252,0.0496,0.993,0.964,0.0994,0.329,81.007,6yFNVbbhoPzPmGCYZWlFcw,159440
0.364,0.064,-24.643,0.0384,0.993,0.925,0.0971,0.403,131.662,5Nx2GkAaDfh18aZ99OyctW,121750
0.466,0.101,-17.398,0.036,0.99,0.936,0.116,0.195,127.232,6lstaOC6qWvXPcXPgWXfc0,150000
0.354,0.0297,-28.069,0.0632,0.995,0.947,0.11,0.275,79.894,1gB9Hvz050IuA28oxXtydl,113285
0.356,0.0186,-26.729,0.042,0.991,0.929,0.0996,0.154,84.753,2HwCcCi8Up9NECNBRt0yTV,148907
0.516,0.0267,-30.229,0.0461,0.992,0.899,0.0963,0.378,110.636,1FxrWXRLIi0aUDlTQNLQZY,122698
0.446,0.018,-27.431,0.0436,0.995,0.937,0.0651,0.2,111.725,0BZLKyvqypWnn5kfysaNPt,192817
0.433,0.0443,-23.394,0.0365,0.944,0.928,0.106,0.115,90.192,6WRGJsfwcYjyOtzgpyizPV,117800
0.375,0.165,-21.918,0.0676,0.995,0.901,0.105,0.0581,114.728,6a7vpKrVXdAyMItaQI9ZYS,78547
0.216,0.0575,-25.96,0.0501,0.994,0.951,0.109,0.151,206.686,2XPxkVgxyj4QVaW78kS5vb,118500
0.411,0.0235,-32.494,0.0388,0.994,0.896,0.095,0.177,143.044,38IQW5WbKIQwSDsMQPMLSk,176000
0.464,0.032,-28.106,0.056,0.983,0.954,0.109,0.208,69.306,2PPYHVE2EqwC8GASDE5Qzi,95734
0.369,0.0137,-26.004,0.0504,0.99,0.948,0.0846,0.206,172.574,0ttyQPhxTXajLR9vNCBvV9,121946
0.392,0.0632,-23.416,0.0347,0.991,0.898,0.107,0.26,97.821,0wNiKz7dVespHZP02RCDlE,144905
0.355,0.0368,-25.302,0.0393,0.992,0.937,0.113,0.0492,106.637,3JxLzqk5HisNeh5I03Mx22,109565
0.438,0.081,-28.598,0.044,0.995,0.857,0.136,0.196,130.054,7oWtvkBURDJnmTZr40IE6k,101825
0.361,0.0291,-26.634,0.0386,0.994,0.975,0.106,0.127,76.975,0c3pAQGKjwHKo9ilC8i8c5,117272
0.524,0.0338,-28.584,0.058,0.995,0.921,0.0907,0.25,111.895,5O3UGMP9XJLbshKKZHsrGN,147937
0.296,0.0204,-29.147,0.0479,0.988,0.905,0.106,0.0925,119.932,1lrgqrIxD3tDYVv6n3i1aL,219566
0.381,0.0535,-28.548,0.0457,0.964,0.953,0.112,0.199,120.128,0ECmXrwUI8YqLnKKom8jq1,179769
0.386,0.0552,-31.201,0.0395,0.992,0.942,0.0805,0.247,111.914,6XTKYGyydndSUV3OHHDwZU,176000
0.354,0.0368,-22.43,0.0451,0.983,0.96,0.109,0.157,92.885,50Ihxe8oJ8cQ1tDYoehuTc,142805
0.317,0.0349,-30.853,0.037,0.993,0.806,0.117,0.12,74.547,2QV0SPhmLDd9jqshZRnLY5,117625
0.258,0.00467,-36.399,0.0404,0.995,0.939,0.102,0.285,72.024,3N79AZhe7FiBgF7leqGhHt,162178
0.486,0.046,-27.409,0.0418,0.995,0.943,0.0892,0.167,66.826,4xqtdONrwig5n3JGVBz1nv,127835
0.405,0.0413,-30.36,0.0465,0.994,0.951,0.0911,0.417,136.131,7wvLqTxF6Nm4k579lboPC8,180031
0.314,0.11,-26.941,0.0381,0.98,0.936,0.0845,0.382,68.941,772Bcd8JnXHuDFawYaEvks,61000
0.405,0.0483,-23.493,0.0607,0.99,0.955,0.12,0.155,63.782,1j7pycxTWD6vyiKJout75p,179023
0.493,0.0372,-25.785,0.0459,0.995,0.925,0.122,0.348,62.039,5Wp5IP3REfgDJnxKeUOfb3,146679
0.282,0.063,-26.185,0.0377,0.991,0.905,0.131,0.102,128.534,0R4HTYUjrBvDwxilINNwYZ,176458
0.515,0.048,-31.346,0.0408,0.989,0.935,0.1,0.0944,98.594,5vz0Vls8TbtlI58CHQrIpb,127250
0.284,0.0274,-27.958,0.0606,0.984,0.896,0.11,0.0459,128.537,3y3GMygxjeZ8VQDfEoyKh7,184583
0.189,0.0081,-31.99,0.0474,0.992,0.945,0.0991,0.166,167.139,2oD7qIB9vDBnE3uBmEh91C,114000
0.46,0.0272,-30.699,0.0401,0.994,0.903,0.0989,0.34,103.954,0npBzVrDKbhg6khGMBuFzQ,178586
0.307,0.025,-28.793,0.0577,0.988,0.965,0.103,0.159,68.459,5e5tJl04Fp74oHxpsrC7Tk,150000
0.367,0.0221,-27.33,0.0459,0.996,0.95,0.0709,0.158,103.169,00PnFrg2QQzPqkeuxGxcz9,184220
0.366,0.0716,-26.44,0.0416,0.982,0.889,0.102,0.172,105.854,445KHitEvap0tspDZ3C78V,148500
0.419,0.043,-29.477,0.0372,0.99,0.954,0.105,0.375,181.943,5DezuV0RFcMcgA11UGdGBR,136648
0.429,0.0423,-21.491,0.046,0.985,0.952,0.113,0.233,85.457,6dG6b98wdolLoHdFaAusxR,113759
0.431,0.00807,-29.783,0.0459,0.995,0.932,0.112,0.334,77.745,2UscVwaSo0fbaX5QxVgqH8,122126
0.353,0.0687,-28.788,0.0434,0.978,0.846,0.0884,0.18,124.837,7dMT5XlXtLoFkUBzJapLUr,189106
0.42,0.032,-23.019,0.0386,0.977,0.886,0.0881,0.169,91.463,5UvdAChDs1Rr0GYEkUMZma,181080
0.569,0.0123,-28.276,0.0455,0.994,0.966,0.105,0.426,74.247,0bda1IFiwlTA3qgmTGzMZg,147500
0.477,0.0343,-27.277,0.0406,0.99,0.887,0.109,0.134,71.631,4b4DLYtksvYepzKqdgSkAz,132319
0.31,0.0619,-26.16,0.0495,0.993,0.933,0.108,0.146,70.979,1UY1Fr1IExkpYxxxxUWFug,156677
0.487,0.00855,-28.18,0.0441,0.991,0.959,0.109,0.171,126.671,3v9b94v3ja4RL480ZrJ6bI,140799
0.527,0.00824,-31.547,0.0582,0.995,0.95,0.103,0.403,75.814,6S1sG03j36YgxCtuZjgfI5,112152
0.316,0.0617,-28.556,0.0496,0.995,0.93,0.116,0.19,70.132,0fHo89AiSS0X3ycHHKnIoU,152069
0.455,0.0559,-24.669,0.0436,0.99,0.893,0.111,0.415,114.668,1MoboyfmxM1P6tgpEnnfud,179254
0.382,0.0737,-26.048,0.0366,0.993,0.919,0.0965,0.294,94.112,5LIsR2QFLqxot9tX9huYwi,106014
0.353,0.0781,-21.94,0.0342,0.989,0.945,0.0998,0.113,75.204,5Dupg1ztlsHXxhmBDVqww2,196446
0.291,0.0763,-23.706,0.0389,0.982,0.839,0.11,0.181,180.906,2AE6p5RRHnLxAllP1zdXPt,176567
0.51,0.0679,-22.371,0.0625,0.995,0.964,0.106,0.492,77.515,0uFGCfcqs595Q0ptklBeUt,122767
0.3,0.0464,-27.828,0.0429,0.986,0.897,0.105,0.172,129.952,0I9HIOTtaXrX968btEa3DA,162161
0.398,0.0173,-25.326,0.0435,0.995,0.922,0.0983,0.122,75.821,5fOv8ynuVRniCFLQ48grdI,128608
0.502,0.0541,-23.034,0.0421,0.992,0.965,0.0898,0.252,74.585,0ATCSA5YcOdy8jRY3FRJSe,180224
0.268,0.028,-25.445,0.0382,0.984,0.949,0.106,0.377,169.979,7yGdwiZ84hot8b9PqRtOzV,109228
0.367,0.0396,-24.821,0.0537,0.989,0.937,0.0889,0.0505,70.716,4vdzY5DNQGGb3pby9pprKD,141862
0.376,0.0597,-28.571,0.045,0.991,0.907,0.0993,0.257,167.988,1EERR4elDmZ67iD5MU6Bs3,143000
0.269,0.0927,-28.326,0.0473,0.992,0.95,0.125,0.0699,75.056,3rFTaMYqYLue1TrmauOGye,152690
0.361,0.0364,-27.7,0.0421,0.992,0.932,0.0955,0.186,92.626,0Nxz7Bf7EZgGVzaH4McTd2,110869
0.359,0.00661,-29.967,0.0366,0.988,0.944,0.103,0.113,143.856,2hvJks7wVAgPubs2ngNOwQ,184013
0.418,0.0225,-26.273,0.0494,0.992,0.95,0.0831,0.317,95.985,6JQYaWXutl3Dqul7H5Zif0,108800
0.333,0.072,-28.261,0.0354,0.992,0.956,0.105,0.271,104.058,2StQJ41DNRKRHNfGbKexPM,180021
0.362,0.107,-22.77,0.0443,0.994,0.972,0.107,0.363,87.942,7guzWL6scF2bIRud4Mfk9Y,115915
0.374,0.0405,-29.196,0.0408,0.981,0.924,0.103,0.226,129.413,4iCLo3ZjF6V1RW4Wz18KMz,172813
0.286,0.0206,-30.593,0.0475,0.993,0.927,0.11,0.316,123.067,7gSXF0SO2U7QrR5O0lhOdA,139500
0.334,0.0203,-32.364,0.0325,0.993,0.919,0.0917,0.351,88.396,0yccHAlypw9zM9Pf33lLjd,140250
