danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.392,0.37,-10.888,0.0298,0.205,0.0096,0.0821,0.512,48.718,3fqwjXwUGN6vbzIwvyFMhx,293293
0.614,0.68,-4.58,0.0289,0.369,1.84e-06,0.115,0.707,149.959,6foY66mWZN0pSRjZ408c00,234347
0.768,0.809,-4.204,0.0616,0.278,0.0,0.139,0.748,111.989,2mXsZsJBThTaJXbNcg5QD4,177773
0.551,0.402,-7.431,0.0262,0.676,0.0,0.0928,0.382,103.313,2rxQMGVafnNaRaXlRMWPde,193200
0.456,0.874,-4.129,0.114,0.0595,1.12e-05,0.111,0.5,200.179,5qRRiqndqXaq2QBudIrkYU,204093
0.514,0.659,-6.142,0.0309,0.0284,0.0,0.266,0.463,76.483,2wqXQjOmQ9KoBm9Ssgt4Fo,200040
0.631,0.591,-5.785,0.0277,0.657,0.0,0.11,0.489,97.074,5MwynWK9s4hlyKHqhkNn4A,205453
0.765,0.556,-6.417,0.0512,0.275,0.0,0.0824,0.274,111.033,3FU6urUVsgXa6RBuV2PdRk,169227
0.537,0.66,-7.174,0.0296,0.455,0.0,0.135,0.574,148.096,3xdjjKMcMOFgo1eQrfbogM,298373
0.525,0.3,-8.005,0.0286,0.578,8.3e-06,0.116,0.206,80.993,02eD9ymfJOJOhM97HYp5R9,236627
0.551,0.801,-5.069,0.0303,0.013,6.03e-06,0.265,0.625,128.027,1mMLMZYXkMueg65jRRWG1l,240760
0.643,0.783,-6.458,0.0856,0.047,0.0,0.083,0.579,154.084,7iDa6hUg2VgEL1o1HjmfBn,163870
0.645,0.904,-4.532,0.0462,0.0293,0.0,0.0834,0.671,105.97,0JbSghVDghtFEurrSO8JrC,225560
0.638,0.634,-6.474,0.0468,0.214,0.0,0.0866,0.473,92.097,09iyGiljLWRYXdRazFkdtJ,196422
0.607,0.536,-7.306,0.0305,0.386,0.0,0.102,0.434,147.986,10M2Ex445zw585Ducldzkw,224853
0.68,0.888,-5.308,0.055,0.0527,2.82e-06,0.0575,0.484,90.076,6s9m5J92By7jii22Q2XtY2,169587
0.63,0.754,-3.564,0.0284,0.0963,0.0,0.268,0.73,95.999,0bPnT6i9H1p8Vd85GS6Z7I,172253
0.604,0.879,-3.388,0.0322,0.0468,0.0,0.0909,0.757,137.983,21LRaD9rB3v7p7DDCZsW4y,208280
0.651,0.466,-9.403,0.0305,0.541,0.0027,0.116,0.326,86.953,5UDqWOgDdixYMAgAyNbpgh,206893
0.595,0.389,-9.245,0.0349,0.418,1.39e-06,0.116,0.4,166.052,5kNe7PE09d6Kvw5pAsx23n,227427
0.533,0.907,-3.793,0.0406,0.0292,0.0,0.386,0.7,150.99,698eQRku24PIYPQPHItKlA,183160
0.692,0.809,-5.935,0.0255,0.1,9.77e-05,0.185,0.927,104.023,05ZACkzW8YbRq3eFgIfSNB,263387
0.506,0.886,-3.225,0.0655,0.0916,0.0,0.0734,0.595,143.935,03fT3OHB9KyMtGMt2zwqCT,226867
0.563,0.688,-4.474,0.0262,0.0763,0.0,0.0863,0.622,108.008,4ly1QBXEwYoDmje9rmEgC4,202347
0.568,0.761,-3.987,0.0459,0.452,0.0,0.217,0.789,163.974,5yEPktRqvIhko5QFF3aBhQ,237733
0.659,0.625,-2.253,0.045,0.0644,0.0,0.582,0.442,88.042,4hPpVbbakQNv8YTHYaOJP4,181824
0.677,0.556,-6.544,0.0306,0.263,0.0,0.105,0.521,80.006,1HXy5I3HTWq8OvxCn0z7G7,179507
0.587,0.622,-5.535,0.0303,0.0927,0.000636,0.2,0.231,107.943,11EX5yhxr9Ihl3IN1asrfK,277573
0.715,0.584,-8.231,0.0296,0.432,1.41e-06,0.095,0.609,90.99,60IGhnH20N82dNxKnc8jDd,203173
0.538,0.863,-4.483,0.0481,0.0139,0.0,0.0874,0.637,77.001,7aEtlGHoiPAfRB084NiDmx,186733
0.683,0.796,-4.179,0.0285,0.111,0.0,0.197,0.531,90.031,7f08qp3HROTkfrtNpiYGGo,201893
0.612,0.799,-4.603,0.0275,0.00898,0.0,0.172,0.687,125.976,7zVCrzzEJU7u24sbJPXA5W,188253
0.59,0.908,-3.789,0.084,0.285,0.0,0.36,0.874,160.028,1GRiBe0kNCNYpjwCHIyynI,217840
0.642,0.762,-7.411,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,5jROdl6MhcmP3O7h2sVgtw,253200
0.68,0.741,-5.055,0.0357,0.347,1.87e-06,0.117,0.635,127.024,2qYsSHsYkihWx043HVJQRV,229400
0.464,0.813,-6.185,0.0416,0.0153,0.0,0.254,0.515,75.977,6xHI9KjUjYT0FPtGO8Mxa1,222533
0.655,0.56,-6.857,0.0486,0.749,0.0,0.115,0.599,140.975,56eGOeSsqdg3FLxdo83TwV,198440
0.661,0.751,-2.909,0.0481,0.0571,0.0,0.105,0.875,109.995,5HGibWoxnkYSkl6mHmAlOE,190187
