danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.533,0.907,-3.793,0.0406,0.0292,0.0,0.386,0.7,150.99,698eQRku24PIYPQPHItKlA,183160
0.392,0.37,-10.888,0.0298,0.205,0.0096,0.0821,0.512,48.718,3fqwjXwUGN6vbzIwvyFMhx,293293
0.643,0.756,-5.8,0.0305,0.0215,0.000268,0.101,0.934,90.001,53bZYxVbCYm6w1Gx8U64bz,197453
0.667,0.381,-7.494,0.0294,0.455,0.0,0.116,0.199,135.975,3U8dHeggJ8IBe0UCb1gbyB,273893
0.601,0.806,-4.579,0.0345,0.0527,0.0,0.185,0.711,89.87,5JlH51YDYsGj2dyEJKKjcN,231920
0.575,0.844,-1.772,0.0633,0.226,0.0,0.0538,0.542,87.007,67citk3uzWs5qbaIVKTeg8,193333
0.614,0.715,-6.451,0.0445,0.0849,0.000316,0.102,0.231,117.956,01e8dGbulrphX8j3fZDQYk,279533
0.651,0.466,-9.403,0.0305,0.541,0.0027,0.116,0.326,86.953,5UDqWOgDdixYMAgAyNbpgh,206893
0.614,0.68,-4.58,0.0289,0.369,1.84e-06,0.115,0.707,149.959,6foY66mWZN0pSRjZ408c00,234347
0.355,0.48,-7.31,0.0282,0.679,2.28e-06,0.12,0.137,100.956,4Pn0JlCUusD2QHjADuOzuV,259267
0.586,0.559,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945,69AIpwGNLxr4qS1X5ynx60,167480
0.728,0.253,-8.427,0.0304,0.887,1.11e-05,0.133,0.457,140.923,2zhk0kypGeOPsaaZcjyc14,231333
0.487,0.65,-5.195,0.0253,0.191,0.0,0.0933,0.456,151.964,6IBcOGPsniK3Pso1wHIhew,232533
0.627,0.792,-4.311,0.031,0.13,3.97e-06,0.0845,0.415,119.054,6YvqWjhGD8mB5QXcbcUKtx,235767
0.691,0.454,-9.13,0.0256,0.437,0.00227,0.0783,0.35,135.839,1t2hJFgJyUPD2crOafMUEk,242840
0.519,0.749,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905,0ZUo4YjG4saFnEJhdWp9Bt,199947
0.511,0.903,-3.163,0.0397,0.052,0.000529,0.304,0.898,161.992,6NhpIdjYoufuNNlBsgOztc,227267
0.537,0.66,-7.174,0.0296,0.455,0.0,0.135,0.574,148.096,3xdjjKMcMOFgo1eQrfbogM,298373
0.538,0.863,-4.483,0.0481,0.0139,0.0,0.0874,0.637,77.001,7aEtlGHoiPAfRB084NiDmx,186733
0.659,0.683,-5.623,0.0312,0.513,4.93e-06,0.133,0.397,139.931,5QS8PNEWbqTEZyQ6e9ZbJf,203373
0.63,0.754,-3.564,0.0284,0.0963,0.0,0.268,0.73,95.999,0bPnT6i9H1p8Vd85GS6Z7I,172253
0.612,0.57,-6.642,0.0347,0.278,0.0,0.0963,0.334,77.004,7yFhA2fUsL2oIMWlw5DaHQ,197293
0.466,0.536,-6.227,0.0429,0.0951,0.0,0.114,0.377,75.998,23T0OX7QOiIUFShSzbJ5Uo,210773
0.595,0.389,-9.245,0.0349,0.418,1.39e-06,0.116,0.4,166.052,5kNe7PE09d6Kvw5pAsx23n,227427
0.588,0.684,-5.154,0.0288,0.508,0.0,0.141,0.121,85.997,4xInIiKipU1mtUogJ3ZdYr,224867
0.639,0.843,-4.975,0.0362,0.0525,0.0,0.0854,0.528,126.047,2bVeUlOC5JjTpkQXuUUoYm,217802
0.517,0.743,-4.336,0.0363,0.243,3.36e-06,0.107,0.664,76.979,1LM5zQv5pBKPyO7rm7Uz6U,197931
0.612,0.799,-4.603,0.0275,0.00898,0.0,0.172,0.687,125.976,7zVCrzzEJU7u24sbJPXA5W,188253
0.563,0.688,-4.474,0.0262,0.0763,0.0,0.0863,0.622,108.008,4ly1QBXEwYoDmje9rmEgC4,202347
0.333,0.907,-3.191,0.0959,0.153,0.0,0.395,0.353,187.826,3z1PqYwMtct2Dm4R9lhWnT,191693
0.519,0.552,-5.023,0.0259,0.18,0.0,0.149,0.331,89.957,3hLuHKzG1cmlRpq53ZVWd8,215141
0.41,0.78,-5.391,0.0332,0.211,0.0,0.48,0.695,88.016,3duP6mBVDsHM8ioN7o7dAK,272347
0.642,0.762,-7.411,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,5jROdl6MhcmP3O7h2sVgtw,253200
0.636,0.428,-6.512,0.0375,0.434,1.02e-05,0.0903,0.32,139.919,1Dm4iAvqwYrZjgSFJNW5TG,181053
0.655,0.56,-6.857,0.0486,0.749,0.0,0.115,0.599,140.975,56eGOeSsqdg3FLxdo83TwV,198440
0.596,0.834,-4.308,0.0474,0.0563,0.0,0.0866,0.618,116.0,0w3Q14i073jLoew1hgJkwD,205200
0.595,0.653,-4.935,0.0265,0.246,0.0,0.264,0.542,128.93,3oW6SWwGqiZSPTiAp7ZQoH,241533
0.574,0.798,-5.356,0.0485,0.0152,0.0,0.111,0.58,105.034,3hboOw4dS0aXGuP0fyyvbC,198209
0.716,0.72,-2.183,0.0319,0.307,0.0,0.135,0.464,122.512,7GQjJEwqlp6m5HNWVQd6OR,215853
0.561,0.543,-8.498,0.0324,0.26,0.0,0.124,0.243,139.803,6qc34bnVOyqGDPni8H5W0U,240867
0.605,0.864,-5.365,0.0292,0.13,0.000827,0.113,0.736,122.918,1KhrAWvLIjRlQIJtSTgvsi,228187
0.507,0.85,-5.679,0.0472,0.378,0.0,0.0567,0.847,171.8,6leiB1fEsTnVCuPiielde5,183733
0.514,0.659,-6.142,0.0309,0.0284,0.0,0.266,0.463,76.483,2wqXQjOmQ9KoBm9Ssgt4Fo,200040
0.544,0.404,-8.751,0.0354,0.391,3.98e-06,0.157,0.251,129.518,7CNd7rjfVt74TFlcOcnZgN,290680
0.591,0.815,-4.725,0.0366,0.168,8.68e-06,0.142,0.306,118.024,0Al3wN3keprGTSgG8NBwjr,198689
0.68,0.87,-4.461,0.0393,0.266,0.0,0.109,0.646,119.075,7G6l2FtQyRhQgYgut2I6i8,227840
0.538,0.752,-5.106,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,1dyxS3YzBbL0t8rEVwVQ1K,205107
0.624,0.84,-5.768,0.0337,0.108,0.000546,0.144,0.656,111.02,0b9djfiuDIMw1zKH6gV74g,323040
0.661,0.633,-5.986,0.0348,0.038,2.75e-06,0.124,0.613,81.984,0kPeZAyIhIfeZNrtfjJGDB,209760
0.544,0.829,-2.84,0.0404,0.107,0.0,0.317,0.815,90.048,3FE6cfCDhmhOraeSLPe6Vj,193880
0.606,0.652,-6.982,0.0281,0.323,0.0,0.201,0.476,97.155,5AnSllIrgGsCZzZJkVnApx,182493
0.359,0.706,-6.151,0.0309,0.000602,0.0,0.285,0.479,174.079,4oR2cCQGs0Yt0Mgr2diV6V,171333
0.712,0.807,-3.976,0.0297,0.0244,0.000122,0.0905,0.936,105.024,2kR18wsL3gvXRXdNE4dCGc,205000
0.596,0.522,-6.633,0.0358,0.373,0.0,0.291,0.443,76.042,3DA4SE262k6rdEtlHteNyq,188320
0.57,0.618,-4.966,0.0445,0.153,0.0,0.159,0.286,138.034,1yRke3PmsyFrYlFZOAkABk,231832
