danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4w3tQBXhn5345eUXDGBWZG,162467
0.614,0.68,-4.58,0.0289,0.369,1.84e-06,0.115,0.707,149.959,6foY66mWZN0pSRjZ408c00,234347
0.708,0.524,-12.644,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,6iy4PoAuZBMvtrlDX4VxC7,200667
0.657,0.639,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,6sxptembJVty4sNtcPMAVz,234493
0.671,0.501,-13.119,0.0594,0.342,0.0,0.194,0.86,87.04,5KqldkCunQ2rWxruMEtGh0,214880
0.464,0.813,-6.185,0.0416,0.0153,0.0,0.254,0.515,75.977,6xHI9KjUjYT0FPtGO8Mxa1,222533
0.466,0.536,-6.227,0.0429,0.0951,0.0,0.114,0.377,75.998,23T0OX7QOiIUFShSzbJ5Uo,210773
0.595,0.389,-9.245,0.0349,0.418,1.39e-06,0.116,0.4,166.052,5kNe7PE09d6Kvw5pAsx23n,227427
0.585,0.494,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,1wb4P4F0sxAQ2KXrRvsx6n,212200
0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,110.578,2SpEHTbUuebeLkgs9QB7Ue,161533
0.363,0.361,-14.398,0.0499,0.623,0.00119,0.154,0.612,187.711,7nVQ8mo77KaUvhUQzh4vMy,152867
0.732,0.667,-9.278,0.0278,0.502,4.07e-06,0.0524,0.727,125.6,6BkK5Dsu1kTne7Cn6EyYex,211267
0.587,0.622,-5.535,0.0303,0.0927,0.000636,0.2,0.231,107.943,11EX5yhxr9Ihl3IN1asrfK,277573
0.606,0.706,-9.665,0.0379,0.362,0.0,0.16,0.819,174.533,59kHPbwyyCApYA8RQQEuXm,148160
0.673,0.346,-12.803,0.0245,0.721,4.48e-06,0.0475,0.396,80.012,2lCGAGpqgQIolNfpnycIZk,222493
0.783,0.698,-8.268,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,2ulBBx6YQ3qY3ci34RadtN,248200
0.54,0.0568,-20.508,0.0351,0.917,1.01e-06,0.12,0.506,111.791,6zFsz86nAj5gcvzyVqNL3k,171333
0.782,0.589,-7.37,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,1dgWTMoHwTUnQhOQ8SR5fV,182960
0.525,0.3,-8.005,0.0286,0.578,8.3e-06,0.116,0.206,80.993,02eD9ymfJOJOhM97HYp5R9,236627
0.713,0.772,-6.69,0.0372,0.208,0.0,0.211,0.88,125.202,5oHHMDcVOmPSFrCgdbHPdb,230133
0.732,0.458,-7.225,0.0311,0.447,0.0,0.136,0.661,98.938,7mldq42yDuxiUNn08nvzHO,165387
0.457,0.948,-3.364,0.0354,0.0191,0.0,0.0536,0.878,148.0,0i5el041vd6nxrGEU8QRxy,208960
0.674,0.517,-11.225,0.0726,0.226,0.0,0.0697,0.482,94.98,0FtV0YbnnjD7PXpLHFHPhn,299733
0.644,0.633,-8.006,0.0261,0.102,6.82e-05,0.227,0.647,115.193,0VwTeYNjcl30DyQlt3GPe0,194453
0.529,0.496,-9.007,0.029,0.173,0.0,0.251,0.278,136.859,3y4LxiYMgDl4RethdzpmNe,250547
0.489,0.581,-5.731,0.0281,0.0312,0.0,0.132,0.494,86.016,42fw0rxRO2xbesF6mJfd4Y,196747
0.607,0.815,-6.619,0.039,0.0471,2.81e-05,0.111,0.57,136.949,2tpWN4Il5Hk3xPlTQjvkk8,209760
0.467,0.622,-7.255,0.031,0.365,0.00527,0.0982,0.455,164.418,3rXCZRMiMZp0feGcYXpwYX,287267
0.355,0.48,-7.31,0.0282,0.679,2.28e-06,0.12,0.137,100.956,4Pn0JlCUusD2QHjADuOzuV,259267
0.5,0.225,-10.22,0.0302,0.842,0.0,0.112,0.355,173.788,11qh54D0PKkBwelpDxxiEU,193320
0.555,0.931,-2.969,0.0367,0.016,0.0,0.405,0.723,132.085,2TR7A4ulH9R1PNwMyd8o8U,220907
0.68,0.87,-4.461,0.0393,0.266,0.0,0.109,0.646,119.075,7G6l2FtQyRhQgYgut2I6i8,227840
0.558,0.435,-6.812,0.0264,0.302,0.0,0.0351,0.199,122.385,3ODF56f90W3qxDqxHAUi3v,290467
0.624,0.84,-5.768,0.0337,0.108,0.000546,0.144,0.656,111.02,0b9djfiuDIMw1zKH6gV74g,323040
0.621,0.524,-15.269,0.0803,0.0652,0.00199,0.893,0.889,110.586,2fDHuS1PTkHBbCWWZF1ph9,162653
0.629,0.479,-10.608,0.0271,0.22,0.0,0.0587,0.345,138.231,7puxIVNdj5nsBJk43zM3bH,232427
0.416,0.546,-7.728,0.0297,0.492,0.0,0.0845,0.418,159.929,7B1QliUMZv7gSTUGAfMRRD,300333
0.677,0.776,-5.933,0.0386,0.42,0.000689,0.0954,0.642,121.834,2p07VcUwRZ5sru3mJ0JogS,192800
0.8,0.563,-10.209,0.0303,0.051,0.0,0.0797,0.961,121.808,2EoIt9vdgFRNW03u5IvFsQ,203373
0.684,0.498,-10.836,0.03,0.708,0.0,0.365,0.905,131.855,0alXPC11fIucBFD6qcCE94,123133
0.673,0.842,-4.627,0.0366,0.06,0.000257,0.178,0.898,125.57,09qzRI951OVkXGCc33gzcT,208107
0.69,0.416,-7.865,0.0335,0.617,1.37e-06,0.102,0.479,82.45,6wycnu8FWXsj68ig7BEot9,230600
0.643,0.961,-5.298,0.0315,0.0196,0.0,0.948,0.96,124.027,3IvcWWehbBcBR4YZxlGM9R,205707
