danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.517,0.675,-5.382,0.0357,0.459,0.0,0.151,0.518,203.853,59uQI0PADDKeE6UZDTJEe8,163855
0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013
0.608,0.745,-4.13,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,28n8z9IQKyjMPxmvYMBqZa,224427
0.582,0.568,-7.3,0.0275,0.577,0.0,0.105,0.394,121.991,4686eQ81DEswHa90bcdlC9,207541
0.682,0.809,-3.755,0.0414,0.0836,4.74e-05,0.082,0.788,143.979,4w9lk0Nyj7kuDxlL5PZVlv,181767
0.731,0.85,-4.913,0.0336,0.252,0.0,0.605,0.644,119.706,5uU1uuyaUIBOiiUSQG7Wl3,157478
0.566,0.845,-3.817,0.0265,0.00475,0.000822,0.148,0.698,103.97,0cv6mTbrqr8vxGC31NjKtM,187047
0.511,0.6,-5.699,0.0268,0.16,5.25e-06,0.114,0.269,146.051,6DdPacpAdYkxV8MCzsjaXu,233667
0.392,0.37,-10.888,0.0298,0.205,0.0096,0.0821,0.512,48.718,3fqwjXwUGN6vbzIwvyFMhx,293293
0.565,0.56,-6.034,0.0275,0.538,0.0,0.0961,0.325,159.931,67AdiJcurlf6gocGobfaXs,177267
0.68,0.246,-14.112,0.058,0.783,0.0,0.106,0.388,110.23,2Dct3GykKZ58hpWRFfe2Qd,171693
0.675,0.726,-6.459,0.0461,0.105,0.0,0.153,0.671,124.872,6HBRLaSQ7NB8MNlaqzYen1,186791
0.586,0.559,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945,69AIpwGNLxr4qS1X5ynx60,167480
0.551,0.402,-7.431,0.0262,0.676,0.0,0.0928,0.382,103.313,2rxQMGVafnNaRaXlRMWPde,193200
0.505,0.27,-9.165,0.0333,0.593,0.0,0.133,0.557,98.721,1SjsVdSXpwm1kTdYEHoPIT,163032
0.738,0.455,-8.735,0.0352,0.695,0.0,0.107,0.441,99.945,1brnLTvarI9D1hLP6z2Ar8,174560
0.587,0.632,-5.416,0.0311,0.148,1.01e-05,0.158,0.392,139.974,5ZCjp56T8J6d7amJyFSzrI,199040
0.562,0.934,-5.562,0.0607,0.00211,0.0,0.199,0.558,103.042,5gB2IrxOCX2j9bMnHKP38i,275640
0.654,0.63,-4.644,0.0259,0.153,0.0,0.111,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,167693
0.607,0.912,-3.449,0.0611,0.124,0.0,0.332,0.722,134.944,200x8ONbPfFzByUr3fVz46,206107
0.519,0.749,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905,0ZUo4YjG4saFnEJhdWp9Bt,199947
0.508,0.296,-10.513,0.0755,0.897,5e-05,0.11,0.134,82.532,5jfhLCSIFUO4ndzNRh4w4G,268856
0.524,0.643,-6.055,0.0297,0.451,0.0,0.221,0.397,135.962,5gVCfYmQRPy1QJifP8f5gg,232059
0.582,0.878,-4.564,0.0404,0.0305,0.0,0.0791,0.581,140.03,2D3JfPyY2LkzXgNOb7qziR,205768
0.38,0.488,-6.637,0.029,0.126,7.23e-06,0.115,0.268,156.031,3fl4zil6HJ0N1FL3YIRwdC,223120
0.585,0.494,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,1wb4P4F0sxAQ2KXrRvsx6n,212200
0.585,0.55,-7.342,0.0255,0.408,3.97e-05,0.115,0.839,78.176,0fCwTrRNfoNk962ati8n2K,218280
0.657,0.639,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,6sxptembJVty4sNtcPMAVz,234493
0.536,0.574,-6.705,0.0254,0.75,0.00277,0.105,0.877,87.194,2tgQaL85WoRfgEa4hFQgrE,224947
0.479,0.768,-5.204,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,6Tm4Io4ct4w14nB1EUzsY3,183790
0.602,0.477,-8.425,0.032,0.268,3.1e-05,0.173,0.552,183.89,2UikqkwBv7aIvlixeVXHWt,213493
0.534,0.466,-6.98,0.0272,0.277,0.0,0.0979,0.23,140.0,7trjNYF5ek7zX4GKSHQZbP,277660
0.539,0.16,-13.285,0.0329,0.881,0.000268,0.105,0.322,81.446,3t5OV1asJHmOlf23T08CLv,183533
0.527,0.461,-5.908,0.0269,0.118,0.0,0.0831,0.227,128.153,2ccuOtUjIyx3tPcsnpeBzJ,214405
0.587,0.622,-5.535,0.0303,0.0927,0.000636,0.2,0.231,107.943,11EX5yhxr9Ihl3IN1asrfK,277573
0.566,0.713,-4.25,0.0418,0.645,0.0,0.114,0.805,169.861,0LQtEJt7x0s6knb6RKdRYc,238147
0.779,0.692,-3.59,0.0598,0.0024,0.0,0.482,0.67,103.99,4NdJlsPyvXz15LySCNoL2W,162665
0.557,0.597,-8.296,0.048,0.646,0.0,0.0974,0.414,78.526,2lNTHWu2I5Tcz9ukWsV5Jj,175238
0.504,0.736,-6.079,0.0352,0.00216,0.0,0.129,0.46,148.014,4RG7P0CXQ4pe0OeCAHjX5L,199733
0.655,0.617,-4.716,0.026,0.0998,0.0,0.211,0.734,90.015,3nei8eHEdiwwSfyoOCHPZI,174173
