danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.602,0.477,-8.425,0.032,0.268,3.1e-05,0.173,0.552,183.89,2UikqkwBv7aIvlixeVXHWt,213493
0.538,0.863,-4.483,0.0481,0.0139,0.0,0.0874,0.637,77.001,7aEtlGHoiPAfRB084NiDmx,186733
0.628,0.632,-5.932,0.0325,0.257,0.0,0.288,0.559,137.854,5OLaVCAM2pqg7X9mAM2W8M,191227
0.563,0.688,-4.474,0.0262,0.0763,0.0,0.0863,0.622,108.008,4ly1QBXEwYoDmje9rmEgC4,202347
0.744,0.637,-4.483,0.0241,0.337,0.000222,0.0696,0.785,100.511,1WzAeadSKJhqykZFbJNmQv,211893
0.647,0.6,-13.625,0.0261,0.0684,0.000112,0.0738,0.961,139.274,6EGRx5TVuHAsmy3JKb8SRC,203400
0.659,0.683,-5.623,0.0312,0.513,4.93e-06,0.133,0.397,139.931,5QS8PNEWbqTEZyQ6e9ZbJf,203373
0.765,0.494,-7.348,0.0377,0.31,0.0,0.0836,0.91,77.724,3i5QyEUyXa9Y7lIklr5sWk,201987
0.62,0.72,-3.342,0.0294,0.00411,2.74e-06,0.143,0.547,121.175,4VAzdlWsoSkjCcdL0YFGIv,200547
0.508,0.549,-6.788,0.0267,0.134,0.0,0.353,0.354,99.961,0qcxQHmYOp7okI0Eu6Dk69,220307
0.587,0.934,-3.296,0.0455,0.00946,0.0,0.727,0.841,117.014,7zwi0kPSFtdNUNIXZlKfNF,169096
0.592,0.725,-8.698,0.0412,0.207,0.0,0.148,0.784,78.235,0pdfN7nOHMYmKykzu1cyfm,246760
0.505,0.814,-4.905,0.0439,0.0566,0.0,0.106,0.503,160.085,13rC4iKtfQocWIfzPOJxaT,224773
0.666,0.602,-6.29,0.0238,0.12,0.000235,0.103,0.236,102.054,5LmwW6k3kPJicZxfYLRcBG,212505
0.732,0.667,-9.278,0.0278,0.502,4.07e-06,0.0524,0.727,125.6,6BkK5Dsu1kTne7Cn6EyYex,211267
0.698,0.632,-6.508,0.0247,0.554,0.0,0.118,0.458,102.408,3EUl8M6SzxZl03NPkB8mUd,263760
0.618,0.97,-4.51,0.2,0.145,0.0,0.357,0.638,80.013,20LTvIfOH5vjhXC1E7WFxk,171000
0.614,0.543,-9.121,0.0273,0.551,2.48e-05,0.0518,0.639,91.621,5CQ1Pol5ud3mFBqAuCUE9o,203693
0.595,0.653,-4.935,0.0265,0.246,0.0,0.264,0.542,128.93,3oW6SWwGqiZSPTiAp7ZQoH,241533
0.617,0.5,-7.673,0.0277,0.444,1.72e-05,0.223,0.719,147.916,4dXIIUOtekoc54xIktc559,189173
0.716,0.72,-2.183,0.0319,0.307,0.0,0.135,0.464,122.512,7GQjJEwqlp6m5HNWVQd6OR,215853
0.606,0.361,-16.031,0.0346,0.264,3.39e-05,0.38,0.621,121.059,4TnUKixNWMfajncgdSwFoi,173467
0.58,0.812,-5.964,0.027,0.00517,8.28e-05,0.0809,0.54,104.993,6IxRtoq2yObhqJ6NbGfUJw,221373
0.736,0.614,-11.124,0.0389,0.0237,5.84e-06,0.292,0.858,99.942,0Xg68XXMRWzKQvD5S6BFvI,224667
0.641,0.485,-8.127,0.0328,0.142,0.0,0.0997,0.229,126.103,1xsGrsVJwG9zel8pefzVeo,245493
0.527,0.461,-5.908,0.0269,0.118,0.0,0.0831,0.227,128.153,2ccuOtUjIyx3tPcsnpeBzJ,214405
0.467,0.622,-7.255,0.031,0.365,0.00527,0.0982,0.455,164.418,3rXCZRMiMZp0feGcYXpwYX,287267
0.771,0.848,-7.365,0.035,0.108,0.0,0.35,0.803,115.642,0NLBwQBYJhEM9t3KAMPFVR,152187
