danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.733,0.812,-4.634,0.0421,0.0224,0.000962,0.167,0.409,122.985,39C3SOi6UMD9rHeXAQPNa9,154471
0.788,0.93,-3.731,0.0557,0.00435,0.803,0.215,0.486,130.108,1LvXRLxZ8s2ofB0X5zONou,137538
0.65,0.746,-7.55,0.0359,0.0213,0.0116,0.182,0.385,125.998,3s32YmunFgfXVWgLRKLdKm,157619
0.52,0.834,-6.442,0.0845,0.0125,1.94e-05,0.0955,0.134,145.066,7gJynFtygTiif6xdoipmUm,138621
0.708,0.716,-7.135,0.0353,0.00599,7.8e-05,0.107,0.561,120.028,7qhPd5HqLrCVpCWvpy8Hrh,144375
0.708,0.709,-5.881,0.0641,0.157,1.9e-06,0.142,0.511,128.034,1YWr18dWRmuvPgAsPBsOow,147987
0.68,0.769,-7.319,0.0642,0.133,0.0,0.35,0.485,123.063,3Z1qelLeL16u46bWyqHRw1,173050
0.704,0.744,-6.083,0.032,0.162,0.00274,0.36,0.751,123.025,4WRtXqu9TmvvwZ3bzdcCVQ,129573
0.71,0.973,-7.298,0.101,0.647,0.928,0.134,0.301,125.027,1cTHUMdInmZvxVCHnzHOj2,256350
0.544,0.892,-5.414,0.0794,0.0249,0.0245,0.602,0.349,123.888,73P7Sv9kxCnCsRW77oXo1Z,161144
0.551,0.991,-4.703,0.0503,0.0121,0.896,0.0953,0.172,126.016,1BNawYa1bUgOfRSSyQQzNe,167262
0.863,0.874,-4.798,0.0884,0.00712,0.0878,0.0455,0.811,125.02,6OHQzBYaXeF6FVu8gxLMkE,144025
0.698,0.781,-5.615,0.0401,0.143,0.0,0.0762,0.851,124.017,2tX3PY8eP3h9XaBcLXuRBa,166573
0.733,0.827,-6.977,0.146,0.0547,0.000208,0.632,0.684,128.063,6i2dcVvDPfHp8EkrPf21bD,128438
0.702,0.784,-4.871,0.0854,0.119,0.0,0.259,0.342,111.073,71lwh4Rpw0YwTg5hx9kw3F,161081
0.621,0.54,-7.769,0.0499,0.339,1.05e-05,0.121,0.327,124.148,5M78sypr7NMw0MMcrWTS0l,157750
0.65,0.783,-8.061,0.0342,0.000577,0.815,0.2,0.507,124.008,5dW0cgZ9uV1W3PXtuTS5uP,161629
0.889,0.6,-10.603,0.144,0.0145,0.0,0.08,0.501,123.978,3YVeaqhSFth8QAL45wO19L,126774
0.701,0.88,-4.56,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,181958
0.733,0.825,-5.348,0.0682,0.00701,0.00676,0.369,0.555,123.961,2OXvvdHQ9Q4KAqd152MTj2,158848
0.563,0.908,-4.25,0.0868,0.0696,0.0,0.328,0.171,125.972,14LdhxElpZS0rKVV4nxtdA,147980
0.571,0.937,-3.365,0.033,0.0337,3.71e-05,0.212,0.607,148.979,3JlHRjPt2TNB9h7VFf0im2,127004
0.74,0.838,-8.036,0.0805,0.00929,0.696,0.0925,0.291,123.965,6U0NVioYt4nZARPNOKhExY,165484
0.661,0.8,-7.261,0.039,0.00848,0.0168,0.364,0.547,124.945,6ouNMhTANoO9uUlt8DlKSs,150768
0.59,0.957,-7.279,0.0446,0.0569,0.955,0.0936,0.0903,123.961,0oBUOlD8XPyRNmVOqkv7QA,209032
0.755,0.892,-5.224,0.0462,0.109,0.844,0.107,0.0697,126.004,3Hda0GqECvOiHtzEaderf5,145303
0.833,0.795,-4.969,0.038,0.00521,0.00772,0.0719,0.477,120.002,2qb0FWVqVl2xcTwwHJ3j7G,146904
0.641,0.988,-4.105,0.12,0.00271,0.0753,0.143,0.293,128.001,4bOVDHj19JdKriaDQu41wD,122578
0.622,0.825,-6.495,0.0487,0.00436,0.048,0.21,0.338,144.973,4WCOxwqS5NqmcGCO0FngNb,142819
0.67,0.696,-7.892,0.283,0.187,0.00213,0.0659,0.0797,128.047,310TW3iypnMo8laEWughHb,189797
0.741,0.774,-5.485,0.0329,0.00161,1.69e-06,0.245,0.543,120.962,0W98yebOu4MC2ULhurYbAZ,172134
0.72,0.795,-5.291,0.0643,0.0265,0.0,0.109,0.348,123.92,01a7nB3AywapMgbLi3LGbZ,121000
0.696,0.907,-5.439,0.0407,0.0307,0.00117,0.0521,0.461,124.044,3MZDZFBrGJKsHc0R9K6bfn,184000
0.705,0.872,-6.093,0.0416,0.0135,0.00271,0.0805,0.815,124.048,2UzWIjVXtv8PLa5JRKPYSb,151065
0.595,0.732,-7.215,0.0463,0.0448,0.0,0.0873,0.14,126.052,6hTpqeGF6TLvIggLkH2c9i,184840
0.627,0.838,-5.717,0.146,0.0016,0.0,0.0967,0.434,122.964,7fdGGQpQQxwDhgurhKDWVL,168094
0.759,0.973,-6.278,0.0442,0.0443,0.69,0.104,0.0955,123.995,44xPqYQFzpMVhpcDRzaBG5,207334
0.662,0.932,-3.145,0.165,0.0418,1.91e-06,0.394,0.447,125.014,0j4gKk4UCXiYPNb5gJNSwT,125760
0.743,0.781,-5.29,0.0329,0.222,0.000132,0.255,0.713,120.032,36fFojPImg5YSuktc7ph3j,151820
0.675,0.823,-7.862,0.0411,0.00104,0.00352,0.145,0.199,126.017,0ORCcPDgbICWTifi80H83b,148571
0.692,0.856,-2.963,0.0351,0.0746,1.15e-05,0.153,0.963,125.99,0QZyAYqpbsfnBfZ4vMRSVd,171905
0.618,0.848,-4.329,0.0574,0.0028,0.000714,0.302,0.639,123.967,6PX5CRJFn24G3cypjNO6yw,150484
0.737,0.866,-4.749,0.0415,0.0431,0.000143,0.099,0.868,126.019,3FN3jsZTdt5sU6NRcIgUKK,195263
0.749,0.676,-6.119,0.0341,0.124,0.000247,0.162,0.72,125.013,1WDyLlB5BfbWbTTYRX7baO,149229
0.409,0.76,-5.291,0.264,0.286,3.3e-06,0.0807,0.601,103.909,0WdkklLlHI5SdulAdk32wE,132228
0.574,0.891,-5.613,0.0392,0.00836,5.79e-05,0.0454,0.253,123.959,0SG7XH1L4gMwcXkLuMjDgq,170323
0.742,0.711,-8.083,0.0807,0.00728,0.642,0.0597,0.238,100.012,2v7HFbmmCeraARmBma5pwG,135476
0.688,0.72,-6.327,0.251,0.113,3.69e-05,0.212,0.466,126.121,4uZaWdKKai3QptKY64Hcy0,155990
0.774,0.602,-6.732,0.0586,0.0243,0.0,0.198,0.407,119.986,3q7U43P5AbtkD1XiB0J1wR,180000
0.552,0.888,-5.531,0.0412,0.0613,0.000194,0.117,0.553,144.943,4RGTwTk5Vd5uzDshtlYwW7,143930
