danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014,2ksyzVfU0WJoBpu8otr4pz,142839
0.712,0.972,-0.514,0.112,0.00547,7.06e-05,0.128,0.568,119.966,6qyS9qBy0mEk3qYaH8mPss,145000
0.588,0.496,-5.947,0.0417,0.00166,0.936,0.186,0.582,128.001,7mLWNwcvwRdEviz6SfYp8A,146274
0.584,0.94,-3.262,0.0993,0.023,0.436,0.198,0.406,125.03,3TzPVU3jj6YdTunVdKimiQ,231705
0.721,0.692,-2.927,0.0414,0.000166,0.275,0.104,0.531,120.005,0wGbyS1tExQSwOYu6UceyE,162042
0.692,0.729,-10.435,0.0554,0.438,0.656,0.0939,0.13,100.015,2BH3j05ZXWr5PR30sW079d,139200
0.499,0.839,-3.104,0.0749,4.83e-05,0.674,0.342,0.785,146.147,1nJOtOQJqzHaxh8kzuudxR,136110
0.765,0.428,-2.789,0.0492,0.0249,0.92,0.297,0.422,100.006,72iyEnh9p6PoyJoEnAJDjO,120594
0.604,0.601,-7.887,0.0628,0.15,0.000579,0.168,0.156,139.88,5Zlb01Jcn0Ld49zazzZJSB,164629
0.809,0.972,-1.653,0.0616,0.065,0.12,0.0311,0.641,98.013,7KmbiagSkUbepU88x7NWjb,101633
0.716,0.748,-6.06,0.0356,0.235,0.849,0.114,0.338,119.918,01kfSdF9zfcDLri5sSWEoL,169245
0.716,0.977,-5.408,0.0442,0.00522,0.812,0.0747,0.649,90.0,4Zf7vu8xsZeqOvel5fqyEK,67030
0.548,0.996,-2.169,0.112,0.0284,0.92,0.595,0.893,94.999,0iUrxveyNUBfj0cqjYEijt,265263
0.723,0.927,-3.066,0.0766,0.168,0.957,0.29,0.0347,150.03,3hzelPptWzx0OrSDTyIuuy,151971
0.706,0.91,-3.527,0.146,0.175,2e-06,0.11,0.667,126.007,5Sk39LuvdwuvL84jD01Dum,107045
0.822,0.981,-1.321,0.109,0.000593,0.748,0.0938,0.404,115.005,34lfu3S4fIcKZRNXzbdbo7,133565
0.581,0.945,-2.458,0.0425,0.0147,2.59e-06,0.698,0.285,121.063,0KFK1UkZkYO5uv9MmAN4t1,132397
0.74,0.934,-8.178,0.0384,0.063,0.831,0.198,0.261,119.693,0G17UriYHMjXnZE2OJJSMR,138857
0.633,0.433,-8.833,0.229,0.0053,0.28,0.145,0.373,122.088,2WzAAerBvZvvFXgUpSwHZ9,121972
