danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.901,0.934,-2.345,0.273,0.00794,7.68e-05,0.194,0.868,150.037,65ES1qwOB577ZnTkizMXJJ,156800
0.696,0.488,-7.508,0.0403,0.196,0.836,0.2,0.202,95.064,5EhnuLMer8qAXEDwmLtyrW,212211
0.484,0.94,-3.682,0.257,0.0145,0.000323,0.266,0.334,173.741,0suLmBuEbatdochI4tHduq,190682
0.789,0.83,-4.184,0.0747,0.009,0.00258,0.173,0.441,100.046,1i0cgkisuJoGZOzdupqf1v,206400
0.607,0.941,-3.807,0.481,0.037,0.0137,0.321,0.521,75.401,6OTClxme7EYRZGO6An3SMc,198400
0.69,0.982,-2.837,0.0651,0.0051,6.54e-06,0.101,0.877,150.032,1NuhAA7NeNwrWcsBh9z8R8,190400
0.643,0.985,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,6uwjDA0Qi6hk8C6lPJIMc9,238286
0.573,0.978,-1.009,0.0883,0.000685,0.0621,0.169,0.0816,149.978,30MdAjBfVTvBCS3vID38At,221600
0.644,0.85,-3.504,0.0533,0.0131,0.391,0.0912,0.357,150.031,0fQlqbTeuXiUZnkmqTurOc,152777
0.568,0.919,-2.206,0.0755,0.0711,0.0,0.443,0.14,129.802,4YPHrO0jB8nJCrcSckSwie,133274
0.319,0.983,-0.48,0.38,0.0079,0.00144,0.1,0.28,75.373,02yaX0Reb1fQYIQdri4Ow8,228800
0.293,0.976,-2.118,0.613,0.00328,0.00049,0.144,0.0685,191.977,7MUPbvNwlgqY1Sboxe9jJD,185039
0.579,0.978,0.352,0.211,0.0205,0.00829,0.326,0.58,145.054,2il9NDpW87Hk2L9AjeDf8r,165517
0.425,0.918,-1.555,0.0397,0.023,0.000291,0.114,0.308,174.021,0TuMPEUwvdKnLQcnq4RS8L,166897
0.601,0.815,-3.741,0.328,0.0113,0.0,0.0933,0.265,149.973,1KzGwlHu27TUfH3gF1RFAa,164800
0.597,0.967,-3.479,0.331,0.111,0.0,0.11,0.25,145.995,1hmiQTBi1ucDbqs0KEJ1c8,121849
0.552,0.564,-5.941,0.0415,0.0686,0.0131,0.34,0.321,164.952,5YvYKEQEYJp4orh4z3Dnpk,182000
0.595,0.827,-1.959,0.134,0.054,2.44e-05,0.123,0.392,145.114,5nafRIDshs3RwVO0sxxgac,309517
0.621,0.863,-3.389,0.0913,0.0422,0.0,0.123,0.442,95.029,4JHfB0tPjE38N5KTSaX39I,198316
0.727,0.72,-8.755,0.179,0.139,0.0,0.0721,0.553,140.07,3vcX4GCAbXAkCJtwNqyeHv,182580
0.715,0.962,-4.416,0.261,0.0233,6.23e-05,0.381,0.517,149.981,3sGJmCUfZKbbjtZ24eaepn,220839
