danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.789,0.752,-4.274,0.164,0.027,2.69e-05,0.613,0.739,122.98,19eIZmuXlBmLTha1lPHef7,168577
0.945,0.759,-5.971,0.0865,0.231,0.651,0.0989,0.688,127.024,7udjTmsTZqdB1xLOHGJ8dM,169606
0.732,0.714,-7.432,0.0791,0.332,1.05e-06,0.131,0.376,121.982,0RD27NcbftTkhb1NlxQMGR,151989
0.553,0.948,-9.628,0.037,0.00881,0.818,0.102,0.0389,134.996,7Bg90Jhm3Dhtu7m2YCpo6C,206222
0.627,0.954,-4.804,0.0425,0.0015,0.000814,0.292,0.312,128.016,5TmFTHZp7HjBXjjsFvCY6h,223112
0.587,0.722,-6.983,0.0709,0.000754,0.668,0.543,0.466,121.964,3q9oTSo64CrjOiPwI4DbWE,180843
0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,2prnn41CblB8B4yWACDljP,158095
0.771,0.883,-5.243,0.0584,0.00596,0.00607,0.135,0.895,127.008,2YDOjCfkGciEXxSutB6LJR,178305
0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,186210
0.652,0.855,-6.411,0.0775,0.00658,0.409,0.341,0.0834,127.964,3KruoUtSkm84Az0bJunnxl,146250
0.72,0.858,-5.657,0.0314,0.000307,0.692,0.0932,0.565,124.001,3hbi5zXAgQt0Z9V5JSOnCe,184839
0.833,0.86,-5.331,0.0675,0.155,0.773,0.103,0.606,124.987,0C9P00gKzHroC3Et2SQylA,136189
0.72,0.741,-6.529,0.0287,0.101,1.41e-05,0.289,0.357,119.896,6WkJ2OK163XXS2oARUC9JM,198053
0.828,0.893,-3.344,0.0496,0.033,0.00535,0.0811,0.602,124.043,5bZjb7xKqLqa58QiUBcVvl,145766
0.674,0.778,-5.341,0.0356,0.00123,0.224,0.0955,0.13,128.042,19lT0l1OBkLtWI5iE5zORl,183750
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.68,0.823,-4.803,0.132,0.0869,0.0017,0.271,0.587,128.087,0sIpBREqncLQGSU4kG8ARO,183750
0.801,0.96,-5.534,0.264,0.0284,0.877,0.0985,0.101,126.045,7jURkEKDVEm9sHueqUX0ko,217411
0.796,0.766,-4.237,0.0422,0.18,1.53e-06,0.164,0.846,121.008,2IzV2SPZQLadtA46ni3ICq,246062
0.65,0.783,-8.061,0.0342,0.000577,0.815,0.2,0.507,124.008,5dW0cgZ9uV1W3PXtuTS5uP,161629
0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4zN21mbAuaD0WqtmaTZZeP,186662
0.7,0.748,-8.16,0.0771,0.226,0.796,0.104,0.154,130.056,2lWc1iJlz2NVcStV5fbtPG,158761
0.748,0.841,-5.08,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,3Z7CaxQkqbIs1rewKi6v4W,129817
0.588,0.78,-6.102,0.0432,0.0333,0.193,0.0728,0.201,127.085,5aXTfpNOqLj35ydEiLio67,221220
0.687,0.924,-7.324,0.0361,0.0707,0.228,0.046,0.931,126.018,1Rnx52PUuhrLrj306hOZHb,271240
0.685,0.911,-4.977,0.144,0.00552,0.0247,0.285,0.351,128.02,4ASOMWcJUrwEpjJy4GEijz,196900
0.691,0.752,-6.103,0.0522,0.00753,0.178,0.098,0.0465,126.983,75sMhi81W5Tw2AGlOGATuy,264889
0.845,0.768,-5.593,0.076,0.0212,0.0,0.149,0.653,121.003,77UICuAzXRYuJqdhcy6R3m,172562
0.706,0.589,-13.89,0.049,0.197,0.00605,0.158,0.0696,125.909,3PAb3SSA1zP388eqKXKNsV,220000
0.674,0.938,-5.129,0.0393,0.00809,0.879,0.556,0.147,129.994,5DLust6tLTz5uyaTPhbu7r,144500
0.777,0.869,-5.159,0.0945,0.00083,0.000653,0.375,0.681,124.007,15223sfwoQj4IAJL8GSnfO,183810
0.556,0.939,-5.99,0.039,0.00245,0.915,0.121,0.152,127.992,6LHXb1sGs72iTmpSr0603b,163125
0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2tnVG71enUj33Ic2nFN6kZ,157606
0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,0DiWol3AO6WpXZgp0goxAV,320357
0.66,0.81,-5.938,0.058,0.022,1.4e-06,0.0837,0.59,125.085,6sGeBxS4PIEtZdWpgdnitV,196456
0.7,0.81,-5.301,0.0457,0.0606,1.96e-05,0.113,0.387,124.932,0rCXGX0Odn9enfPRRWzo4n,156880
0.836,0.927,-5.924,0.0832,0.00141,0.607,0.115,0.704,126.976,1rUfAnT35qS7hL6okyDOH0,166299
0.776,0.832,-7.591,0.0489,0.0591,0.888,0.121,0.293,124.996,5ECWJFKkqePRH2SSlv8Ltq,219402
0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,0bI7K9Becu2dtXK1Q3cZNB,140500
0.915,0.72,-3.126,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,63aj87TQG6F3RVO5nbG2VQ,131067
0.816,0.952,-4.972,0.105,0.0108,0.44,0.0779,0.282,124.006,7bmdCzMO7PQWwgSB7npXc5,164516
