danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.584,0.645,-7.48,0.0325,0.584,3.19e-05,0.184,0.706,160.114,7kmVagINyg3VQtPZmPuNNE,181672
0.64,0.576,-5.615,0.173,0.287,6.17e-05,0.0658,0.468,162.028,3GyhxHaxCe3tPFMAHvMmoF,185053
0.667,0.784,-6.503,0.0345,0.38,6.65e-06,0.12,0.962,163.988,19sesLqKhLkzkFVYOh4wSD,234453
0.639,0.458,-9.392,0.0724,0.453,0.0,0.127,0.436,169.948,1rd7LYAegRrMw4hAvKHwhm,183542
0.635,0.653,-6.586,0.0749,0.642,0.000131,0.0978,0.458,171.993,3EMCirXKIv5oztM29ZqqDe,208256
0.741,0.83,-3.745,0.0453,0.408,0.00104,0.111,0.888,110.589,4iR0MtjeZrRQ8Zycirjawy,154067
0.428,0.668,-5.809,0.164,0.659,0.000348,0.132,0.408,165.996,7CTP8zjKDI25DGibdzEIS7,204624
0.672,0.774,-7.628,0.0642,0.455,2.78e-06,0.104,0.473,169.989,0FzDOdcALJXcvhwqvWbYan,204706
0.703,0.839,-5.675,0.142,0.116,0.00269,0.201,0.611,173.999,2nXOUhAUyZQ0btHePjTzni,182693
0.719,0.732,-4.531,0.339,0.277,0.00105,0.0967,0.687,159.862,6dilPsFJWBb7UiyLVOYY7n,195382
0.611,0.678,-9.381,0.0451,0.529,0.000877,0.111,0.452,173.979,5j2oMuVJak6B9eNhaNzzwT,215172
0.642,0.666,-7.596,0.0383,0.403,0.000786,0.104,0.733,167.869,4YRmylEOTJlLptRRo3iNpC,187435
0.515,0.664,-6.129,0.0499,0.563,0.00167,0.117,0.575,159.916,7gXQpl662hsWEiJQjWJqPF,183000
0.708,0.484,-7.388,0.0413,0.647,0.0202,0.0703,0.819,159.972,7ej6S2O1BjS14eXiBWJYcW,220800
0.737,0.512,-9.876,0.0769,0.0966,2.05e-06,0.108,0.565,157.908,6uDfozWbvxc5NX7mHBqoS9,176203
0.584,0.756,-7.827,0.0346,0.424,5.26e-06,0.105,0.702,160.055,2w2inZLaeIIvruHXWNguUv,210000
0.58,0.749,-7.478,0.0627,0.0744,1.4e-06,0.314,0.411,179.951,3GhXkfRxetzKG68TRr9EBa,250750
0.575,0.722,-7.172,0.211,0.0288,4.74e-05,0.189,0.621,184.117,6D9rsde59fT5cHjTqyWz6c,172195
0.608,0.588,-9.38,0.162,0.641,0.000141,0.0781,0.251,147.939,7fmhSIXtgYldHZbFUPDNNY,176087
0.803,0.697,-3.417,0.0948,0.345,0.000926,0.099,0.446,170.036,302utfPKbmblUkEBqLr8wb,158099
0.666,0.558,-7.667,0.169,0.707,0.0,0.0691,0.268,167.861,3prQBB0SQ7Xk8KYSil3dSl,202143
0.623,0.723,-5.503,0.0717,0.0677,3.63e-05,0.116,0.664,160.053,64giesdUnPq8vQcVCLo7Fg,185148
0.649,0.534,-9.215,0.0376,0.313,0.00119,0.0904,0.661,153.997,27ajQiTooc7WUxBej9znHb,274286
0.771,0.65,-4.941,0.136,0.127,0.0027,0.0945,0.301,98.858,5NgIBtRfiUpLkLO3Y2vzEm,181800
0.696,0.515,-6.552,0.0975,0.407,0.184,0.0915,0.535,176.065,68kbdwgegYbEa0FMuaZVoh,179318
0.738,0.719,-9.546,0.119,0.682,0.000103,0.109,0.417,91.983,508WLYjKSmYHw4MtjFED5X,162600
0.741,0.758,-6.459,0.105,0.306,0.0,0.194,0.661,82.007,3h5QGvdw4TYGrhF3V4qQjC,178537
0.428,0.569,-9.09,0.0609,0.513,0.117,0.114,0.412,84.004,6zgt23CX5VlUavb3Dcn46c,215125
0.502,0.933,-4.783,0.0354,0.168,0.0,0.0902,0.825,159.969,010hSZN5iud17gVbWmNRtS,279226
0.51,0.753,-6.566,0.209,0.13,0.0,0.234,0.649,169.739,6y5F2cra3SMUrij81zyQHp,189353
0.632,0.497,-7.855,0.139,0.699,0.0,0.121,0.594,170.075,5LGrY5uUL2CycSIe9p8gEE,218118
0.628,0.793,-4.05,0.0391,0.308,0.0,0.0922,0.441,165.999,2CbcLXjaBmGExSbbq2Xn3E,292507
0.606,0.69,-6.932,0.0812,0.315,1.37e-06,0.131,0.526,179.879,4kCPo0gqB0qqtz4XZhikkL,217336
0.608,0.798,-8.53,0.0443,0.0469,0.000389,0.111,0.509,165.985,5ToVd0is6zooP4SRrJIl1h,178361
0.641,0.552,-8.632,0.145,0.399,0.0,0.209,0.593,162.025,2O796RcvoAZuujHQLwZgPt,278500
0.603,0.88,-6.815,0.0294,0.425,5.78e-06,0.139,0.852,163.991,0BxZpzkmc6iYSkTUvYlvQv,342805
0.664,0.767,-6.198,0.0377,0.442,3.62e-06,0.093,0.814,179.993,0vOxlPboPbayozyknCBEfL,184000
0.539,0.682,-4.097,0.139,0.634,2.1e-05,0.179,0.44,166.023,0mZ9BjKv5nwDDjKbhe64T2,186507
0.609,0.529,-7.62,0.046,0.086,0.000119,0.114,0.42,170.032,37ZGXeDWu9h8RnipTVPc19,209833
0.613,0.781,-5.635,0.0415,0.394,0.00271,0.0946,0.546,176.017,1LUuQLDzXwbWDdaE1eOE8g,203672
