danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.569,0.839,-5.36,0.0418,0.385,0.000228,0.25,0.381,163.94,05xLOpipHWbGG0CboVVrXy,246960
0.69,0.865,-5.815,0.0359,0.237,1.28e-05,0.183,0.612,88.014,40XHrZZ9KKX7Vdp4NLGCGO,208720
0.805,0.844,-6.551,0.0505,0.0138,0.131,0.264,0.926,138.677,6v5Z0a4b3DmjIKA4htP8vl,325600
0.66,0.657,-8.625,0.0369,0.472,0.107,0.115,0.776,166.044,5R6kK3ZRUlb2dkI0E3psXo,257507
0.645,0.908,-4.162,0.0565,0.172,7.06e-05,0.0812,0.874,93.982,33CNefpUrDUefPDQb3GWyt,207653
0.745,0.855,-5.531,0.127,0.224,0.0,0.114,0.816,108.077,7cdfFH5KIvKzDtssD0r35x,229497
0.673,0.682,-6.485,0.0617,0.303,0.0,0.236,0.688,171.858,4Ql7ivqB2u0YjPLBhLQRLW,215373
0.573,0.901,-5.542,0.0458,0.0254,0.00115,0.0607,0.965,196.038,0spHpM4LJ81IATL5kBAqDM,183413
0.758,0.641,-8.423,0.0435,0.592,0.0,0.138,0.572,77.995,4tLvQ6fvnsWB6BGusXS03n,341347
0.73,0.635,-5.234,0.117,0.58,2.94e-05,0.137,0.756,87.941,2CsaAimiEwtki5Q5rZPimf,278345
0.557,0.802,-5.269,0.0895,0.533,1.11e-05,0.101,0.551,175.835,6ra0162M1vgBI3Ams3r2SK,224360
0.456,0.84,-5.179,0.159,0.0615,0.0,0.287,0.696,89.953,0xdigvJSNF5wrS8jxnBV9N,238417
0.607,0.812,-6.043,0.0475,0.195,0.0,0.117,0.441,82.018,4EvgN59rOoSrFqXvpOdxee,254747
0.749,0.954,-5.801,0.0501,0.0889,0.000184,0.0845,0.946,116.016,3L3XmqvdOZiCoqpfASyoYh,201947
0.726,0.676,-8.224,0.134,0.102,0.00211,0.151,0.773,174.053,2UtoiQC20KmUEEyW4gg5eo,217413
0.779,0.639,-12.37,0.0555,0.155,0.000275,0.315,0.848,132.714,6YoBe1FqFL5w10bQbemW16,245200
0.479,0.725,-8.588,0.286,0.172,0.0,0.218,0.66,179.976,2ffoHFjdoCTVmy8M13R7UW,239200
0.738,0.564,-12.084,0.0381,0.0483,0.77,0.0724,0.933,108.902,5clnOzNnhNOYWMjFKEot3e,342760
0.575,0.845,-4.541,0.0674,0.229,0.0,0.294,0.818,177.93,2Aylt5JHKRCkLZUMyw5hH9,216627
0.686,0.915,-4.45,0.305,0.0344,0.000465,0.0784,0.406,177.919,6BLLoHOQqY3rOpMoaO6yHv,229213
0.731,0.615,-7.491,0.241,0.335,0.036,0.362,0.828,88.011,2xMZShEOQa8dnt2NPco5xp,195993
0.539,0.819,-5.544,0.216,0.151,0.0,0.123,0.502,165.811,1bL91d7y9VN31swIJEMCjl,266333
0.561,0.667,-6.351,0.0372,0.159,2.77e-06,0.214,0.629,175.977,0mSQpFmTxOWszXXftJ7UEt,276376
0.408,0.818,-6.735,0.0925,0.137,0.0142,0.0698,0.54,169.886,5ClSFh5wvocS8bypi9nWNa,228080
0.882,0.864,-3.158,0.0745,0.0253,0.000342,0.029,0.915,104.021,45p64coOj1vJMsg9r0TfhR,197816
0.772,0.634,-8.303,0.0457,0.163,0.0716,0.0693,0.788,88.025,4pmEFYqVjUyingztgPX5wa,255107
0.627,0.474,-13.386,0.175,0.257,0.000123,0.0389,0.829,188.027,1qV4eB7KbDS2iD9BrSBcl6,231787
0.599,0.773,-6.525,0.0325,0.248,0.000102,0.102,0.797,169.943,3AZD35FEz0cxX4N8cNAT28,215187
0.81,0.85,-6.034,0.0527,0.114,0.0261,0.087,0.941,120.001,4VjAINz190LKGIhlOyzbLh,238227
0.479,0.814,-3.492,0.0398,0.0914,0.000153,0.148,0.369,112.032,3vrjFilXfC0P53dOO15GIC,243520
0.666,0.827,-5.228,0.0445,0.28,0.00068,0.0843,0.832,90.037,3WKj7OCct7oIiK4Nn8OL1u,247151
0.599,0.88,-13.027,0.0392,0.0119,0.0722,0.059,0.811,131.032,6VRYU02zS0eTij6zUimVE4,278600
0.516,0.751,-6.216,0.0415,0.263,0.00216,0.119,0.364,169.874,728xjnYMKJuFl4DuW47qTR,322400
0.507,0.852,-7.046,0.0343,0.188,0.0387,0.156,0.69,160.001,5kxKBb0icDE6kzSYRmdZLg,326959
0.832,0.737,-5.705,0.0459,0.101,0.00862,0.108,0.62,94.044,3XkvHCG8tMtQLOpIW6vqld,238864
0.672,0.785,-6.829,0.0862,0.0772,0.0588,0.107,0.504,171.026,1B35BUUooPRXidBN21iAFi,191573
0.599,0.781,-6.126,0.0304,0.284,0.0105,0.165,0.793,165.907,116sqvAfJGse17D2vOqjSR,282120
0.704,0.834,-4.822,0.0345,0.146,0.123,0.0918,0.544,111.975,5OXNTQPMIPmkqyHhIjwOW1,290867
0.656,0.565,-9.807,0.0733,0.734,0.0067,0.0999,0.796,180.087,3azdCW8QjHxMsbNzSmUNaa,267667
