danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.825,0.699,-9.085,0.117,0.626,0.0,0.104,0.868,94.594,1ZthM4Vb8okkoIlbQDeFx6,113480
0.876,0.732,-6.7,0.13,0.124,1.17e-05,0.299,0.622,100.057,6Ufsa246KudOlxKXRM2PgG,134919
0.834,0.728,-6.403,0.108,0.378,0.000929,0.216,0.657,100.161,6fJmOSkPSqTETDvBFyiyXb,146283
0.879,0.601,-3.928,0.0612,0.0582,7.08e-06,0.123,0.508,100.031,7woCBSbM2dMJXO7glFsUS4,156479
0.939,0.568,-4.468,0.142,0.0751,0.0,0.065,0.54,105.07,5bf3qVyRtIpk4Ym3JHalWk,139613
0.922,0.668,-5.457,0.239,0.202,0.0,0.0976,0.695,98.011,7mHX2qBPHMsckyURJCHgpx,142041
0.949,0.485,-6.405,0.15,0.0863,0.038,0.122,0.353,102.48,7e2vCAtcYXuM8JOUqIZ9GQ,167600
0.792,0.348,-10.944,0.684,0.135,0.0,0.0939,0.499,180.126,5YIvwu6p04xoP8MM1jUxCq,120000
0.926,0.64,-4.392,0.22,0.328,5.71e-05,0.105,0.901,128.065,6kuEgsXZ5KjidJfsq6hMFV,176250
0.84,0.625,-2.944,0.112,0.091,0.0,0.0825,0.229,98.064,0r6CB4zVdoH4ejbtRV61yS,138757
0.865,0.531,-5.773,0.128,0.117,0.00714,0.197,0.0612,141.036,7GLHAjSbax5SlnwJlUeTwq,115745
0.858,0.732,-4.187,0.0666,0.131,0.0,0.229,0.566,100.973,67erDOXoomBqQebPnpZayQ,144989
0.861,0.563,-5.904,0.235,0.78,1.35e-06,0.083,0.494,100.044,3avmFPZ3UaXyl5uGcl5QwA,160421
0.607,0.822,-3.871,0.657,0.133,1.14e-06,0.18,0.838,194.794,4z94T1JRS8ZjmmGoGNtIhv,125095
0.788,0.509,-7.821,0.105,0.338,0.0,0.0949,0.197,104.11,3im7T2q63a1razKvpV8pao,223846
0.719,0.671,-5.752,0.042,0.0392,1.94e-06,0.0768,0.646,104.938,1p3lY9s5YADOF7PQ3u32Ny,221780
0.916,0.579,-11.145,0.364,0.282,0.0,0.117,0.563,100.023,290QMvxXhz9mPiOIqFiuTh,158400
0.707,0.588,-7.323,0.0396,0.0484,3.36e-06,0.0933,0.272,94.953,1hKajaBCCsFShcm22FpFnu,178134
0.634,0.833,-5.1,0.25,0.297,0.0,0.367,0.714,96.881,2KEMHoK7Tz7rlTUalQXMUk,166802
0.803,0.873,-5.293,0.0771,0.018,0.0101,0.0542,0.911,115.035,307zhb6ICsQKBmpL48sFhh,160696
0.797,0.468,-10.388,0.156,0.442,5.05e-05,0.113,0.393,100.963,55HWsOjIkrP3Pomed4zjkH,180910
0.802,0.671,-5.096,0.255,0.022,0.0,0.0819,0.341,103.648,79cOrbvS7AQTKda6v0MZFP,139753
0.644,0.559,-10.772,0.41,0.189,0.0,0.704,0.757,160.137,0tPgk22Kp8pdcmYt9Pu8Bd,169158
0.907,0.647,-6.747,0.0894,0.0593,0.0016,0.131,0.717,132.024,37Tlkm2Euv26vuwZ1ww8yo,107614
0.741,0.668,-7.538,0.321,0.491,0.0,0.27,0.568,113.107,5XlMKUVVnGFgUDxl4rYRAw,206132
0.901,0.643,-7.017,0.0546,0.0794,1.03e-06,0.165,0.236,131.961,2MzJTGFe2gZgvDwN6K93y2,137500
0.905,0.696,-5.958,0.0811,0.168,0.000608,0.359,0.607,99.982,3IuC01T7uEnCxPnGMg41Hv,147936
0.899,0.562,-7.223,0.311,0.24,0.0118,0.0654,0.308,100.074,6qNqMw6bXD4Y8zNMe4epob,146000
0.761,0.492,-10.552,0.338,0.154,3.74e-05,0.125,0.478,100.033,4zvye7HkHMAvKPAi9qmVtl,136481
0.767,0.339,-16.943,0.697,0.0562,0.000382,0.083,0.401,189.93,7nrShg7j8pfL4qOszh8r1H,157368
0.792,0.485,-9.237,0.115,0.0328,0.000294,0.133,0.44,120.088,4cnoSXd1N69dEyf0TVsWyn,190585
0.916,0.237,-11.758,0.12,0.0618,0.103,0.0509,0.23,95.052,7JA7yknfaa6Tb4PBwMP8fD,144000
0.849,0.532,-5.268,0.0866,0.0187,0.00776,0.0756,0.248,97.983,6NyF1mybcqhYiXKmZRK4XB,149388
0.67,0.607,-6.44,0.444,0.396,0.0,0.238,0.863,199.666,4bUe0OUcwdu85AMBkZzYFg,175677
0.938,0.838,-4.835,0.167,0.00385,0.000642,0.0797,0.585,102.069,60l9cfnaUop1NJGgpiQ7UA,125441
0.922,0.733,-5.881,0.182,0.175,1.94e-06,0.21,0.617,130.016,1hBaMtwb84WYuIzf1e7SNk,131947
0.568,0.76,-6.455,0.275,0.0431,1.53e-05,0.18,0.481,100.042,6rb3wFQ66EWR7DcPG0oEE1,245241
0.803,0.501,-6.702,0.388,0.193,4.75e-06,0.0741,0.962,96.196,0BEJH3Z1ssdYqAQmWttViM,142010
0.666,0.737,-8.454,0.255,0.172,0.0,0.227,0.655,100.086,3dwR9UFLT4Yxm6RQZfYtVU,172800
0.789,0.815,-4.747,0.185,0.132,0.0,0.144,0.599,176.14,12eCla0Dc4Ki5jejarfxVg,144545
