danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep,270587
0.6,0.706,-7.899,0.361,0.209,0.0,0.125,0.58,173.926,4IYKjN1DrYzxKXt0umJqsG,253533
0.588,0.841,-5.138,0.0932,0.026,0.0,0.33,0.871,134.577,7rj8aNwZqTvrUeLlAyNWtZ,214867
0.429,0.597,-4.892,0.092,0.417,1.87e-06,0.149,0.504,82.076,62gv0hzbDQGDD9fy8AHTtb,182857
0.836,0.661,-6.502,0.338,0.0208,0.0,0.449,0.753,76.71,22AbXxQbMdVqEz7xJjhccG,213200
0.69,0.621,-3.583,0.06,0.321,2.81e-05,0.0884,0.497,66.858,0j55p8YRAPG8yajtNyjt6A,233253
0.906,0.638,-7.917,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,7sd72KZS8D59g5NmhxyHpJ,191502
0.496,0.819,-5.656,0.0444,0.0479,0.000215,0.177,0.317,100.215,5dWfl2PBpKHpBVdz95wxK1,202013
0.634,0.833,-5.1,0.25,0.297,0.0,0.367,0.714,96.881,2KEMHoK7Tz7rlTUalQXMUk,166802
0.604,0.584,-6.438,0.43,0.461,3.83e-06,0.159,0.434,129.384,2brmWfgvpkTotbDYSi8jbO,174002
0.751,0.837,-3.892,0.108,0.183,0.0,0.217,0.752,98.016,2eKcAEvYtwcuK4zFcYdtX3,242560
0.606,0.61,-5.279,0.392,0.424,0.0,0.165,0.685,129.989,7yJG5oJwYfom8AVXDcgFLx,136827
0.588,0.61,-5.008,0.234,0.534,0.0,0.303,0.645,99.926,5J4FiKDJIdJ8AKx2gaWMt4,204081
0.816,0.875,-2.499,0.184,0.187,0.0,0.0346,0.952,100.967,30mNHDOw7qD5SF8tBeuPpu,173465
0.911,0.57,-5.689,0.314,0.549,0.0,0.0966,0.368,100.093,4y0AUgG6XhQac3a6Li93QU,204069
0.812,0.693,-3.914,0.367,0.0382,0.0,0.104,0.853,90.12,6IFDy0imCdhDpHj98GczEX,153213
0.616,0.71,-7.05,0.264,0.123,0.0,0.128,0.945,93.938,746nPV2NXSoxW3imGpG8gk,255360
0.631,0.802,-5.316,0.373,0.0886,0.0,0.103,0.772,101.803,6LKeLk5IBQUb9eoXidchGQ,183893
0.567,0.761,-6.458,0.276,0.0427,1.41e-05,0.18,0.484,99.995,11pzZVbS8g6g2tfgSQR4uG,245241
0.599,0.683,-3.812,0.464,0.448,0.0,0.0463,0.75,211.958,2c3e6W36veH8GSBkoMKX24,150280
0.792,0.682,-4.96,0.173,0.00168,0.0,0.169,0.666,84.983,5nLmO6pp71pmiVZwyTPfq9,222893
0.6,0.602,-9.643,0.352,0.376,0.0,0.133,0.676,97.422,4M8tmhoPrUN3W89SChMxba,195476
0.741,0.79,-5.056,0.284,0.000755,0.0,0.0345,0.806,185.779,2zRR41MU5nXB1LeBkyjgtV,188200
0.725,0.604,-5.874,0.408,0.117,0.0,0.0855,0.449,199.995,3YQ5NYk2legzeloibRyXn1,139093
0.82,0.826,-7.012,0.0546,0.061,0.0,0.0904,0.939,105.988,7khLgMuA7m4SA6aaDv1QSv,207547
0.849,0.654,-6.301,0.316,0.478,0.0,0.13,0.788,92.149,1mTEDYrH2BGlVA8FuXegji,211333
0.717,0.504,-5.751,0.281,0.0358,1.72e-05,0.12,0.355,130.759,35k0jeXz6vwKCasj2cRkSE,142080
0.772,0.658,-5.612,0.226,0.0622,0.0,0.0997,0.16,129.345,53rvxSNmKhy7wMAAygyYWr,183093
0.648,0.725,-7.064,0.266,0.063,0.0,0.111,0.563,100.192,6EnfbMj5Ui3jkIw8CDaYIW,146400
0.81,0.829,-5.646,0.108,0.34,0.0,0.0539,0.851,104.695,2vACumvzzT2ZngO2p7i3Gu,217107
0.81,0.604,-3.296,0.0904,0.316,0.0514,0.0944,0.646,102.937,7aBRoWtp9jsZFxwml1LfeG,171092
0.547,0.821,-4.434,0.395,0.321,0.0,0.227,0.356,95.776,7vRm8Bzniw9mtHoFtnoxB0,221584
0.497,0.786,-6.05,0.322,0.0144,0.0,0.638,0.736,152.982,1a64u7QtJ9yDwpNyfDrZTj,221507
0.691,0.604,-6.358,0.341,0.129,0.00494,0.108,0.44,125.55,4hGHcdD5IwjAkftalZm5an,215112
0.736,0.628,-2.69,0.0848,0.312,0.0304,0.0428,0.959,129.785,2M5BecF1hOqHevr4BDRi84,134785
0.692,0.677,-6.225,0.371,0.0741,0.0,0.111,0.848,101.087,46l7fOJggsNqrNPJeFk0og,239787
0.817,0.82,-3.59,0.256,0.529,0.0,0.11,0.622,101.206,2dSbH1DD8CEqHqyS1Ey0bd,140337
0.564,0.485,-11.635,0.325,0.000271,0.0,0.0498,0.695,91.103,1y7sKhBWlJxH6OXSDjcEKw,231267
0.606,0.752,-4.459,0.582,0.0448,0.000234,0.0716,0.369,185.375,3QsYrzBz48de2cqm670ym9,178840
0.638,0.699,-4.899,0.3,0.104,0.0,0.0995,0.597,102.758,0RQEpWykgNyAMCeuZJDKJt,221194
0.586,0.746,-5.105,0.312,0.0925,0.0,0.0697,0.454,177.738,1FmI1ftupsWDltedFxAfCS,185002
0.736,0.712,-8.933,0.246,0.0147,0.0,0.146,0.604,129.962,5iWkcEcUfymaq0POyWCbBQ,215920
0.852,0.631,-4.447,0.0564,0.121,2.08e-05,0.212,0.799,101.977,5Qdbkemkdk8syZXJQVabSf,220965
0.567,0.647,-6.038,0.213,0.0168,0.0,0.135,0.433,81.985,1xn2rn7Bw8IM3RqYwB4xWz,213600
0.519,0.859,-5.046,0.287,0.0113,3.46e-06,0.105,0.815,103.364,1dhrBVOBJVRAomxv0sqfmK,238493
0.734,0.703,-4.697,0.364,0.177,0.0753,0.487,0.568,106.84,1KW6PVabkLbthK4y0sPX5a,195693
0.769,0.858,-2.572,0.101,0.114,0.0,0.23,0.844,99.947,0xezj8YX96S7m4fCDwCIoJ,135640
0.746,0.861,-4.463,0.281,0.0357,0.0,0.108,0.706,96.744,1gpA7IZTNvrL6DUuc4qDPx,188893
0.651,0.856,-4.062,0.0563,0.0873,0.0,0.194,0.919,159.869,2SJm5XYmsKvzPaHI3mW1GB,186082
0.765,0.372,-11.126,0.698,0.383,0.0,0.0763,0.443,200.251,4qRTXseVumpZKty0AGH1o5,173845
0.888,0.584,-9.096,0.154,0.024,0.0,0.122,0.734,124.01,0S0qKgHu2CCL3MjPo3HMl5,218773
0.646,0.796,-3.835,0.371,0.144,0.0,0.197,0.625,119.754,1XDu72IZMRTO2gDPaMydXE,128240
0.551,0.678,-11.844,0.226,0.00608,0.0,0.0827,0.836,101.955,5S9810AEDRnVQovixcU2h4,294373
0.613,0.563,-8.206,0.358,0.338,0.0,0.381,0.775,103.371,00bnP8RyknzZMkNlEAO2ih,251640
0.629,0.698,-6.441,0.343,0.142,0.0,0.118,0.564,130.383,1rfANUAbPjPZhRUIz5uj7h,176013
0.642,0.808,-5.232,0.33,0.0311,0.000288,0.339,0.543,99.965,77jt9bt0fTtc1Aw1CGT3ji,146886
0.594,0.84,-5.901,0.207,0.239,0.0,0.0987,0.729,114.42,0pjbztKqMcjVZpDYokMBhI,250520
0.611,0.498,-12.286,0.45,0.00433,0.0,0.0558,0.736,94.848,0vPBj8SXXsIdBwz4FIzcT8,224880
0.851,0.686,-4.297,0.0465,0.126,3.06e-05,0.0635,0.494,103.968,488Uem9ellPhXvA8XfBhty,160529
0.888,0.865,-3.662,0.147,0.0188,0.0,0.0723,0.679,129.968,0amlI2JWPEfxioAcc7kVSJ,212800
0.694,0.671,-5.616,0.21,0.131,0.0,0.767,0.446,95.935,0QtGz0BVckR9AIUke9wdKH,192500
0.839,0.682,-9.532,0.439,0.0319,0.0,0.0815,0.922,96.045,2KD9Ao72XR2C4VjI3d1AtG,188933
0.841,0.718,-4.57,0.248,0.014,0.0,0.348,0.614,95.012,6QQb9IsS797WWbHWgsyiQf,165535
0.796,0.734,-8.673,0.333,0.0233,0.0,0.0805,0.751,96.084,3MA9vuvFgT11GTazSK5FQ0,169987
0.597,0.559,-5.796,0.183,0.178,0.0,0.118,0.351,95.325,6KDUXVgS7Fifk8NsBT7i9S,233125
