danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.736,0.927,-3.487,0.0541,0.678,0.000256,0.217,0.971,156.046,0S4dVpqBLnBFj4wdB4UDMd,246440
0.692,0.711,-7.498,0.0317,0.225,0.0,0.12,0.875,125.135,1TfqLAPs4K3s2rJMoCokcS,216933
0.933,0.528,-6.472,0.162,0.112,0.329,0.163,0.756,109.975,57JVGBtBLCfHw2muk5416J,214653
0.684,0.724,-11.249,0.033,0.0909,8.77e-05,0.11,0.729,92.272,53NWOfQXdEmbHqg5FGeXlG,228440
0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280
0.858,0.834,-7.064,0.0597,0.436,0.0,0.102,0.848,133.212,1ofu2qOdm9LN8TGXd003Kj,221440
0.932,0.457,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,7J1uxwnxfQLu4APicE5Rnj,294227
0.617,0.533,-11.516,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,0QKfiqpEU4h9ycPSzIFwYe,244707
0.556,0.909,-9.982,0.0444,0.254,0.00058,0.0971,0.633,167.101,2UC5XnHA1Wn9FjQmbjNca9,231960
0.71,0.799,-4.897,0.0328,0.22,0.000602,0.349,0.725,120.372,4y1LsJpmMti1PfRQV9AWWe,238267
0.5,0.501,-8.284,0.0376,0.462,0.0,0.26,0.623,144.438,0cGG2EouYCEEC3xfa0tDFV,153800
0.774,0.683,-7.432,0.137,0.109,0.00404,0.0853,0.683,114.976,3LCup59DMpM3r6fwQsZMYs,241830
0.85,0.466,-15.673,0.0555,0.314,0.0234,0.129,0.86,109.936,62GYoGszQfROZswLee6W3O,222627
0.675,0.649,-10.271,0.0319,0.0204,0.0,0.0959,0.596,116.624,0odIT9B9BvOCnXfS0e4lB5,228000
0.754,0.731,-7.48,0.0316,0.201,0.0,0.0566,0.855,131.407,7bVOm16UuDoDGg3LqnywlH,244333
0.575,0.555,-7.495,0.0453,0.103,1.3e-06,0.111,0.504,95.361,4ZhPLoMzZwewHLLjV1J15c,232467
0.504,0.904,-6.863,0.179,0.356,0.121,0.14,0.772,176.808,1jDJFeK9x3OZboIAHsY9k2,183440
0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,29d0nY7TzCoi22XBqDQkiP,300840
0.597,0.916,-3.489,0.0507,0.0239,3.63e-06,0.305,0.921,139.427,7p5Na4GvFzP6M7i1ti2YRJ,268560
0.852,0.906,-5.248,0.0416,0.111,0.0565,0.265,0.965,133.247,6wSYpKrgUJSIrH033Y5WlB,230760
0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920
0.559,0.764,-7.058,0.0348,0.00441,0.0299,0.0807,0.932,143.319,3NYCaxkggl0Hh8vQptSUvV,213693
0.459,0.776,-5.385,0.0359,0.287,0.0,0.159,0.749,122.004,55mXuPsEm6aboDIM68RM74,265400
0.62,0.573,-11.893,0.0423,0.271,0.0,0.0607,0.897,81.548,0ikz6tENMONtK6qGkOrU3c,231333
0.857,0.887,-8.142,0.0319,0.112,2.34e-06,0.135,0.979,130.63,6tgOsCso6nMCRg5EtgixZ2,219836
0.546,0.895,-7.189,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,6W2VbtvMrDXm5vYeB7amkO,220707
0.74,0.783,-13.726,0.0292,0.0176,0.000645,0.0877,0.906,137.292,3X9XJLwQPWqRnsNaL9z6ss,312533
0.968,0.345,-14.17,0.151,0.154,0.00344,0.0425,0.954,109.803,6NSqiyQWIyZLouviktad9X,341427
0.672,0.854,-6.741,0.0301,0.00716,1.62e-06,0.117,0.725,153.579,4BNgHaHriMcnpeR7qdkojU,250000
0.614,0.655,-11.744,0.0297,0.0019,0.126,0.0844,0.342,125.907,15XYdD283tK9iyJzL738bn,322760
0.776,0.867,-3.704,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,1OOtq8tRnDM8kG2gqUPjAj,258040
0.651,0.87,-5.149,0.0318,0.103,0.00815,0.0979,0.729,103.857,4OeFQtRyT7vsLnRTv7t8YT,330253
0.282,0.605,-4.916,0.0294,0.0047,0.00144,0.103,0.0783,103.929,0RdUX4WE0fO30VnlUbDVL6,403453
0.44,0.845,-6.726,0.051,0.0114,0.0,0.252,0.342,116.07,05OmZz1tixVBtXMx3cb4oc,237827
