danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.301,0.264,-11.73,0.0409,0.874,0.0,0.0795,0.433,89.686,1chsFxuRdocgGwhhCYfZ9m,298292
0.395,0.405,-8.097,0.0463,0.813,3.99e-05,0.745,0.434,132.295,7kOtvS6igRttHxNnJDyaQD,2497280
0.505,0.267,-11.767,0.0391,0.963,0.0329,0.355,0.436,97.254,5ZULv6JBpj8eS4T2Pa4UVE,141280
0.47,0.38,-11.53,0.0605,0.086,0.0029,0.24,0.614,170.706,55HS624LYOCR3QwOUxWbMJ,329105
0.408,0.517,-9.78,0.0848,0.651,2.2e-06,0.931,0.536,114.576,4meyL6OvN5WhJ9JNEsZSeN,2222355
0.378,0.236,-13.636,0.0318,0.864,0.0,0.57,0.302,100.913,6AR5jzIkmEjCs92cRUscML,678675
0.368,0.468,-11.593,0.0864,0.681,5.4e-06,0.834,0.426,102.544,5n47Gu3lJ2zcrQtsstaiJF,3312720
0.421,0.263,-15.166,0.0738,0.747,0.0,0.141,0.568,140.474,2mpt58YGh6hdfCTCA1uHAw,457810
0.375,0.375,-9.377,0.033,0.188,0.0,0.086,0.293,135.878,66Ol2298fi5ca4KWcCVsOD,345928
0.325,0.33,-8.565,0.0455,0.706,0.0,0.609,0.461,89.98,1O4lVF8Foazqwcrc0zFb4R,383701
0.424,0.441,-11.442,0.113,0.626,1.3e-05,0.692,0.418,110.475,1PkyJNFqmxHhwGhphkcy5y,2353813
0.354,0.329,-11.013,0.0577,0.864,0.000121,0.947,0.183,133.821,6UkneNSMIdiwUEaSVfcYVd,1184040
0.31,0.523,-11.244,0.037,0.659,0.0186,0.313,0.624,92.598,0qiH7V7xzBu2zTYuAmHeu7,1185164
0.439,0.236,-11.755,0.0462,0.945,0.0,0.203,0.372,130.575,6TbxWXPwXo8hclWtsP3eWP,219599
0.355,0.522,-10.832,0.0376,0.903,0.882,0.294,0.523,126.55,1P1PnCp10v113ANU6WUfHa,505000
0.407,0.106,-15.387,0.041,0.934,0.0,0.248,0.205,131.16,56IgPdsb3uFulbc1BvmaMt,382015
0.333,0.251,-8.239,0.0368,0.896,0.0,0.393,0.535,84.096,3w6LdvrXM4a8C4cJrBa6M9,383152
0.285,0.45,-7.599,0.0366,0.713,2.22e-06,0.0827,0.636,82.209,1x4yzWPLBHEL5B9pDJswku,253846
0.39,0.296,-13.668,0.0691,0.851,5.35e-05,0.953,0.34,106.828,4EmXjrMg5Wl51WCvuVDn6L,2586427
0.403,0.389,-11.623,0.0417,0.732,0.000155,0.117,0.549,119.842,2JNaQTPcPdW0ycWhsSVQiY,2344974
0.371,0.38,-7.904,0.0366,0.736,0.0,0.105,0.429,92.799,4RX0ptd1X6CbN7ligSGFrA,626360
0.316,0.333,-13.266,0.0437,0.916,0.00115,0.441,0.596,142.526,62DsoVTFYVuDJ3sAUSvLLX,456896
0.255,0.36,-10.096,0.0286,0.563,0.00109,0.136,0.305,90.028,3ZlQeLBeeoGCYVdcgBB8m9,545712
0.356,0.381,-12.084,0.0521,0.714,0.000246,0.84,0.427,109.22,3Dkp2faqV2c5rWPSNySMZ6,612587
0.404,0.294,-13.384,0.0386,0.846,0.000453,0.715,0.364,100.757,74WiDfIgMsJmhmtGnV1kPN,2198155
0.448,0.37,-10.216,0.0404,0.718,0.122,0.109,0.408,124.795,2jr0CPIiNKIfVgBPJKYF8Q,2474720
0.392,0.301,-12.706,0.0603,0.939,0.0431,0.966,0.378,133.836,5i4wepDJZPMVOXjPgZEkPV,2395453
0.46,0.485,-8.322,0.041,0.581,0.000473,0.176,0.311,86.709,54ayTwIGa6rs5dVbmecrrP,424661
0.273,0.502,-8.964,0.0459,0.925,0.0133,0.935,0.806,172.96,3bwlnMq8hwTgIRI7abv2At,332292
0.25,0.328,-12.995,0.0439,0.831,4.21e-05,0.381,0.344,76.609,6roSk1FMGCbYAJhLXhyCeA,745862
0.462,0.353,-12.735,0.0362,0.939,3.23e-05,0.775,0.575,110.731,6Bn6wrNNumvgWsn7UeERrM,552086
0.278,0.332,-7.858,0.0337,0.968,1.42e-06,0.349,0.353,76.422,6RH8WcElf1DuGmumoRWtaz,444148
0.268,0.474,-9.743,0.0583,0.696,1.02e-06,0.952,0.304,89.415,300N8LY9pglw5UpeSi658b,2012801
0.499,0.258,-7.287,0.0356,0.909,0.0,0.105,0.54,104.272,3V9m2hsLgMBUvTfcKvZwlz,190290
0.357,0.427,-7.769,0.0352,0.619,0.000341,0.976,0.33,108.527,7rZPVMXSYn63KC2Fco2vr6,2394494
0.552,0.903,-4.312,0.146,0.295,0.000796,0.0695,0.342,158.564,00MlcATFyVPksK2Yh8KtWQ,497267
0.241,0.305,-8.713,0.037,0.916,2.75e-05,0.255,0.467,73.955,65oHlB9fPNsOJw1All5q21,235541
0.332,0.481,-12.478,0.044,0.788,0.0,0.655,0.506,98.842,6geOnIuJkAt9ros8TyLTjT,661330
0.347,0.31,-12.68,0.0427,0.728,3.54e-05,0.816,0.363,125.085,0Mvtewr4cE7hBvnUuY2Pe5,762360
0.291,0.151,-15.712,0.0488,0.989,0.39,0.247,0.242,80.899,62r8KdSG3hyf0likALnxKq,664667
0.374,0.33,-6.66,0.0342,0.829,2.54e-05,0.0898,0.47,110.378,3nx4HpRRypWFu9u5tEqWi7,655322
0.31,0.699,-6.1,0.0654,0.224,3.18e-05,0.957,0.335,147.918,0NlKIdBJI5HomKUD9K1iuq,398707
0.303,0.417,-13.258,0.047,0.986,0.00471,0.958,0.581,136.194,5Lrxj2ArJfIvBlPNMy1daX,805004
0.359,0.482,-5.856,0.0378,0.53,3.21e-05,0.896,0.392,136.67,3RO0CTwo4mdij3lCDR9c5o,1289960
0.249,0.386,-9.915,0.053,0.995,0.357,0.436,0.655,192.452,0XcZIbAzBV0ABRZ9vX6nmh,432640
0.455,0.349,-10.414,0.0443,0.681,0.00168,0.11,0.236,88.102,2I4vgHCaCLiRFMYRqsqcWb,630688
0.488,0.478,-9.077,0.0501,0.879,1.58e-05,0.168,0.657,117.128,28AQd2Un1fHZ4uW1OfrGuJ,493747
0.294,0.153,-13.438,0.041,0.963,0.000455,0.612,0.215,78.427,1Pd4ArFDSKAJncYSUVpqeG,386861
0.24,0.428,-10.216,0.0591,0.83,0.000685,0.969,0.368,71.835,1QJKUAHql01TBUR07G8Qmc,946221
0.297,0.332,-8.128,0.0375,0.972,0.204,0.0751,0.497,163.996,5TsB1IqVLvzEiMt2OPiMjW,384613
