danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.537,0.502,-8.406,0.025,0.44,0.0709,0.199,0.288,80.511,3oqWr0jDWNXxWufNogGREp,232027
0.551,0.624,-7.42,0.0744,0.808,2.99e-06,0.329,0.633,100.555,4zsDA31stWMtLveU61hejd,218440
0.622,0.818,-6.784,0.0327,0.0831,0.0,0.31,0.849,138.495,5QhOF5HXgZ0OFUZSE5kEv1,208200
0.554,0.672,-7.489,0.0291,0.0169,5.42e-05,0.186,0.285,111.963,10zSgbysU2KyVTrcRmtu62,283884
0.709,0.787,-6.3,0.0279,0.0891,0.0,0.149,0.874,118.001,0ZAJ660VP57lLK4U7NlGOy,260371
0.495,0.596,-5.45,0.024,0.14,0.00316,0.114,0.284,94.119,1rh4kDY9T4fHVDum8Foi5k,233747
0.687,0.387,-9.842,0.0273,0.203,0.000335,0.0913,0.602,112.722,2jEjxOyKqMpkcThWl697hf,185826
0.75,0.943,-4.28,0.228,0.279,0.0,0.0808,0.779,90.095,3tddzXTgneWrkV2cYNUBZe,146240
0.589,0.901,-3.442,0.0311,0.02,0.0,0.355,0.795,125.976,7upAH0ezzsThyvr33YKn4u,254147
0.661,0.964,-4.105,0.0364,0.0532,0.0,0.11,0.597,101.984,6iCnJkKswtMYoSmT58HmEn,247453
0.827,0.523,-8.342,0.0512,0.0344,3.21e-06,0.0505,0.729,148.396,2lqFwTECuP5VNUvzzotxWo,205333
0.626,0.389,-11.609,0.0254,0.677,1.12e-05,0.117,0.656,97.708,6rg1MBZqggsQ5olFGTw0rr,212880
0.491,0.862,-7.573,0.0365,8.91e-05,0.00258,0.185,0.271,138.956,6WgUNHiMwJazeG4kWPAH1m,204920
0.686,0.68,-4.694,0.0511,0.261,0.0,0.0853,0.964,158.174,5culmYJR6bdgdY1w4HRYt0,196415
0.477,0.753,-6.112,0.0343,0.514,0.00381,0.17,0.521,178.013,0SaKhiBPgdRaQKA7Bxu3ek,225707
0.74,0.768,-5.037,0.0603,0.199,0.0,0.0832,0.867,164.145,68drjp77R32xEkzP1vxlF6,203933
0.636,0.593,-5.181,0.0567,0.303,1.41e-05,0.108,0.742,145.972,0C9V5jMElp7laZZdsCHufD,237547
0.539,0.833,-5.717,0.0322,0.00173,0.0397,0.315,0.573,128.007,17eJyYLIlMNlOqcwHYJ9F2,308947
0.486,0.764,-4.195,0.0328,0.0679,0.0244,0.0642,0.387,114.729,2zogXcCqvKJwh3o67W3GG3,259187
0.647,0.732,-4.87,0.0369,0.728,0.0,0.59,0.908,158.046,1crk0MXXyFQ1zVow6YTJOo,239040
0.476,0.456,-7.41,0.0316,0.556,0.0,0.104,0.46,84.052,1Ig4pCPanhzXl7C86MmBUc,161133
0.699,0.744,-3.947,0.0275,0.0696,0.0,0.0751,0.81,114.025,7gKqjNMM4ikt7KFTRsgZgL,187067
0.382,0.912,-2.898,0.0551,0.00169,7.88e-06,0.233,0.56,187.941,5Bi9Cq5oVFy1OtUgecbegZ,289760
