danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.697,0.832,-7.264,0.0298,0.168,0.00131,0.269,0.979,125.926,2grjqo0Frpf2okIBiifQKs,215093
0.612,0.458,-11.086,0.069,0.427,8.41e-06,0.103,0.961,172.516,11rsK9GDZ9UdWsxtDqnMmN,201160
0.598,0.673,-10.431,0.0693,0.0422,6.9e-05,0.289,0.59,102.034,40NRm1ZLvZpUSCUXAGGZ8J,197693
0.545,0.64,-9.937,0.224,0.00249,0.0304,0.196,0.606,80.544,70YvYr2hGlS01bKRIho1HM,230480
0.69,0.752,-11.47,0.0455,0.463,0.00102,0.595,0.97,126.005,5lWSa1rmuSL6OBPOnkAqoa,220667
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
0.534,0.56,-7.565,0.0236,0.451,9.63e-05,0.11,0.599,89.885,7zjkSx1EUums3s1Yg2jPJD,275040
0.742,0.791,-5.058,0.0961,0.219,1.56e-05,0.131,0.822,106.532,4sX1ehtL58WodjOP9bKZ18,170485
0.575,0.912,-7.275,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4nXkbcTj3nyww1cHkw5RAP,207267
0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,208400
0.741,0.757,-8.55,0.0419,0.258,0.0,0.109,0.925,135.692,4xdZYGbne37Yz1Rx7vTqBl,354240
0.587,0.817,-7.033,0.0782,0.209,0.0,0.137,0.349,110.543,62QQEK5BZPtOw0CvrBe9ho,217933
0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,6cr6UDpkjEaMQ80OjWqEBQ,350400
0.465,0.907,-6.404,0.113,0.0241,0.00118,0.13,0.681,117.293,6kooDsorCpWVMGc994XjWN,238973
0.392,0.402,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,7tFiyTwD0nx5a1eklYtX2J,354320
0.395,0.578,-7.728,0.039,0.47,0.0,0.171,0.689,166.227,1GdtMDRiaF1EnG2LJpELme,195307
0.823,0.743,-13.98,0.0316,0.00559,0.0306,0.0707,0.966,120.471,2zMJN9JvDlvGP4jB03l1Bz,314760
0.703,0.826,-7.179,0.0341,0.0322,0.00629,0.179,0.945,103.564,3mRM4NM8iO7UBqrSigCQFH,285373
0.633,0.542,-12.318,0.0316,0.000679,0.00434,0.0754,0.879,130.314,5EcmvgWODi8PNTfVeTlZjb,206936
0.715,0.689,-8.065,0.029,0.0143,0.000192,0.111,0.852,111.504,4z7maGZkAonDlXlwo8q69f,331333
0.621,0.8,-7.284,0.0344,0.0263,1.51e-05,0.0591,0.968,149.91,6WCeFNVAXUtNczb7lqLiZU,235440
0.747,0.663,-9.415,0.0545,0.62,5.24e-05,0.0861,0.606,124.336,2AVkArcfALVk2X8sfPRzya,216907
0.618,0.748,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,3EYOJ48Et32uATr9ZmLnAo,191947
0.469,0.538,-13.559,0.0571,0.305,0.00012,0.37,0.886,196.605,5LxvwujISqiB8vpRYv887S,176333
0.648,0.582,-10.524,0.031,0.694,0.0,0.231,0.636,97.906,4lJKn6cDD3vpZrcg6oVTr1,161080
0.473,0.898,-4.797,0.0561,0.00783,0.0618,0.173,0.808,96.556,4aVuWgvD0X63hcOCnZtNFA,235547
0.935,0.479,-10.981,0.306,0.107,5.25e-05,0.118,0.773,123.644,5LyfiK6iXEIBNEtcaGKohl,211000
0.529,0.673,-10.93,0.0456,0.114,0.0389,0.221,0.886,122.181,0aWA84zzPPadF7I0N9tSRb,376093
0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,0GjEhVFGZW8afUYGChu3Rr,230400
0.779,0.542,-15.137,0.0515,0.0358,0.000659,0.33,0.647,116.284,6fw12s3vAJQAt7lbICodwC,198373
0.795,0.71,-4.746,0.0392,0.443,0.0215,0.344,0.845,109.689,3hJLKtTpgct9Y9wKww0BiR,288667
0.563,0.865,-5.277,0.16,0.0472,0.000191,0.77,0.601,156.271,7hQJA50XrCWABAu5v6QZ4i,209413
0.585,0.922,-5.988,0.0786,0.644,0.0103,0.0406,0.684,104.061,0TrSWhokDH5OfUdvU2qIdJ,325520
0.768,0.852,-6.215,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,271240
0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv,391376
0.729,0.844,-8.824,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,7HW5WIw7ZgZORCzUxv5gW5,275440
0.669,0.702,-13.647,0.0439,0.335,0.000545,0.0962,0.823,124.339,6Rd36fAvK6klQPYgx3534I,275507
0.741,0.797,-7.948,0.0371,0.00287,0.0201,0.191,0.979,133.011,0NJ2bXPlMzP7MIz2Bmr7g3,239333
0.531,0.818,-5.358,0.0452,0.0694,0.0096,0.263,0.471,90.767,6XUHsYE38CEbYunT983O9G,248173
0.668,0.596,-12.719,0.129,0.215,5.23e-05,0.0621,0.93,111.695,2GUESfQxaSuauM5fwiRkXb,209707
0.746,0.76,-6.009,0.105,0.0342,2.18e-05,0.31,0.902,128.976,1BqnZOkYJbvYLOhN0qPJDm,276080
0.539,0.69,-9.019,0.0332,0.083,0.0,0.0847,0.553,120.983,6vE90mi4yKsQGY3YD2OOv1,281232
0.683,0.549,-11.771,0.0376,0.00476,0.0195,0.0623,0.642,114.939,5Q8SPijJts3lV4fcmCrZXp,351293
