danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.416,0.393,-10.053,0.0672,0.869,6.69e-05,0.11,0.405,79.968,7JaX3X1cPBAGoTs4V1P4uy,211840
0.382,0.432,-12.66,0.0407,0.552,2.91e-06,0.211,0.669,95.348,0f6iJjj6MqYZcFoftpjuwp,303907
0.499,0.234,-15.506,0.0302,0.681,0.0,0.18,0.438,101.739,6casyhTmAvFtnQ3tRaXR2x,254640
0.274,0.44,-9.114,0.0429,0.781,0.0,0.752,0.464,79.815,6WL468M0cawkNfDIXMsjPK,511988
0.291,0.231,-18.808,0.0418,0.952,0.382,0.237,0.371,157.168,0fylgLeNObjVvwhd8caHqX,207560
0.366,0.453,-10.512,0.0353,0.507,0.0,0.238,0.685,177.188,7wtPJEWAN0iFyR0yEaBxWX,325440
0.57,0.41,-9.224,0.033,0.58,0.0,0.193,0.481,97.559,4f4Z7WfFepkjUV9tvMwWLT,272253
0.346,0.338,-11.75,0.0353,0.782,0.0,0.0952,0.382,115.005,1SGE7yd8w2bm8zt32pxs9Y,371760
0.548,0.387,-7.33,0.0294,0.607,0.0,0.381,0.57,85.573,5hUQKHs3lnt0dU5UO5ozZV,305751
0.657,0.519,-12.073,0.0359,0.139,0.00115,0.227,0.545,106.716,0w1UvLilct9BzMVNWH2kkm,333375
0.554,0.331,-14.449,0.0344,0.435,0.0,0.308,0.418,128.202,7BXhyXma11NSNQlQDZOgiN,243278
0.457,0.488,-10.764,0.0388,0.647,0.0,0.103,0.623,125.216,2lmOPj1YTK7WfHG8kzrGAP,357200
0.594,0.591,-9.514,0.0428,0.897,3.63e-06,0.881,0.716,121.737,4taU34sUdcaY8GRJNabiQq,215507
0.563,0.676,-9.112,0.0346,0.509,0.0001,0.587,0.633,95.546,5mpZxwwqAxzuE5Br0Tzznv,308227
0.433,0.4,-16.083,0.0462,0.885,0.254,0.502,0.662,139.804,1oEVDEISjcVi6vfgoxRDKQ,344660
0.635,0.494,-11.545,0.0503,0.662,0.0,0.454,0.699,124.647,6BO7d390gYeRHKirTeSxvT,211693
0.413,0.621,-10.535,0.0565,0.53,0.00318,0.772,0.5,135.491,1Ub49Mz15iM2aur0EnTAik,495773
0.627,0.658,-7.743,0.0347,0.582,1.49e-05,0.242,0.861,114.049,46R7cZ3s7Mhj85PgFW19j0,537760
0.698,0.45,-9.456,0.0368,0.563,0.0,0.195,0.823,119.251,4VOLru5DYEpm5jUTsT7OwN,392840
0.359,0.458,-11.931,0.0379,0.668,0.000129,0.2,0.618,103.897,5QlWYR4aCHZIF5wwl9BBPA,546200
0.424,0.44,-9.036,0.0308,0.719,0.757,0.188,0.439,102.907,0z6lBh5eWAPqfB2GOvnzCZ,273241
0.597,0.753,-8.878,0.0487,0.361,0.00325,0.0767,0.664,111.857,1CoN7VnsENHvbSD7TuiIjg,415040
0.565,0.649,-11.811,0.116,0.637,0.000355,0.427,0.617,132.268,77T1rooiuZocZFc7MYst46,163533
0.499,0.486,-11.121,0.0582,0.72,0.0,0.218,0.434,123.426,0D5ymfVlEIhttb3P3lZYmP,203964
0.344,0.415,-7.976,0.0271,0.77,0.000456,0.133,0.46,81.783,5CEGZuZqS8KVXZchxBDI1d,349267
0.584,0.482,-9.488,0.03,0.657,5.17e-05,0.143,0.78,84.981,0pK13fWr2YzS8UjHMq9vUY,223713
0.902,0.767,-5.666,0.0296,0.556,3.25e-06,0.201,0.793,104.978,3LGlf7bezYOiE0M63Nr1up,424840
0.604,0.813,-9.173,0.124,0.652,0.00269,0.893,0.55,131.902,19R3nkpFwmgJ9rVUhHGY1I,201561
0.88,0.721,-8.462,0.0353,0.412,0.000215,0.0282,0.962,115.2,4yDyc4KLT5oxvObDqH2hom,207293
0.428,0.62,-9.82,0.0382,0.838,1.29e-06,0.93,0.699,148.169,1qj89M4ZVFDYP1sTcocBep,283455
0.639,0.767,-6.464,0.0466,0.653,2.35e-05,0.0699,0.903,106.449,1WvJC3zAXl9RvBtN8u0FOB,250467
0.553,0.266,-9.021,0.0378,0.867,0.0,0.301,0.373,77.863,6AdsNUCHZwSJAuhoLOVLR6,226733
0.37,0.361,-11.889,0.0343,0.859,0.000963,0.748,0.529,110.25,4pV9OyOLe5wRh5XFsM50yt,727053
0.548,0.306,-13.584,0.0646,0.912,1.45e-05,0.393,0.712,138.021,0LXtClTgIGlwo73GRfAFta,122331
