danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.739,0.745,-6.658,0.0267,0.21,0.0135,0.127,0.949,109.326,1p7m9H4H8s0Y7SgRm7j3ED,277653
0.537,0.748,-6.392,0.0282,0.000633,0.557,0.272,0.78,124.24,2lpIh6Gr6HYjg1CFBaucS5,212747
0.791,0.701,-7.843,0.0678,0.0226,0.278,0.546,0.251,100.635,02rL5rMK7s4LQ6BAjNF5iv,278720
0.742,0.61,-7.596,0.0853,0.175,0.0,0.0493,0.722,113.281,3ydweVPwq9PCEVJ8WwqT6u,313000
0.679,0.368,-15.449,0.0251,0.689,1.02e-05,0.28,0.736,104.931,2qBirMakpTdz9ymxrZEyzg,160867
0.724,0.856,-6.119,0.0283,0.0653,1.85e-06,0.354,0.891,129.794,1qvY1z3Wm3sAYeHfPTnrbI,161800
0.509,0.887,-6.647,0.0392,0.183,0.0,0.355,0.824,145.088,2RognU2ViRdA6HxnpAITJl,222347
0.444,0.471,-9.107,0.0322,0.00161,0.00159,0.14,0.205,76.335,6gwaa6ElIixNTvu6RwkMyo,273800
0.694,0.531,-8.43,0.0327,0.135,0.0,0.121,0.949,75.003,4k3K6Ke6KfAWb7zyQWrTEA,235200
0.593,0.926,-3.696,0.0322,0.242,1.57e-06,0.207,0.961,104.854,1ZGs4W7LBJy68hRPTsvMFc,234813
0.733,0.602,-7.65,0.084,0.0121,4.64e-06,0.0642,0.832,80.472,1orgfjGJoycODSItcGVatE,291973
0.695,0.786,-7.435,0.0303,0.0926,0.0,0.0987,0.861,146.863,6aPoVnA9UDncMyKgTAicsO,218493
0.523,0.339,-9.913,0.0275,0.707,0.0111,0.709,0.117,115.7,2kMVxFh1y5gow2hBtqGO4m,247000
0.532,0.776,-7.873,0.03,0.024,0.000419,0.358,0.667,137.736,1MRhIdcloOD0uiiG3ybXGX,206200
0.532,0.884,-4.941,0.0398,0.148,6.76e-06,0.154,0.781,128.074,7qIw4D1PcDHigDohKkLB0W,235560
0.641,0.797,-6.536,0.0431,0.00357,3.25e-05,0.0279,0.655,94.884,1PQzZbitOJ6XPFg7FFzsKQ,311893
0.666,0.859,-5.517,0.0427,0.328,0.0,0.322,0.198,120.701,5N5sbaoN8UvXw8ngNR9iUk,367960
0.767,0.901,-1.975,0.0862,0.319,0.0,0.172,0.751,94.023,5EHRc2WJASyZg3alJqsbqU,161239
0.592,0.507,-12.317,0.0295,0.00513,0.00285,0.202,0.425,143.525,5zqXco5gN08t20hf5AO62z,229507
0.715,0.69,-8.172,0.0307,0.192,0.000657,0.11,0.676,123.555,62FQCSvSUSG3m9uajVkvWe,223147
