danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.593,0.836,-4.774,0.0463,7.37e-05,0.0,0.117,0.406,127.087,5lgS45xqkTk2HVm7Jph9ya,216893
0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999,5R8dQOPq8haW94K7mgERlO,237200
0.751,0.746,-4.777,0.0413,0.0461,0.227,0.111,0.734,117.01,6IJmRILFspEP80BmmfAv2m,248640
0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,1y4eb6hmAvsqlDOl3fx9kk,220227
0.809,0.728,-1.252,0.0533,0.0855,3.33e-06,0.303,0.967,204.192,1VsuSOEVhuCaybeb1rFeCM,228707
0.624,0.654,-6.582,0.183,0.577,0.0,0.104,0.564,73.898,7Lf7oSEVdzZqTA0kEDSlS5,288333
0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,196160
0.888,0.556,-8.38,0.186,0.00758,0.0584,0.0553,0.45,126.008,49ou9vBZLTCi4TYoYzR3F9,233480
0.943,0.584,-6.661,0.304,0.281,1.2e-06,0.151,0.659,98.996,1Vf09Cxf2jqSkU6sfueYAq,231440
0.804,0.56,-6.912,0.0397,0.416,0.0,0.0608,0.768,133.682,65H6t1WQBim6q93yM8fEwn,254720
0.72,0.672,-6.852,0.0551,0.009,0.0,0.232,0.705,124.986,3GpbwCm3YxiWDvy29Uo3vP,204640
0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,49FYlytm3dAAraYgpoJZux,275987
0.82,0.731,-6.02,0.159,0.0133,1.94e-05,0.131,0.793,127.076,5RzFJd6W40SDTyZkX6xx45,237120
0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165,5IVuqXILoxVWvWEPm82Jxr,236133
0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,2H1047e0oMSj10dgp7p2VG,289133
0.737,0.839,-2.028,0.17,0.103,0.0,0.319,0.718,120.042,5PSba04SiAEUe3q6PyaTpQ,200187
0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,2PpruBYCo4H7WOBJ7Q2EwM,235213
0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,198800
0.957,0.554,-6.618,0.067,0.0052,0.00185,0.249,0.64,101.783,4u8IPU322yG7mNrqv89GGL,199893
0.852,0.797,-6.543,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,228BxWXUYQPJrJYHDLOHkj,192600
0.863,0.909,-5.985,0.0813,0.161,0.0,0.108,0.845,119.038,5gdM1wTSYyRus22N6jXeFF,206320
0.939,0.742,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978,2kQuhkFX7uSVepCD3h29g5,212360
0.756,0.77,-3.502,0.0343,0.191,0.0,0.178,0.73,119.961,66ZcOcouenzZEnzTJvoFmH,246467
0.867,0.606,-5.698,0.319,0.177,0.0,0.0651,0.615,96.174,28NkYwIArovtp4gZCyKgVg,254147
0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093
0.813,0.627,-5.018,0.0486,0.0771,0.000616,0.131,0.801,130.011,0uXO2GrNiIb1xHT9LUdxZE,195853
0.389,0.675,-7.237,0.0336,0.124,1.97e-05,0.376,0.483,172.02,7mNErWes3YegbRLgZuILl5,227733
0.975,0.711,-3.904,0.0632,0.168,0.000552,0.0799,0.815,110.621,0wbDgMuAoy7O7pL3a69uZx,234027
0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,2x7MyWybabEz6Y6wvHuwGE,241933
0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,5rb9QrpfcKFHM1EUbSIurX,250373
