danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920
0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,2tUBqZG2AbRi7Q0BIrVrEj,291293
0.574,0.628,-8.815,0.036,0.13,0.0,0.271,0.803,153.119,4jDmJ51x1o9NZB5Nxxc7gY,300107
0.721,0.939,-11.823,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4cOdK2wGLETKBW3PvgPWqT,213573
0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,6ADSaE87h8Y3lccZlBJdXH,295516
0.477,0.471,-10.036,0.0277,0.193,1.76e-06,0.131,0.423,81.204,1JLn8RhQzHz3qDqsChcmBl,304787
0.663,0.296,-18.09,0.0294,0.68,0.00837,0.0879,0.359,112.306,7w5AOd6HrDIHewHfpABEss,289067
0.382,0.589,-7.315,0.0267,0.0465,0.0,0.122,0.335,140.059,7Ewz6bJ97vUqk5HdkvguFQ,243360
0.643,0.802,-4.92,0.0227,0.0299,0.0,0.0719,0.53,95.99,3X7uFMzJrEE0sxn62qd8Ch,270333
0.675,0.649,-10.271,0.0319,0.0204,0.0,0.0959,0.596,116.624,0odIT9B9BvOCnXfS0e4lB5,228000
0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4ByEFOBuLXpCqvO1kw8Wdm,280400
0.62,0.936,-4.593,0.0308,0.0261,0.0,0.0679,0.763,97.527,4YwbSZaYeYja8Umyt222Qf,175747
0.548,0.294,-17.112,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,1GeNWyZtCHbcp3ZWp8GTOO,256173
0.395,0.252,-13.589,0.0301,0.8,0.0,0.101,0.126,177.679,4LFwNJWoj74Yd71fIr1W8x,264333
0.748,0.551,-9.054,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,6RNDeRnWsRMjPdNVgupZCs,262240
0.692,0.422,-10.533,0.0333,0.0811,0.0,0.0848,0.468,74.375,2DjWsDGgL1xNbhnr7f6t5F,193120
0.418,0.452,-13.099,0.0356,0.638,0.00026,0.0959,0.168,175.088,54b8qPFqYqIndfdxiLApea,218733
0.712,0.549,-9.484,0.0254,0.011,0.0,0.118,0.552,109.882,31H6au3jhblhr6MMJiXnCq,251067
0.58,0.498,-6.901,0.0277,0.198,0.0,0.132,0.111,116.271,63CHa6rmamv9OsehkRD8oz,206360
0.497,0.719,-9.397,0.0266,0.0613,0.0,0.411,0.547,95.769,15MJ5NThPjj6xhPcts8MiY,255733
0.756,0.422,-12.967,0.0292,0.0165,0.00183,0.0368,0.487,112.751,0e3yhVeNaTfKIWQRw9U9sY,304133
0.583,0.602,-6.364,0.0274,0.368,0.0,0.22,0.388,74.008,36lkJSDyMEZoWTqtRj8Q8q,229240
0.408,0.48,-11.017,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,5WwqdeavrQrbeAMDxGawse,294773
0.52,0.61,-7.935,0.0282,0.0805,2.95e-06,0.276,0.329,144.983,1eyq8cjUQ2daFthW2PC2GM,258333
0.724,0.436,-9.321,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,1Jj6MF0xDOMA3Ut2Z368Bx,243067
0.638,0.352,-9.266,0.0268,0.492,0.0,0.105,0.204,94.173,7DFawVSjI88xR9mjnWwURg,204000
0.552,0.552,-9.736,0.0364,0.052,0.0,0.046,0.593,208.571,1Qrdlkgg9I4J7r3P4kZNwr,269760
0.805,0.602,-9.7,0.0579,0.119,0.000122,0.0581,0.744,94.382,3VZmChrnVW8JK6ano4gSED,238600
0.33,0.469,-9.286,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,2OgVsp77En2nju8pnCieVU,292067
0.658,0.575,-10.365,0.0267,0.243,0.0,0.122,0.504,108.329,6mYrhCAGWzTdF8QnKuchXM,239827
0.553,0.614,-5.098,0.0306,0.764,0.0,0.0811,0.345,136.628,0vB4Vd6PtkJSEnWsmqATnZ,242679
0.306,0.722,-5.963,0.034,0.0519,0.0,0.117,0.41,174.732,4rcHWl68ai6KvpXlc8vbnE,200293
0.405,0.21,-13.214,0.0279,0.584,0.0,0.139,0.174,100.577,2w4EpqGasrz9qdTwocx54t,202173
0.261,0.703,-7.871,0.0414,0.115,0.00078,0.102,0.405,83.495,2lFFiNm0XtgJ6wkdncTB4k,234332
0.515,0.277,-17.85,0.0255,0.062,0.0,0.258,0.413,82.167,1WeoeHh0TSzsApyJ6Q8OOK,229880
0.526,0.515,-11.169,0.0389,0.169,0.000816,0.181,0.518,136.543,5fnOrhQ4KgT5irGCjIccGH,234493
0.532,0.729,-6.84,0.0474,0.382,0.0,0.366,0.595,121.97,0aAR5HogGoT68EWFbyRFqx,244533
0.388,0.72,-5.541,0.033,0.202,0.000288,0.283,0.554,141.283,01MXkFA8sL7at6txavDErt,341747
0.541,0.44,-12.206,0.031,0.191,0.0,0.114,0.232,140.273,3RMeOetCdXttthQK0clPuz,255667
0.572,0.721,-8.959,0.0402,0.187,7.41e-06,0.216,0.844,164.252,05fHQeRbCSjKVS6z0WbQKJ,267000
0.636,0.405,-11.113,0.0287,0.355,0.0,0.0804,0.257,128.068,17CPezzLWzvGfpZW6X8XT0,241067
0.636,0.264,-14.567,0.0263,0.593,4.22e-05,0.275,0.264,99.304,1lx8ddGT5wCD6W2xmLeRKG,238467
0.74,0.923,-5.082,0.0369,0.105,0.000163,0.0825,0.93,128.871,5LYJ631w9ps5h9tdvac7yP,305867
0.469,0.278,-16.311,0.028,0.248,0.000126,0.133,0.331,169.735,1pTGc8pwyo6xtgXBKCBcFn,231840
0.742,0.533,-9.098,0.0288,0.459,0.148,0.064,0.391,97.395,0CsM8VGDi38kusMv3pxyj1,329147
0.452,0.306,-9.632,0.0274,0.235,1.91e-05,0.0989,0.182,144.125,5OHUTC4EvTbL0DuZQRIGGX,210733
0.202,0.644,-5.212,0.0324,0.0979,0.0,0.109,0.252,85.04,57ebBLITHpRgRKGrlbxMZS,267080
0.851,0.406,-11.631,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,4kOfxxnW1ukZdsNbCKY9br,226880
0.661,0.818,-5.9,0.0291,0.182,0.000995,0.0527,0.79,147.544,1c9dnQbOzw01ID7X2IsYOE,266333
0.578,0.654,-12.421,0.0562,0.121,3.62e-06,0.0673,0.621,129.513,0WoFs3EdGOx58yX5BtXvOa,216467
0.534,0.442,-9.442,0.0308,0.788,0.000351,0.0986,0.343,136.369,6fkvIT9KFKxO8poBeKfaEf,288973
0.526,0.358,-7.239,0.0243,0.525,0.0,0.0942,0.399,78.989,5MoDQWMDMaAGDEiWsJfeCi,238027
0.742,0.42,-6.797,0.031,0.562,4.12e-05,0.0402,0.594,134.624,1j2LuIf7mv15ZVug1Xy5qz,219427
0.543,0.227,-11.247,0.0298,0.767,4.29e-05,0.103,0.292,123.548,5vXsj8L4DK1gGQ43BBG028,234560
0.326,0.797,-2.359,0.0334,0.0522,0.0,0.081,0.271,135.937,4AfsbRvvuN7nEHAhONdeEp,288933
0.547,0.831,-11.298,0.0319,0.0874,8.34e-06,0.222,0.909,168.581,5mwzpzRue1SBWwrbbhXfbf,241400
0.512,0.588,-8.591,0.0276,0.335,0.000806,0.0963,0.242,144.521,6PMDILZiYo4YzMBbE0dGK9,215147
0.434,0.507,-10.422,0.0358,0.565,0.0,0.161,0.236,115.309,09bRmFRViBORKQ2miwp04P,237107
0.624,0.868,-5.867,0.0269,0.305,1.38e-05,0.186,0.806,111.143,1y748kOQshZECWk5MddfOv,268187
0.677,0.509,-7.472,0.0252,0.114,0.0134,0.0659,0.525,93.042,3TLtCHUaiMHcQcJVGVW2p2,275987
0.657,0.467,-8.925,0.0341,0.667,1.92e-06,0.0295,0.276,100.139,2fytePz8UsbUr8n33QBEcm,251760
0.587,0.237,-18.466,0.0272,0.0766,0.0,0.139,0.366,84.764,5eaK7PLGwyDXmHfTdWZZuE,211933
0.665,0.686,-5.849,0.0268,0.0518,0.000176,0.174,0.275,96.848,1qQSRy9DjrGh3jtsSCU6B1,185694
0.731,0.91,-4.559,0.0918,0.11,0.000447,0.313,0.886,120.991,6HvUtPLqkP0t6zd6YNdWby,209160
0.605,0.902,-5.804,0.0385,0.0171,1.31e-06,0.124,0.692,122.866,3EvpaRZkKWxsgDIO2zMH7g,233667
0.743,0.5,-14.105,0.0513,0.0515,0.0,0.0373,0.903,112.989,37nxLdGbmgEYQYrqe14xOp,249560
0.662,0.719,-6.606,0.0298,0.107,0.0,0.102,0.511,95.001,6B4oVElDIKRNcNUary0WG7,224320
0.588,0.656,-6.373,0.0224,0.378,0.00227,0.042,0.746,79.701,1BrbXIJ7b161oQ0PfC0K32,212933
0.51,0.458,-7.566,0.0289,0.551,0.0,0.0853,0.177,123.694,2Pxqs0WmxxHTV5QaTdmt3Q,293853
0.521,0.654,-6.993,0.0401,0.452,6.12e-05,0.0984,0.125,139.071,18DfMhEx4ddoreHrvZDF6Q,268200
0.696,0.943,-2.962,0.043,0.0736,0.0,0.653,0.832,129.002,3CSpzkoL1XgDBZ1q9aDCUV,194867
0.239,0.819,-3.583,0.0393,0.304,0.0,0.0855,0.439,171.449,3kfXUGIdBNpyr2gBvU3Guj,308907
0.658,0.334,-14.648,0.0254,0.423,2.21e-05,0.127,0.647,90.173,66rdGSb6FMm0neFXxmJdPQ,267733
0.631,0.505,-12.083,0.0903,0.553,0.0,0.137,0.687,90.204,65bvH7egzl7h9f7uJmqGV4,215387
0.802,0.488,-9.304,0.0813,0.572,0.0598,0.0763,0.624,95.77,4C426PqeHP8XqHU5mQIAKS,237106
