danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.671,0.804,-5.084,0.0871,0.194,0.0,0.175,0.652,156.863,28Md4QAt1UceyovDOLe1GG,158711
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389
0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.154,0.649,115.997,0CtZpaOhtzvLV3FfcsVpQo,258474
0.829,0.703,-8.672,0.0567,0.226,0.0336,0.095,0.615,119.01,2j8E9m3kDHfxFnGhN4fXaC,213144
0.619,0.763,-5.279,0.0467,0.0563,0.0,0.215,0.31,132.002,2x9GwGubDShXuI7aWGX03J,176818
0.736,0.647,-8.448,0.0892,0.271,3.97e-05,0.127,0.52,89.974,3YTe42RPu0iJVr1ZYJHHyC,136951
0.45,0.62,-6.492,0.0365,0.313,0.0,0.0672,0.169,142.026,6la3Kme7O7D01fJPxgpAS5,189296
0.466,0.234,-13.749,0.0481,0.899,0.0,0.113,0.362,125.773,4AfA4PrYOYuVRwqWG1YwIG,249524
0.589,0.74,-3.294,0.37,0.632,0.0,0.0763,0.529,128.487,67FQS0mvwg4j5LgdlTwJuc,98000
0.636,0.745,-4.6,0.117,0.0624,0.0,0.141,0.502,158.013,7HVA1EkKQi4zNaYwE17Cvo,161203
0.485,0.645,-4.367,0.0274,0.00478,0.0,0.24,0.705,82.93,1xk2TQgJNtH3FErgICPgmb,174193
0.447,0.647,-6.735,0.0765,0.153,2.33e-05,0.0931,0.509,100.129,307xzW2nYqkHpnQpt6JM1T,179668
0.822,0.538,-10.14,0.0315,0.358,0.113,0.0887,0.708,114.972,5gBLuVQ6Ba7Ab6nlTROxFY,164267
0.726,0.414,-7.886,0.0412,0.351,0.0,0.166,0.686,114.771,4KGu7ymn1pQwN5yWoWascu,150261
0.615,0.673,-5.893,0.169,0.0228,0.0,0.211,0.205,84.959,4CkCx4BUC7Be2fcGX1UCxG,160941
0.63,0.589,-6.812,0.0427,0.0106,0.0,0.101,0.34,86.912,60pE6cLRCZy6wgjhP0Wu8w,212947
0.729,0.414,-6.138,0.0565,0.291,0.0,0.0793,0.565,85.729,2JLVZYEMmqPWbUoAJAMKfm,232096
0.754,0.726,-6.407,0.0704,0.263,0.0,0.16,0.609,89.966,5KvQtUK14fbyFmZjeaBc1g,173508
0.529,0.871,-5.294,0.0785,0.13,4.15e-06,0.479,0.346,167.978,7siHCotFdZC5xbITODUm2U,181709
0.795,0.29,-11.464,0.653,0.36,0.0,0.505,0.497,87.994,6Ih6h9g3dUDc4MvIunXv6g,161445
0.703,0.737,-3.698,0.0499,0.317,4.29e-05,0.0876,0.66,159.985,2lGGlexu72TnPQPUHd8NWt,195750
0.377,0.491,-6.007,0.064,0.61,0.0,0.085,0.491,199.74,5rFNflUKMTsOlBVdGv1ahL,284989
0.656,0.544,-6.706,0.097,0.6,0.0,0.102,0.407,91.812,4HzgLpnh5U2Id1uBHbPuQ0,159534
0.632,0.895,-4.567,0.0602,0.301,0.0,0.0981,0.769,100.544,5GyjN34ERWoiTbNDEje48C,230735
0.77,0.842,-3.16,0.0538,0.0132,0.00119,0.293,0.557,135.056,4dUDX48wvKwio1oXFtmzA6,162671
0.633,0.755,-6.961,0.123,0.213,0.000366,0.072,0.317,159.972,77TNJhVDMPwRYxeMOED5Bl,162422
0.582,0.556,-8.935,0.121,0.0594,0.0,0.143,0.543,169.993,63ssPpPDPiwnCObV9LaN4P,161776
0.448,0.539,-8.336,0.0489,0.712,1.78e-05,0.122,0.163,75.356,3ASAvmNlhz4VYt5iUApaHc,231756
0.696,0.819,-6.126,0.116,0.143,1.31e-06,0.0834,0.843,179.99,3wPvs8nWjtDhOApqPIdf0y,225333
0.867,0.321,-10.35,0.426,0.18,0.0,0.156,0.551,139.956,2RvZC77XsiE9x434T6o1S2,147165
0.416,0.176,-14.857,0.0366,0.917,0.00957,0.104,0.307,124.814,5lvnhOrJy27bEhcfqIodjv,353022
0.77,0.491,-4.369,0.0296,0.439,0.0,0.1,0.851,105.031,4UvRhamcRD4kpjEFtVN2ef,184518
0.489,0.879,-3.876,0.052,0.0172,0.0,0.228,0.467,74.438,75KHUxaMlmvSIYZnUMMLj9,193493
0.629,0.82,-5.71,0.0568,0.00224,0.011,0.0771,0.673,133.509,6v28bvjhEHYmBmG1xbpuxL,204623
0.32,0.438,-7.553,0.089,0.703,1.26e-05,0.101,0.465,184.212,4ltCYG04Xhzv5cViM6mp16,309747
0.795,0.451,-10.461,0.113,0.152,4.96e-05,0.183,0.434,119.906,2trg8gUn9D8OJfbtnpXMdH,186000
0.695,0.749,-3.924,0.154,0.196,0.0,0.339,0.52,154.985,4Az4kzsnrUNSeolqUKHGJN,167627
0.548,0.706,-6.136,0.21,0.266,5.08e-06,0.0542,0.222,74.818,2q2cxmczUo4AAZXmjeNzMk,192500
0.555,0.585,-7.432,0.0369,0.208,0.0,0.323,0.246,172.04,4WZxhWx3eLXPkNwjJx2VsP,173874
0.445,0.697,-6.968,0.0359,0.00105,0.000726,0.136,0.42,151.409,2N0P1fCYL7tnxq4RiPAz2l,191040
0.694,0.566,-7.257,0.0796,0.0734,0.753,0.51,0.653,142.235,69y3XAgRaXrtO5h9YvpPHJ,334000
0.708,0.517,-10.231,0.236,0.0474,0.00049,0.0887,0.908,179.964,7ox53QO10ykeeAkrFvmn3f,138667
0.85,0.446,-6.764,0.0444,0.658,0.0,0.144,0.965,128.956,3H5Esjz1C6r3nWyBMRNpQI,166512
0.596,0.421,-11.196,0.0965,0.621,0.000154,0.178,0.429,141.917,1cbgaTsV1q6qZ3sfhIVHxh,243947
0.781,0.722,-7.544,0.0899,0.397,2.29e-06,0.283,0.932,154.958,75XPqkFdaR5zFCJNbnj7DA,152516
0.349,0.53,-6.142,0.034,0.778,2.25e-06,0.112,0.158,132.38,2dNl9852kqrSurEtz1WsyQ,232000
0.528,0.78,-4.409,0.0769,0.065,0.0,0.109,0.433,143.889,3KqYVVEQL5g5bhIV1rr8vV,176667
0.817,0.442,-8.167,0.0524,0.612,0.135,0.0884,0.634,143.821,1usku2SDrwW0738LbRyGkk,205911
0.774,0.475,-9.632,0.0977,0.18,0.000144,0.26,0.591,97.944,34OTrVKZbPuSIy7uDASKVQ,144901
0.718,0.763,-7.011,0.114,0.266,0.00214,0.335,0.181,92.054,20f6NKhIFA61Sw4bjYKHu7,191740
0.309,0.267,-9.488,0.0312,0.724,1.44e-05,0.117,0.154,169.875,2JH5jkvBMbjFiUVTesYWFP,292843
0.489,0.541,-6.564,0.0326,0.272,0.0,0.101,0.209,166.131,3fLW5dX5FfnZ2g3Rmp4Cpr,191928
0.688,0.635,-6.237,0.0649,0.0305,1.21e-06,0.117,0.252,88.924,6ucB0hgH5zcJFfjz4ZjHzX,196198
0.615,0.638,-8.127,0.0307,0.0179,9.98e-06,0.168,0.761,135.96,0uS73WeUprjNuI44swS8Hl,183250
0.568,0.0841,-10.128,0.0452,0.963,1.58e-05,0.0917,0.213,64.222,1qDMm3JN98RlW1u42Jzstn,200000
0.599,0.265,-14.263,0.0535,0.961,0.00253,0.336,0.506,109.667,69AXV3HDhBaenIesoWmbwU,187636
0.747,0.629,-7.739,0.262,0.245,0.000232,0.151,0.33,89.923,5OdS5djlUSr1onn5dUgX3z,226667
0.486,0.635,-6.085,0.0315,0.00247,2.08e-05,0.0881,0.189,89.715,5Fe9Bj6scJb9GDXbpyCb7q,289220
0.712,0.685,-6.03,0.0863,0.374,0.0,0.0829,0.786,135.969,3nqgEI17nKvQgSWTZZqS1z,226681
0.612,0.438,-8.216,0.031,0.599,0.0,0.145,0.276,90.024,5D0dp4kKzO4nb3xXqTYCTk,183002
0.809,0.659,-6.974,0.123,0.307,4.14e-05,0.0581,0.871,130.431,601ysvmx4INBIwtAtGgS0b,148465
0.474,0.314,-9.821,0.0356,0.464,0.0,0.363,0.124,119.908,1pSMZXj5eSWvvEKwTydZEb,170062
0.699,0.304,-11.964,0.235,0.702,4.22e-05,0.0946,0.166,93.881,1kf99fR0FT7l5FqRZJFFU5,168511
0.449,0.375,-10.553,0.0824,0.572,0.0,0.151,0.0991,120.221,3ni9pYBE9LVwbinEwQ0cQw,183432
0.488,0.718,-5.56,0.0292,0.00526,0.00145,0.152,0.273,124.713,32bIll1Vlij9BjKa2e8clR,249871
0.676,0.89,-3.596,0.153,0.102,0.0,0.385,0.945,81.032,28L8RTHgg9XPvDtL3R0pmX,220445
0.492,0.51,-6.839,0.426,0.613,1.41e-06,0.0819,0.326,76.402,7rXnH5CggkXAAIxWHh0U0H,153548
